patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432086,2025-09-30,"Vehicle control system, control method, electronic device, and recording medium",0,H04J|H04L
12430814,2025-09-30,"Image generation method and apparatus, and storage medium",0,G06T
12426220,2025-09-23,Water jacket,0,B33Y|H01L|H05K
12425101,2025-09-23,Robot,0,B25J|G05B|G06N|H04B
12424851,2025-09-23,"Management system, non-transitory computer readable medium, management method, and management server",0,G06F|G06Q|H02J
12423842,2025-09-23,Information processing method and storage medium for estimating camera pose using machine learning model,0,G06T
12419214,2025-09-23,Utility vehicle,0,A01D|G05D|G06Q
12418712,2025-09-16,Camera assembly for vehicle and vehicle including same,0,B32B|B60J|B60R|H04N
12418548,2025-09-16,"Illegal signal detection apparatus, vehicle, and illegal signal detection method",0,H04L
12415514,2025-09-16,"Vehicle control device, vehicle control method, and storage medium for determining the lane to which an object in the vicinity of a vehicle belongs",0,B60W|G06T|G06V
12413851,2025-09-09,Inspection device and inspection method,0,H04N
12413605,2025-09-09,"Signal detection apparatus, vehicle, and method",0,H04L
12413552,2025-09-09,In-vehicle control apparatus,0,G06F|H04L
12409809,2025-09-09,Remote control of vehicle features based on tactile gestures on electronic device,0,B60H|B60K|B60R|E05F|E05Y|G06F
12406581,2025-09-02,"Position information output method, position information output system, and program",0,G08G|H04W
12406292,2025-09-02,Apparatuses and methods for sunlight assessment at a location,0,A01G|G01W|G06Q|G06T|G06V
12405366,2025-09-02,Sensor network,0,G01S|G08C|H04L|H04M|H04Q
12403818,2025-09-02,Illumination device for vehicle,0,B60Q|G06F
12403593,2025-09-02,Model parameter learning method,0,B25J|G05B|G05D|G06N
12400492,2025-08-26,Information processing apparatus and storage medium,0,B60W|G06Q|G07C
12400459,2025-08-26,Dirt detection system for vehicle-mounted camera and vehicle provided with the dirt detection system,0,G06T|G06V
12400301,2025-08-26,"Image generation method and apparatus, device, and storage medium",0,G06T
12397713,2025-08-26,Drive assistance system,0,B60R|G06T|G06V|G08G
12397674,2025-08-26,"Information generation device, information generation method, program, and recording medium",0,B60L|G06Q|Y02T|Y04S
12397438,2025-08-26,"Behavior control device, behavior control method, and program",0,B25J|G05B|G06F|G06N|G06V|G10L
12395500,2025-08-19,"In-vehicle equipment, vehicle, and method",0,B60R|H04L
12395281,2025-08-19,HARQ ID for consecutive uplink subframes in a wireless device,0,H04L|H04W
12394255,2025-08-19,"Driving assistance apparatus, recording medium having driving assistance program recorded thereon, and driving assistance method",0,B60K|G06T|G07C
12394212,2025-08-19,"Warning control apparatus, moving object, warning control method, and computer-readable storage medium",0,G06T|G06V|G08G
12394114,2025-08-19,Control system of working machine and control method of working machine,0,G05D|G06T
12393888,2025-08-19,Multi-objective electric vehicle charging scheduler with configurable objective hierarchy,0,G06Q
12393769,2025-08-19,Data generation device,0,G06F|G10L
12386890,2025-08-12,Plausible action anticipation using large video-language models,0,G06F
12384388,2025-08-12,"Driving assistance device, vehicle, and driving assistance method",0,B60K|B60W|G06F
12384382,2025-08-12,Information providing device,0,B60W|G01C|G06Q
12381661,2025-08-05,Uplink grant for consecutive uplink subframes in a wireless device,0,H04L|H04W
12381275,2025-08-05,Stretchable and flexible lithium ion battery,0,A44C|A45F|G06F|H01M|H04B|Y02E|Y02P
12379757,2025-08-05,"Information processing apparatus, method for controlling information processing apparatus, and storage medium",0,G06F|H01M
12377863,2025-08-05,System and method for future forecasting using action priors,0,B60W|G06T|G06V
12371072,2025-07-29,Operator take-over prediction,0,B60W|G06F|G06N
12371014,2025-07-29,"Mobile object control device, mobile object control method, and storage medium",0,B60W|G06F|G06T|G06V
12369226,2025-07-22,"Wireless base station, communication system, computer readable storage medium, control method, and wireless communication device",0,H04W
12368771,2025-07-22,"Adapter device, file exchange system, file exchange method, and computer-readable non-transitory storage medium with program stored therein",0,G06F|H04L
12367773,2025-07-22,"Control system, control method, and storage medium for storing program to control the operation of a mobile device",0,B60W|G06Q|G06V|G08G|G10L|H04W
12367533,2025-07-22,Battery management system and battery management method,0,G06Q|H02J
12361759,2025-07-15,Control apparatus allowing a user to input operations,0,B60K|G06F|G06V
12361721,2025-07-15,Image processing apparatus for estimating vehicle spatial motion,0,G06T|G06V
12361458,2025-07-15,"Rental fee calculation device, rental fee calculation method, and rental fee calculation program",0,G06Q
12358369,2025-07-15,Vehicle human machine interface generating system and method for generating the same,0,B60K|B60W|G06N
12353212,2025-07-08,"Control device, control method, and storage medium",0,G05D|G06T|G06V
12352815,2025-07-08,Battery information management system and battery information management method,0,G01R|G06F|H01M
12347091,2025-07-01,Teacher data generating method and generating device,0,G06T
12346682,2025-07-01,Function management system and function management method,0,G06F|G06Q
12344190,2025-07-01,"Vehicle control device, vehicle control method, and storage medium",0,B60R|G06T|G06V|H04N
12342104,2025-06-24,Integrated display for electrified vehicle charge port,0,B60L|G06Q|G06V|H02J|H04N|Y02T
12340592,2025-06-24,"Vehicle control device, vehicle control method, and storage medium",0,B60W|G06T|G06V
12339356,2025-06-24,Traffic control device including a distance detector,0,B60R|G01B|G01S|H04W
12332655,2025-06-17,Work management device and work management method,0,G05D|G06Q
