patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12433053,2025-09-30,Sensing device and electronic device,0,G06F|G06V|H10F
12433045,2025-09-30,"Sensing device, method of manufacturing sensing device and electronic device",0,G06F|G06V|H10F
12424593,2025-09-23,Electronic device,0,G02F|H01L|H05K|H10H|H10K
12424458,2025-09-23,Manufacturing method of package structure of electronic device,0,H01L
12424454,2025-09-23,Composite layer circuit element,0,H01L|H05K
12418978,2025-09-16,Electronic device,0,G06F|H05K
12417949,2025-09-16,Multi-layered structure and method for manufacturing the same,0,H01L
12417701,2025-09-16,Risk control system and method for traffic devices,0,G06F|G08G|G09G
12416990,2025-09-16,Electronic device,0,G06F|H01L|H05K|H10K
12414418,2025-09-09,Display device,0,G02F|H01L|H10H
12414377,2025-09-09,Electronic device,0,H01L|H10D
12411566,2025-09-09,Method for manufacturing display device,0,G06F|H10K
12408269,2025-09-02,Electronic device and method of forming electronic device,0,H01L|H05K
12402522,2025-08-26,Flexible display apparatus,0,G06F|G09F|H04M|H10K
12400609,2025-08-26,Electronic device and vehicle display device,0,B60K|G02B|G09G|H01L
12396327,2025-08-19,Array substrate structure,0,H01L|H10D|H10K
12396308,2025-08-19,Circuit substrate and tiled electronic device,0,G06F|G09F|G09G|H01L|H10H
12394644,2025-08-19,Electronic device comprising a transferred portion of plurality of chips and method for manufacturing the same,0,H01L|H10H|H10K
12389686,2025-08-12,Electronic device,0,H01L|H10D|H10H|H10K
12387647,2025-08-12,Display device,0,G02F|G06F|G06V|G09G|H10K
12386468,2025-08-12,Electrode structure and display device,0,G06F
12386457,2025-08-12,Electronic device,0,G06F
12386447,2025-08-12,"Display device including display layer, functional layer and anti-reflection layer where the anti-reflection layer is disposed over antenna unit of the functional layer",0,G02B|G06F|H01Q
12381192,2025-08-05,Electronic device,0,H01L|H10H
12379635,2025-08-05,Electronic device,0,G02F|G06F
12376224,2025-07-29,Package device,0,H01L|H05K
12374671,2025-07-29,Display panel having openings to be attached to a curved surface,0,H01L|H10D|H10K
12374560,2025-07-29,Method for manufacturing electronic device,0,C23C|C25D|H01L
12374153,2025-07-29,Electronic device,0,G02F|G06V|H04N
12372834,2025-07-29,Electronic display device comprising a first display region overlapping with a photosensor,0,G02B|G02F|G09G|H04N
12369417,2025-07-22,Sensing device and electronic device with openings that overlap sensing elements,0,G02B|G06F|G06V|H10F
12368105,2025-07-22,Electronic device having a silane coupling agent in an insulating layer,0,H01L
12368079,2025-07-22,Method for manufacturing electronic device,0,H01L
12364056,2025-07-15,Electronic device and manufacturing method thereof,0,H01L|H10H
12363836,2025-07-15,Electronic device,0,G06F|H05K
12362308,2025-07-15,Electronic device,0,H01L|H05K|H10D
12362300,2025-07-15,Electronic substrate and electronic device,0,H01L|H05K|H10H|Y02P
12362252,2025-07-15,Method for manufacturing composite layer circuit structure of electronic device,0,H01L
12360625,2025-07-15,Electronic device,0,G06F|H10K
12358426,2025-07-15,Light emitting device,0,B60K|B60Q|G02F|H01L|H10H
12356723,2025-07-08,Electronic device,0,H01L|H10D
12355017,2025-07-08,Display panel and tiled display device,0,B32B|H01L
12354919,2025-07-08,Manufacturing method of package circuit,0,G02F|H01L
12349544,2025-07-01,Electronic device having biometric sensors and light emitting units,0,G06F|G06V|G09G|H01L|H10D|H10K
12346515,2025-07-01,Flexible device,0,G02F|G06F|H01L|Y02E
12342453,2025-06-24,ESD structure for a display substrate edge,0,G02F|H01L|H01R|H05K|H10K|Y02E
12341142,2025-06-24,Electronic device and manufacturing method of electronic device,0,H01L|H10H|H10K
12336356,2025-06-17,Display panel,0,H01L|H10H
12336343,2025-06-17,Electronic device,0,G02B|G02F|H01L|H10H|H10K|Y02E
12336333,2025-06-17,Display device,0,H01L|H10H
12335646,2025-06-17,Electronic device and operating method thereof,0,H04N
12334002,2025-06-17,Display device,0,G06F|G09G|H01L
12333100,2025-06-17,Electronic device,0,G06F|G09G|H10D
12332692,2025-06-17,Electronic device,0,G06F
12326977,2025-06-10,Display device,0,G06F|H10K
12324108,2025-06-03,Electronic device,0,G06F|H05K
12323683,2025-06-03,Sensing device for improving the speed of image sensing,0,G03B|H04N
12322686,2025-06-03,Redistribution layer structure,0,H01L
12321549,2025-06-03,Electronic device,0,G06F|H10K
12317724,2025-05-27,Display device,0,H01L|H10H|H10K
12317417,2025-05-27,Connection structure and electronic device,0,G02F|H01L|H05K
12315857,2025-05-27,Electronic device comprising an electrostatic discharge protective unit,0,H01L|H10H
12315846,2025-05-27,Electronic device having two groups of light-emitting units,0,G02B|H01L|H10H
12315741,2025-05-27,Method of manufacturing electronic device with reduced substrate warpage,0,H01L
12315073,2025-05-27,Three-dimensional image display method and display device with three-dimensional image display function,0,G06F|G06T|G06V|G09G
12314501,2025-05-27,Operation method of electronic device for sensing optical signal and electronic device,0,G06F|G09G|H10K
12308296,2025-05-20,Electronic device and manufacturing method thereof,0,H01L
12308289,2025-05-20,Method for manufacturing an electronic device,0,H01L
12307048,2025-05-20,Electronic device,0,G06F
12306041,2025-05-20,Electronic device,0,G01J|G01R|H04B|H04N
12300641,2025-05-13,Electronic device including conductive element on side surface of substrate,0,H01L|H10H|H10K
12300624,2025-05-13,Electronic device,0,H01L
12300556,2025-05-13,Electronic device and method for manufacturing the same,0,G03F|H01L
12294038,2025-05-06,Method for manufacturing light emitting device,0,H01L|H10H
12283598,2025-04-22,Display device with metal layer having a slope,0,G02F|G06F|H10D
12277284,2025-04-15,Electronic device,0,G02F|G06F|H10D
12272722,2025-04-08,Method for manufacturing display device,0,H01L|H10H
12271076,2025-04-08,Display device,0,G02F|G06F|G09G|H10K
12266852,2025-04-01,Electronic device,0,G02F|H01L|H01Q|H10D
12266743,2025-04-01,Light-emitting unit,0,H01L|H10H
12266646,2025-04-01,Electronic device,0,H01L|H10F|H10H
12266283,2025-04-01,Display device,0,G06F|G09G
12266277,2025-04-01,Display device,0,G06F|G09F
12262484,2025-03-25,Display device,0,H01L|H05K|H10K
12261255,2025-03-25,Light-emitting modules and electronic devices including the same,0,H01L|H10F|H10H
12260831,2025-03-25,Method for driving electronic device,0,G09G|H04N
12260670,2025-03-25,Electronic structure,0,G06F|G06V
12259750,2025-03-25,Display device,0,G02F|G06F|G09G
12253237,2025-03-18,Light emitting device,0,F21V|G02F|H01L|H10H
12250862,2025-03-11,Electronic device,0,G02B|G02F|H01L|H10H|H10K
12250450,2025-03-11,Method for editing an image,0,G06F|G06T|H04N
12249287,2025-03-11,Electronic device,0,G06F|G09G|H01L|H10D
12247720,2025-03-11,Light emitting device,0,F21V|G02F|H01L|H10H
12243473,2025-03-04,Electronic device,0,G06F|G09F|G09G|H04M|H05K|Y02D|Y02E
12238959,2025-02-25,Rollable display device,0,B32B|G02B|G09F|H01L|H10H|H10K
12238863,2025-02-25,Electronic device and method for forming the same,0,H01L|H05K
