patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432709,2025-09-30,Efficient multiplexing of control information in transport block,0,H04L|H04W
12432705,2025-09-30,Communication apparatuses and communication methods for random access,0,H04W
12432702,2025-09-30,Communication apparatus and communication method for trigger-based uplink multiuser transmission,0,H04L|H04W
12432382,2025-09-30,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T|H04N
12432379,2025-09-30,"Encoding method, decoding method, encoding device, and decoding device",0,G06T|H04N
12432363,2025-09-30,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T|H04N
12432358,2025-09-30,"Three-dimensional data encoding method, three-dimensional data decoding method, three- dimensional data encoding device, and three- dimensional data decoding device",0,G01B|G06T|H04N
12432226,2025-09-30,"Attack analysis device, attack analysis method, and non-transitory computer-readable recording medium",0,G05B|G06F|H04L
12432104,2025-09-30,Communication device and communication method,0,H04L
12432024,2025-09-30,"Base station, terminal, and communication method",0,H04L|H04W
12425663,2025-09-23,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T|H04N
12425662,2025-09-23,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T|H04N
12425591,2025-09-23,"Encoder, decoder, encoding method, decoding method, and recording medium",0,H04N
12425426,2025-09-23,Anomaly detection system and anomaly detection method,0,B60R|G06F|H04L|H04Q|H04W
12424091,2025-09-23,Information processing method and information processing system,0,G05D|G06N|G06Q|G07C|G08G|H04M|H04N|H04Q
12423876,2025-09-23,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T
12418918,2025-09-16,Terminal and communication method,0,H04L|H04W|Y02D
12418683,2025-09-16,"Encoder, decoder, encoding method, and decoding method",0,H04N
12417504,2025-09-16,"Control method, controller, data structure, and power transaction system",0,G06F|G06Q|G07F|H02J|H04L|Y02E|Y04S
12413788,2025-09-09,System and method for video coding,0,H04N
12413781,2025-09-09,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T|H04N
12413773,2025-09-09,"Encoder, decoder, encoding method, and decoding method",0,H04N
12413746,2025-09-09,"Image encoder, image decoder, image encoding method, and image decoding method",0,H04N
12413732,2025-09-09,"Encoder, decoder, and related non-transitory computer readable medium",0,H04N
12413634,2025-09-09,"Encoder, decoder, encoding method, and decoding method",0,H04L|H04N
12412374,2025-09-09,"Data augmentation method, learning device, and recording medium",0,G06F|G06N|G06V
12412084,2025-09-09,"Information processing device, information processing method, and recording medium",0,G06F|G06N|G06V
12408194,2025-09-02,"Base station, terminal, and communication method",0,H04L|H04W
12408181,2025-09-02,Transceiver device and scheduling device,0,H04L|H04W
12408112,2025-09-02,User equipment involved in power saving,0,H04W|Y02D
12407828,2025-09-02,System and method for video coding,0,H04N
12407456,2025-09-02,Communication apparatus and communication method,0,H04B|H04L|H04W
12407411,2025-09-02,"Communication system, terminal, control method, and recording medium",0,H04B|H04N
12404128,2025-09-02,"Paper jam indication detection device, paper jam indication detection method, and recording medium",0,B65H|G01H|H04N|H04R
12401978,2025-08-26,"Base station, terminal, transmission method, and reception method",0,H04L|H04W
12401825,2025-08-26,"Encoder, decoder, encoding method, and decoding method",0,H04N
12401794,2025-08-26,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T|H04N
12400371,2025-08-26,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T|G06V
12395663,2025-08-19,System and method for video coding,0,H04N
12395626,2025-08-19,"Encoder, decoder, encoding method, and decoding method",0,H04N
12395621,2025-08-19,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T|H04N
12395296,2025-08-19,"Transmission device, reception device, transmission method, and reception method for random access communication",0,H04B|H04L|H04W
12389359,2025-08-12,Tracking area code transmission in non-terrestrial networks,0,H04W
12389041,2025-08-12,Encoding and decoding with merge mode and block partition index,0,H04N
12389028,2025-08-12,"Encoder, decoder, encoding method, and decoding method",0,H04N
12389015,2025-08-12,"Encoder, decoder, encoding method, and decoding method",0,H04N
12388592,2025-08-12,"Base station, terminal, and communication method",0,H04L
12388580,2025-08-12,"Base station, terminal, and communication method",0,H04L
12387383,2025-08-12,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T
12382433,2025-08-05,Multiple prose group communication during a sidelink control period,0,H04W
12382378,2025-08-05,User equipment and base station participating in a system information acquisition procedure,0,H04W
12382124,2025-08-05,"Receiving method, receiving device, and transmission and reception system",0,H04N
12382108,2025-08-05,"Encoder, decoder, encoding method, and decoding method using a first partition mode to split a first block into a plurality of second blocks and a second partition mode to split the second block into a plurality of coding units",0,B60K|G02B|G09G|H04N
12381766,2025-08-05,Communication apparatus and transmission method for transmitting a demodulation reference signal,0,H04L|H04W
12380607,2025-08-05,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T
12380453,2025-08-05,"Controlling method, device, and recording medium",0,G06Q
12376146,2025-07-29,User equipment and base station participating in prioritized random access,0,H04W
12376126,2025-07-29,Terminal and communication method,0,H04L|H04W|Y02D
12375733,2025-07-29,System and method for video coding,0,H04N
12375722,2025-07-29,"Encoder, decoder, encoding method, and decoding method",0,H04N
12375720,2025-07-29,"Encoder, decoder, encoding method, and decoding method",0,H04N
12375649,2025-07-29,"Image encoder which determines whether to perform CIIP, image decoder, image encoding method, and image decoding method",0,H04N
12375238,2025-07-29,Transmission device and transmission method,0,H04B|H04L|Y02D
12373832,2025-07-29,"Control method, control device, and recording medium",0,G06F|G06Q
12369223,2025-07-22,Bandwidth part adaptation in downlink communications,0,H04L|H04W|Y02D
12369201,2025-07-22,Terminal and communication method,0,H04W
12369180,2025-07-22,User equipment and wireless communication method,0,H04L|H04W
12369104,2025-07-22,Apparatus system and method for acquisition of on-demand system information,0,H04W|Y02D
12369013,2025-07-22,Control method and relay device for multicasting data,0,H04B|H04W|Y02D
12368876,2025-07-22,"Encoder, decoder, encoding method, and decoding method",0,H04N
12367446,2025-07-22,"Information processing system, delivery management method, wearable device, information processing method, and non-transitory computer readable recording medium storing information processing program",0,G02B|G06F|G06K|G06Q|G06V
12363696,2025-07-15,"Mobile station, base station, transmission method and receiving method",0,H04L|H04W
12363297,2025-07-15,"Encoder, decoder, encoding method, and decoding method",0,H04N
12363287,2025-07-15,"Image encoder which determines whether to perform CIIP, image decoder, image encoding method, and image decoding method",0,H04N
12363286,2025-07-15,"Image encoder which determines whether to perform CIIP, image decoder, image encoding method, and image decoding method",0,H04N
12361599,2025-07-15,"Three-dimensional data encoding method, three-dimensional data decoding method, three-dimensional data encoding device, and three-dimensional data decoding device",0,G06T
12360380,2025-07-15,"Wearable device, information processing method, and non-transitory computer readable recording medium storing information processing program",0,G02B|G06Q|G06T|G06V
12356480,2025-07-08,Communication apparatus and communication method for multi-link setup and link maintenance,0,H04B|H04W
12356424,2025-07-08,Terminal and communication method,0,H04L|H04W
12356408,2025-07-08,Terminal and communication method,0,H04L|H04W
