patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12026885,2024-07-02,Method and system for automated segmentation of biological object parts in MRI,0,G06T
11995832,2024-05-28,Method and system for characterizing an impact of brain lesions on brain connectivity using MRI,0,G06T
11969222,2024-04-30,Actuating an x-ray device and medical system,0,A61B|G06F|G06V
11941765,2024-03-26,Representation apparatus for displaying a graphical representation of an augmented reality,0,A61B|G02B|G06F|G06T|G16H
11899647,2024-02-13,Documenting timestamps within a blockchain,0,G06F|H04L
11899087,2024-02-13,"Computer-implemented method for evaluating magnetic resonance data, magnetic resonance device, computer program, and electronically readable data medium",0,G01R|G06T
11887704,2024-01-30,Providing and receiving medical data records,0,G06F|G06Q|G16H|H04L
11883108,2024-01-30,Method for deformation simulation and apparatus,0,A61B|A61F|G06F|G06T|G16H
11880914,2024-01-23,Reconstruction of MR images by means of wave-CAIPI,0,G01R|G06T
11877879,2024-01-23,Synthetic mammogram with imprinted image impression,0,A61B|G06T
11869154,2024-01-09,"Method and system for visualising a spatial surface curvature of a 3D-object, computer program product, and computer-readable storage medium",0,A61B|G06T
11869122,2024-01-09,Method for generating an image,0,G06T
11868767,2024-01-09,"Computer-implemented runtime system, healthcare network, method and computer program",0,G06F|G16H|H04L
11867781,2024-01-09,"Method for evaluating a pilot tone signal in a magnetic resonance facility, magnetic resonance facility, computer program and electronically readable data medium",0,G01R|G06F
11861835,2024-01-02,Automatic hemorrhage expansion detection from head CT images,0,G06T
11861828,2024-01-02,Automated estimation of midline shift in brain ct images,1,G06T
11861827,2024-01-02,Techniques for automatically characterizing liver tissue of a patient,0,A61B|G01R|G06N|G06T|G16H
11861764,2024-01-02,3D depth reconstruction of vessels in 2D medical images,0,A61B|G06N|G06T|G16H
11861500,2024-01-02,Meta-learning system,1,G06F|G06N
11857354,2024-01-02,Angiographic examination method for a vascular system,0,A61B|G06T
11854189,2023-12-26,Dental overview map compilation,1,A61B|G01R|G06T
11854158,2023-12-26,Medical image enhancement,0,G06N|G06T|G16H
11854125,2023-12-26,Method and apparatus for providing an artifact-reduced x-ray image dataset,0,G06T
11850086,2023-12-26,Method and control facility for controlling a medical imaging system,0,A61B|G06F|G16H
11850023,2023-12-26,Determining an outer contour during MR imaging,0,A61B|A61N|G01R|G06T
11847783,2023-12-19,Providing a mask image,0,G06T
11847779,2023-12-19,Clinical decision support for cardiovascular disease based on a plurality of medical assessments,0,A61B|G06T|G16H
11837362,2023-12-05,"Method for providing at least one image dataset, storage medium, computer program product, data server, imaging de-vice and telemedicine system",0,G16H|H04L|H04N
