patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12433007,2025-09-30,Transistor gate trench engineering to decrease capacitance and resistance,0,H01L|H10D
12432979,2025-09-30,Gate dielectric for thin film oxide transistors,0,H01L|H10D
12432964,2025-09-30,Co-integrated gallium nitride (GaN) and complementary metal oxide semiconductor (CMOS) integrated circuit technology,0,H01L|H10D
12432897,2025-09-30,Cooling approaches for stitched dies,0,G11C|H01L|H10B
12432737,2025-09-30,Transmission scheme for physical uplink control channel,0,H04J|H04L|H04W
12432594,2025-09-30,Inter-cell beam management for 5G systems,0,H04B|H04J|H04L|H04W
12432347,2025-09-30,Method and system of video coding with reinforcement learning render-aware bitrate control,0,G06N|H04N
12432208,2025-09-30,Optimized data-over-cable service interface specifications filter processing for batches of data packets using a single access control list lookup,0,H04L
12432187,2025-09-30,Secure stream protocol for serial interconnect,0,G06F|H04L
12432111,2025-09-30,"Systems, apparatus, and methods for data resiliency in an edge network environment",0,H04L
12432105,2025-09-30,PAPR reduction for correlated CDM groups,0,H04B|H04L
12431441,2025-09-30,Interlayer dielectric stack optimization for wafer bow reduction,0,H01L
12431430,2025-09-30,Technologies for high throughput additive manufacturing for integrated circuit components,0,H01L
12431424,2025-09-30,Buried power rails integrated with decoupling capacitance,0,H01L|H10D
12430838,2025-09-30,Read sampler feedback technology,0,G06T
12430804,2025-09-30,Memory allocation technologies for data compression and de-compression,0,G06T|H03M|H04N
12430704,2025-09-30,Level of detail via numerically stable eigenvalue technology,0,G06T
12430473,2025-09-30,Method and apparatus for trust domain creation and destruction,0,G06F|H04L
12430443,2025-09-30,Computational storage in a function-as-a-service architecture,0,G06F|G06N|G06Q|H04L
12430283,2025-09-30,"Methods, systems, and apparatus to reconfigure a computer",0,G06F
12430263,2025-09-30,Translation lookaside buffer to implement adapative page size,0,G06F
12430239,2025-09-30,Methods and apparatus for sparse tensor storage for neural network accelerators,0,G06F|G06N|H03M|Y02D
12430204,2025-09-30,End-to-end data protection for compute in memory (CIM)/compute near memory (CNM),0,G06F
12430203,2025-09-30,Method and system for error check and scrub error data collection and reporting for a memory device,0,G06F
12430172,2025-09-30,Resource management controller,0,G06F
12430162,2025-09-30,User-level interprocessor interrupts,0,G06F
12430154,2025-09-30,"Apparatus, device, method and computer program for an integrated development environment",0,G06F
12430140,2025-09-30,Per-lane power management of bus interconnects,0,G06F|Y02D
12430135,2025-09-30,"Device, method, and system to facilitate improved bandwidth of a branch prediction unit",0,G06F
12430131,2025-09-30,Compute optimizations for neural networks,0,G06F|G06N|G06T
12430128,2025-09-30,Sharing register file usage between fused processing resources,0,G06F|G06N
12430125,2025-09-30,Implementation of object versioning and consistency at scale,0,G06F
12430070,2025-09-30,Storage class memory device including a network,0,G06F
12430060,2025-09-30,Methods and apparatus to adapt memory channel usage on a per-user basis,0,G06F|Y02D
12430057,2025-09-30,Dynamic multilevel memory system,0,G06F
12429937,2025-09-30,"Apparatus, system and method of providing a power setting for a processor",0,G06F
12429927,2025-09-30,Camera cover with multiple integrated lenses,0,G03B|G06F|H04N
12426360,2025-09-23,Wrap-around trench contact structure and methods of fabrication,0,H01L|H10D
12426316,2025-09-23,Method of fabricating integrated circuits with fin trim plug structures having an oxidation catalyst layer surrounded by a recessed dielectric material,0,H01L|H10D
12426153,2025-09-23,Twisted differential compensation for routing high-speed signals near power delivery inductors and system miniaturization,0,G06F|H05K
12426048,2025-09-23,Ultra-low latency data transmission in WLANs,0,H04W
12425979,2025-09-23,Methods and devices of transmit power control for multiple transceivers in a single device or in a multiple device scenario,0,H04W
12425914,2025-09-23,Technologies for control and management of multiple traffic steering services,0,H04L|H04W
12425824,2025-09-23,Methods and arrangements for a visual interface profile,0,H04L|H04W
12425678,2025-09-23,Low latency communication path for audio/visual (A/V) applications,0,G06F|G06T|H04N
12425559,2025-09-23,Online compensation of thermal distortions in a stereo depth camera,0,G06F|G06T|H04N
12425554,2025-09-23,Adaptive resolution of point cloud and viewpoint prediction for video streaming in computing environments,0,G06F|G06N|H04N
12425551,2025-09-23,Enhanced occupant collision safety system,0,B60R|G06F|G06V|H04N
12425459,2025-09-23,"Apparatus, system and method of bluetooth role switch",0,G06F|H04L|H04W
12425380,2025-09-23,Secure key management for service mesh deployments,0,G06F|H04L|H04W
12425353,2025-09-23,Power-conscious input/output (I/O) buffer allocation,0,H04L
12425340,2025-09-23,Single lookup entry for symmetric flows,0,H04L
12425293,2025-09-23,Self-healing network of infrastructure processing units,0,G06F|H04L
12425267,2025-09-23,5G time sensitive networking bridge configuration,0,H04L|H04W
12425150,2025-09-23,Ultra-low latency PHY/MAC design for IEEE 802.11,0,H04L|H04W
12425146,2025-09-23,UL MU OFDMA trigger based peer-to-peer operation with UL MU MIMO,0,H04B|H04L|H04W
12425131,2025-09-23,Method and apparatus used in WLANs,0,H04L|H04W
12425047,2025-09-23,Methods and apparatus to perform weight and activation compression and decompression,0,G06F|G06N|H03M
12424719,2025-09-23,Compact surface transmission line waveguides with vertical ground planes,0,H01L|H01P
12424716,2025-09-23,RF filters and multiplexers manufactured in the core of a package substrate using glass core technology,0,H01L|H01P|H05K
12424589,2025-09-23,Contiguous shield structures in microelectronic assemblies having hybrid bonding,0,H01L
12424563,2025-09-23,Disaggregated entropy services for microelectronic assemblies,0,H01L|H04L
12424543,2025-09-23,Selective interconnects in back-end-of-line metallization stacks of integrated circuitry,0,H01L|H10N
12424513,2025-09-23,Technologies for isolated heat dissipating devices,0,G06F|H01L
