patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430486,2025-09-30,Combined global and local process variation modeling,0,G06F
12430043,2025-09-30,Memory protection unit with secure delegation,0,G06F
12423491,2025-09-23,Identifying association of safety related ports to their safety mechanisms through structural analysis,0,G06F
12417336,2025-09-16,Modifying a current circuit design using data from one or more previous circuit designs identified as being similar to the current circuit design,0,G06F
12417164,2025-09-16,Adaptive hardware tracing,0,G06F
12413454,2025-09-09,Decision feedback equalizer with feedforward finite impulse response filter,0,H04B|H04L
12413383,2025-09-09,Low-power multi-variable feedback control loop,0,H04L
12408563,2025-09-02,Superconducting anti-fuse based field programmable gate array,0,H01L|H10N
12406456,2025-09-02,Statistical shape and appearance modeling for volumetric geometry and intensity data,0,G06T|G06V
12406128,2025-09-02,Automation for functional safety diagnostic coverage,0,G06F
12406127,2025-09-02,Static timing analysis of multi-die three-dimensional integrated circuits,0,G06F
12406122,2025-09-02,Modifying scan patterns to enable broadcasting a scan enable signal to multiple circuit blocks,0,G06F|H03K
12406120,2025-09-02,Multicycle path prediction of reset signals,0,G06F
12406117,2025-09-02,Generating and utilizing manufacturable netlists of three-dimensional integrated circuits,0,G06F
12400064,2025-08-26,"Routing of high-speed, high-throughput interconnects in integrated circuits",0,G06F
12400062,2025-08-26,Selection and placement of safety mechanisms,0,G06F
12399219,2025-08-26,Constrained random simulation using machine learning and Bayesian estimation,0,G01R|G06N
12393754,2025-08-19,Generating a reduced block model view on-the-fly,0,G06F
12387025,2025-08-12,Aggregating multiple component metrics into a single reward function,0,G06F
12387011,2025-08-12,Secured computer memory,0,G06F
12380015,2025-08-05,Predicting tests based on change-list descriptions,0,G06F|G06N
12373628,2025-07-29,"Virtual isolated pattern layer: isolated pattern recognition, extraction and compression",0,G06F
12368100,2025-07-22,"Interconnects, inductors, transformers, and power architectures for circuits",0,H01L|H10D
12367334,2025-07-22,Runtime and memory efficient attribute query handling for distributed engine,0,G06F
12361509,2025-07-15,Semiconductor process simulation on graphics processing unit (GPU) with multi-level data structure,0,G06T
12361194,2025-07-15,Dynamic clock tree planning using feedtiming cost,0,G06F
12353813,2025-07-08,Accounting for steady state noise in bit response superposition based eye diagram simulation,0,G06F
12353810,2025-07-08,Unified power format annotated RTL image recognition to accelerate low power verification convergence,0,G06F
12353809,2025-07-08,Transformations for multicycle path prediction of clock signals,0,G06F
12353570,2025-07-08,Side-channel resilient public key cryptography,0,G06F
12353426,2025-07-08,Assigning device,0,G06F|G09C|H04L
12353307,2025-07-08,Random instruction-side stressing in post-silicon validation,0,G01R|G06F|H01L
12348344,2025-07-01,Configurable transmitter architecture for supporting multiple data rates,0,H04L
12347522,2025-07-01,On-chip automation of clock-to-Q access time measurement of a memory device,0,G06F|G11C
12340157,2025-06-24,Non-functional loopback-paths removal from IO-pads using logic replication,0,G06F
12340155,2025-06-24,Detecting instability in combinational loops in electronic circuit designs,0,G06F
12333227,2025-06-17,Machine-learning-based design-for-test (DFT) recommendation system for improving automatic test pattern generation (ATPG) quality of results (QoR),0,G01R|G06F
12332301,2025-06-17,Measuring device defect sensitization in transistor-level circuits,0,G01R|G06F
12321675,2025-06-03,Incremental compilation for FPGA-based systems,0,G06F
12314572,2025-05-27,Conflict detection and address arbitration for routing scatter and gather transactions for a memory bank,0,G06F|G11C
12314350,2025-05-27,Pay-per-use metering service for electronic design automation workloads in the cloud,0,G06F
12307187,2025-05-20,Circuit design having an improved clock tree,0,G06F
12307179,2025-05-20,"Detecting simulation, emulation and prototyping issues using static analysis tools",0,G06F
12307178,2025-05-20,Structural analysis for determining fault types in safety related logic,0,G06F
12306732,2025-05-20,Trace buffer data management for emulation systems,0,G06F
12300493,2025-05-13,Isolating ion implantation of silicon channels for integrated circuit layout,0,H01L|H10D
12299448,2025-05-13,Store instruction merging with pattern detection,0,G06F
12299357,2025-05-13,Method for automated topology recognition and functional annotation of analog/mixed-signal circuits,0,G06F
12298841,2025-05-13,Failure prediction of field-deployed mission critical integrated circuit chips using artificial intelligence,0,G06F|G06N
12293279,2025-05-06,Neural network based mask synthesis for integrated circuits,0,G03F|G06F|G06N
12293139,2025-05-06,Partitioning a circuit for distributed balanced independent simulation jobs with upper-bounded memory,0,G06F
12292832,2025-05-06,Memory coherence protocol for communicating data associated with a shared state between processor cores,0,G06F
12288020,2025-04-29,Integrated circuit design and layout with multiple interpreters,0,G06F
12277374,2025-04-15,Synthesis placement bounds based on physical timing analysis,0,G06F|G06N
12277372,2025-04-15,Multi-cycle test generation and source-based simulation,0,G01R|G06F
12277200,2025-04-15,Fail-safe software access licensing control on a per project basis without a priori knowledge of project details,0,G06F
12277055,2025-04-15,Address mapping for a memory system,0,G06F
12271668,2025-04-08,Finding equivalent classes of hard defects in stacked MOSFET arrays,0,G06F
12265779,2025-04-01,Clock aware simulation vector processor,0,G06F
12265325,2025-04-01,Inverse lithography and machine learning for mask synthesis,0,G03F|G06F|G06N
