patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432850,2025-09-30,Light-emitting module with spacer,0,H01L|H05K|H10H
12410900,2025-09-09,Light-emitting module,0,F21S|H01L|H10H
12396304,2025-08-19,Light emitting apparatus and method for producing the same,0,H01L|H10H
12396303,2025-08-19,Light-emitting device and method for manufacturing the same,0,H01L|H10H
12396302,2025-08-19,Light-emitting device,0,H01L|H10H
12374654,2025-07-29,Device manufacturing method and light emitting device,0,H01L|H10H
12374589,2025-07-29,Method for manufacturing light-emitting device,0,H01L|H10H
12369441,2025-07-22,Method of manufacturing wavelength converting member and method of manufacturing light emitting device,0,H01L|H10H
12366354,2025-07-22,Light source device,0,F21K|F21V|F21Y|G02B|H04N
12356771,2025-07-08,Light-emitting device and display device,0,H01L|H10H
12352426,2025-07-08,Light source device,0,F21V|F21Y|G02B|H01L|H10H
12352409,2025-07-08,Light source device,0,F21L|F21S|F21V|F21Y|G03B|H04N|H05B
12349525,2025-07-01,Light emitting module and method for manufacturing light emitting module,0,H01L|H10H
12342666,2025-06-24,Light-emitting device,0,H01L|H10H
12342658,2025-06-24,Method for manufacturing light-emitting element,0,H01L|H10H
12336351,2025-06-17,"Method of manufacturing light-emitting device, and light-emitting device",0,H01L|H10H
12336347,2025-06-17,Light emitting device,0,H01L|H10H
12324283,2025-06-03,Light emitting device package having lead electrode with varying height,0,H01L|H10H
12317663,2025-05-27,Method of manufacturing light emitting device and light emitting device,0,H01L|H10H
12317661,2025-05-27,Light emitting module manufacturing method including covering lateral faces of light emitting elements with resin,0,H01L|H10H
12310152,2025-05-20,"Light emitting element including substrate, emission parts, insulation layer, and electrodes",0,H01L|H10H
12310145,2025-05-20,Image display device manufacturing method and image display device,0,G09F|H01L|H10H
12308604,2025-05-20,Light emitting device,0,H01L|H01S|H10H
12308361,2025-05-20,Light-emitting device,0,H01L|H01S|H10H
12306496,2025-05-20,Light-emitting device,0,G02F|H01L|H10H
12300547,2025-05-13,Method of manufacturing semiconductor element and semiconductor element,0,B23K|H01L
12295190,2025-05-06,Light-emitting device and method of manufacturing the light-emitting device,0,H01L|H10H
12295189,2025-05-06,Light-emitting device,0,H01L|H10H
12274104,2025-04-08,Light emitting device,0,H01L|H10H
12272773,2025-04-08,Light emitting device and method of manufacturing light emitting device,0,H01L|H10H
12266645,2025-04-01,Method for manufacturing image display device and image display device,0,H01L|H10H
12264791,2025-04-01,Light-emitting device,0,F21K|F21S|F21Y|H01L|H10H
12261090,2025-03-25,"Composite substrate and method of producing the composite substrate, and semiconductor device comprising the composite substrate",0,B22D|C04B|H01L
12255276,2025-03-18,Method for manufacturing image display device and image display device,0,G09F|H01L|H10H
12249678,2025-03-11,Light-emitting module and lens,0,F21V|F21Y|G02B|G03B|H01L|H10H
12249628,2025-03-11,Method of forming p-type nitride semiconductor layer,0,H01L|H10D|H10H
12243960,2025-03-04,Light source device including light emission units having light emission faces of different surface areas,0,H01L|H10H
12243796,2025-03-04,Method for manufacturing semiconductor device with submount including groove on surface of submount having heat dissipation portion,0,H01L
12241611,2025-03-04,Lighting apparatus,0,B60Q|C09K|F21S|F21V|F21W|H01L|H10H
12237450,2025-02-25,"Metallic structure for optical semiconductor device, method for producing the same, and optical semiconductor device using the same",0,H01L|H10H
12233481,2025-02-25,"Laser processing device, and method for manufacturing chip",0,B23K|H01L
12224387,2025-02-11,Light emitting device,0,H01L|H10H
12224273,2025-02-11,Image display device manufacturing method and image display device,0,G09F|H01L|H10H
12218294,2025-02-04,Light source device,0,F21S|G03B|H01L|H10H
12218271,2025-02-04,Light emitting element,0,H01L|H10H
12215857,2025-02-04,Light emitting device,0,F21S|F21V|F21Y|H01L|H01S|H10H
12211959,2025-01-28,"Light emitting device, resin package, resin-molded body, and methods for manufacturing light emitting device, resin package and resin-molded body",0,B29C|H01L|H10H
12211883,2025-01-28,Method for manufacturing image display device and image display device,0,H01L|H10H
12206052,2025-01-21,Light-emitting device and planar light source that utilizes multiple wavelength conversion layers,0,H01L|H10H
12183861,2024-12-31,Light-emitting device,0,F21S|H01L|H10H
12183772,2024-12-31,Light emitting device,0,H01L|H10H
12176457,2024-12-24,Light emitting device including covering member and external connection electrodes,0,H01L|H10H
12169058,2024-12-17,Light-emitting module and planar light source having the same,0,F21V|F21Y|H01L|H05B|H10H
12159889,2024-12-03,Light-emitting device and manufacturing method for light-emitting device,0,G03B|H01L|H10F|H10H
12158256,2024-12-03,Light-emitting device including movement mechanism,0,F21V|G02B|G03B|H04N
12152769,2024-11-26,Light source device,0,F21K|F21V|F21Y|G02B|H04N
12148865,2024-11-19,Light emitting device,0,H01L|H01S|H10H
12147117,2024-11-19,Light-emitting device including polarized light control member,0,G02F|H01L|H10H
12142892,2024-11-12,Semiconductor laser device,0,H01L|H01S
12142715,2024-11-12,Light-emitting device,0,H01L|H10H
12132157,2024-10-29,Light emitting module and liquid crystal display device,0,G02F|H01L|H10H
12132145,2024-10-29,Method of manufacturing nitride semiconductor light-emitting element,0,C30B|H01L|H10H
12119434,2024-10-15,Light emitting device including first reflecting layer and second reflecting layer,0,H01L|H10H
12117691,2024-10-15,Method of producing light-emitting device and planar light source,0,G02F|H01L
12117162,2024-10-15,Light emitting device,0,B29D|B29K|F21V|G02B|H01L|H10H
12113149,2024-10-08,"Light source device including light source, liquid crystal shutter, and lens",0,H01L|H10H
12107384,2024-10-01,Light emitting device,0,H01L|H01S|H10H
12100790,2024-09-24,Method of manufacturing light emitting device,0,G02B|H01L|H10H
12095017,2024-09-17,Light emitting device including flexible substrate,0,H01L|H10H
12087895,2024-09-10,Image display device manufacturing method and image display device,0,G09F|H01L|H10H
12087890,2024-09-10,Light emitting device including shaped bonding member for attaching light transmissive member to light emitting element,0,H01L|H10H
12084609,2024-09-10,Light emitting device,0,C09K|F21K|F21V|F21Y|G02B|G02F|H01L|H05B|H10H
12080835,2024-09-03,Light emitting device and method of manufacturing light emitting device,0,H01L|H10D|H10H
12080695,2024-09-03,Method for manufacturing light emitting devices,0,H01L|H10D|H10H
12074262,2024-08-27,Light-emitting device,0,H01L|H10H
12068440,2024-08-20,Image display device and method for manufacturing image display device,0,G09G|H01L|H10F|H10H
12068427,2024-08-20,Light emitting device,1,H01L|H01S|H10F|H10H
12066180,2024-08-20,Light source device and lens structure,0,F21V|F21Y|G02B|H01L|H10H
12060987,2024-08-13,Light-emitting module with detection unit,0,F21V|F21Y|G03B|H01L|H05B
12051771,2024-07-30,Light emitting device and method of manufacturing light emitting device,0,H01L|H10H
12050338,2024-07-30,Light emitting module and method of manufacturing same,0,G02B|H01L|H10H
12046705,2024-07-23,Method of manufacturing light source device having a bonding layer with bumps and a bonding member,0,H01L|H10H
12034102,2024-07-09,LED light source and method of manufacturing the same,0,G02B|G02F|H01L|H10H
12027655,2024-07-02,Light emitting device and manufacturing method for light emitting device,0,H01L|H10H
12027501,2024-07-02,Surface light source and method of manufacturing surface light source,0,H01L|H10H
12013089,2024-06-18,Light-emitting device,0,F21K|F21S|F21Y|H01L|H10H
12002917,2024-06-04,Light-emitting device,0,H01L|H10H
12002909,2024-06-04,Surface-mounted multi-colored light emitting device,0,H01L|H10H
12002907,2024-06-04,Light emitting module and method for manufacturing same,0,F21S|F21V|H01L|H05K|H10H
12002902,2024-06-04,"Light emitting device, and method for manufacturing thereof",0,H01L|H10H
11996504,2024-05-28,Light-emitting device and method of manufacturing the same,0,H01L|H10H
11990728,2024-05-21,Light emitting device,0,F21K|H01L|H01S|H10H
11990573,2024-05-21,Method of manufacturing light emitting device having hollow particles,0,H01L|H10H
11990560,2024-05-21,"Method of manufacturing light-emitting device, light-emitting device, and light source device",0,H01L|H10H
11988375,2024-05-21,"Light source unit, light source module, and lighting device",0,F21V|F21W|F21Y|H01L|H10H
11984437,2024-05-14,Light-emitting device,1,H01L|H01S|H10H
11982902,2024-05-14,Light-emitting device including polarized light control member,0,G02F|H01L|H10H
11978822,2024-05-07,Method of manufacturing light-emitting device including phosphor pieces,0,H01L|H10H
11978725,2024-05-07,"Light-emitting device, integrated light-emitting device, and light-emitting module",0,F21V|F21Y|G02F|H01L|H10H
11973171,2024-04-30,Light-emitting device and surface-emitting light source,0,F21V|G02B|G02F|H01L|H10H
11973165,2024-04-30,Method of manufacturing light emitting device,0,H01L|H10H
11967606,2024-04-23,Light-emitting device,0,H01L|H10H
11955466,2024-04-09,Light emitting device,0,H01L|H10H
11949209,2024-04-02,Semiconductor device and method of manufacturing the semiconductor device,0,B23K|B41M|H01L|H01S
11948925,2024-04-02,Light emitting device and method of producing light emitting device,0,H01L|H10H
11942582,2024-03-26,Light-emitting module and method of manufacturing the same,0,H01L|H10H
11942579,2024-03-26,Light emitting device and adaptive driving beam headlamp,0,F21S|F21Y|H01L|H10H
11935991,2024-03-19,Light emitting device including electronic components and pin holes,0,H01L|H05B|H10H|Y02B
11935806,2024-03-19,Semiconductor device and method for manufacturing semiconductor device,1,H01L
11929454,2024-03-12,Light emitting device including electronic components and pin holes,0,H01L|H05B|H10H|Y02B
11929387,2024-03-12,Light emission device,0,H01L|H10H
