patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431416,2025-09-30,Chip package with integrated current control,0,H01L
12430275,2025-09-30,Methods to extend NoC interconnect across multiple dice in 3D,0,G06F
12425974,2025-09-23,Power and temperature driven bandwidth throttling using delay insertion,0,G06F|H04W
12424580,2025-09-23,Chip package with integrated off-die inductor,0,H01L
12413394,2025-09-09,Key management system,0,G06F|H04L
12412109,2025-09-09,Machine learning deployment platform,0,G06N
12411789,2025-09-09,Data bus width configurable interconnection circuitry,0,G06F
12411785,2025-09-09,Direct memory access system with read reassembly circuit,0,G06F
12411780,2025-09-09,Variable buffer size descriptor fetching for a multi-queue direct memory access system,0,G06F
12407652,2025-09-02,Firewalling communication ports in a multi-port system,0,G06F|H04L
12406121,2025-09-02,3D integrated circuit with enhanced debugging capability,0,G01R|G06F|H01L
12393480,2025-08-19,Reclamation of memory ECC bits for error tolerant number formats,0,G06F
12388802,2025-08-12,Secure shell and role isolation for multi-tenant compute,0,G06F|H04L
12386723,2025-08-12,High-speed offloading of trace data from an integrated circuit,0,G06F
12375380,2025-07-29,Host polling of a network adapter,0,G06F|H04L
12373371,2025-07-29,Self-reliant SmartNICs,0,G06F
12373360,2025-07-29,Integrated circuit transaction redundancy,0,G06F
12373353,2025-07-29,Systems and methods for decentralized address translation,0,G06F
12373168,2025-07-29,Pre-carry data processing apparatus and method,0,G06F|H03M|H04N
12367145,2025-07-22,Remote acceleration for data dependent address calculation,0,G06F
12361808,2025-07-15,Tamper sensor for 3-dimensional die stack,0,G08B|G11C|H01L|H10B
12354978,2025-07-08,Coupled loop and void structure integrated in a redistribution layer of a chip package,0,H01L
12346585,2025-07-01,Memory controller to perform in-line data processing and efficiently organize data and associated metadata in memory,0,G06F
12346226,2025-07-01,System and method for SEU detection and correction,0,G06F
12340154,2025-06-24,Latency balancing of paths in multi-processor computing architecture designs for deadlock avoidance,0,G06F
12332801,2025-06-17,Descriptor cache eviction for multi-queue direct memory access,0,G06F
12327077,2025-06-10,Deadlock detection and prevention for routing packet-switched nets in electronic systems,0,G06F
12315781,2025-05-27,Heat spreader for a semiconductor package,0,H01L
12314863,2025-05-27,Determining quantization scale factors for layers of a machine learning model,0,G06N
12314735,2025-05-27,Data processing array event trace and profiling using processor system executed kernels,0,G06F
12307217,2025-05-20,Dynamic adjustment of floating point exponent bias for exponent compression,0,G06F|H03M
12298887,2025-05-13,"Data processing array event trace customization, offload, and analysis",0,G06F
12273668,2025-04-08,Multi-die non-blocking crossbar switch,0,G06F|H03K|H04Q
12273106,2025-04-08,Clocking architecture for communicating synchronous and asynchronous clock signals over a communication interface,0,G06F|H03K
12271818,2025-04-08,Implementation-tuned architecture for neural network processing in a learned transform domain,0,G06N
12271670,2025-04-08,Testbench for sub-design verification,0,G06F
12271332,2025-04-08,Redundancy scheme for activating circuitry on a base die of a 3D stacked device,0,G06F|H01L|H10B
12261603,2025-03-25,Adaptive integrated programmable device platform,0,G06F|H03K
12259833,2025-03-25,Descriptor fetching for a multi-queue direct memory access system,0,G06F
12254253,2025-03-18,Resource estimation for implementing circuit designs within an integrated circuit,0,G06F|G06Q
12248786,2025-03-11,Instruction set architecture for data processing array control,0,G06F
12248761,2025-03-11,Deterministic reset mechanism for asynchronous gearbox FIFOs for predictable latency,0,G06F
12244518,2025-03-04,Network-on-chip architecture for handling different data sizes,0,G06F|H04L
12237287,2025-02-25,Chip bump interface compatible with different orientations and types of devices,0,G11C|H01L
12235950,2025-02-25,Hierarchical hardware-software partitioning and configuration,0,G06F
12235782,2025-02-25,NoC routing in a multi-chip device,0,G06F
12235671,2025-02-25,Adding soft logic to flush a pipeline and reduce current ramp,0,G06F
12231532,2025-02-18,Scalable tweak engines and prefetched tweak values for encyrption engines,0,G06F|H04L
12224954,2025-02-11,Network interface device,0,G06F|G06N|H04L
12223355,2025-02-11,Synchronization of system resources in a multi-socket data processing system,0,G06F
12204940,2025-01-21,Transparent and remote kernel execution in a heterogeneous computing system,0,G06F
12200087,2025-01-14,Dynamic data conversion for network computer systems,0,G06F|H03M|H04L
12190077,2025-01-07,Method and apparatus for eliminating inter-link skew in high-speed serial data communications,0,G06F|H04L
12183311,2024-12-31,Clock recovery circuit,0,G09G|H04N
12182552,2024-12-31,Splitting vector processing loops with an unknown trip count,0,G06F
12175622,2024-12-24,Smart cache implementation for image warping,0,G06T
12164451,2024-12-10,Data processing array interface having interface tiles with multiple direct memory access circuits,0,G06F
12159212,2024-12-03,Shared depthwise convolution,0,G06F|G06N|G06V
12159057,2024-12-03,Implementing data flows of an application across a memory hierarchy of a data processing array,0,G06F
12149348,2024-11-19,Fast clock domain crossing architecture for high frequency trading (HFT),0,G06Q|H04L
12147379,2024-11-19,Scalable acceleration of reentrant compute operations,0,G06F
12147369,2024-11-19,Spatial distribution in a 3D data processing unit,0,G06F|H04L
12136613,2024-11-05,Chip package with near-die integrated passive device,0,H01L
