patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432809,2025-09-30,"Data transmission method and apparatus, and storage medium",0,H04W
12432808,2025-09-30,"Request information sending method and device, and request information receiving method and device",0,H04W
12432775,2025-09-30,"Communication method, apparatus, and device, and readable storage medium",0,H04L|H04W
12432741,2025-09-30,"Resource allocation method, resource allocation apparatus and storage medium",0,H04B|H04W
12432718,2025-09-30,"Method for allocating time domain resources, data transmission method, base station, and terminal",0,H04L|H04W
12432669,2025-09-30,"Method for controlling electronic device, electronic device and readable storage medium",0,H04W|Y02D
12432658,2025-09-30,"Information processing method and apparatus based on DCP in DRX short cycle mode, and communication device and storage medium",0,H04W|Y02D
12432647,2025-09-30,"Methods for access control, and communication device",0,H04W
12432634,2025-09-30,"Signal measurement method and apparatus, and communication device and storage medium",0,H04W|Y02D
12432566,2025-09-30,Ranging method,0,G01S|G06F|G07C|H04L|H04W|Y02D
12432541,2025-09-30,"Information transmission method and apparatus, communication device, and storage medium",0,H04W
12432279,2025-09-30,"Method, apparatus, storage medium, and electronic device for controlling IoT device",0,H04L|H04W|Y02P
12432028,2025-09-30,"Positioning method, communication device, and storage medium",0,H04L|H04W
12431941,2025-09-30,Transmission configuration method and apparatus for multiple transmission and reception points (TRPs),0,H04B|H04L
12430808,2025-09-30,Method and apparatus of quantizing spherical coordinates used for encoding/decoding point cloud geometry data,0,G01S|G06T|H04N
12426119,2025-09-23,Method for communication processing,0,H04B|H04W
12426109,2025-09-23,Communication method and apparatus,0,H04B|H04W
12426064,2025-09-23,"Method for information transmission, communication device and storage medium",0,H04W
12426023,2025-09-23,"BWP switching method and device, and storage medium",0,H04L|H04W
12425988,2025-09-23,"Processing capability request, processing capability sending, and processing capability receiving methods and apparatuses",0,H04L|H04W
12425874,2025-09-23,Data transmission method and appartatus and storage medium,0,H04B|H04L|H04W
12425848,2025-09-23,"Management frame transmission method, apparatus and storage medium",0,H04L|H04W
12425832,2025-09-23,Method and apparatus for transmitting information,0,H04W
12425561,2025-09-23,Photographing method and device,0,H04N
12425396,2025-09-23,"Biometric feature verification method and apparatus, electronic device, and storage medium",0,H04L
12425272,2025-09-23,"Channel estimation method and apparatus, communication device, and storage medium",0,H04L
12425132,2025-09-23,"Multi-TB interleaving transmission processing method and apparatus, communication device and storage medium",0,H04B|H04L|H04W|Y02D
12425129,2025-09-23,"Information transmission method and apparatus, and communication device",0,H04L
12425083,2025-09-23,"Beam management method, beam management device and storage medium",0,G01S|H04B|H04W|Y02D
