patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432589,2025-09-30,Increasing utilization of UEs used in testing a wireless telecommunication network,0,H04W
12432564,2025-09-30,Cybersecurity system for outbound roaming in a wireless telecommunications network,0,H04W
12432527,2025-09-30,Indoor localization based on acceleration events,0,H04W
12432006,2025-09-30,Dynamic OFDMA type selection,0,H04L|H04W
12431004,2025-09-30,Using unique identifiers to limit duplicate alert messages communicated over a telecommunications network,0,G08B|H04L|H04W
12430209,2025-09-30,Fail-open operation for data repository indices,0,G06F|H04W
12425461,2025-09-23,Enabling a first mobile device associated with a wireless telecommunication network to receive assistance from a second mobile device in a shared web page,0,H04L|H04W
12425354,2025-09-23,Dynamic resource management in a resource system,0,H04L|H04M
12424102,2025-09-23,Network assisted platooning for self driving vehicles,0,B60W|B64U|G05D|G08G|H04B|H04L|H04W
12422558,2025-09-23,Wireless handheld mobile device configured for location visualization of internet-of-things device,0,G01S|G06N|H04W
12418909,2025-09-16,Uplink and downlink prescheduling in fixed wireless access networks,0,H04W
12418850,2025-09-16,Disabling roaming in overlapping coverage areas of wireless telecommunications networks,0,H04W
12418836,2025-09-16,Recommending a threshold for a data usage type associated with a mobile device operating on a wireless telecommunication network,0,H04L|H04M|H04W
12418824,2025-09-16,Best effort service using a non-guaranteed bit rate (non-GBR) bearer,0,H04L|H04M|H04W
12418798,2025-09-16,Radio exposure function for telecommunications networks,0,G06N|H04W
12418577,2025-09-16,"Data disruption tracking for wireless networks, such as IMS networks",0,H04B|H04L
12413545,2025-09-09,Determining whether an incoming communication is a spam or valid communication,0,H04L
12413486,2025-09-09,Telecommunications system to timely send producer network function status notifications to consumer network functions,0,H04L
12413482,2025-09-09,Establishing a connection between a mobile device and a representative of a wireless telecommunication network,0,H04L|H04M|H04W
12413434,2025-09-09,Service aware proxy-call session control function (P-CSCF) traffic routing,0,H04L
12411836,2025-09-09,Ensuring availability and integrity of a database across geographical regions,0,G06F
