patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432193,2025-09-30,Transformed link for automatically providing access of a protected resource accessible to a different instance,0,G06F|H04L
12432180,2025-09-30,Selective virtual private network,0,H04L
12432176,2025-09-30,Quarantine for cloud-based services,0,G06F|H04L
12430598,2025-09-30,Transfer control step for digital workflows,0,G06F|G06Q
12430374,2025-09-30,Platform agnostic scalable and high-performance semantic search framework,0,G06F
12425195,2025-09-23,Client-side sharing of cryptographic keys,0,H04L
12424199,2025-09-23,Dynamic translation for a conversation,0,G06F|G06Q|G10L|H04L
12423274,2025-09-23,Modification of database objects,0,G06F
12406173,2025-09-02,Covariate processing with neural network execution blocks,0,G06N
12401639,2025-08-26,Computer access control using registration and communication secrets,0,H04L
12399712,2025-08-26,Configuration items for supporting automations and efficacies thereof,0,G06F|G06Q
12388885,2025-08-12,Dynamic web component stream renderer,0,G06F|H04L
12380277,2025-08-05,Written-modality prosody subsystem in a natural language understanding (NLU) framework,0,G06F|G06N|G10L
12374325,2025-07-29,Domain-aware vector encoding (DAVE) system for a natural language understanding (NLU) framework,0,G06F|G10L
12373980,2025-07-29,Method and system for localization with supervision,0,G06N|G06T|G06V
12373596,2025-07-29,Data risk of an instance,0,G06F
12373171,2025-07-29,Automatic flow implementation from text input,0,G06F
12362995,2025-07-15,Reconciliation of partial configuration items,0,H04L
12353849,2025-07-08,Client-side machine learning development environment,0,G06F|G06N
12353498,2025-07-08,Intermediate widget cache,0,G06F|H04L
12353393,2025-07-08,Time-series database for storing and indexing events and metrics,0,G06F
12327089,2025-06-10,Propagating detected change between natural language understanding models each associated with a different language,0,G06F|G06N|H04L
12309238,2025-05-20,Application health monitoring,0,G06F|H04L
12309235,2025-05-20,Determining application security and correctness using machine learning based clustering and similarity,0,G06F|G06N|H04L
12309199,2025-05-20,Phishing attempt search interface,0,H04L
12309028,2025-05-20,Automatic determination of code customizations,0,G06F|H04L
12307188,2025-05-20,Labeled clustering preprocessing for natural language processing,0,G06F
12301423,2025-05-13,Service map conversion with preserved historical information,0,G06F|H04L
12299419,2025-05-13,Unified framework for configuration and deployment of platform intelligence,0,G06F|G06N
12299397,2025-05-13,Determining semantic similarity of texts based on sub-sections thereof,0,G06F
12299391,2025-05-13,System and method for repository-aware natural language understanding (NLU) using a lookup source framework,0,G06F|G06N
12294581,2025-05-06,Identifying security vulnerabilities based on access control lists,0,H04L
12282385,2025-04-22,Root cause analysis based on process optimization data,0,G06F|G06N|G06Q
12273424,2025-04-08,Adaptive discovery process scheduling,0,H04L
12273230,2025-04-08,Context-aware automated root cause analysis in managed networks,0,G06F|H04L
12271739,2025-04-08,Application and related object schematic viewer for software application change tracking and management,0,G06F
12271719,2025-04-08,Orchestration for robotic process automation,0,G06F
12271699,2025-04-08,Multi-dimensional N-gram preprocessing for natural language processing,0,G06F
12267211,2025-04-01,Determining metrics including resource expenditures of a digital service,0,H04L
12265796,2025-04-01,Lookup source framework for a natural language understanding (NLU) framework,0,G06F
12261904,2025-03-25,Nested request-response protocol network communications,0,G06F|H04L
12259998,2025-03-25,Database security through obfuscation,0,G06F
12254423,2025-03-18,Dynamic anomaly reporting,0,G06F|G06N|H04L
12254352,2025-03-18,Reduced memory utilization for data analytics procedures,0,G06F|G06Q
12254063,2025-03-18,Cross-modality curiosity for sparse-reward tasks,0,G06F|G06V
12254014,2025-03-18,Document creation with guided generative artificial intelligence,0,G06F
12248361,2025-03-11,Parallelized exception handling for large datasets,0,G06F
12243518,2025-03-04,Data augmentation for intent classification,0,G06F|G10L
12231508,2025-02-18,Rapid error detection through command validation,0,H04L
12225073,2025-02-11,Unified cross-application navigation and routing,0,H04L
12223067,2025-02-11,Secure data collection from an air-gapped network,0,G06F
12222834,2025-02-11,Discovery troubleshooting based on machine learning,0,G06F|H04L
12213042,2025-01-28,System of actions for IOT devices,0,G06Q|H04L|H04W
12200081,2025-01-14,Support for multi-type users in a single-type computing system,0,G06F|H04L
12197869,2025-01-14,Concept system for a natural language understanding (NLU) framework,0,G06F|G06N
12197435,2025-01-14,Localization procedures and prioritization for applications,1,G06F
12192245,2025-01-07,Control of cloud infrastructure configuration,0,H04L
12190066,2025-01-07,Integrated secondary virtual agents,0,G06F|G06Q|H04L
12189465,2025-01-07,Machine-learning based similarity engine,0,G06F|G06N
12184764,2024-12-31,Edge encryption,0,H04L|H04W
12184742,2024-12-31,Automatic service discovery,0,H04L
12184483,2024-12-31,Discovery of resource clusters,0,H04L
12182517,2024-12-31,Systems and methods for a virtual agent in a cloud computing environment,0,G06F|G10L|H04L
12182237,2024-12-31,Learning cognitive access control service,0,G06F
12175196,2024-12-24,Operational modeling and optimization system for a natural language understanding (NLU) framework,0,G06F|H04L
12175193,2024-12-24,System and method for lookup source segmentation scoring in a natural language understanding (NLU) framework,0,G06F|G06N
12169437,2024-12-17,Cloud service provider request retry framework,0,G06F
12164513,2024-12-10,Automatically generated graphical user interface application with dynamic user interface segment elements,0,G06F|G06Q
12153575,2024-11-26,Database query splitting,0,G06F
12147487,2024-11-19,Computationally efficient traversal of virtual tables,0,G06F
12143268,2024-11-12,Automatic discovery of cloud-based infrastructure and resources,0,H04L
12142275,2024-11-12,Enabling speech interactions on web-based user interfaces,1,G06F|G10L
12142269,2024-11-12,Invokable automated agent for interactive workflows,0,G10L|H04L
12141182,2024-11-12,Data structures for efficient storage and updating of paragraph vectors,0,G06F|G06N|H04L
12141048,2024-11-12,Machine learning model for determining software defect criticality,0,G06F
12132804,2024-10-29,Runtime module conversion,0,G06F|H04L
12131168,2024-10-29,Outcome-oriented automation platform,0,G06F
12130820,2024-10-29,Pipelineable and parallelizable streaming parsers for querying structured data-interchange information,0,G06F
12113677,2024-10-08,Efficient transfer of collected discovery data,0,H04L
12111720,2024-10-08,Autonomous error correction in a multi-application platform,0,G06F
12107804,2024-10-01,Chatbot dynamic content via a separate messaging application,0,G06F|H04L
12099567,2024-09-24,Viewports and sub-pages for web-based user interfaces,0,G06F|G09G|H04L
12099465,2024-09-24,Cross-platform communication for facilitation of data sharing,0,G06F
