patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432846,2025-09-30,Technique of wiring provided on a wiring circuit board that is mounted in an electronic apparatus,0,H01L|H05K
12432804,2025-09-30,"Communication apparatus, communication method, and storage medium",0,H04W
12432800,2025-09-30,"Communication apparatus, control method, and storage medium",0,H04B|H04W
12432553,2025-09-30,"Communication apparatus, control method of communication apparatus, and storage medium storing program",0,H04L|H04W
12432457,2025-09-30,Image capturing apparatus and control method thereof and storage medium,0,H04N
12432453,2025-09-30,Image stabilization control apparatus and method,0,G03B|H04N
12432448,2025-09-30,"Image blur correction apparatus, control method therefor, imaging apparatus, and storage medium",0,G06T|H04N
12432447,2025-09-30,"Evaluating apparatus, evaluating method, manufacturing method of imaging unit, and storage medium",0,G03B|H04N
12432446,2025-09-30,"Apparatus, its control method, and storage medium",0,G03B|H04N
12432442,2025-09-30,"Control apparatus, control method, image pickup apparatus, and storage medium",0,H04N
12432439,2025-09-30,"Line-of-sight detecting apparatus, image pickup apparatus, line-of-sight detecting method, and storage medium",0,G06T|G06V|H04N
12432429,2025-09-30,"Image capture apparatus and control method thereof, and image processing apparatus with correction of brightness of image data for frames and with compositing of image data for corrected frames",0,H04N
12432306,2025-09-30,"Storage medium, control method for terminal apparatus, and terminal apparatus",0,H04N
12432232,2025-09-30,"Information processing apparatus, information processing method, and storage medium for processing registration requests",0,H04L
12431378,2025-09-30,Chip chuck and a method of using the same,0,H01L
12431241,2025-09-30,Information processing apparatus and control method,0,G06F|G16H|H04L|H04N
12430781,2025-09-30,"Information processing apparatus, information processing method, and storage medium",0,G06T|H04N
12430777,2025-09-30,"Image processing apparatus, image processing method, and non-transitory computer-readable storage medium to perform a tracking process, using a tracking model",0,G06T
12430721,2025-09-30,"Image processing apparatus, image pickup apparatus, image processing method, and storage medium",0,G06T|H04N
12430659,2025-09-30,Information processing for images of interest,0,G06Q|G06T|G06V
12430494,2025-09-30,"Information display control apparatus, information display control method, and computer readable storage medium",0,G06F
12430086,2025-09-30,"Printing apparatus, control method, and storage medium for performing printing using a cloud print service",0,G06F
12430084,2025-09-30,Information processing apparatus and control method,0,B41J|G06F|G06Q|H04N|Y02P
12430083,2025-09-30,"Information processing apparatus, control method therefor, and non-transitory computer-readable storage medium",0,G06F
12430004,2025-09-30,"Storage medium, image processing apparatus, and image processing method",0,G06F
12429753,2025-09-30,Lens apparatus that transmits tilt-shift information to attached image pickup apparatus and image pickup apparatus attachable to the lens apparatus,0,G03B|H04N
12429669,2025-09-30,Stereoscopic optical system and image pickup apparatus having the same,0,G02B|H04N
12427785,2025-09-30,"Image processing apparatus, image processing method, and storage medium",0,B41J|G06K|H04N
12426072,2025-09-23,"Communication apparatus, information processing apparatus, control method, and computer-readable storage medium",0,H04W
12426028,2025-09-23,"Communication apparatus using frame control processing, control method of communication apparatus, and non-transitory computer-readable storage medium",0,H04W
12425751,2025-09-23,Image pickup apparatus in which global shutter driving of image pickup device is performed,0,H04N
12425737,2025-09-23,"Image capturing apparatus, information processing apparatus, control method, and storage medium",0,H04N
12425735,2025-09-23,Image stabilizing mechanism and image capturing apparatus,0,H04N
