patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430334,2025-09-30,Database management apparatus and method,0,G06F
12429856,2025-09-30,"Factory plan device, factory plan system, and factory plan method",0,G05B|G06Q|Y02P
12423636,2025-09-23,Risk management system and method,0,G06F|G06N|G06Q
12423602,2025-09-23,Data-creation assistance apparatus and data-creation assistance method,0,G06F|G06N
12423600,2025-09-23,"Integration device, integration method, and storage medium",0,G06N|G16H
12420811,2025-09-23,Detecting anomalies in vehicle artificial intelligence systems,0,B60W|G06N
12417213,2025-09-16,Computer system and service construction support method,0,G06F
12411547,2025-09-09,"Pressure sensor device, method for manufacturing the same, and work management system using the same",0,G01L|G06F
12406752,2025-09-02,System for generating compound structure representation,0,G06N|G16C
12406190,2025-09-02,Failure probability evaluation system and method,0,G01M|G06F|G06N|G06Q
12405976,2025-09-02,Method and system for generating training data for classifying intents in a conversational system,0,G06F
12405954,2025-09-02,"Graph search device, graph search system, and graph search method",0,G06F
12405602,2025-09-02,"Information processing apparatus, information processing system, and information processing method",0,G05B|G06T|Y02P
12403605,2025-09-02,Methodology for safe remote humanoid takeover for multi-user telexistence with minimal hardware user requirements,0,B25J|G05B|G06F|G06V
12402115,2025-08-26,"Management device, communication control system, and communication control method",0,H04L|H04W
12402059,2025-08-26,"Management apparatus, management system, and management method",0,H04L|H04W
12401678,2025-08-26,Computer system and analysis method for impact of security risk,0,G06F|G06Q|H04L
12400932,2025-08-26,Power conversion device with refrigerant,0,H01L|H02M|H05K
12400045,2025-08-26,Support device and search key shape registration method,0,G06F
12399013,2025-08-26,Power generation planning device and power generation planning method,0,B63B|G01C|G06Q|H02J
12396374,2025-08-19,Semiconductor device comprising plurality of diffusion layer electrodes with different conductivities and gate electrodes,0,G06N|H10N
12393897,2025-08-19,"Service plan change assistance apparatus, decision model creation apparatus, decision model creation program, and train traffic management system",0,B61L|G06Q
12393177,2025-08-19,Facility operation system and facility operation method,0,B25J|G05B|G06Q
12387426,2025-08-12,Three-dimensional grid-based data processing device and three-dimensional grid-based data processing method,0,G06T|G06V
12386727,2025-08-12,Method and apparatus for bug bounty system for blockchain,0,G06F
12386359,2025-08-12,Safety control device and safety rule adjustment method,0,B60L|B61L|G05B|G05D|G06Q|G08G
