patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432065,2025-09-30,Biometric sensor on portable device,0,G06F|H04L
12430653,2025-09-30,"System, method, and computer program product for verifying a payment device using a magnetometer",0,G06Q|G07F
12430647,2025-09-30,System and method for analyzing transaction nodes using visual analytics,0,G06N|G06Q
12430632,2025-09-30,Portable device loading mechanism for account access,0,G06Q|H04L
12423872,2025-09-23,"System, method, and apparatus for generating tokenized images",0,G06F|G06Q|G06T|H04N
12423713,2025-09-23,"Method, system, and computer program product for fraud prevention using deep learning and survival models",0,G06N|G06Q
12423688,2025-09-23,"System, method, and computer program product for secure key management",0,G06F|G06Q|H04L
12423672,2025-09-23,Authentication systems and methods using location matching,0,G06Q|G07C|H04L|H04W
12423670,2025-09-23,"Method, system, and computer program product for providing installment payment options for a payment transaction",0,G06Q
12423300,2025-09-23,Error-bounded approximate time series join using compact dictionary representation of time series,0,G06F
12417484,2025-09-16,System and computer-implemented method for fulfilling an order request,0,G06Q
12413580,2025-09-09,Token processing system and method,0,G06Q|H04L
12406070,2025-09-02,Blockchain security system,0,G06F|G06N|G06Q|H04L
12401505,2025-08-26,Agile cryptographic deployment service,0,G06F|H04L
12400223,2025-08-26,Systems and methods for communicating risk using token assurance data,0,G06Q|H04L
12400195,2025-08-26,System and method for transaction settlement,0,G06Q
12399758,2025-08-26,Mobile application integration,0,G06F|G06Q|H04L|H04W
12393937,2025-08-19,"System, method, and computer program product for dynamic passcode communication",0,G06Q
12393673,2025-08-19,Digital instant issuance with instant processing,0,G06F|G06Q|H04L
12388816,2025-08-12,Techniques for token proximity transactions,0,G06Q|H04L|H04W
12388625,2025-08-12,Techniques for secure data exchanges,0,H04L
12387211,2025-08-12,System and method using resource provider application on mobile device as an access device,0,G06Q
12386929,2025-08-12,Engine for configuring authentication of access requests,0,G06F|G06Q|H04L
12380454,2025-08-05,"System, method, and computer program product for generating synthetic data",0,G06F|G06N|G06Q
12380441,2025-08-05,Federated closed-loop system,0,B67D|G06Q|H04L|H04W
12380208,2025-08-05,Malware detection and mitigation system and method therefor,0,G06F
12375304,2025-07-29,Mutual authentication of confidential communication,0,H04L
12373810,2025-07-29,Keyboard application with third party engagement selectable items,0,G06Q|G07F|H04M
12373705,2025-07-29,"Method, system, and computer program product for controlling genetic learning for predictive models using predefined strategies",0,G06N
12367485,2025-07-22,Federated custodian,0,G06Q|H04L
12367432,2025-07-22,"Method, system, and computer program product for ensemble learning with rejection",0,G06F|G06N
12367198,2025-07-22,Updatable private set intersection,0,G06F|H04L
12367195,2025-07-22,Query record estimator,0,G06F
12363104,2025-07-15,Provisioning transferable access tokens,0,G06F|H04L|H04W
12361409,2025-07-15,Methods and systems for provisioning mobile devices with payment credentials,0,G06Q
12361281,2025-07-15,Proactive defense of untrustworthy machine learning system,0,G06F|G06N|H04L
12360984,2025-07-15,Push interaction including linked data,0,G06F|G06Q
12360812,2025-07-15,"Method, system, and computer program product for dynamic data allocation to nodes in distributed systems",0,G06F|H04L
12355899,2025-07-08,Deep link authentication,0,G06F|G06Q|H04L|H04W
12355891,2025-07-08,Verification of biometric templates for privacy preserving authentication,0,G06F|H04L
12355888,2025-07-08,Validations using verification values,0,G06F|G06Q|H04L
12355611,2025-07-08,"System, method, and computer program product for diagnosing faulty components in networked computer systems",0,G06F|H04L
12354107,2025-07-08,"System, method, and computer program product for learning continuous embedding space of real time payment transactions",0,G06N|G06Q
12354103,2025-07-08,"System, method, and computer program product to determine cuisine type classifiers",0,G06Q
12354091,2025-07-08,"Method, system, and computer program product for real-time data aggregation",0,G06F|G06Q|H04L
12353596,2025-07-08,"System, method, and computer program product for consent management",0,G06F|H04L|H04W
12348612,2025-07-01,"System, method, and computer program product for data security",0,H04L
12346903,2025-07-01,Identification and verification for provisioning mobile application,0,G06Q
12346895,2025-07-01,Delegated certificate authority system and method,0,G06F|G06Q|H04L
12341907,2025-06-24,Verification and encryption scheme in data storage,0,G06F|G06Q|H04L
12341875,2025-06-24,Efficient authentic communication system and method,0,H04L|H04W
12340368,2025-06-24,Method and system for federated virtual card,0,G06Q
12340362,2025-06-24,Two-dimensional code compatibility system,0,G06K|G06Q
12340297,2025-06-24,"System, method, and computer program product for generating and improving multitask learning models",0,G06N
12339992,2025-06-24,Data security hub,0,G06F|H04L|H04W
12339948,2025-06-24,Method and system for integrating identity provider,0,G06F|H04L|H04W
12339835,2025-06-24,"System, method, and apparatus for implementing a blockchain-based rewards network",0,G06F|G06Q|H04L
12335392,2025-06-17,Secure data exchange matching across identity providers,0,H04L
12335389,2025-06-17,Secure remote token release with online authentication,0,G06F|G06Q|H04L
12335245,2025-06-17,Communication device using virtual access device and transaction applet,0,H04L|H04W
12333887,2025-06-17,"System, method, and computer program product for authenticating identification documents",0,G06F|G06Q|G06T|G06V|G07D|H04L|H04N
12333591,2025-06-17,"Method, system, and computer program product for providing product data and/or recommendations",0,G06F|G06Q
12333528,2025-06-17,Multi-network tokenization processing,0,G06Q
12333521,2025-06-17,Portable device-based transaction,0,G06Q|G07G
12333396,2025-06-17,"System, method, and computer program product for reducing dataset biases in natural language inference tasks using unadversarial training",0,G06F|G06N
12328387,2025-06-10,Dynamic privacy-preserving application authentication,0,G06F|H04L
12328304,2025-06-10,Secure and privacy preserving message routing system,0,H04L
12327239,2025-06-10,"System, method, and computer program product for secured, encrypted transaction processing",0,G06Q|H04L
12323529,2025-06-03,Compact recordation protocol,0,H04L
12323401,2025-06-03,Privacy-preserving data deduplication,0,G06F|H04L
12321942,2025-06-03,"System, method, and computer program product for predicting a specified geographic area of a user",0,G06N|G06Q|H04W
12321926,2025-06-03,"System, method, and computer program product for authenticating a user for a transaction",0,G06Q|H04L
12321914,2025-06-03,"System, method, and apparatus for processing customer recurrence data for transactions",0,G06Q|H04W
12321909,2025-06-03,Mobile services remote deposit capture,0,G06Q
12321907,2025-06-03,Data processing utilizing a digital tag,0,G06Q|H04L|H04W
12321712,2025-06-03,"Method, system, and computer program product for normalizing embeddings for cross-embedding alignment",0,G06F|G06N
12321292,2025-06-03,Chip card socket communication,0,G06F|H04L
12316784,2025-05-27,Method and system for authentication credential,0,G06F|G06Q|H04L
12316764,2025-05-27,Token failsafe system and method,0,H04L
12316761,2025-05-27,Layered recording networks,0,G16H|H04L
12314976,2025-05-27,"System, method, and computer program product for generating a synthetic control group",0,G06N|G06Q
12314944,2025-05-27,Instant token issuance,0,G06Q|H04L|H04W
12314918,2025-05-27,"System, method, and computer program product for processing a transaction as a push payment transaction",0,G06Q|H04L|H04W
12307450,2025-05-20,Tokenized contactless transaction enabled by cloud biometric identification and authentication,0,G06F|G06Q|G06V|G07C|H04L
12301723,2025-05-13,"Method, system, and computer program product for authentication",0,G06F|H04L
12301718,2025-05-13,NFT interaction processing system and method,0,G06Q|H04L
12301687,2025-05-13,Real-time entity anomaly detection,0,G06F|G06N|H04L
12301581,2025-05-13,Systems and methods for enhanced authorization messages,0,G06F|G06Q|H04L
12301580,2025-05-13,Efficient and secure authentication system,0,G06F|G06Q|H04L|H04W
12299694,2025-05-13,Dynamic claims submission system,0,G06F|G06N|G06Q
12299683,2025-05-13,Global remittance system and method,0,G06Q
12299513,2025-05-13,Method and system for adaptive transceiver in mobile devices,0,G06K|G06Q|G07F|G07G
12295074,2025-05-06,Verification of interactions system and method,0,H01B|H04L|H05B|Y02A
12294630,2025-05-06,System and method for token domain control,0,G06Q|H04L
12293366,2025-05-06,"System, method, and computer program product for real-time automatic authorization of a payment transaction",0,G06N|G06Q
12293365,2025-05-06,Authentication based on biometric identification parameter of an individual for payment transaction,0,G06Q|G06V
12293353,2025-05-06,Device provisioning using partial personalization scripts,0,G06F|G06Q
12293286,2025-05-06,Generating input data for a machine learning model,0,G06N
12289411,2025-04-29,Comprehensive storage application provisioning using a provisioning software development kit (SDK),0,G06F|H04L
12289409,2025-04-29,Privacy preserving identity data exchange based on hybrid encryption,0,H04L
12289306,2025-04-29,"System, method, and computer program product for authenticating a device based on an application profile",0,G06F|G06Q|H04L|H04W
12287715,2025-04-29,Computer and conduit for system testing,0,G06F
12284285,2025-04-22,Efficient token provisioning system and method,0,G06Q|H04L
12282539,2025-04-22,Delegated biometric authentication,0,G06F|H04L
12277564,2025-04-15,"Method, system, and computer program product for detecting duplicate authorization requests",0,G06Q
12277553,2025-04-15,Blockchain based interaction processing,0,G06Q|H04L
12277537,2025-04-15,"Multi-directional wallet connector apparatuses, methods and systems",0,G06Q
12277202,2025-04-15,Computer-implemented method and a virtual reality device for providing behavior-based authentication in virtual environment,0,G06F|G06V
12273450,2025-04-08,"System, method, and computer program product for validating software agents in robotic process automation systems",0,G06F|H04L
12273346,2025-04-08,Access identifier provisioning to application,0,G06F|G06Q|H04L|H04W
12271902,2025-04-08,Non-native account processing,0,G06Q
12271900,2025-04-08,Expedited E-Commerce tokenization,0,G06Q
12271893,2025-04-08,Single sign-on using a secure authentication system,0,G06F|G06Q|H04L
12261955,2025-03-25,"System and computer program product for fair, secure n-party computation using at least one blockchain",0,H04L
12261457,2025-03-25,System and method for location-based node management in a wireless charging network,0,G06Q|G07F|H02J
12260392,2025-03-25,"System, method, and computer program product for verifying a card image",0,G06Q|G07F
12260380,2025-03-25,Processing financial transactions,0,G06F|G06Q|H04W
12259961,2025-03-25,Efficient interaction processing using secret,0,G06F|G06Q|H04L|H04W
12259808,2025-03-25,"Method, system, and computer program product for automatic selection of tests for software system regression testing using machine learning",0,G06F|G06N
12256009,2025-03-18,"Method, system, and computer program product for network bound proxy re-encryption and PIN translation",0,G06Q|G07F|H04L
12254470,2025-03-18,"Method, system, and computer program product for processing a non-fungible token having a dynamic value",0,G06Q|H04L
12253991,2025-03-18,"System, method, and computer program product for feature analysis using an embedding tree",0,G06F
12253985,2025-03-18,"System, method, and computer program product for monitoring and improving data quality",0,G06F
12253926,2025-03-18,Simulator application on mobile device for integration testing,0,G06F|G06K|G06Q
12250223,2025-03-11,Distributed ledger data verification network,0,G06F|H04L
12248600,2025-03-11,Portable reputation brokering using linked blockchains and shared events,0,G06F|G06Q|H04L
12248487,2025-03-11,Techniques for in memory key range searches,0,G06F
12245035,2025-03-04,User authentication at access control server using mobile device,0,G06F|G06Q|H04L|H04W
12244739,2025-03-04,Confidential authentication and provisioning,0,H04L
12244729,2025-03-04,Systems and methods for creating a universal record,0,G06F|G06Q|G16H|H04L
12244690,2025-03-04,Online secret encryption,0,H04L
12242939,2025-03-04,"Method, system, and computer program product for synthetic oversampling for boosting supervised anomaly detection",0,G06F|G06N
12238209,2025-02-25,Conditional offline interaction system and method,0,H04L
12238110,2025-02-25,Access management for cancelled requests in a distributed environment,0,H04L
12236474,2025-02-25,Embedded payment tokens in digital media objects,0,G06Q|G07F|H04N
12236426,2025-02-25,Method and system for dynamically processing financial transactions,0,G06Q|H04L
12236413,2025-02-25,Method and system for reconfiguring a transaction during network processing,0,G06Q
12235939,2025-02-25,Authentication system with message conversion,0,G06F|G06Q
12231465,2025-02-18,Web site compromise detection,0,G06F|H04L
