patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432141,2025-09-30,Transport of VPN traffic with reduced header information,0,H04L
12432114,2025-09-30,"Apparatus, system, and method for intelligent power management of underutilized packet forwarding devices",0,H04L
12425482,2025-09-23,Network service discovery,0,H04L
12425331,2025-09-23,Avoiding loops by preventing further fast reroute (FRR) after an earlier FRR,0,H04L
12425302,2025-09-23,Schema repository,0,H04L
12418480,2025-09-16,Point-to-multipoint transport chain,0,H04L
12418476,2025-09-16,Distributed broadband network gateway stateful N+1 hot-redundancy,0,H04L
12411837,2025-09-09,"Devices, systems, and methods for updating remote databases via flooded packet fragments",0,G06F|H04L
12407624,2025-09-02,Methods and apparatus for efficient use of link aggregation groups,0,H04L|H04Q|Y02D
12407611,2025-09-02,"Reducing convergence time and/or avoiding split-brain in multi-homed ethernet segment deployments, such as esi-lag deployments",0,H04L
12401569,2025-08-26,"Network slicing including modeling, distribution, traffic engineering and maintenance",0,H04L
12395424,2025-08-19,"Apparatus, system, and method for determining traffic load distributions in connection with routes of hierarchical fowarding information bases",0,H04L
12395008,2025-08-19,"Apparatus, system, and method for extending hold-up times for computing devices with redundant power supply units",0,G06F|H02J
12388913,2025-08-12,Controller-to-controller interface for multi-layer network abstraction,0,H04L
12388736,2025-08-12,Rules driven software deployment agent,0,G06F|H04L
12382368,2025-08-05,Wireless access point proximity zones,0,H04B|H04L|H04W
12381826,2025-08-05,Network port characterization,0,H04L
12381825,2025-08-05,User plane load balancing in a disaggregated broadband network gateway architecture,0,H04L
12381821,2025-08-05,Automatic policy configuration for packet flows,0,H04L
12379448,2025-08-05,Methods and apparatus for using received signal strength information in a wireless system,0,G01S|G06N|H04B|H04W
12375496,2025-07-29,Inferring trust in computer networks,0,G06N|H04L
12375399,2025-07-29,Scalable multi-plane fabric-less connectivity for packet forwarding engine,0,H04L
12375398,2025-07-29,Bandwidth advertisement for floor reflector (FR) traffic engineering (TE) links,0,H04L
12375367,2025-07-29,Configuration of EVPN topologies using a user interface,1,H04L
12375354,2025-07-29,Supporting out-of-band configuration changes in security policy management,0,H04L
12375349,2025-07-29,Identifying out-of-band configuration changes to validate intent files,0,H04L
12375276,2025-07-29,Providing quantum key distribution key delivery proof of origin and transit,0,H04L
12373519,2025-07-29,Programmable model-driven license management and enforcement in a multi-tenant system,0,G06F|G06N
12373322,2025-07-29,Machine learning for metric collection,0,G06F|G06N|H04L
12373259,2025-07-29,Dynamically adjusting performance tuning parameters in a network system,0,G06F
12373012,2025-07-29,Methods and apparatus relating to the supply of power to power over ethernet devices,0,G06F|H04L|Y02D
12368757,2025-07-22,Intent-based enterprise security using dynamic learning of network segment prefixes,0,H04L
12368717,2025-07-22,High availability multi-tenant cloud based network access control system,0,H04L
12368712,2025-07-22,Organization identification of network access server devices into a multi-tenant cloud network access control service,0,H04L
12368694,2025-07-22,Allocating addresses from pools,0,G06F|H04L
12368672,2025-07-22,Facilitating elasticity of a network device,0,H04L
12368662,2025-07-22,Dynamically detecting multihomed network devices and allocating protection group identifiers,0,H04L
12368649,2025-07-22,User interface for cloud native software-defined network architectures,0,G06F|H04L
12368648,2025-07-22,Query mechanism for a network management system,0,G06F|H04L
12368635,2025-07-22,Load balancing and ensuring availability for network subscriber groups,0,H04L
12368613,2025-07-22,Avoiding traffic flooding for known unicast traffic when an EVPN is inter-connected to a data plane VXLAN in all-active mode,0,H04L
12368612,2025-07-22,Service-based transport classes for mapping services to tunnels,0,H04L
12367109,2025-07-22,Making transmission control protocol (TCP) sessions robust in a socket replication environment,0,G06F|H04L
12367074,2025-07-22,Network management software-as-a-service system for allocating resources (also termed threads) of containers for performance of a job,0,G06F
