patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432386,2025-09-30,Random access point access unit in scalable video coding,0,H04N
12432385,2025-09-30,Signaling in transform skip mode,0,H04N
12432369,2025-09-30,Handling different NAL types in video sub-bitstream extraction,0,H04N
12432355,2025-09-30,Using combined inter intra prediction in video processing,0,H04N
12432350,2025-09-30,High level syntax for inter prediction with geometric partitioning,0,H04N
12432077,2025-09-30,Indication of digital medial integrity,0,H04L|H04N
12425589,2025-09-23,Simplified inter prediction with geometric partitioning,0,H04N
12425586,2025-09-23,Using quantization groups in video coding,0,H04N
12425585,2025-09-23,Classification in adaptive loop filtering,0,H04N
12425578,2025-09-23,Harmonization between different video process mode,0,H04N
12423745,2025-09-23,Method and apparatus for facilitating meta search proxy bidding,0,G06Q
12423716,2025-09-23,"Method, apparatus, and computer program product for consumer tracking",0,G06F|G06Q|H04L
12418662,2025-09-16,"Method, device, and medium for video processing",0,H04N
12418647,2025-09-16,Using quantization groups in video coding,0,H04N
12418644,2025-09-16,"Method, device, and medium for video processing",0,H04N
12417574,2025-09-16,"Animation processing method and apparatus, electronic device and storage medium",0,G06T
12413785,2025-09-09,Signalling of general constraints flag,0,H04N
12413784,2025-09-09,Deblocking signaling in video coding,0,H04N
12413762,2025-09-09,Sub-bitstream extraction of multi-layer video bitstreams,0,H04N
12413714,2025-09-09,Syntax signaling in sub-block merge mode,0,H04N
12407867,2025-09-02,Profile tier level parameter set in video coding,0,H04N
12407849,2025-09-02,Cross random access point sample group,0,H04N
12407835,2025-09-02,Interaction between IBC and affine,0,H04N
12407831,2025-09-02,"Method, apparatus, and medium for video processing",0,H04N
12407830,2025-09-02,Video coding using sample string vector,0,H04N
12407829,2025-09-02,Transform coding based on matrix-based intra prediction,0,H04N
12407812,2025-09-02,Deriving reference sample positions in video coding,0,H04N
12401827,2025-08-26,Signaling for general constraint information in video coding,0,H04N
12401820,2025-08-26,Interaction between merge list construction and other tools,0,H04N
12401808,2025-08-26,Techniques for implementing a decoding order within a coded picture,0,H04N
12401797,2025-08-26,Restrictions on motion vector difference,0,H04N
12395682,2025-08-19,Palette mode with local dual tree modetype definition,0,H04N
12395681,2025-08-19,Intra random access points for picture coding,0,H04N
12395671,2025-08-19,Interaction between Intra Block Copy mode and inter prediction tools,0,H04N
12395661,2025-08-19,Signaling of slice types in video pictures headers,0,H04N
12395654,2025-08-19,Constraints on decoding picture buffer,0,H04N
12395650,2025-08-19,General constraints information for video coding,0,H04N
12395647,2025-08-19,Condition dependent video block partition,0,H04N
12395623,2025-08-19,Intra coded video using quantized residual differential pulse code modulation coding,0,H03M|H04N
12389046,2025-08-12,Unsymmetric binary tree partitioning and non-dyadic blocks,0,H04N
12389037,2025-08-12,Use of secondary transform in coded video,0,H04N
12389025,2025-08-12,Scalable nesting of supplemental enhancement information messages in video coding,0,H04N
12388989,2025-08-12,Prediction refinement for affine merge and affine motion vector prediction mode,0,H04N
12387228,2025-08-12,"Method, apparatus, and computer program product for forecasting demand using real time demand",0,G06F|G06Q
12382105,2025-08-05,Padding process at unavailable sample locations in adaptive loop filtering,0,H04N
12382103,2025-08-05,Conditional signaling of video coding syntax elements,0,H04N
12382087,2025-08-05,HMVP table improvements,0,H04N
12382085,2025-08-05,Decoder side motion derivation based on processing parameters,0,H04N
12382060,2025-08-05,Chroma quantization parameter in video coding,0,H04N
12382041,2025-08-05,Coded video processing using enhanced secondary transform,0,H04N
12382016,2025-08-05,Size restriction for intra-block copy virtual buffer,0,H04N
12382014,2025-08-05,Inter-prediction on non-dyadic blocks,0,H04N
12380469,2025-08-05,"Method, apparatus, and computer program product for predicting web browsing behaviors of consumers",0,G06F|G06Q
12375719,2025-07-29,Selective use of adaptive in-loop color-space transform and other video coding tools,0,H04N
12375714,2025-07-29,Context coding for matrix-based intra prediction,0,H04N
12375696,2025-07-29,Decoder configuration information in VVC video coding,0,H04N
12375693,2025-07-29,Video decoder initialization information constraints,0,H04N
12375690,2025-07-29,Extensions of inter prediction with geometric partitioning,0,G06T|H04N
12375679,2025-07-29,Restricted upsampling process in matrix-based intra prediction,0,G06F|H04N
12375650,2025-07-29,Position based mode derivation in reduced secondary transforms for video,0,H04N
12375643,2025-07-29,Matrix derivation in intra coding mode,0,H04N
12373094,2025-07-29,Mobile device merchant availability interface,0,G06F|G06Q|G07F|G07G
12368880,2025-07-22,Invoke of LUT updating,0,H04N
12368875,2025-07-22,Two-step cross-component prediction mode,0,H04N
12368844,2025-07-22,Intra coded video using quantized residual differential pulse code modulation coding,0,H03M|H04N
12368841,2025-07-22,Methods for cross component dependency reduction,0,H04N
12363348,2025-07-15,Constraints on collocated pictures in video coding,0,H04N
12363337,2025-07-15,Coding and decoding of video coding modes,0,H04N
12363307,2025-07-15,Entropy coding for motion precision syntax,0,H04N
12363303,2025-07-15,Minimum allowed quantization for transform skip blocks in video coding,0,H04N
12361393,2025-07-15,Optical receipt processing,0,G06F|G06Q|G06V
12356020,2025-07-08,Cross-component adaptive loop filtering in video coding,0,H04N
12356017,2025-07-08,Presence of adaptation parameter set units,0,H04N
12355983,2025-07-08,Restriction of applicability for intra block copy mode,0,H04N
12355979,2025-07-08,Multi-models for intra prediction,0,H04N
12354136,2025-07-08,Motion data based consumer interfaces,0,G06F|G06Q
12348782,2025-07-01,Transform skip residual coding,0,H04N
12348779,2025-07-01,Using subpictures and tiles in video coding,0,H04N
12348761,2025-07-01,Merge with motion vector differencing in affine mode,0,H04N
12348760,2025-07-01,Coding and decoding of video coding modes,0,H04N
12348759,2025-07-01,Concept of interweaved prediction,0,H04N
12348757,2025-07-01,Cross random access point signaling in video coding,0,H04N
12348753,2025-07-01,Coding of picture order count in video bitstreams,0,H04N
12348738,2025-07-01,Multiple hypothesis for sub-block prediction blocks,0,H04N
12348723,2025-07-01,Combined intra and intra-block copy prediction for video coding,0,H04N
12348708,2025-07-01,Mode determination for palette mode coding,0,H04N
12348706,2025-07-01,Selective use of coding tools in video processing,0,H04N
12346941,2025-07-01,"Method, apparatus, and computer program product for determining closing metrics",0,G06N|G06Q
12346555,2025-07-01,Method and system for facilitating consumer interactions for performing purchase commands,0,G06F|G06Q|H04L
12346552,2025-07-01,Method and system for use of biometric information associated with consumer interactions,0,G06F|G06Q|H04L
12341967,2025-06-24,Interactions among multiple intra coding methods,0,H04N
12341966,2025-06-24,Condition dependent coding of palette mode usage indication,0,H04N
12340474,2025-06-24,"Image effect implementing method and apparatus, electronic device and storage medium",0,G06F|G06T
12340386,2025-06-24,Method and apparatus for generating an electronic communication,0,G06Q
12335532,2025-06-17,Using subpictures and tiles in video coding,0,H04N
12335531,2025-06-17,Intra block copy coding and decoding,0,H04N
12335480,2025-06-17,Independent coding of palette mode usage indication,0,H04N
12328449,2025-06-10,Signalling of auxiliary information,0,H04N
12328436,2025-06-10,Subpicture sub-bitstream extraction improvements,0,H04N
12328432,2025-06-10,Implicit multiple transform set signaling in video coding,0,H04N
12323625,2025-06-03,Selection of secondary transform matrices for video processing,0,H04N
12323617,2025-06-03,Rounding in pairwise average candidate calculations,0,H04N
12323583,2025-06-03,Setting intra-block copy virtual buffer based on virtual pipeline data unit,0,H04N
12321918,2025-06-03,Consumer device presence-based transaction session,0,G06Q
12316880,2025-05-27,Reference picture resampling,0,H04N
12316879,2025-05-27,Signaling of subpicture level and buffering information,0,H04N
12316878,2025-05-27,Reference picture information signaling in a video bitstream,0,H04N
12316871,2025-05-27,Context determination for matrix-based intra prediction,0,H04N
12316834,2025-05-27,Coefficients coding in transform skip mode,0,H04N
12316829,2025-05-27,Dictionary based coding of video data,0,H03M|H04N
12309413,2025-05-20,Efficient affine merge motion vector derivation,0,H04N
12307510,2025-05-20,Managing merchant communications,0,G06Q
12301855,2025-05-13,Inferencing weight values for video components in a bitstream,0,H04N
12301845,2025-05-13,Parameter derivation in cross component mode,0,H04N
12301841,2025-05-13,Subpicture sub-bitstream extraction process enhancements,0,H04N
12301799,2025-05-13,Controlling deblocking filtering at different levels in coded video,0,H04N
12301793,2025-05-13,Sample identification for intra block copy in video coding,0,H04N
12299725,2025-05-13,System and method for generating geographic zone information for consumers,0,G06Q
12294739,2025-05-06,Updating for counter-based intra prediction mode,0,H04N
12294709,2025-05-06,Minimum allowed quantization for transform skip blocks in video coding,0,H04N
12294701,2025-05-06,Size restriction based for chroma intra mode,0,H04N
