patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432415,2025-09-30,Methods and apparatus to determine engagement levels of audience members,0,H04N
12432405,2025-09-30,Methods and apparatus for network-based monitoring and serving of media to in-vehicle occupants,0,G06N|H04N|H04W
12425689,2025-09-23,Mobile device attention detection,0,H04N|H04W
12425688,2025-09-23,Methods and apparatus to determine engagement levels of audience members,0,H04N
12423723,2025-09-23,Methods and apparatus to monitor media presentations,0,G06Q|H04L
12423717,2025-09-23,Methods and apparatus to apply household-level weights to household-member level audience measurement data,0,G06Q|H04N
12418699,2025-09-16,Tracking media-delivery-device in relation to media presentation and exposure,0,H04N
12413817,2025-09-09,Methods and apparatus to determine demographic classifications for census level impression counts and unique audience sizes,0,G06Q|H04N
12413646,2025-09-09,Methods and apparatus to facilitate meter to meter matching for media identification,0,H04L
12407898,2025-09-02,Methods and apparatus to determine when a smart device is out-of-tab,0,H04H|H04N
12407884,2025-09-02,Accelerated television advertisement identification,0,G06Q|H04H|H04N
12399876,2025-08-26,Methods and apparatus to estimate audience sizes of media using deduplication based on multiple vectors of counts,0,G06F|G06Q|H04N
12393957,2025-08-19,Methods and apparatus to estimate de-duplicated unknown total audience sizes based on partial information of known audiences,0,G06F|G06Q
12393579,2025-08-19,Methods and apparatus to identify electronic devices,0,G06F|H04L
12389069,2025-08-12,Detecting an operational state of a media device,0,H04N
12387521,2025-08-12,Methods and apparatus to monitor environments,0,G01B|G06F|G06T|G06V|H04H|H04N
12387227,2025-08-12,Methods and apparatus to estimate cardinality of users represented in arbitrarily distributed bloom filters,0,G06N|G06Q
12386888,2025-08-12,Compensating for time scale differences between audio and other signals in fingerprinting and matching applications,0,G06F
12375761,2025-07-29,Methods and apparatus to deduplicate audience estimates from multiple computer sources,0,G06F|G06Q|H04H|H04N
12375760,2025-07-29,Methods and apparatus to monitor digital media,0,H04N
12373862,2025-07-29,Methods and apparatus to generate corrected online audience measurement data,0,G06Q|H04N
12373855,2025-07-29,Methods and apparatus to project ratings for future broadcasts of media,0,G06Q|H04N
12369809,2025-07-29,Determining intensity of a biological response to a presentation,0,A61B|G06Q|G16H
12368922,2025-07-22,Methods and apparatus to validate reference media assets in media identification system,0,H04N
12368787,2025-07-22,Methods and apparatus to share online media impressions data,0,G06Q|H04L
12367318,2025-07-22,Methods and apparatus to collect distributed user information for media impressions and search terms,0,G06F|G06Q|H04L|H04N|H04W
12363381,2025-07-15,Methods and apparatus to determine audience size based on big data,0,G06Q|H04N
