patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432087,2025-09-30,"Delay module for a controller area network (CAN), a CAN device, and a method for the delay module",0,G06F|H04L
12427939,2025-09-30,Mobile hearable device,0,B60H|B60K|B60R|E05F|E05Y|G01S|G06F|G10L|H04B|H04R|H04W|H05B
12425069,2025-09-23,Method for managing UWB communication sessions,0,H04B|H04W
12425066,2025-09-23,CAN transceiver and method for the CAN transceiver,0,H04B|H04L
12418869,2025-09-16,Communication device and operating method,0,H04B|H04W
12418306,2025-09-16,Inter-symbol interference compensation for analog-to-digital converter,0,H03M|H04L
12414228,2025-09-09,Printed circuit board with electromagnetic bandgap structure for launcher in package devices,0,H01L|H01Q|H05K
12413399,2025-09-09,Fault detection in post-quantum cyptography,0,G06F|H04L
12408265,2025-09-02,Integrated circuit and method for detecting tampering of a printed circuit board,0,G06F|H05K
12407425,2025-09-02,Interference suppression module and associated methods,0,H04B|H04L
12406951,2025-09-02,Redistribution layer having a sideview zig-zag profile,0,H01L
12405628,2025-09-02,Clock control in a system on a chip (SoC),0,G06F|H03K
12399834,2025-08-26,Data processing system having tagged and untagged address pointers and method for accessing a location in the data processing system,0,G06F
12393704,2025-08-19,Methods and systems for multi-modal security access control based on details of security circumstances,0,G06F
12389240,2025-08-12,Communication system and operating method,0,G01S|G07C|H04B|H04W
12388689,2025-08-12,Coding module for a transceiver,0,H03M|H04L
12388657,2025-08-12,Low-memory masked Dilithium with alternative signing algorithm,0,H04L
12388654,2025-08-12,Method for superflous hash usage in hash-based signatures,0,H04L
12388616,2025-08-12,Fault detection of differential fault attack in lattice based cryptography,0,H04L
12388030,2025-08-12,Semiconductor device with stress relief feature and method therefor,0,H01L
12387985,2025-08-12,Semiconductor device with cavity carrier and method therefor,0,H01L
12386472,2025-08-12,Capacitive touch screens,0,G06F
12386060,2025-08-12,Systems and methods for joint communication and sensing,0,G01S|H04B|H04L
12375274,2025-07-29,Communication devices and operating methods,0,G01S|H04L
12368118,2025-07-22,Integrated millimeter-wave dual-mode matching network,0,H01L|H01P|H03H|H05K
12367123,2025-07-22,Method and system to delay a response associated with a bus transaction that is transmitted to a bus master to perform fault testing,0,G06F
12362931,2025-07-15,Masked infinity norm check for crystals-dilithium signature generation,0,H04L
12355586,2025-07-08,Scalable virtualized controller area network system,0,H04L
12355456,2025-07-08,Time interleaved analog-to-digital converter with ADC unit correction,0,G06N|H03M
12352888,2025-07-08,Data processing method for processing matrices in radar applications,0,G01S|G06F
12348353,2025-07-01,RF communication device and operating method,0,H04B|H04L
12348343,2025-07-01,Method and device for detecting proximity of an external RF field during ongoing RF activity of the device,0,H04B|H04L
12346839,2025-07-01,System and method of fuzzing prevention using intentional responses that appear to be randomized,0,G06F|G06N|H04L
12346696,2025-07-01,System and method of digital to analog conversion using dynamic element matching,0,G06F|H03M
12346417,2025-07-01,Method for watermarking a machine learning model,0,G06F
12336006,2025-06-17,System and method for combined performing of wireless communication and sensing,0,G01S|H04W
12333162,2025-06-17,Power tearing protection within a non-volatile memory (NVM),0,G06F
12333150,2025-06-17,Partitioned non-volatile memory (NVM) having a normal read bus and a verify read bus,0,G06F|G11C
12332820,2025-06-17,Method and apparatus for performing address translations using a remapping process,0,G06F
12332737,2025-06-17,Method and apparatus for fault indication propagation and fault masking in a hierarchical arrangement of systems,0,G06F
12326465,2025-06-10,Detector circuit,0,G01R|G06F|H03K
12323943,2025-06-03,System and method for facilitating localizing an external object,0,G01S|G07C|H04W
12322665,2025-06-03,Integrated circuit,0,G01R|H01L|H03K|H10D
12321548,2025-06-03,Tough panel location detection with different frequency-phase offset combinations of electrode signals,0,G06F
12321501,2025-06-03,Method for securely provisioning an integrated circuit,0,G06F|H04L
12316981,2025-05-27,Real time stream camera ISP with loosely coupled control loop,0,H04N
12316733,2025-05-27,Ethernet transceiver coding module,0,H04L
12316683,2025-05-27,"Architecture for monitoring, analyzing, and reacting to safety and cybersecurity events",0,G06F|H04L
12315995,2025-05-27,Grounding assembly for a semiconductor device,0,H01L|H01Q
12314203,2025-05-27,"Can controller, can device and method for the can controller",1,G06F|H04L
12314192,2025-05-27,Multiple level SoC resource allocation and isolation system and method,0,G06F
12313774,2025-05-27,Direction of arrival (DOA) estimation using circular convolutional network,0,G01S|G06N
12308698,2025-05-20,Robust fail-safe system for prolonging the backup battery life in real-time low power MCU systems,0,G06F|H02J
12306662,2025-05-20,Integrated circuit for clock generation,0,G06F|H03K
12299313,2025-05-13,Method for proving erasure of a memory,0,G06F
12293247,2025-05-06,"RF communication device without temporary connection line, and manufacturing method",0,G01R|G06K|H01L
12289186,2025-04-29,Transceiver,0,G01S|H04B|H04L
12289170,2025-04-29,"Network device, communication system and method for the network device",0,H04L
12289165,2025-04-29,Counting packet loss in sequence recovery method,0,H04L
12288770,2025-04-29,Semiconductor packages with embedded wiring on re-distributed bumps,0,H01L
12287394,2025-04-29,Distance assessment with headerless packets,0,B60R|G01S|H04B|H04L
12287391,2025-04-29,Method and apparatus for determination of direction of arrival angle,0,G01S|G06F
12277220,2025-04-15,Method and device for detecting a profiling attack,0,G06F|H04L
12273835,2025-04-08,Communication device and method of operating the same,0,G01S|H04W
12267153,2025-04-01,Frame scheduling based on an estimated direct memory access (DMA) latency and apparatus for time aware frame scheduling,0,G06F|H04J|H04L
12265626,2025-04-01,Apparatuses and methods with secure configuration update,0,G06F|G11C
12265444,2025-04-01,Systems and methods for detection of persistent faults in processing units and memory,0,G06F
12261716,2025-03-25,Controller area network system and a method for the system,0,H04L
12261715,2025-03-25,"CAN module, CAN transceiver, CAN system and method for CAN module",0,H04L
12261691,2025-03-25,End-to-end transaction integrity through standard interconnect,0,G06F|H04L
12255700,2025-03-18,Dynamic BBA gain for near-field radio frequency signal processing,0,H04B|H04W
12250611,2025-03-11,Positioning guidance for RFID devices,0,G06K|G06Q|H04B|H04W
12250570,2025-03-11,System and method for combined performing of wireless communication and sensing,0,G01S|H04W
12248831,2025-03-11,System and method for facilitating presentation of smart card data to users,0,G06K|G06Q|G07F
12248644,2025-03-11,Circuit arrangement for a touch sensor,0,G06F
12242335,2025-03-04,Method and apparatus for fault aggregation and support for virtualization,0,G06F
12241990,2025-03-04,"Method, device and system for verifying UWB ranging results",0,G01S|H04W
12238749,2025-02-25,Apparatuses and methods involving communications utilizing different protocols in a common channel,0,H04L|H04W
12231273,2025-02-18,Mobile communication base station system and method,0,G01S|H04B|H04L
12224781,2025-02-11,Transmitter circuit,0,G06F|H04B|H04L
12224773,2025-02-11,Circuitry for encoding a bus signal and associated methods,0,H03K|H03M|H04L
12212660,2025-01-28,Method and device for challenge-response authentication,0,H04L
12212431,2025-01-28,"Controller area network node, CAN system and method for the node",0,H04L
12212430,2025-01-28,Controller area network transceiver and method for the transceiver,0,G06F|H04L
12212074,2025-01-28,Single die design for different polarizations,0,H01L|H01Q
12211840,2025-01-28,Metal oxide semiconductor device,0,H01L|H10D
12206521,2025-01-21,Apparatus for a controller area network,0,H04B|H04L
12199696,2025-01-14,Near-field wireless device,0,H04B|H04L|H04W
12199333,2025-01-14,Semiconductor device having uniform multi-package antenna array and method of manufacture,0,H01L|H01Q
12198998,2025-01-14,Dielectric sidewall protection and sealing for semiconductor devices in a in wafer level packaging process,0,H01L
12197626,2025-01-14,Communication node with secure cryptographic keys and methods for securing therein,0,G06F
12197558,2025-01-14,Method for authenticating an electronic device,0,G06F|H04L
12196804,2025-01-14,System for scan mode exit and methods for scan mode exit,0,G01R|G06F
12192949,2025-01-07,Efficient UWB ranging,0,G01S|H04B|H04W
12183595,2024-12-31,Selective underfill assembly and method therefor,0,H01L
12177363,2024-12-24,Fault countermeasures for digital signatures with aborts,0,G06F|H04L
12177338,2024-12-24,System and method for flexible post-quantum trust provisioning and updating,0,H04L
12177153,2024-12-24,Communications with utilization of current preamble for decoding previous message,0,H04B|H04L|H04W
12166879,2024-12-10,Rejection of masked polynomials,0,H04L
12164781,2024-12-10,System and method for managing memory errors in integrated circuits,0,G06F
12164427,2024-12-10,Data flow monitoring in a multiple core system,0,G06F
12164401,2024-12-10,Method and apparatus to inject errors in a memory block and validate diagnostic actions for memory built-in-self-test (MBIST) failures,0,G01R|G06F|G11C
12164369,2024-12-10,Method and apparatus for selective input/output (IO) terminal safe-stating for independent on-chip applications,0,G06F
12164326,2024-12-10,Phase shifted clock generator,0,G06F|H03K|H03L
12159042,2024-12-03,"Managing memory of a secure element domain, electronic device and method",0,G06F
12142527,2024-11-12,Method and system for regulating plasma dicing rates,1,G01R|H01L|H10D
12141636,2024-11-12,"RFID tag IC with standard-adapted counter increment, and RFID communication system",0,G06K|G06Q|H04W
12137339,2024-11-05,Ultra-wideband communication node and method for contention based ranging,0,H04L|H04W
12137010,2024-11-05,Network node identification using wireless signal signatures,0,G08C|H01M|H04B|H04L|H04Q|Y02E
12132816,2024-10-29,Method and integrated circuit for clock recovery in an RFID tag,0,G06K|H04L
12130373,2024-10-29,"Method, system, and device for wireless localization",0,G01S|H04W
12127091,2024-10-22,Wearable safety apparatus including a body area network transceiver,0,G06F|G16H|H04B|H04W
12125780,2024-10-22,Extendable inner lead for leaded package,0,H01L
12125771,2024-10-22,Semiconductor package having lead frame with semiconductor die and component module mounted on opposite surfaces of the lead frame and methods of manufacture thereof,0,H01L
12124385,2024-10-22,Bandwidth allocation,0,G06F
12124347,2024-10-22,System and method for managing secure memories in integrated circuits,0,G06F|G11C|H04L
12119893,2024-10-15,"NFC device, operating method and computer program",0,G06Q|H04B
12113909,2024-10-08,Method and electronic device for decrypting homomorphically encrypted data,0,H04L
12113647,2024-10-08,Controller area network apparatus with reconfiguration signalling,0,H04L
12113550,2024-10-08,Enhanced tearing save encoding,0,G06F|H03M
12106884,2024-10-01,"Radio frequency auto-transformer, radio frequency device and method of construction of an auto-transformer",0,H01F|H01L|H03F|H03H
12105583,2024-10-01,Fault recovery system for functional circuits,0,G06F
12099394,2024-09-24,Preserving a decoupling capacitor's charge during low power operation of a logic circuit,0,G06F
12086246,2024-09-10,Method for protecting a machine learning model from a side channel attack,0,G06F
12081371,2024-09-03,"Device for can transceiver, transceiver and method",1,H03F|H04B|H04L
12080601,2024-09-03,Packaged semiconductor devices and methods therefor,0,H01L
12079086,2024-09-03,Transceiver device,1,G06F|H04L
12074124,2024-08-27,Integrated circuit package with integrated waveguide launcher,1,G01S|H01L|H01P|H01Q|H05K|Y02P
12072757,2024-08-27,Data processing system with tag-based queue management,0,G06F
12061228,2024-08-13,Degradation monitor for bond wire to bond pad interfaces,0,G01R|H01L
12052051,2024-07-30,Ultra-wideband receiver module,1,G01S|H04B|H04L
12050512,2024-07-30,Dynamic configuration of reaction policies in virtualized fault management system,0,G06F
12050284,2024-07-30,Automotive radar with hardware accelerated target detection capability,0,G01S|G06F
12047491,2024-07-23,Speeding up hash-chain computations,0,H04L
12047489,2024-07-23,Apparatus to cryptographically provide a digital output signal as a response to a challenge,0,H04L
12047113,2024-07-23,Communication device and operating method,0,G01S|H04B|H04L
12041561,2024-07-16,Method and technique of highly accurate carrier frequency offset estimation,0,G01S|H04L|H04W
12040034,2024-07-16,Method to increase the usable word width of a memory providing an error correction scheme,0,G06F|G11C|H03M
12035133,2024-07-09,Secure key generation using a chaotic oscillator,0,G09C|H04B|H04L|H04W
12032690,2024-07-09,Method for protecting a machine learning model from a side channel attack,1,G06F|G06N
12032684,2024-07-09,Method for detecting a fault injection in a data processing system,1,G06F|G09C|H04L
12028184,2024-07-02,Controller area network module and method for the module,0,H04L
