patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432076,2025-09-30,Provisioning hosts with operator accounts for use by clients to access target resources,0,H04L
12430670,2025-09-30,Personalized internal services via a privacy-constrained content promotion platform,0,G06N|G06Q
12430333,2025-09-30,Efficiently processing query workloads with natural language statements and native database commands,0,G06F
12430330,2025-09-30,Calibrating confidence scores of a machine learning model trained as a natural language interface,0,G06F
12430329,2025-09-30,Transforming natural language to structured query language based on multi- task learning and joint training,0,G06F|G06N
12430327,2025-09-30,Answer generation using machine reading comprehension and supported decision trees,0,G06F|G06N
12430323,2025-09-30,Techniques for concurrent data value commits,0,G06F
12430237,2025-09-30,Regional capability aware proxy testing,0,G06F|H04L
12430222,2025-09-30,Dedicated cloud regions at customer premises,0,G06F|H04L
12429840,2025-09-30,Datacenter level power management with reactive power capping,0,G05B|G06F
12425863,2025-09-23,"Methods, systems, and computer readable media for detecting and mitigating security attacks on producer network functions (NFs) using error response messages",0,H04L|H04W
12425413,2025-09-23,Merging a new region into classified realms,0,G06F|H04L
12425300,2025-09-23,Techniques for rotating resource identifiers in prefab regions,0,H04L
12425240,2025-09-23,Certificate revocation list management services,0,H04L
12425239,2025-09-23,Authenticating certificate bundles with asymmetric keys,0,H04L
12423599,2025-09-23,Efficient and accurate regional explanation technique for NLP models,0,G06F|G06N
12423530,2025-09-23,Training data generation to facilitate fine-tuning embedding models,0,G06F|G10L|H04L
12423439,2025-09-23,AI based patch management,0,G06F
12423329,2025-09-23,Cluster based node assignment in multi-dimensional feature space,0,G06F|G06N
12423321,2025-09-23,Autonomous user-directed insights and dashboard recommendations,0,G06F|G06N
12423301,2025-09-23,Diskless active data guard as cache,0,G06F
12423293,2025-09-23,Streaming change logs from streaming database tables,0,G06F
12423210,2025-09-23,Optimized recompilation using hardware tracing,0,G06F
12423162,2025-09-23,Anomaly detection using forecasting computational workloads,0,G06F|G06N
12423155,2025-09-23,Multi-layer forecasting of computational workloads,0,G06F|G06N
12423138,2025-09-23,Reentrant service deployments,0,G06F
12423115,2025-09-23,Techniques for managing region build dependencies,0,G06F
12418706,2025-09-16,Scalable architecture for automatic generation of content distribution images,0,G06F|G06N|G06T|H04N
12418539,2025-09-16,Re-executing an authorization process to determine an updated set of authorized actions that may be initiated by a computing entity during a session,0,G06F|H04L
12418532,2025-09-16,Portable access point for secure user information using a blockchain backed credential,0,G06F|H04L
12418481,2025-09-16,Egress traffic policy enforcement at target service on traffic from service tenancy,0,H04L
12417383,2025-09-16,Neural signal detection,0,G06N
12417348,2025-09-16,Training data augmentation using gazetteers and perturbations to facilitate training named entity recognition models,0,G06F|G06N
12417228,2025-09-16,Techniques for in-memory stitching,0,G06F|G06Q
12417160,2025-09-16,Automated performance testing for database management systems,0,G06F
