patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12425724,2025-09-23,Method and system for auto-detection and auto-connection between a device and an accessory device,0,H04N|H04W
12425533,2025-09-23,Reducing number of video framing,0,G11B|H04N
12423936,2025-09-23,Limited luminance motion blur reduction,0,G06T|G06V
12413902,2025-09-09,Dynamic wind noise compression tuning,0,G06F|H04R
12407908,2025-09-02,Heatsink of an image capture device,0,G03B|H04N|H05K
12401879,2025-08-26,Integrated image sensor and lens assembly,0,G03B|H04N
12401872,2025-08-26,Mounting structure for an integrated sensor-lens assembly in an image capture device,0,H04N
12400684,2025-08-26,Apparatus and method of removing selective sounds from a video,0,G03B|G08B|G10L|G11B|H04N|H04R
12399681,2025-08-26,Image capture device control using mobile platform voice recognition,0,G06F|G10L|H04N
12399419,2025-08-26,Camera and camera mount,0,F16M|G03B|H04N
12395696,2025-08-19,Pipelined video interface for remote controlled aerial vehicle with camera,0,B64U|H04L|H04N
12394448,2025-08-19,Systems and methods for inserting transitions into video edits,0,G06T|G11B
12389112,2025-08-12,Systems and methods for changing image capture device operation,0,H04N
12389102,2025-08-12,Bucket architecture for an image capture device including a reconfigurable PCB module,0,H04N|H05K
12389100,2025-08-12,Digital image capturing devices including lens modules with integrated sensor-lens assemblies,0,G02B|G03B|H04N
12388945,2025-08-12,Application of dolly zoom effect to videos,0,G06T|G06V|H04N
12387764,2025-08-12,Methods and apparatus for enabling playback of content during an ongoing capture,0,G11B|H04N
12387389,2025-08-12,Systems and methods for simulating multiple lenses,0,G06T|H04N
12387375,2025-08-12,Dynamic lens calibration,0,G06K|G06T|H04N
12387286,2025-08-12,Methods and apparatus for hardware accelerated image processing for spherical projections,0,G06T
12382164,2025-08-05,Three-dimensional noise reduction,0,G06T|H04N
12381996,2025-08-05,Systems and methods for framing videos,0,G06T|H04N
12375805,2025-07-29,Systems and methods for stabilizing videos using optical flow derived motion and motion solve derived motion,0,G06T|H04N
12366792,2025-07-22,Removable lens accessories for image capture devices,0,G02B|G03B|H04N
12363373,2025-07-15,Systems and methods for setting viewing directions for videos,0,H04N
12363372,2025-07-15,Broadcast management system,0,H04N
12363238,2025-07-15,Image capture device with a datastore for process component integration,0,G06F|H04N
12356147,2025-07-08,Submersible speaker system with a compressible spacer,0,H04N|H04R
12348821,2025-07-01,Systems and methods for streaming video edits,0,G11B|H04L|H04N
12347460,2025-07-01,Systems and methods for presenting wide videos,0,G06F|G11B
12347065,2025-07-01,Methods and apparatus for shared image processing among multiple devices,1,G06T
12339516,2025-06-24,Lens stack with replaceable outer lens,0,G02B|H04N
12335325,2025-06-17,Methods and apparatus for just-in-time streaming media,0,G06F|H04L
12333767,2025-06-17,"Systems, apparatus, and methods for color space representation",0,G06T|H04N
12328515,2025-06-10,Image capture flows,0,H04N
12328492,2025-06-10,Integrated sensor and lens assembly with post-tuning optical alignment,0,G02B|H04N
12326650,2025-06-10,Accessory lens structures,0,G02B|G03B|H04N
12316932,2025-05-27,Adjustable thermal solution,0,G03B|H04N|H05K
12313958,2025-05-27,Interchangeable lens module,0,G03B|H04N
12309469,2025-05-20,Remote image capture and mounting ecosystem,0,G03B|H04N
12309343,2025-05-20,Systems and methods for identifying viewing directions for video content,0,G06F|H04N
12302028,2025-05-13,Conversion between aspect ratios in camera,0,G06T|G09G|H04N
12302000,2025-05-13,Systems and methods for horizon leveling videos,0,G06T|H04N
12301969,2025-05-13,Modular camera with interchangeable image head and sub-system bases,0,G03B|H04N
12299934,2025-05-13,"Systems, methods, and apparatus for piggyback camera calibration",0,G06T|H04N
12294762,2025-05-06,Systems and methods for inserting content into videos,0,G06T|H04N
12289530,2025-04-29,Image capture device for generating panoramas while recording video,0,H04N
12289523,2025-04-29,Systems and methods for stabilizing videos,0,H04N
12289522,2025-04-29,Systems and methods for assessing stabilization of videos,0,G06T|H04N
12288311,2025-04-29,System and methods for simulating continuity between separate media items,0,G06T|G06V|H04N
12287826,2025-04-29,Systems and methods for sharing media items capturing subjects,0,G06F
12284439,2025-04-22,Systems and methods for dynamic stabilization adjustment,0,H04N
12279044,2025-04-15,Systems and methods for generating distance-lapse videos,0,H04N
12272380,2025-04-08,Systems and methods for generating time lapse videos,0,G06T|G06V|G11B|H04N
12267616,2025-04-01,Methods and apparatus for metadata-based processing of media content,0,G11B|H04N
12267581,2025-04-01,Boot sequence in cold temperatures,0,G06F|H04N|Y02D
12262119,2025-03-25,Apparatus and methods for pre-processing and stabilization of captured image data,0,G06T|H04N
12262115,2025-03-25,Methods and apparatus for electronic image stabilization based on a lens polynomial,0,H04N
12262104,2025-03-25,Image capture device,0,H04N
12259640,2025-03-25,Underwater systems for digital image capturing devices,0,A45C|G03B|H04N
12256147,2025-03-18,Systems and methods for stabilizing videos,0,H04N
12256138,2025-03-18,User-linked features for image capture device,0,G06F|G06Q|H04N
12254903,2025-03-18,Composite video generation,0,G06T|G06V|G11B|H04N
12249351,2025-03-11,Video edits using saliency,0,G06T|G06V|G11B
12244962,2025-03-04,Systems and methods for generating time-lapse videos,0,G06T|H04N
12244887,2025-03-04,Systems and methods for matching audio to video punchout,0,G06F|H04N
12243560,2025-03-04,Interface for setting speed and direction of video playback,0,G11B|H04N
12243307,2025-03-04,Scene and activity identification in video summary generation,0,G06T|G06V|G10L|G11B|H04N
12243184,2025-03-04,Virtual lens simulation for video and photo cropping,0,G06T
12238427,2025-02-25,Global tone mapping,0,G06T|H04N
12225602,2025-02-11,Credential transfer management camera system,0,H04N|H04W
12219268,2025-02-04,Intelligent sensor switch during recording,0,H04N
12212847,2025-01-28,Combined mechanical and electronic image stabilization,0,G01C|G02B|H04N
12212831,2025-01-28,Electrical connectivity between detachable components,0,G03B|H01R|H04N
