patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12433020,2025-09-30,Multi-VT solution for replacement metal gate bonded stacked FET,0,H01L|H10D
12432968,2025-09-30,Nanowire source/drain formation for nanosheet device,0,B82Y|H01L|H10D
12432276,2025-09-30,Augmenting broker capabilities on massive IoT scenarios,0,G16Y|H04L
12432229,2025-09-30,Detection of malicious encryption based on machine learning,0,G06N|H04L
12432168,2025-09-30,Timeout processing for aggregation messaging in an integration environment,0,H04L
12432122,2025-09-30,Artificial intelligence integrator,0,G06F|G06N|G06Q|G16B|H04L|H04W
12432044,2025-09-30,Encrypting data exchanged between components in a link layer with automatic locking between the transmitting component and the receiving component,0,H04L
12431469,2025-09-30,Vertically stacked FET with strained channel,0,H01L|H10D
12431432,2025-09-30,Method and apparatus for supplying power to VLSI silicon chips,0,H01L
12431408,2025-09-30,TSV and backside power distribution structure,0,H01L
12431404,2025-09-30,Fatigue failure resistant electronic package,0,H01L
12431157,2025-09-30,Audio playback and captioning,0,G06F|G10L|G11B
12430859,2025-09-30,Testing of collaborative mixed reality objects,0,G06T
12430816,2025-09-30,Color replacement for the colorblind using an automatic image colorization artificial intelligence model,0,G06T
12430815,2025-09-30,Predicting object deformation using a generative adversarial network model,0,G06N|G06T|G06V
12430616,2025-09-30,Automated evaluation of code delivery,0,G06F|G06Q
12430600,2025-09-30,Strategic planning using deep learning,0,G06N|G06Q
12430579,2025-09-30,Generating DC offsets in flux-tunable transmons with persistent current loops,0,G06N|H10N
12430570,2025-09-30,Artificial intelligence driven log event association,0,G06N
12430506,2025-09-30,Conversational system action presentation,0,G06F|H04L
12430496,2025-09-30,Iteratively updating a document structure to resolve disconnected text in element blocks,0,G06F|G06V
12430464,2025-09-30,Data leakage protection using generative large language models,0,G06F|G06N
12430460,2025-09-30,Sensitive stored procedure identification in real-time and without data exposure,0,G06F
12430431,2025-09-30,Secure material movement to prevent malware propagation,0,G06F
12430425,2025-09-30,Continues integration and continues deployment pipeline security,0,G06F|G06N
12430423,2025-09-30,Automated generation of labeled training data,0,G06F
12430417,2025-09-30,Authentication of images based on projected encoded pattern,0,G06F|G06Q|H04L
12430400,2025-09-30,Multi-class classification using a dual model,0,G06F|G06N
12430399,2025-09-30,Selection of pauli strings for variational quantum eigensolver,0,G06F|G06N
12430397,2025-09-30,Convolutions with optical finite impulse response filters,0,G03B|G06F|H03H
12430366,2025-09-30,Data classification using dynamically filtered formats,0,G06F
12430364,2025-09-30,Performance of row table to columnar table replication,0,G06F
12430228,2025-09-30,Determining non-functional requirements (NFR) from a run time environment and incorporating into a development cycle,0,G06F
