patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432899,2025-09-30,Method of preparing semiconductor structure having low dielectric constant layer,0,H01L|H10B
12431427,2025-09-30,Semiconductor device structure with liner layer having tapered sidewall and method for preparing the same,0,H01L
12431425,2025-09-30,Conductive structure and capacitor structure and method for manufacturing the same,0,H01L|H10D
12431410,2025-09-30,Semiconductor device with polymer liner and method for fabricating the same,0,H01L
12431393,2025-09-30,Manufacturing method for semiconductor structures,0,H01L
12431353,2025-09-30,Hardmask structure and method of forming semiconductor structure,0,G03F|H01L
12431185,2025-09-30,Memory devices including mechanism of protecting a vulnerable word line based on the previous refreshed word lines and relevant methods,0,G06F|G11C
12424564,2025-09-23,Semiconductor device having a shielding line for signal crosstalk suppression,0,G11C|H01L|H10B
12424556,2025-09-23,Semiconductor device with adjustment layers and method for fabricating the same,0,H01L|H10B
12424552,2025-09-23,Semiconductor structure and method of manufacturing thereof,0,H01L
12421595,2025-09-23,Deposition system for fabricating semiconductor device structure,0,C23C|G06N|H01L
12417982,2025-09-16,Semiconductor device with contact structure,0,H01L
12417157,2025-09-16,System and method for testing memory device,0,G06F
12416856,2025-09-16,Method of manufacturing semiconductor device structure,0,G03F|H01L
12412785,2025-09-09,Semiconductor structure having contact plug and method of manufacturing the same,0,H01L|H10B
12412755,2025-09-09,Etching system for fabricating semiconductor device structure,0,G06N|H01L
12408444,2025-09-02,Semiconductor device structure with fuse and resistor and method for preparing the same,0,H01L|H10D
12406933,2025-09-02,Semiconductor device including through-insulator via structure,0,H01L
12406860,2025-09-02,Method of forming conductive layer of semiconductor device,0,H01L
12406855,2025-09-02,Method for preparing semiconductor device structure with energy removable spacers,0,H01L
12400992,2025-08-26,Semiconductor device with supporter against which bonding wire is disposed and method for preparing the same,0,H01L
12400955,2025-08-26,Semiconductor device with porous dielectric layers and method for fabricating the same,0,H01L
12400951,2025-08-26,Semiconductor device and method of manufacturing the same,0,H01L
12396206,2025-08-19,Semiconductor device with shallow contacts and method for fabricating the same,0,H01L|H10B|H10D
12394721,2025-08-19,Package structure including at least two electronic components,0,H01L
12394710,2025-08-19,Semiconductor device having fuse component,0,G11C|H01L|H10B
12394709,2025-08-19,Method for fabricating semiconductor device with fuse structure,0,H01H|H01L
12394677,2025-08-19,Semiconductor structure with overlay mark and system for manufacturing the same,0,G03F|H01L
12394664,2025-08-19,Method of manufacturing semiconductor structure having fins,0,H01L|H10D
12394662,2025-08-19,Method for patterning active areas comprising different operations in semiconductor structure,0,H01L
12389592,2025-08-12,Memory device and method of forming the same,0,G11C|H01L|H10B
12381167,2025-08-05,Semiconductor structure having vias with different dimensions,0,H01L
12381157,2025-08-05,Semiconductor device with an insulative decoupling unit positioned between two of a plurality of conductive features,0,H01L
12381137,2025-08-05,Semiconductor device with composite middle interconnectors,0,H01L
12374618,2025-07-29,Device and method of manufacturing the same,0,H01L
12374609,2025-07-29,Integrated circuit package structure with conductive stair structure,0,H01L
12372396,2025-07-29,Test system and method,0,G01H|G06F|G11C
12369298,2025-07-22,Semiconductor device with etched landing pad surface and manufacturing method thereof,0,H01L|H10B
12363986,2025-07-15,Semiconductor device with contact structure and method for fabricating the same,0,H01L|H10D
12363886,2025-07-15,Semiconductor device structure having a channel layer with different roughness,0,H01L|H10B|H10D
12362290,2025-07-15,Semiconductor structure with a porous structure,0,H01L
