patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431396,2025-09-30,"Temperature correction information calculation device, semiconductor manufacturing apparatus, storage medium, and temperature correction information calculation method",0,C23C|H01L
12431392,2025-09-30,Substrate processing method and substrate processing apparatus,0,B23K|H01L
12431384,2025-09-30,Substrate processing apparatus,0,C23C|H01L
12431374,2025-09-30,Information acquisition system and information acquisition method,0,H01L
12431373,2025-09-30,"Temperature correction information calculating device, semiconductor manufacturing apparatus, recording medium, and temperature correction information calculating method",0,H01L
12431372,2025-09-30,"Heating device, substrate processing system, and heating method",0,H01L
12431362,2025-09-30,Method for etching high aspect ratio features within a dielectric using a hard mask stack having multiple hard mask layers,0,H01L
12431335,2025-09-30,Substrate processing method and substrate processing apparatus,0,C23F|C23G|H01J|H01L
12429782,2025-09-30,Substrate processing apparatus and substrate processing method,0,G03F|H01L
12428721,2025-09-30,Film forming apparatus and film forming method,0,C23C|H01J|H01L
12428242,2025-09-30,"Information processing apparatus, transfer position correction method, and substrate processing apparatus",0,B65G|G06T|H01L
12427551,2025-09-30,Filter cleaning system and filter cleaning method,0,B01D|B08B|H01L
12424467,2025-09-23,Systems and methods for determining a localized fluid velocity on a spinning substrate by tracking movement of a tracer across the spinning substrate,0,H01L
12424462,2025-09-23,"Information processing system, temperature control method, and heat treatment apparatus",0,H01L
12424461,2025-09-23,Separating system and separating method,0,B32B|H01L|Y10T
12424459,2025-09-23,Substrate processing apparatus and substrate processing method,0,B05B|H01L
12424447,2025-09-23,Method to selectively etch silicon nitride to silicon oxide using water crystallization,0,H01L
12424442,2025-09-23,Methods for forming semiconductor devices using modified photomask layer,0,H01J|H01L
12424424,2025-09-23,"Plasma monitoring system, plasma monitoring method, and monitoring device",0,G01N|H01J|H01L|H05H
12424416,2025-09-23,Substrate processing apparatus and parameter acquisition method,0,H01J|H01L|H05B
12421604,2025-09-23,Ultra-shallow dopant and ohmic contact regions by solid state diffusion,0,B82Y|C23C|H01L|H10D
