patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432812,2025-09-30,Configuring discontinuous reception for PC5 interface,0,H04W|Y02D
12432600,2025-09-30,Disabling analytics information of a network analytics function,0,H04L|H04W
12432588,2025-09-30,Channel state information reporting,0,H04B|H04L|H04W
12432190,2025-09-30,Support for concurrent identities in an identity management solution,0,H04L
12431049,2025-09-30,Information processing apparatus and control method,0,G06F|G09G
12430946,2025-09-30,Information processing apparatus and control method,0,G06F|G06V|G09G
12429978,2025-09-30,Fingernail detection at haptic touchpad buttons,0,G06F
12429923,2025-09-30,Stand and keyboard-stand set,0,G06F
12429913,2025-09-30,Electronic apparatus,0,F16C|G06F
12426182,2025-09-23,Cable dock,0,G06F|H05K
12426080,2025-09-23,Prioritization of overlapping SL and UL transmissions,0,H04W
12424877,2025-09-23,Charging device,0,G06F|H01F|H02J
12424074,2025-09-23,Message generation for detected disruption,0,G08B|H04L
12423385,2025-09-23,Automatic classification of messages based on keywords,0,G06F
12419007,2025-09-16,Power system based fan control method,0,G06F|H05K
12418877,2025-09-16,Configuring positioning measurements and reports,0,G01S|H04B|H04L|H04W
12418629,2025-09-16,Recommending connecting on a platform based on participant interaction,0,G06Q|H04L|H04N
12417763,2025-09-16,Change of digital assistant voice frequency based on matching frequency from environment,0,G01C|G06F|G10L|H04R
12417587,2025-09-16,Presentation of representation of device in virtual space based on live physical attribute(s),0,G06F|G06T
12417271,2025-09-16,Electronic apparatus and control method,0,G06F|G06T|G06V
12416980,2025-09-16,Hand customizable human input device,0,G06F
12406750,2025-09-02,Encoding digital data using oligonucleotides,0,G06N|G16B
12406525,2025-09-02,Electronic apparatus and control method,0,G06V|H04N
12404967,2025-09-02,"Stand, method of manufacturing stand, and keyboard-stand set",0,B29C|B29L|F16M|G06F
12402070,2025-08-26,Selecting an application instance,0,H04W
12402057,2025-08-26,Configuring repeater-assisted communication,0,H04B|H04W
12402003,2025-08-26,Using a pseudonym for access authentication over non-3GPP access,0,H04L|H04W
12401551,2025-08-26,Determining a composite zero-forcing equalizer,0,H04B|H04L
12399540,2025-08-26,Electronic apparatus,0,G06F
12396028,2025-08-19,Listen-before-talk for discovery reference signal transmission,0,H04B|H04L|H04W
