patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432449,2025-09-30,Electronic image stabilization device and method thereof,0,H04N
12432373,2025-09-30,Method and apparatus for hardware-friendly template matching in video coding system,0,G06V|H04N
12432349,2025-09-30,Method and apparatus of entropy coding for scalable video coding,0,H04N
12430722,2025-09-30,Image processing method and image processing device,0,G06T
12430542,2025-09-30,Compiling asymmetrically-quantized neural network models for deep learning acceleration,0,G06F|G06N
12425683,2025-09-23,Clock control method and electronic device thereof,0,G09G|H04N
12425597,2025-09-23,Method and apparatus for multiple hypothesis prediction in video coding system,0,H04N
12424989,2025-09-23,Electronic device and method for envelope tracking,0,H03F|H04B|H04L
12424531,2025-09-23,Semiconductor package structure,0,H01L
12422912,2025-09-23,Electronic system and protection method for power management circuit,0,G06F
12418859,2025-09-16,UE auto update cag configuration when accessing pni-npn as hosting network for localized services,0,H04W
12418819,2025-09-16,Method and apparatus for satellite access network measurement within overlapping gaps,0,H04B|H04W
12418787,2025-09-16,Apparatuses and methods for simultaneous reception or transmission associated with dual subscriber numbers using a single radio frequency (RF) device,0,H04W
12417119,2025-09-16,Thermal-aware task scheduling,0,G06F|Y02D
12411474,2025-09-09,"Integrated circuit configurable to perform adaptive thermal ceiling control in per-functional-block manner, associated main circuit, associated electronic device and associated thermal control method",0,G05B|G06F|Y02D
12408084,2025-09-02,Wireless communication device using higher physical layer data rate for channel state information transmission and associated wireless communication method,0,H04L|H04W
12407546,2025-09-02,Decision-feedback equalizer using feedback filter with controllable delay circuit and associated method,0,H03K|H04L
12407371,2025-09-02,Dynamic tuning method for time-average SAR and user equipment thereof,0,H04B|H04W
12402073,2025-08-26,Control method of user equipment with adaptive system selection strategy,0,H04W|Y02D
12400944,2025-08-26,Board-level pad pattern for multi-row QFN packages,0,H01L|H05K
12400687,2025-08-26,Semiconductor die having on-die power switch for selecting target operation voltage from operation voltages provided by different power sources,0,G06F|G11C
12399858,2025-08-26,Method and device for reducing latency in a peripheral component interconnect express link,0,G06F
12395862,2025-08-19,Apparatuses and methods for co-reception (Co-Rx) operation of multiple transceiver radios sharing the same antenna and low noise amplifier (LNA),0,H04B|H04W
12395640,2025-08-19,Method and apparatus for hardware-friendly rate-distortion optimized quantization in video coding,0,H04N
12395624,2025-08-19,Method and apparatus for coding mode selection in video coding system,0,H04N
12395187,2025-08-19,Computer architecture with data decompression support for neural network computing,0,G06F|H03M
12389228,2025-08-12,"Attack prevention method for dealing with authentication flooding attack, association flooding attack, and/or reassociation flooding attack and access point using the same",0,H04W
12388560,2025-08-12,Mechanism to cancel LTE CRS interference from neighboring cell in DSS,0,H04L|H04W
12388447,2025-08-12,Clock and data recovery circuit with spread spectrum clocking synthesizer,0,H03L|H04B|H04L
12388194,2025-08-12,Antenna-in-module package-on-package with air trenches,0,H01L|H01Q
12388026,2025-08-12,Electronic package with rotated semiconductor die,0,H01L|H03M
12382526,2025-08-05,Handling of collision between PDU session establishment and modification procedure,0,H04W
12382478,2025-08-05,Wireless fidelity device with dynamic capability allocation and related capability allocation method,0,H04W
12382417,2025-08-05,Parameters handling for SNPN-enabled UE,0,H04W
12379735,2025-08-05,Reference voltage auto-switching mechanism used in regulator for saving more power in low-power mode,0,G05F|G06F|H02M
