patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431126,2025-09-30,Media engagement through deep learning,0,G06F|G06N|G10L|H03G|H04R
12430913,2025-09-30,Event information extraction from game logs using natural language processing,0,A63F|G06F|G06V
12430851,2025-09-30,Synthesizing high resolution 3D shapes from lower resolution representations for synthetic data generation systems and applications,0,G06T
12430842,2025-09-30,Differentiable object insertion using hybrid lighting volumes for synthetic data generation,0,G06T
12430702,2025-09-30,Learning robotic tasks using one or more neural networks,0,B25J|G05B|G05D|G06N|G06T
12430564,2025-09-30,Fine-tuning policies to facilitate chaining,0,B25J|G05B|G06N
12430485,2025-09-30,VLSI placement optimization using self-supervised graph clustering,0,G06F
12430402,2025-09-30,Confidence generation using a neural network,0,A01B|A01C|A01G|A01M|B60W|G06F|G06N|G06V|G16H
12427418,2025-09-30,Gamer training using neural networks,0,A63F|G06F|G06N|G06V
12425605,2025-09-23,Image in-painting for irregular holes using partial convolutions,0,G06N|G06T|H04N
12425277,2025-09-23,Decision feed forward equalization for partial response equalized signal including pre-cursor cancelation,0,H04L
12423940,2025-09-23,Targeted object detection in image processing applications,0,G06F|G06N|G06T|G06V
12423906,2025-09-23,Ray tracing using reservoir resampling with spatial shift-mapping,0,G06T
12423905,2025-09-23,Denoising dynamically ray-traced scenes using temporal and spatial variances of historical pixel values,0,G06T|G09G
12423787,2025-09-23,Remastering lower dynamic range content for higher dynamic range displays,0,G06N|G06T
12423782,2025-09-23,Rendering frames using jittered filter taps,0,G06T
12423781,2025-09-23,Techniques for content synthesis using denoising diffusion models,0,G06N|G06T
12423583,2025-09-23,Selecting annotations for training images using a neural network,0,G06F|G06N
12423570,2025-09-23,Accelerated training for neural network models,0,G06F|G06N
12423128,2025-09-23,Adaptive task scheduling for virtualized environments,0,G06F
12423076,2025-09-23,Code generation based on processor usage,0,G06F
12423074,2025-09-23,Neural network layer fusion,0,G06F|G06N
12423029,2025-09-23,"Systems, methods, and apparatuses for making writes to persistent memory",0,G06F
12423007,2025-09-23,Techniques for tensor memory allocation,0,G06F|G06N
