patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431370,2025-09-30,Reinforcement portion processing apparatus,0,B23K|H01L
12424494,2025-09-23,Processing method of wafer,0,B28D|H01L
12424478,2025-09-23,Apparatus for and method of processing workpiece,0,B23Q|H01L
12424456,2025-09-23,Method of manufacturing package device,0,B24B|B24D|H01L
12417938,2025-09-16,Processing apparatus for integrating a semiconductor wafer and an annular frame through a tape,0,B23K|H01L
12412788,2025-09-09,Processing method,0,B23K|H01L
12411600,2025-09-09,Touch panel,0,G06F|H01L
12409527,2025-09-09,Grinding method for circular plate-shaped workpiece,0,B24B|H01L
12406861,2025-09-02,Method of placing protective member on workpiece,0,B29C|H01L
12400900,2025-08-26,Manufacturing method of chips and tape sticking apparatus,0,B23K|H01L|H10D
12394658,2025-08-19,Method of processing plate-shaped workpiece,0,B23K|H01L
12384048,2025-08-12,Transfer apparatus,0,B25J|H01L
12383982,2025-08-12,Laminated device wafer forming method,0,B23K|H01L
12374607,2025-07-29,"Package substrate, package substrate processing method, and packaged chip",0,H01L
12374587,2025-07-29,Method of processing workpiece,0,B23K|H01L
12368049,2025-07-22,Protective film agent and processing method of workpiece,0,C08K|C09D|H01L
12365118,2025-07-22,Manufacturing method of protective-component-provided workpiece,0,B23K|B26D|B29C|B29L|H01L
12354995,2025-07-08,Laminated device chip manufacturing method,0,H01L
12354916,2025-07-08,Method of processing wafer,0,B23K|H01L
12354902,2025-07-08,Wafer processing method,0,H01L
12343836,2025-07-01,Treatment method of workpiece,0,B23Q|H01L
12341068,2025-06-24,Method of manufacturing chips,0,B28D|H01L
12330266,2025-06-17,Polishing apparatus with thickness measuring unit,0,B24B|H01L
12330251,2025-06-17,Holding unit,0,B23Q|H01L
12322655,2025-06-03,Method of manufacturing layered device chip assembly,0,H01L
12322638,2025-06-03,Processing apparatus,0,B23K|H01L
12317653,2025-05-27,Method of manufacturing LED display panel,0,H01L|H10H
12315744,2025-05-27,Processing apparatus,0,H01L
12315716,2025-05-27,Wafer processing method,0,H01L
12312512,2025-05-27,Adhesive sheet for backgrinding and production method for semiconductor wafer,0,B24B|C09J|H01L
12311470,2025-05-27,Method of processing monocrystalline silicon wafer,0,B23K|H01L
12308293,2025-05-20,Method of processing wafer,0,H01L
12308276,2025-05-20,Tape pressure bonding apparatus,0,H01L
12308262,2025-05-20,Processing apparatus,0,B23K|H01L
12304109,2025-05-20,Method of separating wafer,0,B23K|B28D|H01L
12304029,2025-05-20,Grinding wheel,0,B24B|B24D|H01L
12303946,2025-05-20,Ultrasonically activated water ejector,0,B05B|B08B|H01L
12300546,2025-05-13,Wafer dividing method,0,H01L
12300545,2025-05-13,Wafer manufacturing method and laminated device chip manufacturing method,0,H01L
12300544,2025-05-13,Expanding method and expanding apparatus,0,H01L
12298126,2025-05-13,Operation accuracy measuring method,0,B23Q|B25J|G01B|G05B|H01L
12296407,2025-05-13,Laser processing apparatus,0,B23K|B29C|H01L
12296402,2025-05-13,Laser processing apparatus,0,B23K|G06T|H01L
12295174,2025-05-06,Substrate dividing method using an expansion tape and a roller,0,B23K|H01L|H10D|Y02P
12293931,2025-05-06,Tape roll and tape mounter,0,B65H|H01L
12293915,2025-05-06,Diamond wafer dividing method and chip manufacturing method,0,B23K|H01L|H10D
12290881,2025-05-06,Laser processing method,0,B23K|H01L
12289922,2025-04-29,Processing method,0,B28D|H01L|H10D
12288682,2025-04-29,Processing method of wafer,0,B23K|H01L
12272102,2025-04-08,Positioning method,0,G06T|H01L|H04N
12270790,2025-04-08,Inspection apparatus,0,G01N|H01L
12264908,2025-04-01,Measuring apparatus,0,G01B|H01L
12263539,2025-04-01,Manufacturing methods of wafer and chips and position adjustment method of laser beam,0,B23K|H01L
12255087,2025-03-18,Expanding apparatus,0,H01L
12255086,2025-03-18,Processing method of wafer,0,B24B|H01L
12255071,2025-03-18,Grinding apparatus,0,B24B|H01L
12253458,2025-03-18,Dryness detection method and dryness detection apparatus,0,G01N|H01L
12251768,2025-03-18,Cutting apparatus,0,B23D|B28D|H01L|Y02P
12243766,2025-03-04,"Back grinding adhesive sheet, and method for manufacturing semiconductor wafer",0,B24B|C09J|H01L
12237191,2025-02-25,Wafer holder,0,H01L
12236619,2025-02-25,Processing apparatus,0,G06T|H01L
12230520,2025-02-18,Protective component forming apparatus,0,H01L
12224207,2025-02-11,Method of processing a workpiece and system for processing a workpiece,0,H01L
12220840,2025-02-11,Sheet sticking apparatus,0,B26D|B28D|H01L
12217966,2025-02-04,"Processing method of wafer, protective sheet, and protective sheet laying method",0,H01L
12211732,2025-01-28,Method of transferring wafer,0,H01L
12211731,2025-01-28,Wafer processing method,0,H01L
12208984,2025-01-28,Tape affixing apparatus,0,B65H|H01L
12198990,2025-01-14,Wafer manufacturing method and laminated device chip manufacturing method,0,H01L
12191216,2025-01-07,Laser processing apparatus and method of correcting converged spot position,0,B23K|G01K|G05D|H01L
12191213,2025-01-07,Inspection method,0,H01L
12191204,2025-01-07,Method of processing wafer and processing apparatus for wafer,0,B23K|H01L
12191172,2025-01-07,Tape mounter,0,B25J|B65G|H01L|H05K
12191138,2025-01-07,Processing method of workpiece,0,B23K|G02B|H01L
12186857,2025-01-07,Wafer processing method,0,B24B|H01L
12183635,2024-12-31,Wafer processing method and wafer processing apparatus,0,H01L
12181267,2024-12-31,Measuring method,0,G01B|H01L
12170225,2024-12-17,Laser processing method,0,H01L
12170224,2024-12-17,Method of processing wafer,0,H01L
12170211,2024-12-17,Laser processing apparatus,0,B23K|G02B|H01L
12151401,2024-11-26,Edge alignment method,0,B28D|G05B|G05D|G06T
12148649,2024-11-19,Processing apparatus and workpiece processing method,0,H01L
12134143,2024-11-05,Laser processing machine,0,B23K|H01L
12129131,2024-10-29,Suction holding table and processing apparatus,0,B24B|B65G|H01L
12128664,2024-10-29,Affixing method and affixing apparatus,0,B32B|H01L
12122061,2024-10-22,Processing method and processing apparatus,0,B26D|H01L
12121993,2024-10-22,Method of processing workpiece and laser processing apparatus,0,B23K|H01L|H10D
12119230,2024-10-15,Wet etching method and wet etching system,0,H01L
12107010,2024-10-01,Manufacturing method of device chip,0,H01L
12106967,2024-10-01,Wafer producing method,0,B23K|H01L
12106966,2024-10-01,Processing method of wafer,0,H01L
12100621,2024-09-24,Method of processing wafer,0,B23K|H01L
12100620,2024-09-24,Wafer processing method and machine,0,H01L
12100612,2024-09-24,Plate-shaped workpiece holding tool,1,B25J|H01L
12097633,2024-09-24,Cutting method,0,B26D|B28D|H01L
12094776,2024-09-17,Wafer processing method,0,H01L
12094751,2024-09-17,Method of processing a substrate,0,H01L
12094742,2024-09-17,Processing apparatus,1,B23K|B65G|H01L
12090563,2024-09-17,Laser reflow method,0,B23K|H01L
12087630,2024-09-10,Chip manufacturing method,0,H01L
12087589,2024-09-10,Method of manufacturing wafer and method of manufacturing stacked device chip,0,H01L
12080564,2024-09-03,Package substrate processing method,0,H01L
12076879,2024-09-03,Method of processing workpiece,1,B26D|H01L
12074067,2024-08-27,Wafer dividing method and dividing apparatus,0,B23K|H01L|H10D
12074053,2024-08-27,Chuck table and method of manufacturing chuck table,0,B23K|B25B|C03B|H01L
12062575,2024-08-13,Wafer processing method,0,H01L
12062533,2024-08-13,Method of producing a substrate and system for producing a substrate,0,B23K|B28D|H01L|Y02P
12051613,2024-07-30,Method  of using a processing apparatus,0,B23K|H01L
12040214,2024-07-16,"Processing apparatus including a cassette mounting section, a reading section, and an information transmitting section transmitting information on progress of process steps to customer that has ordered the processing of each workpiece",0,B25J|H01L
12027404,2024-07-02,Processing apparatus,0,B24B|H01L
12011784,2024-06-18,"Wafer, wafer manufacturing method, device chip manufacturing method, and resistivity markings",0,B23K|H01L
12009229,2024-06-11,Laser processing apparatus,0,B23K|G01J|G05B|H01L
11990371,2024-05-21,Device chip manufacturing method,0,H01L
11986864,2024-05-21,Cleaning apparatus,0,B08B|H01L
11978645,2024-05-07,Laser processing apparatus,0,B23K|G06T|G08B|H01L
11975401,2024-05-07,Detection device,0,B23K|H01L
11967506,2024-04-23,Grinding apparatus,0,B24B|H01L
11946601,2024-04-02,Apparatus utilizing high-pressure air,0,B01D|F17D|G01N|H01L
11945074,2024-04-02,Processing apparatus,0,B24B|H01L
11942346,2024-03-26,Resin applying machine,0,B05C|H01L
11942339,2024-03-26,Sheet attaching apparatus,0,B29C|B29K|B29L|H01L
11937763,2024-03-26,Cleaning nozzle and cleaning method,0,A47L|B08B|H01L
11935863,2024-03-19,Laser reflow apparatus and laser reflow method,0,B23K|G02B|H01L
11935778,2024-03-19,Holding mechanism including Bernoulli pad,0,B25J|H01L
11935765,2024-03-19,Laser processing apparatus,0,B23K|H01L
11935738,2024-03-19,Method of processing a wafer,0,B28D|H01L
11935227,2024-03-19,Notch detecting method,0,G01B|G06T|H01L
11929344,2024-03-12,Die bonding for chip conveying apparatus,0,H01L
11929256,2024-03-12,Wafer processing method and grinding apparatus,0,B24B|H01L
11923223,2024-03-05,Apparatus and method for detecting a wafer in a cassette,0,H01L
11915963,2024-02-27,Protective member forming apparatus,0,B28D|H01L
11901234,2024-02-13,"Method of processing wafer, and chip measuring apparatus",0,H01L
11901231,2024-02-13,Separation method of wafer,1,B23K|H01L
11894271,2024-02-06,Method of processing wafer,0,H01L
11894248,2024-02-06,Protective member attaching apparatus and protective member attaching method,0,B29C|B29K|B29L|H01L
11892282,2024-02-06,Protective film thickness measuring method,0,G01B|H01L
11890711,2024-02-06,Processing apparatus,0,B23Q|G05B|H01L
11881418,2024-01-23,Wafer cleaning apparatus,0,B08B|H01L
11881407,2024-01-23,Processed wafer and method of manufacturing chip formation wafer,0,H01L
11878387,2024-01-23,As-sliced wafer processing method,0,B24B|H01L
11872669,2024-01-16,Cover to vacuum debris while grinding,0,B24B|H01L
11872581,2024-01-16,Ultrasonic water jet apparatus including piezoelectric vibration plate,0,B05B|B06B|B08B|H01L
11862505,2024-01-02,Processing apparatus,1,B23K|B25J|B32B|H01L|H05B|Y10T
11854891,2023-12-26,Wafer manufacturing method and laminated device chip manufacturing method,0,H01L
11845158,2023-12-19,Thickness measuring apparatus,2,B24B|G01B|H01L
11842926,2023-12-12,Method of processing a substrate,0,H01L
11823942,2023-11-21,Thermocompression bonding method for workpiece,0,H01L
11823941,2023-11-21,Method of processing a substrate,0,H01L
11819975,2023-11-21,Workpiece processing apparatus including a resin coater and a resin grinder,0,B05C|B24B|H01L
11819950,2023-11-21,Edge position detecting apparatus,1,B23K|G01B|G01N|H01L
11813717,2023-11-14,Method of grinding workpiece,0,B24B|B24D|B28D|H01L
11810807,2023-11-07,Processing apparatus configured for processing wafers continuously under different processing conditions,0,B65G|H01L
11810803,2023-11-07,Linear gauge,0,F15C|G01B|H01L
11810794,2023-11-07,Setting method of protective component and manufacturing method of protective component,0,B29C|H01L
11794295,2023-10-24,Inclination adjusting mechanism,0,B23Q|B24B|H01L
11791196,2023-10-17,Processing apparatus,0,H01L|Y02P
11784138,2023-10-10,Wafer processing with a protective film and peripheral adhesive,0,H01L
11772300,2023-10-03,Blade holding jig,0,B23B|B23Q|B24B|B28D|H01L
11772226,2023-10-03,Polishing apparatus,2,B24B|H01L
11772190,2023-10-03,Laser oscillator support table and adjustment method of laser oscillator support table,0,B23K|H01L|H01S
11769676,2023-09-26,Protective sheet sticking apparatus,0,B32B|H01L
11764115,2023-09-19,Wafer manufacturing method and laminated device chip manufacturing method,0,H01L
11764114,2023-09-19,Wafer manufacturing method and laminated device chip manufacturing method,0,H01L
11764085,2023-09-19,Processing apparatus,0,B32B|H01L|Y10T
11764066,2023-09-19,Peeling method for peeling off substrate from support plate,0,H01L
11756831,2023-09-12,Wafer manufacturing method and laminated device chip manufacturing method,0,H01L
11756809,2023-09-12,Tape attaching apparatus,0,H01L
11754353,2023-09-12,Processing water supply system,0,F28F|G05D|H01L
11752574,2023-09-12,Laser processing apparatus and adjustment method for laser processing apparatus,0,B23K|G02B|G03H|H01L
11745374,2023-09-05,Cutting apparatus and cutting method,0,B26D|H01L
11738422,2023-08-29,Management method of machining system,0,B24B|H01L
11735463,2023-08-22,Processing method for wafer,0,B29C|H01L
11731239,2023-08-22,Processing apparatus,0,B24B|H01L
11724352,2023-08-15,Wafer processing method,0,B24B|H01L
11721584,2023-08-08,Wafer processing method including crushed layer and wafer processing apparatus,0,B23K|B28D|H01L
11715664,2023-08-01,Holding mechanism,1,H01L
11712783,2023-08-01,Hubbed blade,0,B24D|B28D|H01L
11712747,2023-08-01,Wafer processing method,0,B23K|H01L
11699606,2023-07-11,Cutting apparatus,0,H01L
11691313,2023-07-04,Processing apparatus including a water collection pan,1,B28D|H01L|Y02P
11682569,2023-06-20,Workpiece cutting method,0,H01L
11676833,2023-06-13,"Protective sheet for use in processing wafer, handling system for wafer, and combination of wafer and protective sheeting",0,H01L
11664248,2023-05-30,Resin sheet fixing apparatus,0,H01L
11658050,2023-05-23,Cutting blade position detecting method,0,H01L
11654511,2023-05-23,Laser processing apparatus,0,B23K|H01L|H10H
11651997,2023-05-16,Recognition method of kerf,0,H01L
11651989,2023-05-16,Wafer transferring method,0,B29C|B32B|H01L|Y10T
11651988,2023-05-16,Processing apparatus,1,B29C|B32B|C23C|H01L|Y10T
11651978,2023-05-16,Protective sheet application apparatus and method,0,B32B|H01L
11646229,2023-05-09,Processing method of device wafer,0,H01L
11637074,2023-04-25,Method of processing wafer,0,H01L
11637039,2023-04-25,"Method of processing wafer, and chip measuring apparatus",0,H01L
11637033,2023-04-25,Method of manufacturing protective film agent,0,B23K|H01L
11637032,2023-04-25,Tape expanding apparatus,0,H01L|H05K
11633872,2023-04-25,Processing apparatus,0,B26D|H01L
11633804,2023-04-25,Laser processing apparatus and laser processing method,0,B23K|B25B|H01L
