patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432740,2025-09-30,Terminal and radio communication method,0,H04L|H04W
12432703,2025-09-30,Terminal,0,H04W
12432574,2025-09-30,Doppler spread based beam measurement and reporting for high speed mobility,0,H04B|H04L|H04W
12432031,2025-09-30,Terminal,0,H04L|H04W
12426065,2025-09-23,"Terminal, base station, and method for one-shot HARQ-ACK feedback",0,H04L|H04W
12426019,2025-09-23,"Terminal, radio communication method, and base station",0,H04L|H04W
12425969,2025-09-23,Terminal and communication method,0,H04W|Y02D
12425907,2025-09-23,"Terminal, radio communication method, and base station",0,H04B|H04L|H04W
12423926,2025-09-23,XR multi-window control,0,G06F|G06T
12422923,2025-09-23,Content sharing system with a plurality of users in augmented reality,0,G06F|G06V|H04L|H04N
12418803,2025-09-16,Terminal for multibeam control,0,H04B|H04W
12418370,2025-09-16,"Terminal, radio communication method, base station, and system for controlling HARQ-ACK feedback",0,H04L
12414191,2025-09-09,Terminal and communication method,0,H04L|H04W|Y02D
12414151,2025-09-09,"Terminal, communication system, and communication method in a two-step random access procedure",0,H04W
12414091,2025-09-09,Terminal and communication method,0,H04W
12414068,2025-09-09,"Management node, distributed unit, radio communication system, and radio communication method",0,H04W
12414007,2025-09-09,"Terminal, radio communication method, base station, and system for carrying out a random access procedure",0,H04W
12413461,2025-09-09,Terminal and communication method,0,H04L|H04W|Y02D
12413342,2025-09-09,Terminal and communication method,0,H04L|H04W
12413280,2025-09-09,Method of sounding reference signal (SRS)-assisted SD beam and FD vector reporting for type II channel state information (CSI),0,H04B|H04L
12411900,2025-09-09,Information processing device,0,G06F|G06Q
12408179,2025-09-02,"Terminal, radio communication method, base station, and system for configuring uplink or downlink channel based on codepoint of downlink control information field",0,H04B|H04L|H04W
12402155,2025-08-26,"Terminal, system, and communication method for determining control of retransmission",0,H04L|H04W
12402055,2025-08-26,"Control apparatus, radio communication system, and control method",0,H04W
12400464,2025-08-26,System for dividing a character string in a machine translation process,0,G06F|G06V
12396041,2025-08-19,"Network node, system, and method for interface establishment management",0,H04W
12395995,2025-08-19,User terminal and radio communication method,0,H04L|H04W
12395979,2025-08-19,User equipment and communication apparatus,0,H04L|H04W
12395898,2025-08-19,Communication device and method,0,H04W
12395897,2025-08-19,Communication device and communication method for mobile communication based on quality of service (QoS),0,H04W
12395299,2025-08-19,Terminal,0,H04J|H04L|H04W
12395294,2025-08-19,"Terminal, radio communication method, base station, and system",0,H04L|H04W
12395226,2025-08-19,"Terminal, communication method, base station, and system for random access procedure",0,H04B|H04L|H04W
12389395,2025-08-12,"Terminal, radio communication method, and base station",0,H04L|H04W
12389333,2025-08-12,Terminal and communication method,0,H04W|Y02D
12389242,2025-08-12,"Terminal, radio communication method, and base station",0,H04B|H04W
12388762,2025-08-12,Management apparatus and network system,0,H04L
12388575,2025-08-12,"Terminal, radio communication method, and base station",0,H04L|H04W
12387367,2025-08-12,Image display device,0,G01B|G06F|G06T
12382500,2025-08-05,User equipment and control method,0,H04W
12376134,2025-07-29,"Terminal, communication method and communication system",0,H04L|H04W
12375244,2025-07-29,"Terminal, radio communication method, and base station",0,H04B|H04L|H04W
12375158,2025-07-29,User terminal and radio communication method,0,H04B|H04L|H04W
12368535,2025-07-22,"Terminal, radio communication method, and base station",0,H04L|H04W
