patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430693,2025-09-30,Tax document imaging and processing,0,G06Q
12430589,2025-09-30,Cross-hierarchical machine learning prediction,0,G06N|G06Q
12430343,2025-09-30,Domain recommendation system and method with ambiguity resolution,0,G06F
12430123,2025-09-30,Generative AI system for automated programming and accelerated code modification,0,G06F
12423313,2025-09-23,Hierarchical graph retrieval augmented generation with context embedding,0,G06F
12423312,2025-09-23,Adaptive data scoring using multi-metric interaction analysis,0,G06F
12417233,2025-09-16,"Multitenancy in extract, transform, load (ETL) pipeline orchestration tools",0,G06F
12412031,2025-09-09,Natural language query disambiguation,0,G06F|G06N
12412027,2025-09-09,Machine learning model automated data extraction and prediction,0,G06F|G06V
12411911,2025-09-09,Entity segmentation by event rate optimization,0,G06F
12400469,2025-08-26,Computationally efficient artifact tagging for document management,0,G06F|G06T|G06V
12400147,2025-08-26,Schema-based machine learning model monitoring,0,G06N
12400086,2025-08-26,Selective content-aware embeddings for targeted information retrieval,0,G06F
12400079,2025-08-26,Machine learning model dynamic token screening and enhanced response generation,0,G06F
12400075,2025-08-26,Defining and debugging module completeness graphs based on interactive user interface checklist elements,0,G06F|G06N
12400069,2025-08-26,Artificial intelligence based approach for automatically generating content for a document for an individual,0,G06F|G06N
12399887,2025-08-26,Merging of dissimilar data structures having dissimilar data for generation of machine learning input,0,G06F|G06N
12393773,2025-08-19,Automatically populating documents about special entities,0,G06F
12393574,2025-08-19,Hierarchical and functional assessment framework for GraphQL requests,0,G06F
12393405,2025-08-19,Enhance codegen efficiency by eliminating redundant contexts in lossless manifold optimization,0,G06F
12387278,2025-08-12,Artificial intelligence based approach for supplementing an explanation of a result determined by a software application,0,G06Q
12387277,2025-08-12,Learning user actions to improve transaction categorization,0,G06N|G06Q
12387049,2025-08-12,Semantic aware hallucination detection for large language models,0,G06F
12387042,2025-08-12,Machine learning prediction of text to highlight during live automated text transcription,0,G06F|G06N|G10L
12386996,2025-08-12,Generating a compliance report of data processing activity,0,G06F|G06Q
12380115,2025-08-05,Systems and methods for providing advanced personalization in query systems,0,G06F
12363054,2025-07-15,Systems and methods for enhancing vector searches for question-and-answer platforms,0,G06F|H04L
12361738,2025-07-15,Machine learning model-agnostic confidence calibration system and method,0,G06F|G06N|G06V
12361070,2025-07-15,Taxonomy-based document retrieval,0,G06F
12346961,2025-07-01,Financial management using augmented reality systems,0,G06Q|G06T
12346331,2025-07-01,Batch materialization using bloom filters,0,G06F
12340319,2025-06-24,System and method for determining a structured representation of a form document utilizing multiple machine learning models,0,G06F|G06N
12340062,2025-06-24,Method and system for rule-based composition of user interfaces,0,G06F|G06N
12340000,2025-06-24,Prompt injection detection for large language models,0,G06F
12333614,2025-06-17,"Quality, availability and AI model predictions",0,G06F|G06Q
12333557,2025-06-17,Automatic user interface customization based on machine learning processing,0,G06F|G06N|G06Q|H04L
12333034,2025-06-17,Secure embedded web browser,0,G06F
12328291,2025-06-10,Spam prevention using vector-based text similarity comparisons across multiple time windows,0,G06F|H04L
12315515,2025-05-27,Method and system for user voice identification using ensembled deep learning algorithms,0,G06F|G06N|G10L
12314442,2025-05-27,"Multi-device, multi-model categorization system",0,G06F|G06N
12307476,2025-05-20,Method and system for using machine learning techniques to identify and recommend relevant offers,0,G06F|G06N|G06Q
12299551,2025-05-13,Account prediction using machine learning,0,G06F|G06N|G06Q
12293305,2025-05-06,Confidence score based machine learning model training,0,G06N
12288159,2025-04-29,Deep learning based context embedding approach for detecting data entry errors,0,G06N
12287793,2025-04-29,Batch materialization for full row updates,0,G06F
12282479,2025-04-22,Intelligent parity service with database query optimization,0,G06F
12282465,2025-04-22,Intelligent data repair for moving source,0,G06F
12277485,2025-04-15,Efficient real time serving of ensemble models,0,G06N
12277186,2025-04-15,Navigation bookmarking and reordering through optimized graphical user interface,0,G06F
12271878,2025-04-08,System for generation of smart content,0,G06F|G06N|G06Q
12271827,2025-04-08,Computer prediction of relevant data from multiple disparate sources,0,G06F|G06N
12266203,2025-04-01,Multiple input machine learning framework for anomaly detection,0,G06F|G06N|G06V
12265899,2025-04-01,Method for serving parameter efficient NLP models through adaptive architectures,0,G06F|G06N
12265803,2025-04-01,Automatic improvement of software applications,0,G06F|G06Q
12265794,2025-04-01,Methods and systems for generating problem description,0,G06F|G06N|G10L|H04M
12265782,2025-04-01,Transformer model architecture for readability,0,G06F
12265566,2025-04-01,Creating contextual prompts based on embeddings to enrich user text,0,G06F
12265552,2025-04-01,Optimization based on archetypes,0,G06F|G06N|G06Q
12259896,2025-03-25,Search and semantic similarity domain determination,1,G06F
12254432,2025-03-18,System and method for leveraging a completeness graph,0,G06Q
12248609,2025-03-11,Chat attachment screening,0,G06F|G06V|H04L
12243020,2025-03-04,Detecting fraud by calculating email address prefix mean keyboard distances using machine learning optimization,0,G06F|G06N|G06Q|H04L
12242647,2025-03-04,Rule-based approach for identifying anonymous visitors,0,G06F
12236559,2025-02-25,Augmented diffusion inversion using latent trajectory optimization,0,G06T
12236492,2025-02-25,Method and system for processing transactions based on transaction archetypes,0,G06F|G06Q
12236367,2025-02-25,Method and system for smart detection of business hot spots,0,G06N|G06Q
12236325,2025-02-25,Contextual bandit for multiple machine learning models for content delivery,0,G06N
12236280,2025-02-25,Orchestration layer for user defined automation workflows,0,G06F
12235858,2025-02-25,Graphical user interface for a matching tool,0,G06F
12229777,2025-02-18,Method and system for detecting fraudulent transactions in information technology networks,0,G06F|G06N|G06Q
12229691,2025-02-18,Uncertainty quantification for machine learning classification modelling,0,G06N
12217287,2025-02-04,Brand engine for extracting and presenting brand data with user interfaces,0,G06F|G06Q
12217276,2025-02-04,Attribute selection for matchmaking,0,G06F|G06Q
12217012,2025-02-04,Classifying feedback from transcripts,0,G06F
12216717,2025-02-04,Methods and systems for implementing large language models and smart caching with zero shot,0,G06F
12212671,2025-01-28,Systems and methods for blocking decryption capabilities in symmetric key encryption,0,H04L
12212666,2025-01-28,Cryptographic key generation for logically sharded data stores,0,G06F|H04L
12210828,2025-01-28,Methods and systems for generating mobile enabled extraction models,0,G06F|G06N
12205222,2025-01-21,Generating and displaying text in a virtual reality environment,0,G06F|G06T|G10L
12205154,2025-01-21,Real-time error prevention during invoice creation,0,G06Q
12204587,2025-01-21,Document similarity through reference links,0,G06F|G06N
12199987,2025-01-14,Web-authorization using enhanced cookie,0,G06F|H04L
12199871,2025-01-14,Client side backoff filter for rate limiting,0,H04L
12190249,2025-01-07,Simulating service performance using machine learning,0,G06F|G06N|H04L
12182515,2024-12-31,Utterance intent detection,0,G06F|G06N
12169520,2024-12-17,Machine learning selection of images,0,G06F
12164545,2024-12-10,Text feature guided visual based document classifier,0,G06F|G06N|G06V
12158920,2024-12-03,Personalized messaging and configuration service,0,G06F|H04L|H04W
12154121,2024-11-26,Assessment of user price sensitivity,0,G06F|G06N|G06Q|H04L
12153892,2024-11-26,Use of semantic confidence metrics for uncertainty estimation in large language models,0,G06F
12153890,2024-11-26,Generating anomaly-detection rules for communication protocols,0,G06F|H04L
12148048,2024-11-19,Framework for transaction categorization personalization,0,G06N|G06Q
12148047,2024-11-19,Personalized transaction categorization,0,G06N|G06Q
12147884,2024-11-19,Feature pruning and algorithm selection for machine learning,0,G06N
12147883,2024-11-19,Automated user experience orchestration using natural language based machine learning techniques,0,G06F|G06N
12147485,2024-11-19,Managing search engines based on search perform metrics,1,G06F|H04L
12141154,2024-11-12,Dataset ranking based on composite score,0,G06F
12137146,2024-11-05,Hybrid bi-directional user experience between multiple stacks,0,H04L
