patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432365,2025-09-30,Concept for picture/video data streams allowing efficient reducibility or efficient random access,0,H04N
12425793,2025-09-23,"Apparatus, method, or computer program for processing an encoded audio scene using a bandwidth extension",0,G06F|G10L|H04S
12423886,2025-09-23,"Processing device for obtaining gap filler sinogram information, computer tomograph, method and computer program",0,A61B|G06T
12418768,2025-09-16,"Apparatus, method and computer program for encoding, decoding, scene processing and other procedures related to DirAC based spatial audio coding using diffuse compensation",0,G10L|H04N|H04S
12418654,2025-09-16,Use-case driven context model selection for hybrid video coding tools,0,H04N
12414192,2025-09-09,NR sidelink discontinuous reception,0,H04W
12414141,2025-09-09,NR V2X resource pool design,0,H04L|H04W
12413931,2025-09-09,Method and system for optimizing the position of a user equipment,0,G01S|H04W|Y02D
12413725,2025-09-09,Coding using matrix based intra-prediction and secondary transforms,0,H04N
12413345,2025-09-09,V2X HARQ process management,0,H04L|H04W
12413244,2025-09-09,"Arithmetic encoder for arithmetically encoding and arithmetic decoder for arithmetically decoding a sequence of information values, methods for arithmetically encoding and decoding a sequence of information values and computer program for implementing these methods",0,H03M|H04N
12411648,2025-09-09,Optimizing audio delivery for virtual reality applications,0,G02B|G06F|H04L|H04N
12407863,2025-09-02,Merging friendly file format,0,H04N
12407852,2025-09-02,"Encoders, decoders, methods, and video bit streams, and computer programs for hybrid video coding",0,H04N
12401862,2025-08-26,Data processor and transport of user control data to audio decoders and renderers,0,G10L|H04N
12401412,2025-08-26,Iterative transmit refinement,0,H04B|H04L|H04W
12395651,2025-08-19,Subpicture-related video coding concepts,0,H04N
12395616,2025-08-19,Immersive media content presentation and interactive 360° video communication,0,H04L|H04N
12394621,2025-08-19,Method and apparatus for manufacturing a semiconductor layer and substrate provided therewith,0,C23C|C30B|H01L|H10D
12394217,2025-08-19,Apparatus and method for detecting a state of a road surface,0,G06T|G06V
12388600,2025-08-12,Flexible SRS sounding for NR systems,0,H04L
12387433,2025-08-12,"Data stream, devices and methods for volumetric video data",0,G06T|H04N
12382549,2025-08-05,"SUDAS, URU and base station",0,H04B|H04L|H04W
12382430,2025-08-05,NR sidelink control message design,0,H04L|H04W
12382107,2025-08-05,Video coding using a coded picture buffer,0,H04N
12381659,2025-08-05,ARQ/HARQ-related procedure for grant-free random access,0,H04L|H04W
12381641,2025-08-05,"Apparatus, system and method for improving position estimation and/or communication performance in a wireless communication network",0,G01S|H04B|H04W
12381610,2025-08-05,Three-component codebook based CSI reporting,0,H04B|H04L|H04W
12380903,2025-08-05,Apparatus and method for screen related audio object remapping,0,G10L|H04N|H04R|H04S
12380665,2025-08-05,Device and method of capturing a projected dot pattern in a display device,0,G01B|G06V|H04N
12375702,2025-07-29,"File format schemes allowing efficient ROI, stream access and parameter set handling",0,H04N
12375674,2025-07-29,Entropy coding of transform coefficients suitable for dependent scalar quantization,0,H04N
12375581,2025-07-29,"Transmitter and receiver, serializer and deserializer and methods for transmitting and receiving, serializing and deserializing",0,H04L
12375228,2025-07-29,Sounding feedback utilizing shortened frame structures,0,H04B|H04L|H04W
12369008,2025-07-22,"Apparatus, method and computer program for encoding, decoding, scene processing and other procedures related to DirAC based spatial audio coding using low-order, mid-order and high-order components generators",0,G10L|H04N|H04S
12368561,2025-07-22,Data signal transmission in a wireless communication system with reduced end-to-end latency,0,H04L|H04W
12367883,2025-07-22,Multisignal audio coding using signal whitening as processing,0,G06F|G10L
12362753,2025-07-15,Electrical circuit,0,G06F|H03L
12355990,2025-07-08,"Decoder, encoder and methods for mixing NAL units of different NAL unit types in video streams",0,H04N
12355704,2025-07-08,Data signal transmission in a wireless communication system with reduced end-to-end latency,0,H04L|H04W
12350755,2025-07-08,Methods for providing panel planning geometry data and laser flatbed machines for cutting out workpieces,0,B23K|G06T
12348736,2025-07-01,Efficient sub-picture extraction,0,H04L|H04N
12348712,2025-07-01,Extended reference intra-picture prediction,0,H04N
12335505,2025-06-17,Determining a parametrization for context-adaptive binary arithmetic coding,0,H04N
12335195,2025-06-17,"Physically separated channels for narrowband, low complexity receivers",0,H04L|H04W|Y02D
12327751,2025-06-10,Massive parallel assembly method,0,H01L|H10H
12323739,2025-06-03,"Video conference apparatus, video conference method and computer program using a spatial virtual reality environment",0,G06T|H04N
12323643,2025-06-03,"File parser, file generator, encoder, decoder, client, server, and methods using parameter sets for coded video sequences",0,H04N
