patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431017,2025-09-30,Electrical data processing system for monitoring or affecting movement of a vehicle using a traffic device,0,B60W|G08B|G08G|H04W
12424032,2025-09-23,Processing system for dynamic collision verification and sensor selection,0,G06N|G07C|H04W
12423214,2025-09-23,Methods and systems for an intelligent technical debt helper bot,0,G06F|G06N|G06Q
12417473,2025-09-16,Content output systems using vehicle-based data,0,E01F|G06F|G06Q|G07C|G08B|G08G|G09G
12417165,2025-09-16,Systems and methods for automated code validation,0,G06F|G06V
12412437,2025-09-09,Vehicle mode determination based on edge-computing,0,G06N|G07C|G08G|H04W
12411815,2025-09-09,Central repository system with customizable subset schema design and simplification layer,0,G06F|G06Q
12411656,2025-09-09,Intelligent voice response systems and methods,0,B60Q|B60W|G06F|G06N
12405609,2025-09-02,Safe hand-off between human driver and autonomous driving system,0,B60W|G05D|G06N
12393913,2025-08-19,Onboarding platform for performing dynamic mitigation analysis,0,G06F|G06Q|H04N
12393793,2025-08-19,Systems and methods for user classification with respect to a chatbot,0,G06F|H04L
12386943,2025-08-12,Systems and methods for detecting digital security breaches of connected assets based on location tracking and asset profiling,0,G06F|G06Q|H04L|H04W
12382250,2025-08-05,Multi-computer processing system for dynamically executing response actions based on movement data,0,G06F|G06Q|G06V|H04L|H04W
12373893,2025-07-29,Chatbot system and machine learning modules for query analysis and interface generation,0,G06F|G06N|G06Q|H04L
12367496,2025-07-22,System and method for accumulation and maintenance of money in a vehicle maintenance savings account,0,G06Q|G07F
12361494,2025-07-15,Subjective route risk mapping and mitigation,0,G01C|G06Q
12360739,2025-07-15,Processing system having a machine learning engine for providing an output via a digital assistant system,0,G06F|G06N|G06Q|G10L|H04W
12359936,2025-07-15,Automated vehicle control and guidance based on real-time blind corner navigational analysis,0,G01C|G06F|G06V
12354042,2025-07-08,Asset risk profiling for enterprise resources,0,G06Q
12354032,2025-07-08,Vehicle sharing optimization,0,G01C|G01W|G06N|G06Q|G08G
12352598,2025-07-08,Personalized driving risk modeling and estimation system and methods,0,G01C|G06Q
12351195,2025-07-08,"Data processing system for guidance, control, and testing autonomous vehicle features and driver response",0,B60W|G01M|G06Q
12346973,2025-07-01,Driver identity detection and alerts,0,G01C|G06Q|H04W
12340432,2025-06-24,System for determining type of property inspection based on captured images,0,G06Q|G06T|H04N
12340421,2025-06-24,Automated damage assessment and claims processing,0,G06Q|H04N
12340346,2025-06-24,Consumer engagement and management platform using machine learning for intent driven orchestration,0,G06F|G06N|G06Q
12340280,2025-06-24,Systems and methods for reducing false positive error rates using imbalanced data models,0,G06N
12339131,2025-06-24,Using context based machine learning for generation of customized driving outputs,0,B60W|G01C|G06F|G06N|G06Q
12339123,2025-06-24,Exit routes,0,G01C|G06V|H04W
12335812,2025-06-17,Detecting handling of a device in a vehicle,0,H04W
12333581,2025-06-17,Processing system having a machine learning engine for providing a surface dimension output,0,G06N|G06Q|G06T|G06V
12330661,2025-06-17,Shared mobility service passenger matching based on passenger attributes,0,B60W|G01C|G05D|G06Q|G08G|H04W
12323879,2025-06-03,Detection of mobile device location within vehicle using vehicle based data and mobile device based data,0,G01C|G01S|H04W
12322219,2025-06-03,System generated damage analysis using scene templates,0,G06F|G06N|G06Q|G07C
12315018,2025-05-27,Configuration and transfer of image data using a mobile device,0,G06Q|H04N
12315014,2025-05-27,Reward system related to a vehicle-to-vehicle communication system,0,G05D|G06Q|G07F|G08G|H04L|H04W
12315013,2025-05-27,Determining a property of an insurance policy based on the autonomous features of a vehicle,0,G06Q
12307835,2025-05-20,Vehicle diagnostics,0,B60S|G06Q|G07C
12305994,2025-05-20,Systems and methods for classifying vehicle trips,0,G01C|G06N|G06Q|G07C|H04W
12300043,2025-05-13,Roadside assistance detection,0,G01C|G01S|G06N|G06Q|G07C|G08G
12299719,2025-05-13,Processing system having a machine learning engine for providing a surface dimension output,0,G06N|G06Q|G06T|G06V
12299707,2025-05-13,Vehicle telematics system to promote good driving behavior using positive feedback and award points,0,G06Q
12293416,2025-05-06,Communication of insurance claim data,0,G06Q
12282965,2025-04-22,Personalized insurance systems,0,G01C|G06Q|G08G
12282964,2025-04-22,Hub for automated recovery after a critical event in shared mobility services,0,G06F|G06N|G06Q|H04N
