patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430356,2025-09-30,Data source visualizations,0,G06F
12417302,2025-09-16,Updating an edge device operating in a secure computing environment,0,G06F
12417286,2025-09-16,Automated attack chain following by a threat analysis platform,0,G06F
12417210,2025-09-16,Log data extraction from data chunks of an isolated execution environment,0,G06F|H04L
12417090,2025-09-16,Software development observability platform,0,G06F
12412103,2025-09-09,Monitoring and visualization of model-based clustering definition performance,0,G06N|G06Q
12400233,2025-08-26,Risk analysis using risk definition relationships,0,G06Q|H04L
12400005,2025-08-26,Managing security of a software development life cycle,0,G06F
12399607,2025-08-26,Complex action parameter support in a visual playbook editor,0,G06F
12393688,2025-08-19,File analysis engines for identifying security-related threats,0,G06F
12393678,2025-08-19,Integrated development environment extension for developing information technology and security operations application apps,0,G06F
12386810,2025-08-12,Custom indexed tags,0,G06F|G06Q
12375522,2025-07-29,Managing security actions in a computing environment using enrichment information,0,G06F|H04L
12363158,2025-07-15,Generating action recommendations based on attributes associated with incidents used for incident response,0,G06F|H04L
12363154,2025-07-15,Generating playbook run statistics for playbooks executed by an information technology and security operations application,0,G06F|H04L
12353312,2025-07-08,Code profiling call stack linking,0,G06F|G06T
12346708,2025-07-01,Concurrent visualization of session data and session playback,0,G06F
12332999,2025-06-17,Expediting processing of events based on a specified duration,0,G06F
12332880,2025-06-17,Rendering a service graph to illustrate page provider dependencies at an aggregate level,0,G06F
12299819,2025-05-13,Mesh updates via mesh frustum cutting,1,G01B|G01S|G06T|H04L
12298981,2025-05-13,Generation of queries using non-textual input,0,G06F
12298980,2025-05-13,Optimized storage of metadata separate from time series data,0,G06F
12298937,2025-05-13,Network activity identification and characterization based on characteristic active directory (AD) event segments,0,G06F|G06N|H04L
12298885,2025-05-13,Aggregating metrics for workflows associated with a real user session,0,G06F
12293179,2025-05-06,Deployment orchestrator in a cloud based service for customer enterprises,0,G06F
12289295,2025-04-29,Trusted tunnel bridge,0,G06F|H04L
12282988,2025-04-22,Automated generation of display layouts,0,G06F|G06T
12277659,2025-04-15,Networked remote collaboration system,0,G06T|H04L
12271428,2025-04-08,Interactive chart using a data processing package,0,G06F
12271423,2025-04-08,Automated provision of a listing of events related and corresponding attributes related to a selected event through generation of graph-based dense representations of events of a nodal graph,1,G06F|G06N
12267339,2025-04-01,Executing modular alerts and associated security actions,0,G06F|H04L
12265863,2025-04-01,Technology add-on interface,0,G06F|G06N|G06Q|G09G
12265858,2025-04-01,Implementing a split-brain prevention strategy when configuring automatic cluster manager failover,0,G06F|H04L
12265540,2025-04-01,Executing commands from a distributed execution model,0,G06F|H04L|H04W
12265525,2025-04-01,Modifying a query for processing by multiple data processing systems,0,G06F
12265459,2025-04-01,Automated determination of tuned parameters for analyzing observable metrics,0,G06F
12254019,2025-03-18,Interactive visualization of a relationship of isolated execution environments,0,G06F
12248804,2025-03-11,Managing user data in a multitenant deployment,0,G06F
12248484,2025-03-11,Reassigning processing tasks to an external storage system,0,G06F
12242892,2025-03-04,Implementation of a data processing pipeline using assignable resources and pre-configured resources,4,G06F
12242495,2025-03-04,Chart creation based on a data processing package,1,G06F
12242474,2025-03-04,Language conversion system,0,G06F
12237988,2025-02-25,Service analyzer interface presenting performance information of machines providing component services,0,G06F|H04L
12224919,2025-02-11,Hybrid execution of custom playbook codeblocks,0,G06F|H04L
12222840,2025-02-11,Generating span related metric data streams by an analytic engine,0,G06F
12217075,2025-02-04,Interface for presenting performance data for hierarchical networked components represented in an expandable visualization of nodes,0,G06F|G06T
12216527,2025-02-04,"System and method for data ingestion, anomaly and root cause detection",2,G06F|G06N
12212475,2025-01-28,Applying updated configuration dynamically to remote capture agents,0,H04L
12205022,2025-01-21,Data field extraction by a data intake and query system,0,G06F|G06N
12204593,2025-01-21,Data search and analysis for distributed data systems,0,G06F
12204536,2025-01-21,Query scheduling based on a query-resource allocation and resource availability,0,G06F
12204531,2025-01-21,Dynamically modifying remote capture agent event stream destinations,0,G06F
12204437,2025-01-21,Techniques for visualizing browser test metrics,0,G06F
12200064,2025-01-14,External sensor integration at edge device for delivery of data to intake system,0,H04L
12199997,2025-01-14,Systems and methods for detecting beaconing communications using machine learning techniques,0,G06N|H04L
12197962,2025-01-14,Resegmenting chunks of data based on one or more criteria to facilitate load balancing,0,G06F
12197908,2025-01-14,Enabling pass-through authentication in a multi-component application,0,G06F|H04L
12197567,2025-01-14,Configuring detectors to detect anomalous behavior using statistical modeling procedures,0,G06F|G06N
12197451,2025-01-14,Appending time ranges to distinct statements of a data processing package,1,G06F
12197420,2025-01-14,Providing supplemental values for events,0,G06F|G06Q|G06T
12189931,2025-01-07,Drill down of statistics chart row,0,G06F|G06V
12189624,2025-01-07,Facilitating management and storage of configurations,0,G06F
12184744,2024-12-31,Controlling access in multi-tenant environments,0,G06F|H04L
12182174,2024-12-31,Exploratory data analysis system for generation of wildcards within log templates through log clustering and analysis thereof,0,G06F
12182169,2024-12-31,Systems and methods for machine-learning based alert grouping including temporal constraints,0,G06F|G06N
12182151,2024-12-31,Framework for managing dynamic configurations of data intake and query systems deployed in remote computing environments,0,G06F
12182110,2024-12-31,Bi-directional query updates in a user interface,0,G06F
12181956,2024-12-31,Machine-learning based prioritization of alert groupings,0,G06F
12175403,2024-12-24,Defining a graphical visualization along a time-based graph lane using key performance indicators derived from machine data,0,G06F|G06Q|G06T|H04L
12169499,2024-12-17,Interactive filter tokens in a GUI interface,1,G06F
12169498,2024-12-17,Creating and searching tiered metric time series object storage,0,G06F
12169471,2024-12-17,Managing datasets generated by search queries,0,G06F|G08B
12164889,2024-12-10,Selecting a custom function from available custom functions to be added into a playbook,1,G06F
12164565,2024-12-10,Processing ingested data to identify anomalies,1,G06F|G06N
12164524,2024-12-10,User interface for customizing data streams and processing pipelines,0,G06F|H04L
12164522,2024-12-10,Metric processing for streaming machine learning applications,2,G06F|G06N
12164402,2024-12-10,Deactivating a processing node based on assignment of a data group assigned to the processing node,1,G06F
12158880,2024-12-03,Hyperparameter tuning for anomaly detection service implementing machine learning forecasting,0,G06F
12141047,2024-11-12,Configuring automated workflows for application performance monitoring,0,G06F
12135788,2024-11-05,Generating information technology incident risk score narratives,1,G06F
12135627,2024-11-05,Facilitating management of collection agents,0,G06F|H04L
12131233,2024-10-29,Systems and methods for auto-deployment of a machine learning component within a pipelined search query,1,G06F|G06N
12130866,2024-10-29,Creating a correlation search,0,G06F
12130829,2024-10-29,Generation of modified queries using a field value for different fields,2,G06F
12124687,2024-10-22,Automatic selection of visualization parameter based on field selection,0,G06F|G06T
12124669,2024-10-22,Spatially aligned concurrent display of results from multiple non-identical time-based search queries of event data,0,G06F
12124441,2024-10-22,Utilizing shared search queries for defining multiple key performance indicators,39,G06F|G06Q|G06T
12124324,2024-10-22,System and method for identifying resource access faults based on webpage assessment,0,G06F
12120170,2024-10-15,Presenting un-deployed features of an application,0,G06F|H04L
12120124,2024-10-15,Live app testing within an app editor for an information technology and security operations application,0,G06F|H04L
12120005,2024-10-15,Managing event group definitions in service monitoring systems,1,G06F|H04L
12118497,2024-10-15,Providing a user interface reflecting service monitoring adaptation for maintenance downtime,0,G06Q|H04L
12118334,2024-10-15,Determination of schema compatibility between neighboring operators within a search query statement,0,G06F|G06N
12118127,2024-10-15,Data stream integrity in a tiered blockchain structure,1,G06F|H04L
12118009,2024-10-15,Supporting query languages through distributed execution of query engines,3,G06F
12113856,2024-10-08,Systems and methods for detecting associated webpages and initiating an automated deletion event,0,G06F|H04L
12112435,2024-10-08,Collaboration spaces in extended reality conference sessions,1,G06F|G06T|G06V|H04L|H04N
12112434,2024-10-08,Mesh updates in an extended reality environment,0,G06F|G06T|G09G
12112010,2024-10-08,Data visualization in an extended reality environment,0,G06F
12111874,2024-10-08,Exploratory data analysis system for automated generation of search queries using machine learning techniques to identify certain log fields and correlation thereof,0,G06F
12106419,2024-10-01,Live updates in a networked remote collaboration session,1,G06F|G06T
12105740,2024-10-01,Low-latency streaming analytics,0,G06F|G06Q
12105724,2024-10-01,Tokenized HTTP event collector,1,G06F|H04L
12105632,2024-10-01,Cache aware searching based on files of buckets,0,G06F
12099517,2024-09-24,Supplementing extraction rules based on event clustering,0,G06F
12099492,2024-09-24,Identity resolution of network entities,1,G06F|H04L
12099428,2024-09-24,Multiple modalities of data collection and analysis for real-time monitoring (RUM) in a microservices-based architecture,8,G06F
12093318,2024-09-17,Recommending query parameters based on tenant information,3,G06F
12093272,2024-09-17,Retrieving data identifiers from queue for search of external data system,3,G06F
12088611,2024-09-10,Systems and methods for training a machine learning model to detect beaconing communications,1,G06F|G06N|H04L
12086920,2024-09-10,Submesh-based updates in an extended reality environment,0,G06F|G06T
12086451,2024-09-10,Automated downscaling of data stores,0,G06F
12086150,2024-09-10,Generating files for visualizing query results,1,G06F
12086045,2024-09-10,Systems and methods for machine-learning based alert grouping,0,G06F|G06N
12081418,2024-09-03,Sensor data device,0,G06F|H04L|H04W
12079672,2024-09-03,Providing efficient message queuing services using a redelivery monitor,0,G06F
12079304,2024-09-03,Online data forecasting,1,G06F|G06N|G06Q
12079255,2024-09-03,Systems and methods for updating a status indication in a system providing dynamic indexer discovery,1,G06F
12079233,2024-09-03,Multiple seasonality online data decomposition,1,G06F
12079175,2024-09-03,Streaming synthesis of distributed traces from machine logs,1,G06F
