patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432744,2025-09-30,EMTC scheduling and MPDCCH monitoring,0,H04L|H04W
12432667,2025-09-30,Method and apparatus for power control of physical uplink control channel repetitions,0,H04W
12432335,2025-09-30,"Image display method, device, apparatus, and computer-readable storage medium",0,H04N
12432030,2025-09-30,Methods and apparatuses that enable panel-specific configuration and transmission,0,H04B|H04L|H04W
12430891,2025-09-30,"Detection method, device, apparatus, and storage medium",0,G06N|G06V
12426078,2025-09-23,Method and apparatus for small data transmission,0,H04L|H04W
12426068,2025-09-23,Method and apparatus for transmission of control signals,0,H04L|H04W
12425935,2025-09-23,Method and apparatus for data transmission,0,H04W
12425905,2025-09-23,Method and apparatus for reporting failure information in a communication system,0,H04W
12425891,2025-09-23,"Methods, apparatuses, and systems for intelligent interference management and radio resource management",0,H04W
12425148,2025-09-23,Data transmissions using multiple transmission reception points,0,H04L|H04W
12423045,2025-09-23,Electronic device,0,F16M|G06F|G09G
12422993,2025-09-23,"Data reading and writing method, system and control method",0,G06F|Y02D
12418939,2025-09-16,Method and apparatus for sidelink burst transmission,0,H04W
12418892,2025-09-16,Methods and apparatuses for sidelink control information reception,0,H04W
12418842,2025-09-16,Method and apparatus for performing mobility robustness optimization in a handover procedure,0,H04W
12418818,2025-09-16,Channel state information reference signal resource pairs,0,H04B|H04L|H04W
12418382,2025-09-16,Default beam determination,0,H04B|H04L
12414097,2025-09-09,Methods and apparatus for dynamic FDM between parent link and child link in IAB network,0,H04L|H04W
12414094,2025-09-09,Method and apparatus for slot format indication in NTN system,0,H04W
12414030,2025-09-09,Server discovery improvement when application server changes,0,H04L|H04W
12413349,2025-09-09,PUCCH repetition number indication,0,H04L|H04W
12408225,2025-09-02,Method and apparatus for performing random access,0,H04L|H04W
12408159,2025-09-02,Sidelink communication using multiple protocol stacks,0,H04W
12408094,2025-09-02,Systems and methods for selectively switching between primary data connection modes of a mobile device,0,H04W
12402193,2025-08-26,Methods and apparatuses for processing a radio link failure (RLF) during a dual active protocol stack (DAPS) handover procedure,0,H04W
12402169,2025-08-26,Methods and apparatus for burst-based sidelink transmission,0,H04L|H04W
12402065,2025-08-26,Method and apparatus for restricting access of devices,0,H04L|H04W
12400416,2025-08-26,Controlling virtual object interactions,0,A63F|G06F|G06T|G06V
12399669,2025-08-26,Processing method and electronic device,0,G06F
12396009,2025-08-19,Method and apparatus for physical downlink control channel repetition,0,H04L|H04W
12395941,2025-08-19,Method and apparatus for power control of configured grant PUSCH repetition,1,H04B|H04L|H04W
12395333,2025-08-19,Method and apparatus for blockchain-aware mobile vehicle communication,0,G06F|H04L|H04W
12395238,2025-08-19,Method and apparatus for UE context transmission and reception,0,H04B|H04W|Y02D
12395218,2025-08-19,Method and apparatus for beam management on sidelink,0,H04B|H04W
12393387,2025-08-19,Electronic device,0,G06F|G09G
12389452,2025-08-12,Method and apparatus for sharing channel occupancy time on unlicensed spectrum,0,H04W
12389451,2025-08-12,PDCCH transmission in UE-initiated COT,0,H04L|H04W
12386410,2025-08-12,"Processor power consumption control method, system, and electronic apparatus",0,G06F|Y02D
12382434,2025-08-05,Integrated access and backhaul node configuration,0,H04W
12382334,2025-08-05,Method and apparatus for radio link flow control,0,H04B|H04L|H04W
