patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431455,2025-09-30,Semiconductor device,0,H01L
12431443,2025-09-30,Semiconductor device and method of manufacturing the semiconductor device,0,H01L
12431399,2025-09-30,Semiconductor device and method for manufacturing semiconductor device,0,H01L
12426303,2025-09-23,Semiconductor device including insulation gate-type transistors,0,H01L|H10D
12424514,2025-09-23,"Power module apparatus, cooling structure, and electric vehicle or hybrid electric vehicle",0,B60K|B60Y|F28F|H01L|H02M|H05K|H10D|Y10S
12419112,2025-09-16,Isolation transformer,0,H01F|H01L|H02M|H03K|H10D
12417954,2025-09-16,Semiconductor device,0,H01L|H10D
12413044,2025-09-09,Semiconductor light emitting device,0,H01L|H01S|H10H
12412814,2025-09-09,Semiconductor apparatus,0,H01L
12412812,2025-09-09,Semiconductor package with plurality of leads and sealing resin,0,H01L
12407347,2025-09-02,"Gate driver, insulation module, low-voltage circuit unit, and high-voltage circuit unit",0,H01F|H01L|H02M|H03K
12407334,2025-09-02,"Signal transmission device, electronic device, vehicle",0,H02M|H03K|H04L
12407242,2025-09-02,"Isolated gate driver, traction inverter, and electric vehicle",0,H02M|H03K|H04L|Y02T
12406910,2025-09-02,Packaging of a semiconductor device with a plurality of leads,0,H01L
12406908,2025-09-02,Semiconductor module,0,H01L
12401000,2025-08-26,Semiconductor device,0,H01L|H02M
12400988,2025-08-26,Semiconductor device with semiconductor element and plural first and second leads,0,H01L
12400974,2025-08-26,Semiconductor device,0,H01L
12400972,2025-08-26,Semiconductor device for suppressing excessive wetting and spreading of bonding layer,0,H01L
12396264,2025-08-19,Isolation transformer,0,H01F|H01L|H02M|H03K|H10D
12395739,2025-08-19,"Actuator driver, camera module using thereof, and electronic device",0,H04N
12395169,2025-08-19,"Semiconductor device, semiconductor module, relay unit, battery unit, and vehicle",0,B60L|H01H|H01L|H02H|H02J|H02P|H03K|H10D|Y02T
12392458,2025-08-19,LED lamp,0,F21K|F21Y|H01L|H10H
12388476,2025-08-12,"Transmission circuit, electronic control unit, and vehicle",0,H03K|H04B|H04L
