patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430748,2025-09-30,"Image inspection device, image inspection method, and prelearned model generation device",0,G06T|G06V
12430742,2025-09-30,Inspection system and inspection method,0,G01N|G02B|G06T|H04N
12422811,2025-09-23,"Control system, relay device, and access management program",0,G05B|G06F
12422788,2025-09-23,"Model update device, method, and program",0,G05B|G06N
12420415,2025-09-23,"Recommended load determining device, capability parameter estimation model training device, method, and program",0,A61B|A63B|B25J|G06N|G06V|G09B|G16H
12413549,2025-09-09,System for detecting and handling overlapping addresses based on priority,0,H04L
12400510,2025-08-26,"Pushbutton switch, pushbutton switch unit, operating unit, and amusement machine",0,G06F|G07F|H01H
12400482,2025-08-26,"Image processing device, image processing method, and non-transitory computer readable medium",0,G06Q|G06V|G16Y|Y02P
12400056,2025-08-26,Simulation of liquid objects manipulated by robots using supervised learning,0,B25J|G05B|G06F|G06N
12394246,2025-08-19,Emotion determination device and emotion determination method,0,A61B|G06F|G06V|H04N
12387369,2025-08-12,"Estimation device, learning device, teaching data creation device, estimation method, learning method, teaching data creation method, and recording medium for estimating skeleton information of subject based on image thereof",0,G06T
12386517,2025-08-12,"Control device, system program, and method",0,G05B|G06F
12386504,2025-08-12,Display device and presentation device equipped with same,0,G06F|G07F|G09G
12385851,2025-08-12,"Management system, management device, management method, and program",0,G01N|G05B|G06Q|H05K|Y02P
12378076,2025-08-05,Transport system and transport robot,0,B25J|B65G|G05B|G05D|G06Q|Y02P
12374156,2025-07-29,"Accessibility determination device, accessibility determination method, and program",0,G06T|G06V
12374095,2025-07-29,"Model generation apparatus, regression apparatus, model generation method, and computer-readable storage medium storing a model generation program",0,G06N|G06T|G06V
12372938,2025-07-29,Terminal monitoring device,0,G05B|H04L
12372937,2025-07-29,"Control system, information processing apparatus, and information processing program",0,G05B|G06F
12372936,2025-07-29,"Information providing system for monitoring variables of one or more controllers, server, and information providing method",0,G05B|G06F|G06Q
12361532,2025-07-15,Operation determination apparatus and operation determination method,0,G06T|G06V|Y02P
12356238,2025-07-08,Traveling apparatus,0,G05D|H04W
12356218,2025-07-08,Control system and control apparatus,0,G05B|H04W
12346221,2025-07-01,Control device and non-transitory machine readable storage medium,0,G05B|G06F
12340149,2025-06-24,"Character input device, character input method, and character input computer-readable recording medium",0,G06F
12335628,2025-06-17,"Imaging condition setting system, imaging condition setting method, and program",0,G01N|G03B|H04N
12333279,2025-06-17,"Program executing device, program executing method, and non-transitory computer-readable storage medium",0,G05B|G06F
12322183,2025-06-03,"Information processing device for improving work process, information processing method, and recording medium",0,G05B|G06Q|G06T|G06V|H04N
12316582,2025-05-27,Noise cancellation device for wireless communication system including wireless communication devices configured as array,0,H04B|H04L
12315394,2025-05-27,"Cheating estimation device, cheating estimation method, and recording medium",0,G06F|G06Q|G09B
12315174,2025-05-27,"Image processing device, image processing method, and program",0,G06T|G06V|G08B|H04N
12314813,2025-05-27,"Image modulation methods and devices using image filters, image parameters, quality scores, and grayscale clusters",0,G06K|G06T
12313863,2025-05-27,Image sensor,0,G02B|G03B|H04N
12307773,2025-05-20,Information management device and information management method for classifying event occurred in equipment and generating maintenance information,0,G06F|G06Q|G06V
12306972,2025-05-20,"Control system, method, and control device",0,G05B|G06F
12306781,2025-05-20,"Bus component, a bus device, and a method of forming a transmission path",0,G06F
12306596,2025-05-20,"Additional learning device, additional learning method, and storage medium",0,G05B|G06N
12306456,2025-05-20,Optical assembly for three-dimensional measurement device and three-dimensional measurement device equipped with same,0,G01B|G02B|G03B|H04N
12298731,2025-05-13,"Control system, information processing apparatus, and information processing program",0,G05B|G06F
12293597,2025-05-06,"Character input device, character input method, and non-transitory computer-readable storage medium storing a character input program for obtaining a first character string, extracting similar characters and generating second character string with replacement characters and outputting conversion candidates",0,G06F|G06V|G09B
12276975,2025-04-15,"Abnormality detecting device, abnormality detecting method, and storage medium",0,B30B|G05B|G06F
12276973,2025-04-15,Control system,0,G05B|G06F|Y02P
12276956,2025-04-15,"Control system, support device and support program that communicates grouped process data",0,G05B|H04L
12272078,2025-04-08,Information processing device and information processing method,0,G06T|G06V
12272045,2025-04-08,"Dimensional information management device, dimensional information management system comprising the same, dimensional information management method, and dimensional information management program",0,G06T
12259804,2025-03-25,"Program development device, and program for providing program development device",0,G05B|G06F
12254076,2025-03-18,Control system and control method,0,G06F|H04L
12253841,2025-03-18,"Unit, unit control method, and non-transitory computer-readable recording medium",0,G05B|G06F|H04L
12250910,2025-03-18,"Management device for cultivation of fruit vegetable plants and fruit trees, learning device, management method for cultivation of fruit vegetable plants and fruit trees, learning model generation method, management program for cultivation of fruit vegetable plants and fruit trees, and learning model generation program",0,A01G|G06N|G06Q
12248739,2025-03-11,"Simulation device non-transitory computer readable recording medium, and simulation method for comprehensively simulating behavior of system in which some kind of external force is applied to workpiece",0,B25J|G05B|G06F
12248310,2025-03-11,"Display system, display method, and non-transitory computer-readable recording medium recording display program",0,G05B|G06F
12248300,2025-03-11,"Program generation apparatus, program generation method, and computer-readable storage medium storing a generation program",0,B25J|G05B|G06F|Y02P
12246456,2025-03-11,"Image generation device, robot training system, image generation method, and non-transitory computer readable storage medium",0,B25J|G06N|G06T|G06V
12243351,2025-03-04,"Gaze estimation apparatus, gaze estimation method, model generation apparatus, and model generation method",0,G06N|G06T|G06V
12242776,2025-03-04,"Simulation device, non-transistory computer readable recording medium, and simulation method for comprehensively simulating behavior of system",0,B25J|G05B|G06F
12235618,2025-02-25,"Simulation system, simulation method, and non-transitory computer-readable storage medium storing simulation program",0,G05B|G06F
12229638,2025-02-18,"Learning assistance device, processing system, learning assistance method, and storage medium",0,G05B|G06N
12222708,2025-02-11,Control system,0,G05B|G06F|Y02P
12222696,2025-02-11,"Controller, control system, and control method",0,G05B|G06F
12222196,2025-02-11,"Measurement system, measurement device, measurement method, and measurement program",0,B25J|G01B|G05B|G06T|G06V
12217619,2025-02-04,"Habit improving device, method and recording medium",0,A61B|G01C|G06Q|G09B|G16H
12217411,2025-02-04,"Inspection apparatus, unit selection apparatus, inspection method, and computer-readable storage medium storing an inspection program",0,G01N|G06T|G06V
12216444,2025-02-04,"Control device, control system, and management method",0,G05B|G06F
12204876,2025-01-21,Support device and computer-readable storage medium,0,G05B|G06F
12204392,2025-01-21,Electronic device and method for controlling update of data in electronic device,0,G06F
12199822,2025-01-14,"Control system, control device, and non-transitory computer-readable recording medium recording program",0,G05B|H04J|H04L
12190555,2025-01-07,"Information processing device, range determination method, and program",0,G06T|G06V|H04N
12190058,2025-01-07,"Character input device, character input method, and computer-readable storage medium storing a character input program for searching a dictionary to determine registration of a character string",0,G06F
12189076,2025-01-07,"Buried object scanning device, display control method for buried object scanning device, and display control program",0,G01S|G01V|G06F|G06T
12184524,2024-12-31,"Management device, management method and recording medium",0,G05B|H04L|Y02P
12182997,2024-12-31,Information processing device and index value calculation method,0,A01G|G06T
12182540,2024-12-31,"Information processing device, recording medium, and support system",0,G05B|G06F
12181851,2024-12-31,"Settings information generation device, settings information generation method, and recording medium",0,G05B|H04L
12175693,2024-12-24,Method for measuring dimensions of plant,0,G01B|G06T|G06V
12167052,2024-12-10,"Image processing device, image sensor, and image processing device control method",0,H04N
12166850,2024-12-10,"Control system, information processing device, and non-transitory computer readable medium",0,G05B|H04J|H04L
12165305,2024-12-10,"Image processing system that performs image measurement on target and adjust at least one of emission intensity and emission color for lighting elements, setting method, and program",0,G01N|G06T|H04N
12165074,2024-12-10,"Device, system and method for estimating an external or intrinsic factor resulting in a state transition",0,G06N
12159425,2024-12-03,Three-dimensional measurement system and three-dimensional measurement method,0,G01B|G06T
12159386,2024-12-03,"Inspection system, discrimination system, and learning data generation device",0,G06F|G06N|G06T|G06V
12155758,2024-11-26,Safety system and maintenance method,0,G06F|H04L
12155451,2024-11-26,"Control system, relay device, and relay program",0,G05B|G06F|H04B|H04L
12153394,2024-11-26,"Control device, recording medium storing management program, and control system",0,G05B|G06F|H04L
12148303,2024-11-19,"Sensing device, moving body system and sensing method",1,B60Q|B60W|G01S|G06T|G08G
12148199,2024-11-19,"Analysis apparatus, analysis method, and computer-readable storage medium storing an analysis program",0,G06F|G06N|G06V
12147762,2024-11-19,"Character input device, character input method, and computer-readable storage medium storing a character input program",0,G06F
12138021,2024-11-12,Biometric data measurement system and biometric data measurement method,0,A61B|G06F|G06V
12136227,2024-11-05,"Communication support device, communication support method, and computer-readable storage medium including program",0,A61H|G06F|G06T|G06V
12135959,2024-11-05,"Non-transitory computer-readable medium, computer, and method for visual programming editor",0,G06F
12133102,2024-10-29,Wireless communication system for monitoring conditions and position of slave apparatus,0,H04L|H04Q|H04W
12131485,2024-10-29,Object tracking device and object tracking method,0,G06T|H04N
12131463,2024-10-29,Information processing device,0,G06N|G06T|G06V
12130911,2024-10-29,Controller system,0,G05B|G06F
12125226,2024-10-22,"Image processing device, three-dimensional measurement system, and image processing method",0,G01B|G01S|G06T|H04N
12124232,2024-10-22,Programmable logic controller that supplies a target command to control a target device,0,B25J|G05B|G06F
12118277,2024-10-15,Assistance device and design assistance program,0,G06F|H02P|Y02E|Y04S
12117786,2024-10-15,Control system and control apparatus,0,G05B|H04L
12111639,2024-10-08,Control system,0,G05B|G06F|H04L
12111367,2024-10-08,"Cable abnormality assessment system, slave device, and cable abnormality assessment method",0,G01R|G05B|H04B|H04L
12106103,2024-10-01,"Information processing device, control method, and non-transitory computer readable medium",0,G06F
12105551,2024-10-01,Control system,0,G05B|G06F
12105495,2024-10-01,"Program generation device, program generation device control method, and recording medium",0,G05B|G06F
12099868,2024-09-24,"Output management apparatus, output management method, and program",0,G01D|G05B|G06F|H04Q
12098911,2024-09-24,"Measurement device, measurement method, and computer-readable storage medium storing a measurement program",0,B25J|G01B|G01S|G06T
12097616,2024-09-24,"Model generation apparatus, model generation method, control apparatus, and control method",0,B25J|G05B|G06N
12097615,2024-09-24,Information processing device and information processing method,0,B25J|G05B|G06T
12095598,2024-09-17,Master module and non-transitory computer readable medium,0,G05B|H04B|H04L|H04Q
12094227,2024-09-17,Object recognition device and object recognition method,0,G06T|G06V
12093736,2024-09-17,"Pipeline computing apparatus, programmable logic controller, and pipeline processing execution method",0,G05B|G06F
12093408,2024-09-17,"Controller system, control unit, and non-transitory computer readable medium",0,G05B|G06F
12093030,2024-09-17,"Control system, support device, and storage medium to allow determination whether specifications of safety functions are satisfied",0,G05B|G06F|Y02P
12092476,2024-09-17,Method and apparatus for updating an environment map used by robots for self-localization,0,G01C|G05D|G06F|G06N|G06T|G08G
12090660,2024-09-17,"Calculation device, calculation method, and storage medium",0,B25J|G05B|G06N
12072682,2024-08-27,Support device and storage medium,0,G05B|G06F
12072681,2024-08-27,"Support device, non-transitory computer-readable recording medium recording support program, and setting method",0,G05B|H04L
12072180,2024-08-27,"Measurement method for amount of deviation, and measurement apparatus",0,G01B|G06T|H04N
12068910,2024-08-20,"Control device, network system, and network system control method and non-transitory computer readable medium",0,G05B|G06F|H04L|Y02P
12066814,2024-08-20,"Information processing device, information processing method, and non-transitory computer readable medium",0,B25J|G05B|G06F|G06Q|Y02P
12062279,2024-08-13,"Electric apparatus, communication device, and communication system",0,G05F|G06F|G08C|H04L
12056936,2024-08-06,"Model generating apparatus, method and program, and prediction apparatus",0,G06N|G06T|G06V
12055733,2024-08-06,"Light guide plate, display device, input device, and apparatus including display device",0,G02B|G06F
12051013,2024-07-30,"Learning device, learning method, and program therefor for shorten time in generating appropriate teacher data",0,B25J|G05B|G06N
12048528,2024-07-30,"Annotation method, annotation device, storage medium, and identification system",0,A61B|G01D|G06N
12045034,2024-07-23,"Control system, method, and program to improve debugging efficiency of an NC program and sequence program respectively controlling a machine tool and a peripheral target instrument",0,G05B|G06F|Y02P
12038732,2024-07-16,"Master device, arithmetic processing device, programmable logic controller, network, and information processing method",0,G05B|H04L
12032346,2024-07-09,Control system and control device,0,G05B|G06F
12026417,2024-07-02,"Information presentation system, terminal device, and recording medium",0,G05B|G06F|G06T|G09G|H04N
12026375,2024-07-02,"Information processing device, information processing method, and non-transitory computer-readable storage medium",0,G06F
12025967,2024-07-02,Control system and setting method,0,G05B|G06F
12020888,2024-06-25,"Electronic apparatus, non-contact switch, and photoelectric sensor",0,G01V|H01H|H01L|H03K
12019743,2024-06-25,Controller system,0,G05B|G06F
12019419,2024-06-25,Control system and control apparatus,0,G05B|H04L
12013675,2024-06-18,"Network system, information processing device, and information processing method",0,G05B|H04L
12009914,2024-06-11,"Control system, communication control method of control system, and control device",0,G05B|H04J|H04L|Y02P
12008148,2024-06-11,Safety device configuration cloning,0,G06F|H04W
12008094,2024-06-11,Control system and control method,0,G06F|H04L
12008072,2024-06-11,Control system and control method,0,G05B|G06F|G06N|H03M
12007776,2024-06-11,"Autonomous traveling system, autonomous traveling method, and autonomous traveling program stored on computer-readable storage medium",0,G05D|G06N
11999068,2024-06-04,Control device and alignment device,0,B25J|G05B|G06T
11985036,2024-05-14,"Network management device, management method, and recording medium",0,G05B|H04L|Y02P
11983951,2024-05-14,Human detection device and human detection method,0,G06F|G06T|G06V|H04N
11982823,2024-05-14,Light guide plate device including optical path changer,0,G02B|H04N
11979404,2024-05-07,"Information providing method, information providing system, and server",0,H04L|H04W
11971709,2024-04-30,"Learning device, control device, learning method, and recording medium",0,B25J|G05B|G06N
11967233,2024-04-23,"Management device, shared vehicle, vehicle sharing system, information processing program, and recording medium",0,G01C|G06Q|G07C|G08G|Y02T
11967183,2024-04-23,Notification system and notification device,0,G01S|G06F|G06V|G08B
11967095,2024-04-23,Image processing system and image processing method,0,G01B|G06T
11967008,2024-04-23,"Greenhouse management system, greenhouse management device, greenhouse management method, and program",0,A01G|G06Q|G06T|Y02A
11964399,2024-04-23,"Target object recognition device, manipulator, and mobile robot",0,B25J|G05B|G06T
11960968,2024-04-16,Scanning device utilizing separate light pattern sequences based on target distance,0,G06K|H04N
11960527,2024-04-16,"Buried object information management device, buried object information management system comprising same, buried object information management method, and buried object information management program",0,G01V|G06F|G06V
11960432,2024-04-16,Serial data communication device and serial data communication method,0,G06F|H04L
11960379,2024-04-16,"Simulation system, method for simulation system, and non-transitory computer-readable storage medium storing simulation program",1,G05B|G06F
11954908,2024-04-09,"Communication support device, communication support method, computer-readable storage medium including program, and server",1,A61F|G06T|G06V|G08B|G10L
11953866,2024-04-09,"Prediction control development device, prediction control development method, and computer readable storage medium",1,G05B|G06N|G16Y
11947328,2024-04-02,"Control device, control program, and control system",0,G05B|G06F
11941868,2024-03-26,"Inference apparatus, inference method, and computer-readable storage medium storing an inference program",0,G06N|G06T|G06V
11936985,2024-03-19,Appearance inspection device and defect inspection method,0,G01B|G01N|H04N
11927928,2024-03-12,"Output management apparatus, output management method, and program",0,G05B|G06F|G08C|H04Q
11922680,2024-03-05,"Image determination device, image determination method, and non-transitory computer readable medium storing program",0,G06F|G06N|G06T|G06V
11922616,2024-03-05,Alignment device,0,B25J|G05B|G06T
11922319,2024-03-05,"Image determination device, training method and non-transitory computer readable medium storing program",0,G06F|G06N|G06V
11917024,2024-02-27,"Control system, support apparatus, and program for support apparatus",0,G05B|H04L
11915143,2024-02-27,"Image determination device, image determination method, and non-transitory computer readable medium storing program",0,G06F|G06N|G06V
11907735,2024-02-20,Control device and method for deployment of software,0,G05B|G06F
11903647,2024-02-20,"Gaze detector, method for controlling gaze detector, method for detecting corneal reflection image position, and storage medium",0,A61B|G06T|G06V
11892819,2024-02-06,"Control device, control system, control method, and computer-readable storage medium",0,G05B|G06N
11886170,2024-01-30,"Control system, setting device and setting program",0,G05B|H04L
11886160,2024-01-30,"Work support system, information processor, and work support method",0,G05B|G06Q|Y02P
11880625,2024-01-23,"Display device, screen generation method, and screen generation program",0,G05B|G06F|Y02P
11878229,2024-01-23,"Stroke decision device, stroke decision method, recording medium storing stroke decision program, and ball-returning robot",0,A63B|G05B|G06T
11875065,2024-01-16,Control device,0,G06F
11870670,2024-01-09,"Information processing device, information processing system, notification method, and storage medium",0,G06F|H04L
11869199,2024-01-09,Object tracking device and object tracking method,0,G06T|H04N
11855907,2023-12-26,Robot control system and control method,0,B25J|G05B|G05D|H04L|Y02P
11853025,2023-12-26,"Ladder diagram program creation assistance device, ladder diagram program creation assistance method, and non-transitory computer readable recording medium",0,G05B|G06F
11852591,2023-12-26,Inspection device and method,0,G01N|G06T|G06V
11834052,2023-12-05,"Estimator generation apparatus, monitoring apparatus, estimator generation method, and computer-readable storage medium storing estimator generation program",0,B60W|G06N|G06V
11830174,2023-11-28,"Defect inspecting device, defect inspecting method, and storage medium",1,G01N|G06N|G06T
11829837,2023-11-28,Symbol evaluation device and evaluation method,0,G06K|H04N
11829355,2023-11-28,"Control system, control method, and control program",0,G05B|G06F
11825192,2023-11-21,Image sensor,0,G02B|G03B|G06T|H04N
11823414,2023-11-21,"Information processing device, information processing method, and information processing non-transitory computer readable medium",0,B25J|G06T|G06V
11816754,2023-11-14,"Measurement parameter optimization method and device, and computer control program stored on computer-readable storage medium",0,B25J|G05B|G06T|G06V
11811547,2023-11-07,Control system in which a plurality of apparatuses in time synchronization with one another are connected to a network,0,G05B|H04J|H04L
11803982,2023-10-31,Image processing device and three-dimensional measuring system,0,G01B|G06T|G06V
11803406,2023-10-31,"Candidate extraction apparatus, candidate extraction method, and program",0,G01D|G05B|G06F|G08B|G08C|H04Q
11803170,2023-10-31,"Graph display device, graph display method, and recording medium",0,G05B|G06F|Y02P
11800651,2023-10-24,Information display apparatus,0,G02F|G06F|G09F|H05K
11798754,2023-10-24,"Electronic apparatus, contactless switch, and photoelectric sensor comprising a housing with a substrate holding part for fixing one or more substrates to a predetermined position",0,G01D|H01H|H01L|H03K|H05K
