patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432811,2025-09-30,Discontinuous reception for sidelink,0,H04L|H04W|Y02D
12432810,2025-09-30,Managing discontinuous reception in sidelink relay,0,H04W
12432799,2025-09-30,Techniques for data transmission management,0,H04L|H04W
12432786,2025-09-30,Uplink (UL) transmission in random access channel (RACH) on flexible cell,0,H04W
12432784,2025-09-30,Random access preamble techniques in full-duplex wireless communications,0,H04L|H04W
12432780,2025-09-30,Schemes for channel aware tone reservation contention with reference signals,0,H04W
12432777,2025-09-30,Channel state information triggering for uplink dominant traffic,0,H04L|H04W
12432776,2025-09-30,Sidelink synchronization signal block patterns for multiple listen-before-talk opportunities,0,H04L|H04W
12432765,2025-09-30,Indication of a preferred carrier in a physical uplink control channel group,0,H04B|H04W
12432759,2025-09-30,Techniques to allocate receive resources,0,H04B|H04L|H04W
12432758,2025-09-30,Frequency resource allocation for reduced capability devices,0,H04L|H04W
12432757,2025-09-30,Transmission configuration indicator state types for sounding reference signal as source reference signal,0,H04B|H04L|H04W
12432753,2025-09-30,Configuration of multicast reception and mobility for user equipment in an inactive state,0,H04W
12432743,2025-09-30,Techniques for slot format configuration per resource block set for subband full-duplex operation,0,H04L|H04W
12432738,2025-09-30,UE feedback of content processing time for bi-directional traffic,0,H04L|H04W
12432734,2025-09-30,Boundary identification for probabilistic amplitude shaping,0,H04J|H04L|H04W
12432730,2025-09-30,Multi-transport block sidelink scheduling,0,H04W
12432722,2025-09-30,CSI-RS to enhance PDCCH transmission or reception,0,H04B|H04L|H04W
12432716,2025-09-30,Dynamic reconfiguration of uplink control channel resources for a scheduling request,0,H04B|H04L|H04W
12432713,2025-09-30,Semi-persistent scheduling physical uplink control channel (PUCCH) hybrid automatic repeat request deferral for PUCCH groups,0,H04L|H04W
12432711,2025-09-30,Network initiated polling for uplink scheduling request,0,H04B|H04L|H04W
12432701,2025-09-30,Techniques for bandwidth part configuration associated with channel state information reference signal measurement,0,H04L|H04W
12432692,2025-09-30,Beam identification for paging messages on a single frequency network,0,H04B|H04L|H04W
12432689,2025-09-30,User equipment positioning estimate for specified time,0,G01S|H04W
12432683,2025-09-30,Regional positioning assistance data,0,G01S|H04W
12432682,2025-09-30,Positioning aided new radio race procedure,0,H04W
12432676,2025-09-30,Timing advance indication for multi-panel uplink transmission,0,H04W
12432675,2025-09-30,Signal synchronization for over-the-air aggregation in a federated learning framework,0,H04B|H04L|H04W
12432670,2025-09-30,Transmit power limit based on sensor spatial coverage,0,H04W
12432666,2025-09-30,Power prioritization including candidate cells,0,H04W
12432636,2025-09-30,Techniques for performing layer 1/layer 2 mobility based on multiple secondary cell group configurations,0,H04L|H04W
12432624,2025-09-30,Techniques for improvement of voice over Wi-Fi to voice over cellular handovers,0,H04W
12432613,2025-09-30,Data scrambling in rate-split communications,0,H04L|H04W
12432604,2025-09-30,Sidelink carrier aggregation,0,H04L|H04W
12432599,2025-09-30,Measurement reporting timing adjustments,0,H04W
12432596,2025-09-30,Channel state information (CSI) reporting for one or both of a private message (p-message) or a common message (c-message),0,H04L|H04W
12432587,2025-09-30,Slot level overbooking for multi-slot physical downlink control channel monitoring,0,H04L|H04W
12432585,2025-09-30,Medium access control layer mapping for pathloss reference signal,0,H04L|H04W
12432583,2025-09-30,Quasi co-location (QCL) prioritization rules for multi-transmission configuration indicator (TCI) state control resource set (CORESET),0,H04B|H04L|H04W
12432577,2025-09-30,Group configuration for inter-cell mobility in multi-transmission reception point deployments,0,H04W
12432576,2025-09-30,Indicating a loss of coherence in a wireless network,0,H04W
12432575,2025-09-30,Disabling beam prediction outputs,0,H04W
12432545,2025-09-30,Controlling switch timing in time division duplexing devices,0,H04W
12432544,2025-09-30,Transmission and reception of proximity detection signal for peer discovery,0,H04L|H04W
12432536,2025-09-30,Optimized vehicle-to-everything (V2X) messaging,0,G08G|H04W
12432528,2025-09-30,Signaling related to dynamic spectrum sharing carrier,0,H04L|H04W
12432352,2025-09-30,Bit-length control for linear regression-based affine merge candidate derivation,0,H04N
12432344,2025-09-30,Intra chroma mode list construction for video coding,0,H04N
12432339,2025-09-30,Merge candidate reordering in video coding,0,H04N
12432309,2025-09-30,Speech-based visual indicator during communication session,0,G10L|H04N
12432296,2025-09-30,Malicious call attack detection and mitigation,0,H04M|H04W
12432204,2025-09-30,Hardware identity impersonation for target access control,0,G06F|H04L
12432100,2025-09-30,Performing a two-stage decomposition on a four by four Hermitian matrix associated with a wireless communication signal analysis,0,G06F|H04B|H04L
12432026,2025-09-30,Quasi co-location determination for overlapping downlink channels and synchronization blocks,0,H04B|H04L|H04W
12432025,2025-09-30,Configurations and dynamic signaling for doppler tracking sounding reference signal resource sets,0,H04L
12432012,2025-09-30,Indicating sub-band locations for sub-band full duplex communication,0,H04L
12432011,2025-09-30,Forward error correction encoding with reliability differentiation,0,H03M|H04L
12432008,2025-09-30,Techniques for modifying parameters based on assistance information in wireless communications,0,H04L|H04W
12431996,2025-09-30,Techniques to facilitate multiplexing uplink signals of a repeater,0,H04B|H04J|H04L
12431988,2025-09-30,Techniques for successive tuning using a reconfigurable surface,0,H04B|H04W
12431953,2025-09-30,Indication of information in channel state information (CSI) reporting,0,H04B|H04L
12430809,2025-09-30,Predictive geometry coding of point cloud,0,G06T|H04N
12430807,2025-09-30,Clipping laser indices in predictive geometry coding for point cloud compression,0,G01S|G06T
12430779,2025-09-30,Depth estimation using image and sparse depth inputs,0,G06T
12430280,2025-09-30,Mechanism to improve the reliability of sideband in chiplets,0,G06F
12430199,2025-09-30,Flow control between peripheral component interconnect express devices,0,G06F
12430079,2025-09-30,Low-latency code fetching from memory,0,G06F
12429558,2025-09-30,Positioning of passive internet of things (IOT) devices,0,G01S|H04W
12429548,2025-09-30,Cross-link interference (CLI) measurements for received signal strength indicator (RSSI) based positioning,0,G01S|H04B|H04W
12426128,2025-09-23,Cross-carrier scheduling techniques for multiple discontinuous reception groups,0,H04W|Y02D
12426126,2025-09-23,Idle/inactive mode procedures for reduced capability user equipment,0,H04L|H04W
12426114,2025-09-23,Techniques for configuring a transmission power parameter after tuning back to a subscription in a dual connectivity mode,0,H04B|H04W
12426094,2025-09-23,Communication configuration based on random access bandwidth,0,H04W
12426086,2025-09-23,Flexible multi-link operation architecture,0,H04L|H04W
12426084,2025-09-23,Channel occupancy time contention grant for sidelink communications,0,H04W
12426081,2025-09-23,Prioritization for reducing semi-persistent scheduling or configured grant blind decoding,0,H04L|H04W
12426073,2025-09-23,Uplink cancellation indication resource determination,0,H04L|H04W
12426071,2025-09-23,Distance-based channel occupancy time (COT) sharing,0,H04W
12426069,2025-09-23,Interlaced sidelink data for communication,0,H04L|H04W
12426066,2025-09-23,Transmission across partitioned resource pools,0,H04L|H04W
12426060,2025-09-23,Early termination of blind decoding with rateless coding,0,H04W
12426055,2025-09-23,Multiple transport block (TB) grant for sidelink,0,H04W
12426046,2025-09-23,Techniques for service establishment in a service-based wireless system,0,H04L|H04W
12426039,2025-09-23,Techniques for channel estimation,0,H04B|H04L|H04W
12426034,2025-09-23,UE behavior with reference signals in a full-duplex symbol,0,H04L|H04W
12426033,2025-09-23,Unifying sidelink and UU interface downlink control information,0,H04L|H04W
12426029,2025-09-23,Thermal mitigation in user equipment having multiple communication modules,0,G01K|G06F|H04B|H04W
12426021,2025-09-23,Signaling to indicate flexible uplink or downlink subbands,0,H04L|H04W
12426016,2025-09-23,Distributed multi-encoder network coding design,0,H04L|H04W
12425994,2025-09-23,Transmitting synchronization signal block via reconfigurable intelligent surfaces,0,H04B|H04J|H04L|H04W
12425991,2025-09-23,Use of physical broadcast channel demodulation reference signal to speed up neighbor cell measurement,0,H04B|H04L|H04W
12425983,2025-09-23,Power headroom reporting for dynamic power aggregation,0,H04W
12425980,2025-09-23,Power control for sounding reference signal in non-terrestrial networks,0,H04L|H04W
12425978,2025-09-23,Enhanced uplink power control with lookahead,0,H04W
12425976,2025-09-23,Uplink power control (ULPC) indication by associating a ULPC configuration and a transmission configuration indicator (TCI),0,H04W
12425972,2025-09-23,Bandwidth part (BWP) dynamic adaptation in accordance with an energy level at a user equipment (UE),0,H04L|H04W
12425968,2025-09-23,Physical layer signature for wake-up signals,0,H04L|H04W|Y02D
12425961,2025-09-23,Low latency solutions for restricted target wake time (R-TWT) during multi-link operation (MLO),0,H04W|Y02D
12425958,2025-09-23,UE enhancement prioritizing 5G NR cell selection,0,H04W
12425938,2025-09-23,Techniques for layer 2 signaling for layer 1 and layer 2 mobility,0,H04L|H04W
12425937,2025-09-23,UE requested SMTC window configuration adaptation,0,H04W
12425928,2025-09-23,Maintaining configurations in conditional primary secondary cell group change,0,H04W
12425926,2025-09-23,Techniques for resource reservation for a retransmission,0,H04L|H04W
12425921,2025-09-23,Physical layer latency reduction,0,H04L|H04W
12425911,2025-09-23,Cross-link interference (CLI) measurement in subband full-duplex (SBFD) operation,0,H04B|H04L|H04W
12425910,2025-09-23,Measurement gaps for L1 measurements,0,H04L|H04W
12425900,2025-09-23,Cross-link interference reporting configuration and payload design,0,H04B|H04L|H04W
12425899,2025-09-23,Periodic and aperiodic channel state information (CSI) reporting for MIMO,0,H04B|H04L|H04W
12425897,2025-09-23,Beam sweep based random access msg 2,0,H04B|H04W
12425846,2025-09-23,Secure sidelink communication,0,H04W
12425839,2025-09-23,Capability configurations for new radio redcap devices,0,H04L|H04W
12425835,2025-09-23,Systems and methods to designate subscription priority to set a gain state in a multi-subscriber identity module device,0,H04B|H04W
12425827,2025-09-23,Managing processing of a basic safety message,0,H04W
12425658,2025-09-23,Predictive geometry coding for point cloud compression,0,H04N
12425643,2025-09-23,Derivation of affine merge candidates with linear regression for video coding,0,H04N
12425338,2025-09-23,Prioritizing data flows,0,H04L|H04W
12425297,2025-09-23,Dynamic operating roles for internet of things (IoT) devices in a network,0,H04L|H04W|Y02D
12425283,2025-09-23,Non-linearity estimation techniques for digital post distortion (DPoD) in a wireless system,0,H04B|H04L
12425177,2025-09-23,Techniques for implementing full-duplex communications via multiple transmission and reception points,0,H04L|H04W
12425176,2025-09-23,Transmission configuration indication state restriction for sub-band full-duplex communications,0,H04L
12425163,2025-09-23,Techniques for sounding reference signal phase coherency,0,H04L
12425159,2025-09-23,Uplink subband precoding via sounding reference signals precoded by frequency domain bases,0,H04B|H04L|H04W
12425154,2025-09-23,Quasi co-location type for doppler pre-compensated reference signal,0,H04B|H04L|H04W
12425153,2025-09-23,Enhanced sounding reference signal resource configurations,0,H04L
12425152,2025-09-23,Uplink non-codebook based precoder selection using DMRS measurement,0,H04B|H04L|H04W
12425151,2025-09-23,Demodulation reference signal sharing pattern selection in a wireless communication system,0,H04L
12425149,2025-09-23,Signaling consideration for new radio positioning with disjoint bandwidth segments,0,G01S|H04L|H04W
12425145,2025-09-23,Techniques for beamforming for multiple component carriers in wireless communications,0,H04B|H04L|H04W
12425140,2025-09-23,Dynamic hybrid automatic repeat request (HARQ) codebook for multi-user packet (MUP) and/or unicast communications,0,H04L
12425114,2025-09-23,Barrier type detection using time-of-flight and receive signal strength indication,0,G01S|G08B|H04B|H04W
12425110,2025-09-23,Multiple-input multiple-output over the air performance testing,0,H04B|H04W
12425096,2025-09-23,Remote unit with a configurable mode of operation,0,H04B|H04W
12425091,2025-09-23,Beam refinement procedure,0,H04B|H04J|H04L|H04W
12425079,2025-09-23,Switching across antenna modules with independent boresight directions,0,H04B|H04W
12424559,2025-09-23,Package with a substrate comprising embedded escape interconnects and surface escape interconnects,0,H01L|H05K
12424518,2025-09-23,Capacitor embedded 3D resonator for broadband filter,0,H01L|H03H
12424265,2025-09-23,Chip select transmitters for multiple signal levels,0,G06F|G11C
12423377,2025-09-23,Computation in memory architecture for phased depth-wise convolutional,0,G06F|G06G|G06N|G11C|Y02D
12423252,2025-09-23,Systems and methods for reducing latency and improving performance in a peripheral component interconnect express (PCIe) system,0,G06F
12423197,2025-09-23,System and method for protecting system safety from guest virtual machine (GVM) originated global system memory management unit (SMMU) faults in automotive hosted hypervisor systems,0,G06F
12422568,2025-09-23,Position uncertainty management during a lack of beacon signal reception,0,G01S|H04W
12422541,2025-09-23,Positioning co-located user equipment in a vehicle to everything (V2X) environment,0,G01S|H04W
12422518,2025-09-23,Interference relocation in radar applications to mitigate inter-radar interference,0,G01S|H04W
12418937,2025-09-16,Maintaining channel occupancy time across sidelink synchronization signal block slots in unlicensed sidelink,0,H04W
12418926,2025-09-16,Consolidated feedback indication and feedback transmission,0,H04L|H04W
12418923,2025-09-16,Status indications for uplink configured grant instances,0,H04W
12418922,2025-09-16,Transmission configuration indication (TCI) in downlink control information (DCI) rules and associated techniques,0,H04B|H04L|H04W
12418920,2025-09-16,Default uplink multiple input multiple output transmission prior to uplink transmission configuration indication state activation,0,H04B|H04L|H04W
12418912,2025-09-16,Delay states and associated configurations,0,H04L|H04W
12418903,2025-09-16,Group common downlink control information enhancements for partial frequency sounding of multiple UEs,0,H04L|H04W
12418901,2025-09-16,Carrier group signaling in inter-band carrier aggregation,0,H04L|H04W
12418881,2025-09-16,Misbehavior detection service for sharing connected and sensed objects,0,H04W
12418874,2025-09-16,Timing advance validation techniques for L1/L2 inter-cell mobility,0,H04L|H04W
12418865,2025-09-16,Cross-link interference determination for an uplink shared channel,0,H04W
12418816,2025-09-16,Maximum permissible exposure reporting configuration in carrier aggregation and dual connectivity,0,H04B|H04L|H04W
12418812,2025-09-16,Enhanced signaling for beam failure detection reference signal with UE predicted beam failure,0,H04L|H04W
12418811,2025-09-16,Monitoring other search spaces near a common search space,0,H04L|H04W
12418808,2025-09-16,Gradient dataset aware configuration for over-the-air (OTA) model aggregation in federated learning,0,G06N|H04L|H04W
12418805,2025-09-16,Beam failure detection (BFD) behavior after receiving beam failure recovery (BFR) response,0,H04B|H04L|H04W
12418681,2025-09-16,Context modeling for sign prediction for video coding,0,H04N
12418668,2025-09-16,Alias-free compression of content using artificial neural networks,0,G06T|H04N
12418442,2025-09-16,Consideration for demodulation reference signal and tracking reference signal quasi co-location relationship,0,H04B|H04L
12418387,2025-09-16,Methods and apparatus for dynamic scheduling of sub-band full duplex communications,0,H04L|H04W
12418383,2025-09-16,Measurement reporting for fast fading detection error,0,H04B|H04L|H04W
12418380,2025-09-16,Reference signal patterns based on relative speed between a transmitter and receiver,0,H04L|H04W
12418377,2025-09-16,Supporting scheduling of sounding reference signals,0,H04L|H04W
12418373,2025-09-16,Aggregated uplink shared channel transmission for two step random access channel procedure,0,H04L|H04W
12418372,2025-09-16,Multi-slot sounding reference signal (SRS) resource,0,H04B|H04L|H04W
12418330,2025-09-16,Multiple-input and multiple-output demodulation for non-uniform modulation constellations,0,H04B|H04L
12418314,2025-09-16,Systems and methods of exchanging data using a high-speed communication link,0,H03M|H04L
12417761,2025-09-16,Dummy prototypical networks for few-shot open-set keyword spotting,0,G06F|G06V|G10L
12417579,2025-09-16,Systems and methods for recursive dimensional decomposition convolution,0,G06F|G06N|G06T
12417514,2025-09-16,Compression of images for generating combined images,0,G06T|H04N
12417196,2025-09-16,Systems and methods for reducing latency and power consumption in a peripheral component interconnect express (PCIe) system,0,G06F|Y02D
12417189,2025-09-16,Automated damage condition detection and data backup in an electronic device,0,G06F
12417023,2025-09-16,Host device caching of flash memory address mappings,0,G06F
12416996,2025-09-16,Devices including one or more high-impedance layers between a display stack and an ultrasonic fingerprint sensor stack,0,G06F|G06V
12416974,2025-09-16,Audio-video-haptics recording and playback,0,G06F|G06V|H04N
12416941,2025-09-16,Read synchronization delay at subordinate device for 1 wire protocol,0,G06F
12416706,2025-09-16,Reference signal aggregation for radio frequency sensing,0,G01S|H04L
12416703,2025-09-16,Time reversal for radio frequency sensing,0,G01S|H04B|H04L
12414381,2025-09-09,Monolithic three-dimensional (3D) complementary field effect transistor (CFET) circuits and method of manufacture,0,B82Y|H01L|H03K|H10D
12414189,2025-09-09,Signaling for multi-link communication in a wireless local area network (WLAN),0,H04B|H04L|H04W|Y02D
12414163,2025-09-09,Closed loop time and frequency corrections in non-terrestrial networks,0,H04W
12414158,2025-09-09,Techniques for improving efficiency in sidelink wireless communications,0,H04L|H04W
12414157,2025-09-09,Multiple victim/aggressor collision avoidance,0,H04B|H04L|H04W
12414153,2025-09-09,Invoking an activity state of a radio resource control connection setup message monitoring procedure,0,H04L|H04W
12414140,2025-09-09,Complexity handling for physical downlink control channel repetition,0,H04L|H04W
12414126,2025-09-09,Scheduled cell identification for multi-cell scheduling,0,H04W
12414123,2025-09-09,Number of BD and CCE for cross-carrier scheduling from an S-Cell to a P-Cell,0,H04L|H04W
12414121,2025-09-09,Latency reduction and coverage enhancement for extended reality,0,H04W
12414120,2025-09-09,Multiple uplink configurations for multiple antenna panel transmissions,0,H04B|H04L|H04W
12414116,2025-09-09,Uplink channel design for slot-based transmission time interval (TTI),0,H04L|H04W
12414109,2025-09-09,Skipped uplink configured grant occasions in sidelink transmissions,0,H04W
12414106,2025-09-09,Sidelink PSCCH timing estimation,0,H04L|H04W
12414102,2025-09-09,Techniques for cross-carrier scheduling from a secondary cell to a primary cell,0,H04L|H04W
12414087,2025-09-09,Distributed sensing with low-resolution analog-to-digital converters,0,G01S|H04W
12414086,2025-09-09,Physical sidelink feedback channel resource selection,0,H04L|H04W
12414073,2025-09-09,Positioning of an intelligent reflecting surface (IRS) in a wireless communication network,0,G01S|H04L|H04W
12414071,2025-09-09,Updating user equipment's positioning capabilities during positioning session,0,H04W
12414055,2025-09-09,Transmit power adjustment based on inter-user equipment coordination,0,H04L|H04W
12414051,2025-09-09,Power control for sounding reference signal resource indicator based antenna selection,0,H04L|H04W
12414041,2025-09-09,Sidelink bandwidth part timer based on active state,0,H04L|H04W|Y02D
12413997,2025-09-09,Interference data collection with beam information for ML-based interference prediction,0,H04B|H04W
12413993,2025-09-09,Techniques for providing channel quality feedback for enhanced reliability in wireless communications,0,H04L|H04W
12413992,2025-09-09,Positioning reference signals (PRS)-assisted beam management for communication,0,G01S|H04B|H04L|H04W
12413961,2025-09-09,Techniques for path information-based physical layer security,0,G06F|H04L|H04W
12413955,2025-09-09,Association of multiple subscriber identity modules,0,H04W
12413933,2025-09-09,Scheduled positioning of target devices using mobile anchor devices,0,G01S|H04W
12413932,2025-09-09,UE positioning in the presence of an intelligent reflecting surface (IRS),0,G01S|H04B|H04L|H04W
12413825,2025-09-09,Synchronous content presentation,0,G07F|H04L|H04N|H04W
12413745,2025-09-09,Bi-directional prediction boundary pixel padding with out-of-picture-boundary motion vectors,0,H04N
12413728,2025-09-09,Flexible activation of multiple transform selection for inter-coding in video coding,0,H04N
12413701,2025-09-09,Foldable electronic device for multi-view image capture,0,G06T|G06V|H04M|H04N
12413483,2025-09-09,Systems and methods for using bottleneck structures to improve performance of machine learning-based modeling,0,H04L
12413481,2025-09-09,Data center networks using bottleneck structures,0,H04L
12413456,2025-09-09,Parallel direct-feedback decision-feedback equalizer for high-speed low-voltage wireline links,0,H04L
12413451,2025-09-09,Generation of complete large scale parameter maps,0,H04L
12413396,2025-09-09,Lower layer security for groupcast communication,0,H04L|H04W
12413390,2025-09-09,Compression of matrices for digital security,0,G06F|H03M|H04L
12413380,2025-09-09,Spatial parameters for half-duplex and full-duplex communications,0,H04B|H04L
12413379,2025-09-09,Guard period configuration between subband full duplex and half duplex symbols and slots,0,H04L
12413376,2025-09-09,Spectrum sensing during initial access to a full-duplex cell,0,H04L|H04W
12413371,2025-09-09,Signaling support for different timing cases in IAB nodes,0,H04L|H04W
12413359,2025-09-09,Unequal precoding resource block group sizes for multiple-codeword downlink data transmissions,0,H04L|H04W
12413352,2025-09-09,Frame structures for uplink carrier aggregation of two time division duplex carriers,0,H04L|H04W
