patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430349,2025-09-30,Contextual modification of data sharing constraints in a distributed database system that uses a multi-master replication scheme,0,G06F
12430346,2025-09-30,Systems and methods for automatic clustering and canonical designation of related data in various data structures,0,G06F
12430114,2025-09-30,System and methods for using container layers to facilitate cloud resource sharing and decrease startup times,0,G06F
12430017,2025-09-30,Interactive graphical user interfaces for simulated systems,0,G06F
12425254,2025-09-23,Systems and methods for providing category- sensitive chat channels,0,H04L
12417337,2025-09-16,Data normalization and irregularity detection system,0,G06F|G06Q|G16H|H04L|H04W
12417240,2025-09-16,Resolving conflicts between data source updates and user edits to ontology data,0,G06F
12417227,2025-09-16,Row-level permissioning based on evaluated policies,0,G06F
12417215,2025-09-16,Output validation of data processing systems,0,G06F
12417011,2025-09-16,Graphical user interface system,0,G06F
12411664,2025-09-09,Auto-generating interactive workflow user interfaces for simulated systems,0,G06F
12405983,2025-09-02,Interacting with ontology-based databases using machine learning,0,G06F
12405945,2025-09-02,Searches of highly structured data,0,G06F
12405846,2025-09-02,Providing application programming interface endpoints for machine learning models,0,G06F|G06N|H04L
12401701,2025-08-26,Shared state collaboration,0,G06F|G06Q|H04L
12399938,2025-08-26,System event detection system and method,0,G06F|H04L
12399870,2025-08-26,Data revision control in large-scale data analytic systems,0,G06F
12394006,2025-08-19,Contextual scenario assessment,0,G06N|G06Q
12393914,2025-08-19,Interactive data analysis and scheduling,0,G06F|G06Q
12393406,2025-08-19,Entity search engine powered by copy-detection,0,G06F
12386803,2025-08-12,Creating data in a data store using a dynamic ontology,0,G06F
12386802,2025-08-12,Column lineage for resource dependency system and graphical user interface,0,G06F|G06N|G06Q
12386496,2025-08-12,Data collaboration between different entities,0,G06F|G06T|H04L
12380152,2025-08-05,Fine-grained permission models for ontology data,0,G06F
12380073,2025-08-05,Rules-based dataset cleaning,0,G06F
12374011,2025-07-29,Interactive data object map,0,G06F|G06T|G09B
12373499,2025-07-29,System to manage document workflows,0,G06F|G06Q|H04L
12367310,2025-07-22,Data security,0,G06F
12367305,2025-07-22,Row-level and column-level policy service,0,G06F
12367050,2025-07-22,Systems and methods for running applications associated with browser-based user interfaces within multi-developer computing platforms,0,G06F
12361045,2025-07-15,Determining geolocations of composite entities based on heterogeneous data sources,0,G01S|G06F|G06N|H04W
12360762,2025-07-15,Automatic modification of repository files,0,G06F
12353852,2025-07-08,Systems and methods for action validations,0,G06F
12353678,2025-07-08,Object-centric data analysis system and associated graphical user interfaces,0,G06F|G06T
12353582,2025-07-08,Exploration and access to electronic data assets,0,G06F
12353579,2025-07-08,Controlling user actions and access to electronic data assets,0,G06F|H04L
12353477,2025-07-08,Providing an object-based response to a natural language query,0,G06F|G06N
12348647,2025-07-01,Method and apparatus for providing secure debug information,0,G06F|H04L
12346339,2025-07-01,Code list builder,0,G06F
12346320,2025-07-01,Low-latency database system,0,G06F
12340325,2025-06-24,Managing production pipelines,0,G06Q|Y02P
12339761,2025-06-24,Ingesting data to a processing platform,0,G06F|H04L
12333237,2025-06-17,Systems and methods for providing a view of geospatial information,0,G06F|H04W
12332909,2025-06-17,User interface data sample transformer,0,G06F
12326872,2025-06-10,Systems and methods for importing data from electronic data files,0,G06F
12326833,2025-06-10,Approaches for managing data retention lifecycle,0,G06F
12321760,2025-06-03,Transforming instructions for collaborative updates,0,G06F|G06Q
12321723,2025-06-03,Code execution and data processing pipeline,0,G06F
12321578,2025-06-03,Enhanced techniques for building user interfaces,0,G06F
12321394,2025-06-03,System and method for querying a data repository,0,G06F
12320663,2025-06-03,Dynamic scaling of geospatial data on maps,0,G01C|G06F|G06T
12316812,2025-05-27,System to collect and visualize software usage metrics,0,H04L|H04N
12314704,2025-05-27,Systems and methods for coordinating the deployment of components to defined user groups,0,G06F
12308032,2025-05-20,System and methods for audio data analysis and tagging,0,G06F|G06N|G10L
12307529,2025-05-20,Sensor data integration and analysis,0,G06F|G06Q
12306974,2025-05-20,Controlling access to electronic data assets,0,G06F
12306815,2025-05-20,Resource grouping for resource dependency system and graphical user interface,0,G06F|G06N|G06Q
12299106,2025-05-13,Project-based permission system,0,G06F|H04L
