patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431349,2025-09-30,In-situ control of film properties during atomic layer deposition,0,C23C|H01J|H01L
12424480,2025-09-23,Detecting wafer status in a wafer chuck assembly,0,H01L
12424470,2025-09-23,Systems and methods for autonomous process control and optimization of semiconductor equipment using light interferometry and reflectometry,0,C23C|G01B|H01J|H01L
12424453,2025-09-23,Low temperature direct copper-copper bonding,0,C25D|C25F|H01L
12421602,2025-09-23,Multi-station semiconductor processing with independently adjustable pedestals,0,C23C|H01L
12417943,2025-09-16,Reducing intralevel capacitance in semiconductor devices,0,C23C|H01L
12417916,2025-09-16,Tin oxide films in semiconductor device manufacturing,0,H01J|H01L
12417902,2025-09-16,Method for cleaning a chamber,0,C23F|H01J|H01L|H10N
12412742,2025-09-09,Impurity reduction in silicon-containing films,0,C23C|H01J|H01L
12412736,2025-09-09,Methods and systems for managing byproduct material accumulation during plasma-based semiconductor wafer fabrication process,0,C23C|H01J|H01L|Y02C|Y02P
12410521,2025-09-09,Bidirectional indexing apparatus,0,B23Q|C23C|H01J|H01L
12406872,2025-09-02,Semiconductor processing chamber with dual-lift mechanism for edge ring elevation management,0,H01J|H01L
12406852,2025-09-02,Profile optimization for high aspect ratio memory using an etch front metal catalyst,0,H01L|H10B
12403547,2025-09-02,Method for controlling stress in a substrate during laser deposition,0,B23K|B81C|C23C|H01L|H03H
12400902,2025-08-26,Carrier ring designs for controlling deposition on wafer bevel/edge,0,C23C|H01J|H01L
12400880,2025-08-26,Apparatuses for uniform fluid delivery in a multi-station semiconductor processing chamber,0,C23C|H01L
12400837,2025-08-26,Macroscopic texturing for anodized and coated surfaces,0,C23C|C25D|H01J|H01L
12398464,2025-08-26,Substrate pedestal including backside gas-delivery tube,0,B32B|C23C|H01J|H01L
12397435,2025-08-26,Substrate location detection and adjustment,0,B25J|G01B|H01J|H01L
12394608,2025-08-19,Cleaning system for removing deposits from pump in an exhaust of a substrate processing system,0,H01J|H01L
12394598,2025-08-19,Capacitance measurement without disconnecting from high power circuit,0,C23C|G01N|G01R|H01J|H01L
12392049,2025-08-19,Controlling plating electrolyte concentration on an electrochemical plating apparatus,0,C25D|H01L
12387965,2025-08-12,Electrostatic chuck for use in semiconductor processing,0,C23C|H01J|H01L
12387964,2025-08-12,Matched tcr joule heater designs for electrostatic chucks,0,H01L|H05B
12387915,2025-08-12,Lower plasma exclusion zone ring for bevel etcher,0,H01J|H01L
12387909,2025-08-12,Low frequency RF generator and associated electrostatic chuck,0,H01J|H01L
12387134,2025-08-12,Data capture and transformation to support data analysis and machine learning for substrate manufacturing systems,0,C23C|G05B|G06F|G06N|H01L|H04L|Y02P
12381105,2025-08-05,Coolant channel with internal fins for substrate processing pedestals,0,H01J|H01L
12379720,2025-08-05,Common terminal heater for ceramic pedestals used in semiconductor for fabrication,0,C23C|G05B|H01J|H01L
12372872,2025-07-29,Extreme ultraviolet (EUV) lithography using an intervening layer or a multi-layer stack with varying mean free paths for secondary electron generation,0,G03F|H01L
12371781,2025-07-29,In situ protective coating of chamber components for semiconductor processing,0,C23C|H01J|H01L
12368075,2025-07-22,Graphene integration,0,C23C|H01L
12368057,2025-07-22,Enhanced closed loop gas based heat exchange,0,F04F|F24F|H01L
12368029,2025-07-22,Lamellar ceramic structure,0,C23C|H01J|H01L
12368025,2025-07-22,Edge seal for lower electrode assembly,0,H01J|H01L|Y02P|Y10T
12362206,2025-07-15,Foreline assembly for quad station process module,0,H01L
12362188,2025-07-15,Method for preventing line bending during metal fill process,0,C23C|H01L|H10B
12362153,2025-07-15,Pedestal setup using camera wafer,0,C23C|H01J|H01L
