patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12433131,2025-09-30,Foldable display module and display device,0,G02B|G06F|G09F|H10K
12433128,2025-09-30,Chip with pads of differing width and display module with the same,0,H01L|H10K
12433116,2025-09-30,Display substrate and display apparatus,0,G06F|G09G|H10K
12433029,2025-09-30,Display substrate and display apparatus,0,G09G|H01L|H10D|H10H|H10K
12432212,2025-09-30,"Data sharing method, apparatus and system, and server and computer storage medium",0,H04L|H04W
12430942,2025-09-30,Pattern recognition module and pattern recognition apparatus,0,G06F|G06V
12430786,2025-09-30,"Linewidth measurement method and apparatus, computing and processing device, computer program and computer readable medium",0,G06T
12430643,2025-09-30,"Data management method, apparatus and system based on blockchain",0,G06F|G06N|G06Q|G16Y|H04L
12430361,2025-09-30,"Methods and systems for data synchronization, and computer-readable storage media",0,G06F|Y02D
12429983,2025-09-30,"Touch display device, method for controlling same, and computer storage medium",0,G06F
12429974,2025-09-30,Touch display panel and touch display apparatus,0,G06F|H10K
12429968,2025-09-30,Display substrate and display device,0,G06F|H10K
12429966,2025-09-30,Display substrate with grid cathode layer and touch control display device with display substrate,0,G06F|G09G
12429914,2025-09-30,Flexible display device and electronic device,0,G02B|G06F|G09F|Y02E
12429699,2025-09-30,Eye movement tracking device and eye movement tracking method,0,A61B|G02B|G06F
12426459,2025-09-23,"Display substrate, method of manufacturing the display substrate, and display device",0,G02F|G06F|G09G|H01L|H10D|H10K
12426457,2025-09-23,"Display substrate and manufacturing method thereof, and display device",0,H01L|H10K
12426423,2025-09-23,"Light-emitting substrate, backlight module and display apparatus",0,G02F|H01L|H10D|H10H
12426171,2025-09-23,Display device,0,G06F|G09F|G09G|H05K
12425693,2025-09-23,"Display control method and apparatus, and display device and computer-readable medium",0,G06F|H04N
12425686,2025-09-23,"Method and system for monitoring playing of screen device, and storage medium",0,G06F|H04L|H04N
12424581,2025-09-23,"Conductive adhesive film and fabrication method therefor, electronic device and manufacture method therefor",0,C08K|C09J|H01B|H01L
12424337,2025-09-23,"Method for processing drug-disease relevance relation, electronic device and non-transitory computer-readable storage medium",0,G06F|G16H
12423634,2025-09-23,"Systems and methods for product production management, servers and storage media",0,G06F|G06Q
12423041,2025-09-23,"Image processing system, cloud serving end, and method",0,G06F|G06T|H04N
12422966,2025-09-23,"Touch display panel, touch display apparatus and touch display mother board",0,G06F|H10D|H10K
12422964,2025-09-23,Display substrate and display device,0,G06F|G09G|H10K
12422961,2025-09-23,"Touch structure, touch display panel and electronic device",0,G06F|G09G
12422930,2025-09-23,Display device,0,G06F
12422890,2025-09-23,Metal support and flexible display device,0,B32B|G06F|G09F|H05K|H10K|Y02P|Y10T
12422718,2025-09-23,Driver IC and display device,0,G02F|G09F|G09G|H01L|H10K
12419168,2025-09-16,Display panel and display apparatus,0,G06F|H10K
12419000,2025-09-16,Middle frame assembly and display device,0,F16C|G06F|G09F|H05K|Y02E
12417961,2025-09-16,Chip heat sink and nucleic acid extraction device,0,B01L|C12M|C12Q|H01L
12417610,2025-09-16,"Storage medium, trace detection device, and device and method for training trace detection model",0,G06F|G06N|G06T|G06V
12417568,2025-09-16,"Unreal engine graphic construction method and apparatus, computer-readable storage medium",0,G06F|G06T
12417551,2025-09-16,"Target detection method based on heterogeneous platform, and terminal device and storage medium",0,G06T|G06V
12417202,2025-09-16,Expansion apparatus for cooperating with computing device as well as computing system,0,G06F|H04W
12417014,2025-09-16,Display devices and methods for controlling the same,0,B60K|B60N|B60Q|B62D|G06F
12417004,2025-09-16,Touch panel with connection channel of adjacent touch electrode blocks and display device,0,G06F
12417003,2025-09-16,Display panel and display apparatus with additional electrode layer for improving mutual capacitance variation,0,G06F
12416989,2025-09-16,Touch panel and human-computer interaction method based on touch panel,0,G06F
12416945,2025-09-16,"Support backplane, flexible display screen, and electronic device",0,G02F|G06F|G09F|H10K
12414446,2025-09-09,"Display substrate and method for manufacturing same, and display device",0,H01L|H10D|H10K
12414419,2025-09-09,Display substrate,0,G09G|H01L|H10D|H10H
12414376,2025-09-09,"Driving apparatus, display apparatus, and method of fabricating driving apparatus",0,G09G|H01L|H05K|H10D|H10K
12414374,2025-09-09,"Substrate and method for manufacturing the same, and display panel",0,H01L|H10D|H10H
12414276,2025-09-09,"Heat dissipation assembly, display module and display device",0,G06F|G09F|H05K
12412866,2025-09-09,"Back plate and manufacturing method thereof, method for bonding chip, and display device",0,H01L|H10D|H10H
12412514,2025-09-09,Intelligent interactive tablet and brightness adjustment method thereof,0,G06F|G09G
12411571,2025-09-09,Touch display panel and display device,0,G06F
12411550,2025-09-09,"Tactile feedback device, display apparatus, and tactile feedback method",0,B06B|G06F
12411525,2025-09-09,Support structure and display device,0,F16C|G06F|G09F
12411522,2025-09-09,"Flexible display screen and method for assembling the same, and electronic apparatus",0,G06F
12411375,2025-09-09,Array substrate and preparation method thereof as well as touch display device,0,G02F|G06F|H10D
12408521,2025-09-02,"Display panel, method for manufacturing the same and display device",0,H01L|H10D|H10K
12408273,2025-09-02,Electronic device and method of fabricating electronic device,0,H01L|H05K|H10D
12407934,2025-09-02,"Image acquisition system and method, and display panel processing device",0,B65G|G01B|G01N|H04N
12407799,2025-09-02,Projection apparatus,0,G03B|H04N
12406462,2025-09-02,Method and device for detecting bad points in video and computer readable medium,0,G06T|G06V|H04N
12405713,2025-09-02,Method for intelligent graphic association and intelligent interactive display device,0,G06F|G06T|H04N
12405503,2025-09-02,"Signal selector and driving method therefor, display panel, and display apparatus",0,G02F|G06F|G09G|H03K|H10D
12402476,2025-08-26,"Backplane, display substrate and display device",0,G09F|H01L|H10H|H10K
12402456,2025-08-26,"Display substrate and method for manufacturing the same, and display apparatus",0,H01L|H10H
