patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430023,2025-09-30,"Display apparatus, input method, and program",0,G06F|G06V
12427787,2025-09-30,"Image processing device, image forming apparatus, image processing method, and non-transitory recording medium",0,B41J|G06K|H04N
12418858,2025-09-16,"Information processing apparatus, information processing system, and recording medium",0,H04L|H04W
12405914,2025-09-02,Display apparatus with power consumption control in relation to external device connections,0,G06F
12401651,2025-08-26,"Information processing system, setting change method, and non-transitory recording medium",0,G06F|H04L
12391036,2025-08-19,"Output device, output system, and output method",0,B41J|B65H|G06F
12389120,2025-08-12,"Communication terminal, image communication system, and method of displaying image",0,H04N
12388946,2025-08-12,"Display terminal, communication system, and display method",0,H04N
12380639,2025-08-05,"Three-dimensional shape generation apparatus, three-dimensional shape generation system, three-dimensional shape generation method, and non-transitory recording medium",0,G06F|G06T
12380181,2025-08-05,"Information processing apparatus, information processing system, and method of processing information",0,G06F|H04N
12368769,2025-07-22,"System, method, and servicer device which transmit name information",0,H04L|H04M|H04N
12367304,2025-07-22,Method and apparatus for document processing,0,G06F|H04W
12367251,2025-07-22,Browser based robotic process automation,0,G06F|H04L
12365560,2025-07-22,Medium processing apparatus and image forming system incorporating same,0,B65H|G03G|H04N
12361638,2025-07-15,"Three-dimensional shape generation apparatus, three-dimensional shape generation system, three-dimensional shape generation method, and non-transitory recording medium",0,G06F|G06T
12353558,2025-07-08,"Information processing system, information processing apparatus, and information processing method",0,G06F|H04L
12353523,2025-07-08,"Management system, communication system, and information processing method",0,G06F|H04L|H04N
12353161,2025-07-08,"Image forming apparatus, fault sensing method, and non-transitory computer-readable recording medium storing fault sensing program",0,G03G|G06F
12348508,2025-07-01,Distributed output device credential caching,0,H04L
12346687,2025-07-01,"Information processing apparatus, log storage method, and non-transitory recording medium",0,G06F
12340206,2025-06-24,Information processing apparatus and firmware update method,0,G06F
12337570,2025-06-24,Medium processing apparatus and image forming system incorporating same,0,B31F|B65H|G03G|H04N
12335061,2025-06-17,"Evaluation assisting system, information processing device, evaluation assisting method, and recording medium",0,H04L
12332112,2025-06-17,"Diagnostic device, computer program, and diagnostic system",0,G01H|G01M|G03G|G05B|G06N|G07C
