patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12423353,2025-09-23,Dynamic graph generation for interactive data analysis,0,G06F
12079114,2024-09-03,Impact analysis based on API functional testing,0,G06F|G06N
12058185,2024-08-06,Channel generation in a communication platform,0,H04L
12047373,2024-07-23,Monitoring resource utilization of an online system based on browser attributes collected for a session,0,H04L
12045706,2024-07-23,Bot builder dialog map,0,G06F|G06N|H04L
12001323,2024-06-04,Test recorder for API unit testing,0,G06F
11977476,2024-05-07,Incrementally validating security policy code using information from an infrastructure as code repository,1,G06F|H04L
11907734,2024-02-20,Dynamic linking of content elements to development tool resources,0,G06F
11853706,2023-12-26,Generative language model for few-shot aspect-based sentiment analysis,2,G06F|G06N
11853699,2023-12-26,Synthetic crafting of training and test data for named entity recognition by utilizing a rule-based library,0,G06F
11847096,2023-12-19,Database systems and methods for automated database modifications,0,G06F
11836451,2023-12-05,Dialogue state tracking using a global-local encoder,0,G06F|G06N
11836072,2023-12-05,Risk-based root cause identification methods and related autobuild systems,0,G06F
11836037,2023-12-05,Systems and methods for artificial intelligence-based root cause analysis of service incidents,0,G06F
11829727,2023-11-28,Cross-lingual regularization for multilingual generalization,0,G06F|G06N
11829721,2023-11-28,Systems and methods for unsupervised paraphrase generation,0,G06F|G06N
11829442,2023-11-28,Methods and systems for efficient batch active learning of a deep neural network,0,G06F|G06N|G06V
11822897,2023-11-21,Systems and methods for structured text translation with tag alignment,1,G06F|G06N
11803677,2023-10-31,Dynamic asset management system and methods for generating interactive simulations representing assets based on automatically generated asset records,0,G06F
11798534,2023-10-24,Systems and methods for a multilingual speech recognition framework,2,G06N|G10L
11797866,2023-10-24,Systems and methods for accelerating execution of processes based on artificial intelligence (AI) prediction of blockchain consensus,1,G06N|H04L
11797638,2023-10-24,Aggregate component for parallel browser-initiated actions,3,G06F
11790184,2023-10-17,Systems and methods for scientific contribution summarization,0,G06F|G06N
11783164,2023-10-10,Joint many-task neural network model for multiple natural language processing (NLP) tasks,0,G06F|G06N|G10L
11782686,2023-10-10,Systems and methods for code understanding and generation,0,G06F|G06N
11776236,2023-10-03,Unsupervised representation learning with contrastive prototypes,1,G06F|G06N|G06T|G06V
