patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432815,2025-09-30,"Switching method and apparatus based on MBMS, and computer-readable storage medium",0,H04W
12432768,2025-09-30,Method and device for stopping sending schedule request,0,H04W
12432684,2025-09-30,"Measurement reporting method, positioning measurement device, and location management function",0,G01S|H04L|H04W
12432106,2025-09-30,Carrier phase tracking method and device for orthogonal frequency division multiplexing multi-carrier system,0,G01S|H04B|H04L
12432015,2025-09-30,"HARQ-ACK feedback method, terminal and base station",0,H04L|H04W
12431950,2025-09-30,Channel reciprocity-based precoding matrix configuration method and apparatus,0,H04B|H04L
12426127,2025-09-23,Channel and/or signal transceiving method and apparatus,0,H04W|Y02D
12426053,2025-09-23,Method and device for scheduling transmission,0,H04B|H04L|H04W
12426032,2025-09-23,Scheduling request transmitting method and terminal,0,H04W
12426003,2025-09-23,"Measurement reporting method, measurement reporting device, and positioning server",0,G01S|H04W|Y02D
12425840,2025-09-23,"Method for checking UE capability match, AMF, base station and storage medium",0,H04L|H04W
12425811,2025-09-23,Method and apparatus for joining multicast broadcast service (MBS) session,0,H04W
12418924,2025-09-16,"Physical downlink shared channel reception method and device, physical downlink shared channel transmission method and device, apparatus and medium",0,H04L|H04W
12418884,2025-09-16,"Paging method, base station and user equipment",0,H04W
12418789,2025-09-16,"Capability reporting and processing method, device and apparatus, and medium",0,H04W|Y02D
12413989,2025-09-09,"Information indication method and apparatus, and communication device",0,G01S|H04L|H04W
12413985,2025-09-09,"Near-field beam search method and apparatus, and storage medium",0,H04B|H04W
12413533,2025-09-09,"Method, communication device, apparatus, and storage medium for measuring and feeding back delay information",0,H04L
12411249,2025-09-09,"Capability obtaining and sending method, positioning server and device",0,G01S|H04W
12408069,2025-09-02,"Information processing method, device and apparatus, and computer-readable storage medium",0,H04L|H04W
12402180,2025-08-26,Information processing method and terminal,0,H04L|H04W
12401414,2025-08-26,"Method for handover of satellite base station, terminal, satellite base station, and storage medium",0,H04B|H04W
12396008,2025-08-19,"Transmission method, device and apparatus, and computer-readable storage medium",0,H04L|H04W
12395391,2025-08-19,Channel selection and configuration methods and apparatuses,0,H04B|H04L|H04W
12389404,2025-08-12,Method for uplink beam indication and device,0,H04B|H04L|H04W
12382509,2025-08-05,Time domain resource configuration method and terminal,0,H04L|H04W
12382429,2025-08-05,Method for PUCCH resource determination and communication device,0,H04L|H04W
12381678,2025-08-05,Uplink transmission method and apparatus,0,H04B|H04L|H04W
12381612,2025-08-05,"Uplink transmission characteristic confirmation method, information report method and device",0,H04B|H04L
12375164,2025-07-29,"Method, device, terminal and service device for determining sateellite communications system parameters",0,H04B|H04W
12369135,2025-07-22,Information transmission method and device,0,G01S|H04L|H04W
12369117,2025-07-22,"Method and apparatus for sending downlink control information, and method and apparatus for processing downlink control information",0,H04W|Y02D
12363695,2025-07-15,"Uplink resource allocation method and device, base station, and terminal",0,H04W
12363047,2025-07-15,"Timer processing method, apparatus and storage medium",0,H04L|H04W
12362812,2025-07-15,"Beam failure recovery response transmission method and monitoring method, base station and terminal",0,H04B|H04W
12356394,2025-07-08,Communication method and apparatus for determining information of sub-band in frequency-domain resource,0,H04B|H04L|H04W
12355696,2025-07-08,"Method for transmitting and receiving demodulation reference signal of sidelink, and terminal",0,H04J|H04L|H04W
12349085,2025-07-01,"Signal transmission method, signal reception method, and user equipment",0,H04J|H04L|H04W|Y02D
12348453,2025-07-01,"Uplink channel transmission method, terminal, and base station",0,H04L|H04W
12335959,2025-06-17,"Configured grant usage method and apparatus, network device and terminal",0,H04L|H04W
12335182,2025-06-17,"Signal transmission method and apparatus, and storage medium",0,H04B|H04L|H04W
12335175,2025-06-17,Reference signal transmission method and device,0,H04L|H04W
12335001,2025-06-17,"Method for determining antenna-panel switching, user equipment and base station",0,H04B|H04W
12328635,2025-06-10,Mobility information reporting method and UE,0,H04W
12328623,2025-06-10,Method and device for data forwarding,0,H04W
12328350,2025-06-10,"Method and apparatus for floor control of intra-group point-to-multipoint communication service, and medium",0,H04L|H04W
12317358,2025-05-27,"Transmission method and apparatus for ai-native service, and storage medium",0,G06N|H04L|H04W
12317280,2025-05-27,"Indication method, terminal, and network device",0,H04L|H04W
12317256,2025-05-27,Data communication method and apparatus,0,H04W
12317107,2025-05-27,Method and device for determining dynamic HARQ-ACK codebook,0,H04L|H04W
12316566,2025-05-27,"Vehicle positioning method and device, positioned vehicle, vehicle to be positioned, and storage medium",0,G01S|H04L|H04W
12316560,2025-05-27,"SRS transmission method and apparatus, network device, terminal and storage medium",0,H04L
12316431,2025-05-27,"Satellite beam offset processing method, device and medium",0,H04B|H04W
12309872,2025-05-20,"Discontinuous reception state configuration method, user equipment and network side device",0,H04W|Y02D
12309711,2025-05-20,"Power control parameter configuration method, terminal and network side device",0,H04L|H04W
12309626,2025-05-20,"Information reporting method, information acquisition method, terminal, and network device",0,H04B|H04W
12309094,2025-05-20,"Methods for configuring and receiving transmission resource for positioning reference signal, and user equipment",1,G01S|H04L|H04W
12309090,2025-05-20,Information communication method and device,0,G01S|H04J|H04L|H04W
12308925,2025-05-20,Signal communication method and apparatus,0,H04B|H04L|H04W
12302449,2025-05-13,IMS emergency service state indication method and device,0,H04L|H04W
12302377,2025-05-13,Data transmission method and device,0,H04W
12302337,2025-05-13,"Data transmission method, network side device, and user equipment",0,H04L|H04W
12302331,2025-05-13,"UCI multiplexing transmission method and apparatus, and storage medium",0,H04L|H04W
12301500,2025-05-13,"Information transmission method, device and apparatus",0,H04L|H04W
12301370,2025-05-13,"Method of determining hybrid automatic repeat request acknowledgement codebook, terminal and network device",0,H04L|H04W
12294877,2025-05-06,"Method and apparatus for determining time-domain position of search space, and communication device",0,H04L|H04W
12294618,2025-05-06,Method and apparatus for registering user information,0,H04L|H04W
12289688,2025-04-29,"Signal transmission method, network device and terminal device",0,H04L|H04W
12289678,2025-04-29,"SCG state control method and apparatus, UE, MN, SN and medium",0,H04W|Y02D
12289658,2025-04-29,"Method for buffer status reporting, and terminal",0,H04W
12289626,2025-04-29,Dual/multi-connectivity-based secondary node addition/replacement method and device,0,H04B|H04W
12284609,2025-04-22,"Signal receiving method, signal sending method, terminal and network side device",0,G06F|H04W|Y02D
12279333,2025-04-15,Multimedia broadcast multicast service (MBMS) receiving method and apparatus,0,H04W
12279299,2025-04-15,"Resource configuration method, base station and terminal",0,H04L|H04W
12279266,2025-04-15,"Information transmission method, base station and terminal",0,H04L|H04W|Y02D
12279207,2025-04-15,"Signal transmission method, apparatus, and device",0,H04B|H04L|H04W|Y02D
12279202,2025-04-15,"Device-to-device relay processing method, device and apparatus, and storage medium",0,H04L|H04W|Y02D
12279165,2025-04-15,Method and device for measuring and reporting channel state information (CSI),0,H04W
12278772,2025-04-15,"Multiple transmit-receive points (TRPs) or antenna panels based CQI measurement reporting method, apparatus, network side device and terminal",0,H04B|H04L|H04W
12276742,2025-04-15,"Method for positioning, terminal, and network-side device",0,G01S|H04L|H04W
12273928,2025-04-08,Method and device for random access,0,H04B|H04L|H04W
12273900,2025-04-08,Resource allocation method and communication device,0,H04W
12273899,2025-04-08,"Base stations, method and device for communication between base stations, and storage medium",0,H04W
12273768,2025-04-08,"Media access control protocol data unit processing method, terminal and medium",0,H04W
12267722,2025-04-01,Method of transmitting buffer status reporting and terminal,0,H04W
12262448,2025-03-25,"Information processing method, information processing device and computer readable storage medium",0,H04L|H04W
12262408,2025-03-25,"Information transmission method, configuration method, terminal and network device",0,H04W
12262387,2025-03-25,"Processing method, device, terminal and apparatus for partial bandwidth deactivation timer",0,H04L|H04W|Y02D
12262279,2025-03-25,"Measurement reporting and receiving method, device and equipment",0,H04B|H04W
12262233,2025-03-25,"Information reporting method, terminal and base station",0,H04B|H04L|H04W|Y02D
12261696,2025-03-25,"Transmission mode indication method and device, base station, terminal",2,H04B|H04L
12261681,2025-03-25,"Network access method and apparatus for terminal, electronic device and storage medium",0,H04B|H04J|H04W
12256397,2025-03-18,"Resource allocation method, terminal and node device",0,H04W
12256349,2025-03-18,"Signal transmission method and device, signal reception method and device, and terminal",0,H04L|H04W
12256310,2025-03-18,"Relay device selection method and device, and computer storage medium",0,H04W|Y02D
12255845,2025-03-18,"Method for processing multi-transmission reception point (TRP) data, base station, terminal, and storage medium",1,H04B|H04L|H04W
12255742,2025-03-18,Information transmission method and device,0,H04L|H04W
12250653,2025-03-11,"Timing advance configuration method, terminal and network side device",0,H04L|H04W
12245317,2025-03-04,"Terminal state processing method, device and medium",0,H04W
12245236,2025-03-04,Method and apparatus of determining cap of transmission resources available for control information and communication apparatus,0,H04L|H04W
12238794,2025-02-25,"Information processing method, apparatus, device and computer readable storage medium",0,H04W
12238733,2025-02-25,"Configured grant confirmation method, terminal, and network side device",0,H04W
12238661,2025-02-25,"Synchronization signal transmitting method, terminal and apparatus, and storage medium",0,H04J|H04W
12238647,2025-02-25,"Energy conservation signal transmission method, base station, and terminal device",0,H04W|Y02D
12238561,2025-02-25,"Method and device for reporting UE information, method and device for processing UE information, and medium",0,H04W
12238554,2025-02-25,"Physical downlink control channel detection method and transmission method, user equipment and base station",0,H04L|H04W|Y02D
12238035,2025-02-25,"Method and apparatus for monitoring physical downlink control channel, and device",0,H04L|H04W|Y02D
12238031,2025-02-25,Method for transmitting and receiving sidelink positioning reference signal and terminal,0,H04L|H04W
12238022,2025-02-25,Resource mapping method and device,0,H03M|H04L
12232157,2025-02-18,Sidelink transmission method and terminal,0,H04L|H04W
12232131,2025-02-18,"Method, apparatus, and device of processing terminal capability",0,H04L|H04W
12232127,2025-02-18,"Method and apparatus for indicating TCI, base station and storage medium",0,H04L|H04W
