patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432475,2025-09-30,Digital pixel architecture supporting low power and high dynamic range operation having a counter that stops counting pulses in response to detecting a voltage on a capacitor exceeding a threshold,0,H04N
12424594,2025-09-23,Integrated diamond substrate for thermal management,0,H01L|H10D
12417543,2025-09-16,Organ segmentation in image,0,G06T
12406901,2025-09-02,Wafer-scale direct bonded array core block for an active electronically steerable array (AESA),0,H01L|H01Q|H03F|H04B
12406331,2025-09-02,Accommodating dissimilar cameras on a common scanning gimbal—stagger-step scanning,0,G01J|G06T
12401663,2025-08-26,Stack-HAC for machine learning based botnet detection,0,H04L
12396126,2025-08-19,Fan behavior anomaly detection using neural network,0,F04D|F05D|G06N|H05K
12394027,2025-08-19,Deblurring motion-blurred images using map estimate and adaptive priors,0,G06T|G06V|H04N
12388697,2025-08-12,Radio frequency interference mitigation in weather sensing,0,G01S|H04L
12386401,2025-08-12,Card cage system for hybrid cooling of computer circuit cards,0,G06F|H05K
12362975,2025-07-15,Methods and apparatus for phase change detection using a resonator,0,H01P|H03D|H03H|H04L
12361084,2025-07-15,System and method for remote sensing using data fingerprinting methodologies,0,B64G|B64U|G06F|H04B
12360158,2025-07-15,Method of creating an electronically readable optical fingerprint to protect an electrical interconnect,0,G01R|G06F|H01L|H04L|H04W|H10F
12355771,2025-07-08,Auditable and tamper-resistant remote zero trust access,0,H04L
12354911,2025-07-08,Cu3Sn via metallization in electrical devices for low-temperature 3D-integration,0,H01L
12349475,2025-07-01,Integrated circuit having vertical routing to bond pads,0,H01L|H10F
12349325,2025-07-01,Two-phase liquid-cooled electrical power apparatus,0,H01F|H01L|H05K
12346408,2025-07-01,Minimal entropy resource allocator,0,G06F|G06N|G06V
12335594,2025-06-17,Single camera time-delay to enforce data transmission compliance in real and near real time video,0,G06F|G06T|G06V|H04N
12334980,2025-06-17,Information scrambling systems and methods,0,H04B|H04K|H04L
12326732,2025-06-10,Graph construction and execution ML techniques,0,B60W|G01C|G05D|G06F|G06N
12323330,2025-06-03,Packet rerouting to avoid congestion in a network,0,H04L
12322674,2025-06-03,Thermal spreader including ringframe and thermal straps for thermal dissipation in space and other applications,0,H01L
12316763,2025-05-27,High assurance virtual encryptor system,0,H04L
12309511,2025-05-20,Coded aperture focal plane array using all detectors,0,H04N
12308887,2025-05-20,Integrated photonic integrated circuit (PIC) and readout integrated circuit (ROIC) for high-speed data output from focal plane array,0,G02B|H04B|H04N
12305310,2025-05-20,Indium electroplating on physical vapor deposition tantalum,0,C23C|C25D|H01L
12292547,2025-05-06,Athermal infrared optical telescope and method for manufacturing,0,G02B|H04N
12292526,2025-05-06,Wireless mapping in real-time using correlative passive receiver,0,G01S|H04B|H04W
12289554,2025-04-29,Artifact mitigation in capacitor transimpedance amplifier (CTIA)-based imagers or other imaging devices,0,H03F|H04N
12288795,2025-04-29,Application and method of integrated bar patterns in detector structures,0,G01M|H04N|H10F
12278255,2025-04-15,Thin film obscurant for microelectronics,0,H01L|H04N|H10F
12271806,2025-04-08,Artificial neural network training,0,G06F|G06N
12266629,2025-04-01,Ball bond impedance matching,0,H01L|H05K
12266137,2025-04-01,Image quality calibration for multi-degree-of freedom actuator,0,G02B|G06T|H04N
12261186,2025-03-25,Mosaic focal plane array,0,H01L|H10F
12258948,2025-03-25,Phase change material (PCM)-based conductive thermal actuator switches and associated stacked and arrayed systems,0,F03G|F28F|H01L|H01M
12248415,2025-03-11,Automated design of behavioral-based data movers for field programmable gate arrays or other logic devices,0,G06F
12240629,2025-03-04,Device for optimal satellite effects delivery via reverse time heat isomorphism,0,B64G|G06F
12236571,2025-02-25,Integrated Dewar assembly with compliant endcap cooling,0,F17C|G06T|H04N
12224223,2025-02-11,Adaptive structure for thermal regulation and optimization,0,B22F|B33Y|H01L|Y02P
12223847,2025-02-11,Spatio-temporal track density shaping,0,G06F|G06N|G08G
12219504,2025-02-04,Localization using repeated transmissions of electromagnetic signals for mobile ad hoc networks,0,G01S|H04W
12217463,2025-02-04,Adaptable and hierarchical point cloud compression,0,G06T|H03M|H04N
12212858,2025-01-28,Object reconstruction with neuromorphic sensors,0,H04N
12205037,2025-01-21,Clustering autoencoder,0,G06F|G06N
12200910,2025-01-14,Clamped pyrolytic graphite sheets for heat spreading,0,F28F|H01L|H05K
12190152,2025-01-07,Run-time schedulers for field programmable gate arrays or other logic devices,0,G06F|Y02D
12184681,2024-12-31,Cyberattack detection with topological data,0,H04L
12166866,2024-12-10,Ultra high entropy material-based non-reversible spectral signature generation via quantum dots,0,G02F|H04L
12164890,2024-12-10,Anti-fragile software systems,0,G06F
12163844,2024-12-10,Bolometer readout integrated circuit (ROIC) with energy detection,0,G01J|H04N
12148721,2024-11-19,Iterative formation of damascene interconnects,0,H01L
12143516,2024-11-12,Hardware based authentication and authorization of networked nodes,0,H04L
12143479,2024-11-12,Ultra high entropy material-based non-reversible spectral signature generation via quantum dots,0,G02F|H04L
12141753,2024-11-12,Graphical user interface-based platform supporting bill of materials (BOM) characterization,0,G06F|G06N|G06Q|G06V
12141668,2024-11-12,Decentralized control of beam generating devices,0,G06N|H04B
12141238,2024-11-12,Deep neural network hardener,0,G06F|G06N
12137012,2024-11-05,Constant envelope bi-phase shift keying (CE-BPSK) modulation for “mode S” and other communication applications,0,H04L
12133017,2024-10-29,Transporting ultra-high definition video from multiple sources,0,H04N
12130888,2024-10-29,"Feature extraction, labelling, and object feature map",0,G06F|G06N|G06T|G06V
12130185,2024-10-29,Bolometer pixel-based thermally actuated trigger ROIC with self-heating compensation and calibration (barrier-SHC),0,G01J|H04N
12107945,2024-10-01,Electrical signal delay calibration system,0,H04L
12092399,2024-09-17,Chimney cooler design for rugged maximum free convection heat transfer with minimum footprint,0,F28D|F28F|H01L|H05K
12087704,2024-09-10,Composite structure for image plane normalization of a microelectronic hybrid device,0,G01J|H01L|H10F
12080073,2024-09-03,Remote image processing control,0,B60W|G01S|G06V|H04N
12076805,2024-09-03,Building liquid flow-through plates,0,B23K|C23C|C25D|F28F|H01L|H05K
12068216,2024-08-20,Multichannel transistor with improved gate conformation,1,H01L|H10D
12055934,2024-08-06,Machine learning for trajectory planning,0,G01C|G05D|G06N
12051712,2024-07-30,Close butted collocated variable technology imaging arrays on a single ROIC,0,H01L|H10F
12051172,2024-07-30,VIIRS image processing,0,G06T
12050053,2024-07-30,Consumable dry ice cooling,0,F25D|F42B|G06F|H01M|Y02E
12045186,2024-07-23,Modular cable assembly and method,0,G06F|H04L
12039807,2024-07-16,Shape-based vehicle classification using laser scan and neural network,0,G01C|G01S|G06F|G06N|G06V|G07B|G08G
12039580,2024-07-16,Graphical user interface-based platform supporting price analysis visualization and control,0,G06F|G06Q|G06T
12038609,2024-07-16,Diffraction grating return mirror for wide field of view line of sight jitter sensing,0,G02B|H04N
12032199,2024-07-09,Systems and methods for optical sensor protection,0,G02B|H04N
12020573,2024-06-25,Wireless mapping in real-time for autonomous vehicles using correlative passive receiver,0,G01S|G08G|H04W
12007502,2024-06-11,RF scene generation simulation with external maritime surface,0,G01S|G06F|G09B|H04B|Y02A
12002773,2024-06-04,Hybrid pocket post and tailored via dielectric for 3D-integrated electrical device,0,H01L|H10F
11988804,2024-05-21,Rule-based environmental condition impact assessments,0,G01W|G06F|G06N|G06Q
11985259,2024-05-14,Unified multi-die physical unclonable function,1,G09C|H04L
11978158,2024-05-07,Determining minimum region for finding planar surfaces,0,G06T
11966487,2024-04-23,Secure data deletion and sanitization in distributed file systems,0,G06F|H04L
11964762,2024-04-23,Collaborative 3D mapping and surface registration,0,B64U|G01S|G06T|G06V
11962685,2024-04-16,High availability secure network including dual mode authentication,0,H04L
11948129,2024-04-02,Metrics-based planning and scheduling system,0,G06Q
11941558,2024-03-26,Intelligence preparation of the battlefield (IPB) collaborative time machine with real-time options,0,G06F|G06Q
11941330,2024-03-26,Modeling natural space environment effects on hardware,0,G06F
11936991,2024-03-19,EO/IR imaging system with a mems MMA configured to prevent saturation of the imaging detector,0,G02B|H04N
11917746,2024-02-27,Low cost panel AESA with thermal management,0,H01L|H05K
11916515,2024-02-27,Demodulation of non-return to zero (NRZ) or other signals using multiple-input artificial intelligence/machine learning (AI/ML) model,0,G06N|H03D|H04L
11915435,2024-02-27,Resampled image cross-correlation,0,G06T
11914967,2024-02-27,Question answering models in closed domains,0,G06F|G06N
11907233,2024-02-20,Method and apparatus for selecting a resource for connecting to a space vehicle,0,G06F|G06Q|H04B
11902637,2024-02-13,Beam director intermediate alignment target assembly configuration,0,F41G|F41H|G01J|G02B|H04N
11900587,2024-02-13,Connector map and assembly aid software for cable manufacturing,0,G06T|H01R
11900562,2024-02-13,Super-resolution automatic target aimpoint recognition and tracking,0,F41G|F41H|G06T
11895380,2024-02-06,Cryogenic cold link for multiple coolers,0,F25D|F28D|H04N
11894670,2024-02-06,High-energy suppression for infrared imagers or other imaging devices,0,G01J|H02H|H04N
11894619,2024-02-06,Passive vector modulator,0,H01P|H01Q|H03H|H04L
11893745,2024-02-06,System and method for generating and displaying contours,0,A61B|G06T
11889223,2024-01-30,Explosively welded cooled infrared camera,0,G01J|H01L|H04N|H10F
11889049,2024-01-30,Gain map generation with rotation compensation,0,G06T|H04N
11888467,2024-01-30,Temperature compensation of analog CMOS physically unclonable function for yield enhancement,0,H03K|H04L
11886350,2024-01-30,System memory context determination for integrity monitoring and related techniques,0,G06F
11884019,2024-01-30,Magnetic encoding of physical objects in an additive manufacturing process,0,B29C|B29K|B33Y|G05B|G06Q|G11B
11882659,2024-01-23,Chip substrate for reducing thermal load on a chip assembly mounted thereon,0,H01L|H05K
11879838,2024-01-23,Vicarious calibration using solar glint over water,0,G01J|G01N|G02B|G06T
11871131,2024-01-09,Foveal compressive upsampling,0,G06T|H03M|H04N
11870142,2024-01-09,Tile to tile RF grounding,0,H01L|H01Q|H01R|H05K
11868470,2024-01-09,Embedded malware detection using spatial voting and machine learning,0,G06F|G06N
11854879,2023-12-26,Cu3Sn via metallization in electrical devices for low-temperature 3D-integration,0,H01L
11852733,2023-12-26,Method for the generation of satellite clock and orbit corrections for global navigation satellite systems (GNSS),1,B64G|G01S|G06F
11848964,2023-12-19,Zero trust end point network security device,0,H04L
11848662,2023-12-19,Tunable monolithic group III-nitride filter banks,0,H01L|H03F|H03H|H04B|H10D|H10N
11837840,2023-12-05,MEMS micro-mirror array laser beam steerer for simultaneous illumination of multiple tracked targets,2,B23K|G01C|G01S|G02B|G06T|H01S
