patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432632,2025-09-30,Systems and methods for enhanced cellular network handovers,0,H04W
12432580,2025-09-30,Systems and methods for automatic redundant connections,0,H04W
12414028,2025-09-09,Systems and methods for multiple repeater aggregation,0,H04B|H04W
12413653,2025-09-09,Protocol data unit systems and methods,0,H04L|H04W
12413378,2025-09-09,Systems and methods for variable time division duplex data allocation,0,H04L|H04W
12407672,2025-09-02,Systems and method for micro network segmentation,0,G06F|H04L|H04W
12407670,2025-09-02,Zero sign-on authentication,0,H04L
12402051,2025-08-26,Systems and methods for maintaining data session continuity,0,H04W
12382311,2025-08-05,Systems and methods for reducing communication network performance degradation using in-band telemetry data,0,H04L|H04W
12375440,2025-07-29,Systems and methods for obtaining permanent MAC addresses,0,H04L|H04W
12363039,2025-07-15,Systems and methods for handling protocol data unit sets,0,H04L
12362893,2025-07-15,Multi-carrier transmission,0,H04L
12348307,2025-07-01,Systems and methods for profile management,0,H04B|H04L
12341630,2025-06-24,Communication network gateways and associated methods,0,H04L|H04W
12335362,2025-06-17,Systems and methods for data frame and data symbol synchronization in a communication network,0,H04B|H04J|H04L
12328294,2025-06-10,Systems and methods for micro network segmentation,0,G06N|H04L
12328229,2025-06-10,Systems and method for micro network segmentation,0,H04L|H04W
12323512,2025-06-03,Quantum key distribution for secure and private transactions,0,G06N|H04L
12309281,2025-05-20,Systems and methods for protecting cellular network messages,0,H04L|H04W
12301900,2025-05-13,Systems and methods for content display using a network,0,G06V|H04N
12301437,2025-05-13,Edge analytics,0,H04L
12294480,2025-05-06,Methods for network maintenance,0,G06N|H04L
12284707,2025-04-22,Systems and methods to converge a mobile network operator (MNO) with a multiple-system operator (MSO),0,H04L|H04M|H04W
12279119,2025-04-15,Systems and method for micro network segmentation,0,H04L|H04W
12278011,2025-04-15,Method and architecture in support of patient-centric networks,0,G16H|H04L|H04W
12273213,2025-04-08,DTP calibration platform,0,H04J|H04L
12267297,2025-04-01,Systems and methods for network security model,0,G16Y|H04L
12267184,2025-04-01,Enabling inter-node communication using local communication networks,0,H04L
12262250,2025-03-25,Systems and methods for latency reduction,0,H04W
12245117,2025-03-04,Systems and method for extendable micronets,0,G06N|H04L|H04W
12238673,2025-02-25,Systems and methods for automatically determining a location characteristic of a wireless access point,0,H04W
12238574,2025-02-25,"Wireless access point enhancements for session transfer, mirroring, and mobility",0,H04W
12238517,2025-02-25,Systems and methods for managing network connectivity with netreach,0,H04W
12225536,2025-02-11,System and method for grant assignment,0,H04L|H04W
12225116,2025-02-11,Quantum key distribution network with centralized optical pulse generation,0,H04B|H04L
12219407,2025-02-04,Continuous wireless communication systems and associated methods,0,H04W
12219401,2025-02-04,Systems and methods for market-based communication network resource allocation,0,H04W
12207091,2025-01-21,Systems and methods for protecting cellular network messages,0,H04L|H04W
12206549,2025-01-21,Systems and methods for advanced core network controls,0,H04L
12206524,2025-01-21,Multi-access gateway with intelligent convergence (magic),0,H04L
12200145,2025-01-14,Systems and methods for enhanced online certificate status protocol,0,G06F|H04L
12200122,2025-01-14,Systems and methods for advanced quantum-safe PKI credentials for authentications,0,H04L
12192763,2025-01-07,Systems and methods for virtual personal Wi-Fi network,0,H04L|H04W
12192117,2025-01-07,Systems and methods for common policy platform,0,H04L|H04M|H04W
12185110,2024-12-31,Systems and method for authentication and authorization in networks using service based architecture,0,H04L|H04W
12185090,2024-12-31,Dynamic triggering of minimum periodic search timer,0,H04W
12177052,2024-12-24,Systems and methods for fast control messaging for multiple numerology access zones,0,H04J|H04L|H04W
12174993,2024-12-24,Systems and methods for advanced privacy protection of personal information,0,G06F
12170569,2024-12-17,Adaptive modulation and coding schemes for enhanced spectral efficiency,0,H04L|H04Q
12170545,2024-12-17,Systems and methods for coherent optics in an access network,0,H04B|H04J|H04L
12169571,2024-12-17,Systems and methods for privacy management using a digital ledger,0,G06F|H04L
12166867,2024-12-10,Quantum key distribution network with centralized optical pulse generation,0,H04B|H04L
12166680,2024-12-10,Mesh networking of access points for load balancing,0,H04L|H04W
12166638,2024-12-10,Internet of things (IoT) systems and methods,0,G16Y|H04L
12155708,2024-11-26,Media and application aware network architecture,0,H04L
12155668,2024-11-26,ATA systems and methods for advanced dynamic trust store management systems,0,H04L
12155635,2024-11-26,Systems and methods for HTTPS over proxy,0,H04L
12155525,2024-11-26,Network grafting,0,H04L
12147319,2024-11-19,Systems and methods for advanced communication interface analysis,0,G06F
12137176,2024-11-05,Systems and methods for protecting network broadcast messages,0,H04L|H04W
12113894,2024-10-08,Quantum secured internet transport,0,H04L
12112241,2024-10-08,Systems and methods for detecting and grouping anomalies in data,0,G06F|G06N
