patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432249,2025-09-30,Automated changing of address for temporary communication systems,0,H04L
12430666,2025-09-30,Transactions using a mobile device and a contactless card,0,G06K|G06Q
12430625,2025-09-30,Systems and methods for inter-institutional ATM functionality,0,G06Q|G07F
12425242,2025-09-23,Time stamp token (TST) blockchains,0,H04L
12423751,2025-09-23,Value transfer in virtual environments,0,G06F|G06Q|H04L
12423749,2025-09-23,Credit line adjustment,0,G06F|G06Q
12423691,2025-09-23,Systems and methods for issuing blockchain tokens for property rights,0,G06Q
12423679,2025-09-23,Digital asset vault,0,G06F|G06Q|H04L
12423664,2025-09-23,Money transportation robot,0,G05D|G06Q|G07D|G07F|Y10S
12423073,2025-09-23,Software component dependency tracker,0,G06F
12423063,2025-09-23,Smart contract blockchain abstraction API,0,G06F|G06Q|H04L
12417503,2025-09-16,Systems and methods for automated teller drawer counting and balancing,0,G06Q|G07D|G07F|G07G
12417456,2025-09-16,Systems and methods for improved verification of transactions,0,G06Q
12417357,2025-09-16,Compression of models for natural language processing,0,G06F|G06N
12417288,2025-09-16,Software asset health score,0,G06F
12417235,2025-09-16,Universal adapter for vendor data,0,G06F
12413625,2025-09-09,Multi-tiered system for detecting and reducing unauthorized network access,0,G06N|H04L
12413610,2025-09-09,Assessing security of service provider computing systems,0,G06F|H04L
12413401,2025-09-09,Systems and methods for exfiltrating an indication of a query related to a computing resource,0,H04L
12412188,2025-09-09,Systems and methods for redeeming rewards for cash at an ATM,0,G06Q|G07F
12411895,2025-09-09,Rules for data quality support,0,G06F
12406314,2025-09-02,Systems and methods associated with cash pooling,0,G06Q
12406244,2025-09-02,Automated teller machine fuel pump,0,G06Q|G07F
12406240,2025-09-02,Vehicle-based mobile banking,0,G06Q|G07F
12406214,2025-09-02,Process modeling techniques for providing user-specific process schedule data,0,G06Q
12406038,2025-09-02,Systems and methods for location-binding authentication,0,G06F|G06Q|H04L
12405965,2025-09-02,Systems and methods for home lending data control,0,G06F
12405956,2025-09-02,System for managing vendor data,0,G06F
