patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431910,2025-09-30,Single event effect detection and circumvention in ADCs,0,G06F|H03M
12431027,2025-09-30,Behavior management of multiple vehicles,0,G06N|G08G
12425407,2025-09-23,Identity and access management using a decentralized gateway computing system,0,H04L
12417328,2025-09-16,"Machine and process to design, validate, and/or test a fluid system",0,G06F
12416321,2025-09-16,Prognostication and amelioration of gas ingress in hydraulic systems,0,B64D|F15B|G06F
12413560,2025-09-09,Virtual transponder utilizing inband commanding,0,H04B|H04L|H04W
12412161,2025-09-09,Centralized ledger for airline maintenance control,0,G06Q
12412007,2025-09-09,System and method for generating a panel infill geometry of a sandwich panel,0,B32B|B33Y|G06F
12406375,2025-09-02,Pose detection of an object in a video frame,0,B64D|G06T|G06V
12399810,2025-08-26,Testing system with test rig,0,G01R|G06F
12394746,2025-08-19,Compression system calibration,0,G06T|H01L
12394263,2025-08-19,Analytical digital twin for nondestructive inspection of a vehicle,0,B64F|G01N|G06F|G07C
12393852,2025-08-19,Machine learning for categorizing text,0,G06N
12387209,2025-08-12,Secure communication between organizations to protect data,0,G06F|G06Q|H04L
12386962,2025-08-12,Adversarial attack detection and avoidance in computer vision,0,G06F|G06V
12386638,2025-08-12,System and method for dynamic display of aircraft emissions data,0,G06F|G06Q|G06T
12380808,2025-08-05,Dynamic approach procedure system,0,G01C|G06F|G06T|G08G
12380742,2025-08-05,Maintenance induction for aircraft,0,B64F|G06F|G07C
12374166,2025-07-29,Vehicle health management using a counterfactual machine learning model,0,G05B|G06N|G06Q|G07C
12374123,2025-07-29,Enhanced vehicle navigation using non-destructive inspection one-dimensional sensor arrays,0,B64C|B64F|B64U|G06F|G06V
12372612,2025-07-29,Systems and methods for enhanced radar performance calculator,0,G01S|G01W|G06F
12369409,2025-07-22,Nano-metal connections for a solar cell array,0,H01L|H02S|H10F|Y02E|Y02P
12369096,2025-07-22,Unified quality of service management of aircraft data traffic through satellite communication system,0,H04B|H04W
12367794,2025-07-22,Virtual window for aircraft fuselage,0,B64C|B64D|G06F|G09G
12367324,2025-07-22,Optimization of cross-sectional profile shapes for manufacture of structural parts,0,G06F|G06N|G06Q
12361585,2025-07-15,Feature detection for automated air-to-air refueling (A3R),0,B64U|G06T|G06V
12361318,2025-07-15,Computing platform to architect a machine learning pipeline,0,G06F|G06N
12361181,2025-07-15,Logical traversal of solid models,0,G06F|G06T
12360529,2025-07-15,Predictive modeling of aircraft dynamics,0,B64F|B64U|G05B|G05D|G06F|G06N|G08G
12354054,2025-07-08,Methods and systems for identifying and replacing potential failure points in a logistics network,0,G06Q
12354037,2025-07-08,System for determining aircraft turnaround time based on geospatial data and aircraft location data,0,G06Q|G08G
12353377,2025-07-08,Dynamic selection of an aeronautical data provider,0,G06F|G06N
12353268,2025-07-08,High-energy management system,0,G06F|H02J
12348846,2025-07-01,Method and apparatus for extending operational availability for terrestrial optical surveillance systems,0,G02B|H04N
12347327,2025-07-01,Methods and systems for creating a set of routes for an aircraft to travel through an airspace,0,G01C|G05D|G06Q|G08G
12347188,2025-07-01,Flight mission learning using synthetic three-dimensional (3D) modeling and simulation,0,B64U|G06N|G06T|G06V|G08G
12347109,2025-07-01,Autonomous image acquisition systems for production and environment monitoring and event detection,0,G05B|G06T
12346876,2025-07-01,Intelligent prediction of bundles of spare parts,0,G06Q
12340218,2025-06-24,Detection of high curvature regions on curves,0,G06F|G06T
12339193,2025-06-24,System and method for balancing a gimbaled system,0,G01C|G01M|G06F
12333865,2025-06-17,Automated prediction of repair based on sensor data,0,G05B|G06F|G06N|G06V|G07C
12328642,2025-06-10,System and method for coordinated beamforming among discrete communication devices,0,G01S|H01Q|H04B|H04W
12327344,2025-06-10,Natural feature pick and place system for composite materials,0,B29C|G06T
12327195,2025-06-10,Automated feature generation for sensor subset selection,0,B64D|B64F|G06F|G06N
12323778,2025-06-03,Violation detection for unmanned aerial vehicles,0,G06Q|H04N|H04R
12323746,2025-06-03,Projection system for translucent displays and methods of operating thereof,0,B64D|G03B|H04N
12322225,2025-06-03,Aircraft maintenance of line replaceable units,0,G05B|G06Q|G07C
12321669,2025-06-03,Thermal management for composite tooling,0,B29C|G06F|H05K
12321149,2025-06-03,Method for computer analysis of as-programmed surface quality of composite structure,0,B29C|G05B|G06F
12317008,2025-05-27,"Simulation display system, spatial image luminance uniformity",0,G02B|H04N
12312101,2025-05-27,Methods and systems for hybrid digital twin driven health predictions,0,B64F|G06N|G07C
12306779,2025-05-20,Systems and methods for a smart navigation tuning panel,0,B64D|G01C|G06F|G08G
12306663,2025-05-20,"Systems, methods and apparatus for synchronization of multiple processing devices",0,G06F
12306638,2025-05-20,Methods and scan systems for analyzing an object,1,B25J|B64F|G01B|G05D|G06F|G06T
12306013,2025-05-20,Flight constraints service,0,G01C|G06Q|G08G
12300529,2025-05-13,Alignment of targets on opposite sides of a substrate,0,H01L
12299865,2025-05-13,Method and apparatus for inspecting a composite assembly,0,G06T|G06V|G08B
12293503,2025-05-06,Method and apparatus for determining optical distortion of an object from a single image,0,G06T
12293056,2025-05-06,Fading PIREP icons based on validity of report,0,G01C|G06F|G08G
12288425,2025-04-29,Vehicle health management using a counterfactual machine learning model to optimize maintenance parameters,0,G06F|G06Q|G07C
12287775,2025-04-29,Smart repository based on relational metadata,0,G06F|H04L
12283136,2025-04-22,Digital twin generation and logging for a vehicle,0,B64D|B64F|G06F|G06N|G06Q|G06T|G06V|G07C
12282839,2025-04-22,Constraint based inference and machine learning system,0,G05B|G06N
12282714,2025-04-22,Physical system simulation,0,G06F
12282671,2025-04-22,Hardware file system,0,G06F
12278212,2025-04-15,Reworkable inter-substrate bond structure,0,H01L
12276231,2025-04-15,Systems and methods for determining real time fuel consumption information of an aircraft,0,B64D|F02C|G06Q|G08G
12275198,2025-04-15,Composite manufacturing using data analytics,0,B29C|G05B|G06F
12275192,2025-04-15,Additive manufacturing with adjusted cooling responsive to thermal characteristic of workpiece,0,B22F|B23K|B29C|B33Y|C22C|G06N|Y02P
12272018,2025-04-08,Modeling system for 3D virtual model,0,G06T
12271424,2025-04-08,Ephemeral graph database,0,G06F
12266090,2025-04-01,Systems and methods for detecting defects in powder manufactured components,0,G06T
12265853,2025-04-01,Hybrid-computing resource optimization,0,G06F|G06N
12265766,2025-04-01,Methods and apparatus to improve fluid flow simulations,0,G06F
12260683,2025-03-25,Smart system for rapid and accurate aircraft maintenance decision making,0,G05B|G06N|G07C
12255736,2025-03-18,Providing localized jamming effects in a training exercise,0,B64D|G01S|G06F|G09B|H04K
12254786,2025-03-18,Recorded physical interaction playback,0,G06F|G06T|G09B
12254780,2025-03-18,Computing device and method for tracking movement of objects,0,G05D|G06N|G06V|G08G
12254646,2025-03-18,System for refining a six degrees of freedom pose estimate of a target object,0,B64D|G06T|G06V
12249242,2025-03-11,Holding detection and diversion information,0,B64D|G01C|G08G|H04W
12243436,2025-03-04,Probability-based obstacle avoidance,0,B64U|G01S|G06N|G06V|G08G
12242876,2025-03-04,System and method of timekeeping for a virtual machine having multiple virtual processing cores,0,G06F
12237636,2025-02-25,Method and system for machine determining wire contact insertion,0,B25J|G05B|G06T|H01R
12236791,2025-02-25,Dynamic selection of an aeronautical data provider,0,G01C|G06F|G06N|G06Q|G08G|H04L|H04W
12229518,2025-02-18,Dialogue system for autonomous aircraft,0,B64U|G05B|G05D|G06F|G08G|G10L
12227307,2025-02-18,Predictive maintenance model design system,0,B64F|G05B|G06N|G06Q
12223678,2025-02-11,Navigation system and method,0,G01S|G06T|G06V|G08G|H04N
12223594,2025-02-11,Three-dimensional inspection twin for remote visual inspection of a vehicle,0,G06T
12223343,2025-02-11,Quantum process parallelization,0,G06F|G06N
12222842,2025-02-11,Virtual machine for developing and testing target code for hardware designs,0,G06F
12221232,2025-02-11,Lighting system inspection using an unmanned aerial vehicle,0,B64C|B64D|B64F|B64U|G01M|G06T|G06V|G08G
12221231,2025-02-11,Automated method and system for aircraft inspection with data validation,0,B64C|B64F|B64U|G05D|G06T
12221228,2025-02-11,Component record processing for aircraft maintenance,0,B64F|G06F|G06N|G06Q
12217468,2025-02-04,Systems and methods for sanitizing surfaces and devices and methods for detecting an antimicrobial coating,0,A01N|A01P|A61L|C09D|G01B|G01N|G06V|H04N
12205475,2025-01-21,Method and apparatus for managing missions of a vehicle,0,B64U|G05D|G06Q|G08G
12205270,2025-01-21,Method of in-process detection and mapping of defects in a composite layup,0,B29C|B32B|G06T
12204989,2025-01-21,Cryogenic cooling system,0,G06F|G06N|H05K|H10N
12204490,2025-01-21,Pipelined cognitive signal processor,0,G06F|G06N
12204019,2025-01-21,System and method that facilitates precision landing of an aerial vehicle,0,G01S|G05D|G06F|G08G
12198558,2025-01-14,Adaptive scheduling system for unmanned aerial vehicles,0,B64U|G05D|G06F|G08G
12198481,2025-01-14,Machine and process for identifying component effect on performance of a vehicle,0,G06F|G07C
12198270,2025-01-14,Modeling system for 3D virtual model,0,G06F|G06T
12198004,2025-01-14,Quantum parallel event counter,0,G06F|G06N
12197910,2025-01-14,Systems and methods for automatically managing software for aircraft,0,B64D|G06F
12197834,2025-01-14,Reducing resources in quantum circuits,0,G06F|G06N
12196712,2025-01-14,Detailed sonic fatigue analysis,0,G01N|G06F
12192714,2025-01-07,Deep learning system for real time maximum sound pressure level prediction,0,G06N|G10K|H04R
12192101,2025-01-07,Secure data connections in low data rate networks,0,H04L
12190470,2025-01-07,Contextual visualization within spherical images utilizing localized spatial location of capture,0,G06T
12190430,2025-01-07,Rendering of persistent particle trails for dynamic displays,0,G06F|G06T
12190421,2025-01-07,Map label location adjustment,0,G01C|G06T
12189937,2025-01-07,Smart depiction of temporal notices,0,G06F
12189376,2025-01-07,Outlier detection and management,0,G05B|G06F
12189137,2025-01-07,System and method for super-resolution imaging,0,G02B|G06T|H04N
12184518,2024-12-31,Methods and systems for inferred information propagation for aircraft prognostics,0,G06F|H04L
12183033,2024-12-31,Laser strike origin determination for an aircraft,0,G01S|G06T|H04N
12182985,2024-12-31,Automated assessment of aircraft structure damage,0,B64F|G01B|G05D|G06T|G06V|H04N
12182735,2024-12-31,Quester evaluation for additive manufacturing of a vehicle part,0,B33Y|G06F|G06N
12182230,2024-12-31,Dynamic decision engine for software authority to operate,0,G06F
12175875,2024-12-24,Machine learning system for maximum sound pressure level prediction,0,G01C|G05D|G06F|G06N|G08G
12175743,2024-12-24,Foreign object debris movement simulation,0,G06F|G06V
12169808,2024-12-17,System and method for predictive product quality assessment,0,G06Q
12165533,2024-12-10,System and method for dynamic display of legend,0,G01C|G01W|G06T|G08G
12165387,2024-12-10,Fiber placement tow end detection using machine learning,0,G06N|G06T|G06V
12165303,2024-12-10,Progressive damage and failure analysis of metal parts using computed tomography,0,B22F|B33Y|G01N|G06F|G06T
12163879,2024-12-10,Quantum entanglement-based detection system (QE-bDS),0,G01N|G06N
12158755,2024-12-03,Unmanned aerial vehicle authorization system and method,0,B64C|B64U|G05D|G06Q|G08C|H04W
12156069,2024-11-26,Peer-to-peer data sharing for reduced network demand,0,H04W
12154445,2024-11-26,Collaborative traffic management,0,G06Q|G08G
12154197,2024-11-26,Detecting requirements for a product,1,G06T|G06V
12149332,2024-11-19,Mobile communication system employing active bandwidth management,0,H04B|H04W
12148252,2024-11-19,Repeated diagnostic reasoner use throughout service and maintenance of a vehicle,0,B64D|B64F|G06Q|G07C
12148184,2024-11-19,Temporally consistent position estimation refinement for aerial refueling,0,B64D|G05D|G06T|G06V
12148183,2024-11-19,Determining a current pose estimate of an aircraft relative to a runway to support the aircraft on approach,0,G06T|G08G
12147745,2024-11-19,Engineering analysis of a structural product,0,G06F
12142152,2024-11-12,Systems and methods for tail-specific parameter computation,0,B64D|G06Q|G07C|G08G
12141857,2024-11-12,System for an aircraft modification user interface marketplace,0,G06F|G06Q|H04L
12140458,2024-11-12,Monitoring apparatus and method,0,G01D|H04W
12138867,2024-11-12,System and method for a heating operation process control,0,B29C|G05B|G06N
12136348,2024-11-05,Systems and methods for flight performance parameter computation,0,G01C|G05D|G06N|G07C|G08G
12135995,2024-11-05,Distributed edge computing platform for vehicles,0,G06F
12135970,2024-11-05,System and method for synchronizing processing between a plurality of processors,0,G06F
12135782,2024-11-05,"System, method, and program for analyzing vehicle system logs",0,G06F|H04L|H04W
12134484,2024-11-05,System and method for contextually-informed fault diagnostics using structural-temporal analysis of fault propagation graphs,0,B64D|B64F|G05B|G06F
12134483,2024-11-05,System and method for automated surface anomaly detection,0,B64F|G06T|G06V
12131658,2024-10-29,Airport taxi route generator,0,G01C|G06F|G07C|G08G|G09B
12120249,2024-10-15,Private key security in the cloud,0,G06F|G06Q|H04L
12120181,2024-10-15,Onboard analytics system and methods of use,0,G06F|H04L
12117828,2024-10-15,Air mobility system,0,B64D|G05D|G06F|G08G|H04B
12114168,2024-10-08,Unmanned aerial vehicle authorization system and method,0,G08G|H04L|H04W
12112467,2024-10-08,"Method of inspecting a fastener, and a system and apparatus for inspecting a fastener",0,B21J|G01B|G01N|G06T|G06V
12112459,2024-10-08,Systems and methods for removing grid lines from digital graph images,0,G06T
12111801,2024-10-08,Dynamic selection of an aeronautical data provider,0,G06F|G06N
12106553,2024-10-01,Method and system for aerial object detection,0,G06T|G06V
12106517,2024-10-01,Method and apparatus for modeling dynamic intrinsic parameters of a camera,2,G06T|H04N
12106516,2024-10-01,Pose estimation refinement for aerial refueling,0,B64D|G05D|G06T|G06V
12106433,2024-10-01,Generating equirectangular imagery of a 3D virtual environment,0,G06T
12106023,2024-10-01,Modeling new designs for electromagnetic effects,0,G06F
12104955,2024-10-01,Device to process sample using a time-windowed transform function to generate spectral data and to use combined magnitude and phase spectrograms,0,G01J|G01R|G06F|G06N|G06T|G06V
12100774,2024-09-24,Solar cells for a solar cell array,0,H01L|H02S|H10F|Y02E|Y02P
12100203,2024-09-24,Above-horizon target tracking,0,G05D|G06T|G06V|H04N
12099905,2024-09-24,Systems and methods for model-based image analysis,0,G06F|G06N|G06V
12099880,2024-09-24,Asymmetric telemetry selector,0,G06F
12097672,2024-09-24,Systems and methods for actualizing simulated scarfs and patches for repair of composite laminates,0,B29C|G05B|G06F
12094349,2024-09-17,Optimizing flights of a fleet of aircraft using a reinforcement learning model,0,G06N|G08G
12093244,2024-09-17,Disturbed systems impact evaluation and operation test generation,0,G06F
