patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430287,2025-09-30,Adaptive sampling for data summarization,0,G06F
12430285,2025-09-30,System and method for planning and configuring a file system migration,0,G06F
12430215,2025-09-30,Use of cluster-level redundancy within a cluster of a distributed storage management system to address node-level errors,0,G06F
12430116,2025-09-30,External distributed storage layer upgrade,0,G06F
12425477,2025-09-23,Methods and systems for managing a resource in a networked storage environment,0,H04L
12423125,2025-09-23,Methods and systems for storage virtual machine migration between clusters of a networked storage system,0,G06F
12423021,2025-09-23,Distributed control plane for facilitating communication between a container orchestration platform and a distributed storage architecture,0,G06F
12423016,2025-09-23,Reducing provisioned storage capacity of an aggregate of a storage appliance,0,G06F
12423015,2025-09-23,Methods for handling storage devices with different zone sizes and devices thereof,0,G06F
12417176,2025-09-16,Persistent key-value store and journaling system,0,G06F
12417150,2025-09-16,Mirroring objects between different cloud providers with different data layout requirements,0,G06F
12417038,2025-09-16,Block allocation for persistent memory during aggregate transition,0,G06F
12411737,2025-09-09,Systems and methods for data management using a disk unit,0,G06F
12405862,2025-09-02,Methods and systems for consistency point optimizations for synchronous replicated datasets,0,G06F
12405857,2025-09-02,Methods and systems for raid protection in zoned solid-state drives,0,G06F
12399788,2025-08-26,Methods and systems to reduce latency of input/output (I/O) operations based on file system optimizations during creation of common snapshots for synchronous replicated datasets of a primary copy of data at a primary storage system to a mirror copy of the data at a cross-site secondary storage system,0,G06F
12395493,2025-08-19,Multi-tenant security in the cloud,0,G06F|H04L
12393488,2025-08-19,Physical size API for snapshots backed up to object store,0,G06F
12393455,2025-08-19,Automated quality of service management mechanism,0,G06F
12393373,2025-08-19,Sharing ephemeral storage of a virtual machine for use as victim caches for use by virtual storage appliances in a cloud environment,0,G06F
12393360,2025-08-19,Identification of storage backends to higher-level processes to perform storage volume management,0,G06F
12393356,2025-08-19,Object copy driver module for object migration,0,G06F
12388908,2025-08-12,Cache retrieval based on tiered data,0,G06F|H04L
12386808,2025-08-12,Evolution of communities derived from access patterns,0,G06F
12386789,2025-08-12,Facilitating analytics involving cold data tiered to an object store by an on-premises storage solution by creating a virtual storage appliance on the object store,0,G06F
12386783,2025-08-12,Snapshot storage and management within an object store,0,G06F
12386714,2025-08-12,Resync transfer for recovering from storage site failure utilizing background pull operations,0,G06F
12386525,2025-08-12,Slice file recovery using dead replica slice files,0,G06F
12386507,2025-08-12,Creation and use of an efficiency set to estimate an amount of data stored in a data set of a storage system having one or more characteristics,0,G06F
12375293,2025-07-29,Verification of a published image having a predefined portion that has been altered by a cloud provider prior to being made available via a marketplace of the cloud provider,0,G06F|H04L
12373464,2025-07-29,Methods to synchronously replicate data and manage audit configuration and audit data for a distributed storage system,0,G06F
12373418,2025-07-29,Granular replication of volume subsets,0,G06F
12373398,2025-07-29,Modified read path for processing read operations during object migration,0,G06F
12373313,2025-07-29,Virtual machine backup from computing environment to storage environment,0,G06F
12373301,2025-07-29,Dataset image creation,0,G06F
12373239,2025-07-29,Transitioning volumes between storage virtual machines,0,G06F
12367184,2025-07-22,Distributed file system that provides scalability and resiliency,0,G06F
12367176,2025-07-22,Non-disruptive file movement within a distributed storage system,0,G06F
12367105,2025-07-22,Reducing potential data-loss scenarios when using ephemeral storage as backing storage for journaling by a virtual storage system,0,G06F
12366982,2025-07-22,Data management across a persistent memory tier and a file system tier,0,G06F
12360694,2025-07-15,Journal replay optimization,0,G06F
12353924,2025-07-08,Load balancing and fault tolerant service in a distributed data system,0,G06F
12353760,2025-07-08,Key value store with distributed shared access by clients,0,G06F
12353370,2025-07-08,"Elastic, ephemeral in-line deduplication service",0,G06F
12346730,2025-07-01,System and method for infrastructure scaling,0,G06F|G06N
12346564,2025-07-01,Garbage collection and bin synchronization for distributed storage architecture,0,G06F
12346561,2025-07-01,Methods for handling input-output operations in zoned storage systems and devices thereof,0,G06F
12346227,2025-07-01,Cross-platform replication,0,G06F|H04L
12346213,2025-07-01,Using ephemeral storage as backing storage for journaling by a virtual storage system,0,G06F
12339755,2025-06-24,Failover methods and system in a networked storage environment,0,G06F
12339752,2025-06-24,Techniques for LIF placement in san storage cluster synchronous disaster recovery,0,G06F
12335088,2025-06-17,Implementing switchover operations between computing nodes,0,G06F|H04L
12333161,2025-06-17,Reducing provisioned storage capacity of an aggregate of a storage appliance,0,G06F
12332864,2025-06-17,Key-value store and file system integration,0,G06F
12332838,2025-06-17,Mechanism to maintain data compliance within a distributed file system,0,G06F|H04L
12321790,2025-06-03,Distributed control plane for handling worker node failures of a distributed storage architecture,0,G06F
12321627,2025-06-03,Methods and storage nodes to decrease delay in resuming input output (I/O) operations after a non-disruptive event for a storage object of a distributed storage system by utilizing asynchronous inflight replay of the I/O operations,0,G06F
12321621,2025-06-03,Performing various operations at the granularity of a consistency group within a cross-site storage solution,0,G06F
12321604,2025-06-03,Managing shared resource usage in networked storage systems,0,G06F
12321246,2025-06-03,Methods and systems for a non-disruptive automatic unplanned failover from a primary copy of data at a primary storage system to a mirror copy of the data at a cross-site secondary storage system,0,G06F
12314221,2025-05-27,Managing attributes in child nodes for a multi-part file,0,G06F
12314189,2025-05-27,Bottleneck management techniques using non-disruptive file movement mechanisms in distributed storage environments,0,G06F
12309046,2025-05-20,Methods and systems for resending missing network data packets,0,H04L
12306817,2025-05-20,Volume placement failure isolation and reporting,0,G06F|H04L
12299310,2025-05-13,Methods and systems to interface between a multi-site distributed storage system and an external mediator to efficiently process events related to continuity,0,G06F
12299052,2025-05-13,Extensible and elastic data management services engine external to a storage domain,0,G06F|H04L
12298942,2025-05-13,Bottleneck management techniques using non-disruptive file movement mechanisms in distributed storage environments,0,G06F
12298873,2025-05-13,Methods and systems for managing networked storage system resources,0,G06F
12298870,2025-05-13,On-demand serverless disaster recovery,0,G06F
12298867,2025-05-13,Granular cloud restore with multi storage class support,0,G06F
