patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432196,2025-09-30,Accessing a cloud-based service,0,H04L|H04N
12430459,2025-09-30,Playback device queue access levels,0,G06F|H04N|Y04S
12424220,2025-09-23,Network device interaction by range,0,G06F|G10L
12423050,2025-09-23,Multiple-device setup,0,G06F|H04N
12417071,2025-09-16,Techniques for intelligent home theater configuration,0,G06F|H04R|H04S
12416963,2025-09-16,Portable playback device power management,0,G06F|Y02D
12411652,2025-09-09,Capacitive touch sensor with integrated antenna(s) for playback devices,0,G06F|H01Q|H04B|H04R
12407756,2025-09-02,Mirrored queues,0,G06F|G06Q|H04L|H04R
12407097,2025-09-02,Position-based playback of multichannel audio,0,G06F|H01Q|H03G|H04B|H04R|H04S
12401935,2025-08-26,Systems and methods for controlling playback and other features of a wireless headphone,0,G06F|G10L|H04R
12395952,2025-08-19,Synchronization of content between networked devices,0,H04L|H04N|H04R|H04W
12395700,2025-08-19,Adaptive media playback experiences for commercial environments,0,H04N|H04R
12393397,2025-08-19,Distributed synchronization,0,G06F|G11B|H04N
12393233,2025-08-19,Wireless antenna sensing in a playback device,0,G06F|H03K|H04N|H04R|H04S|Y02D
12389494,2025-08-12,Simulation of device removal,0,H04W
12389330,2025-08-12,Power management techniques for waking-up processors in media playback systems,0,G06F|H04W|Y02D
12387716,2025-08-12,Wakewordless voice quickstarts,0,G06F|G10L
12386880,2025-08-12,Social media queue across multiple streaming media services,0,G06F|G06Q|H04L
12386583,2025-08-12,Smart music services preferences,0,G06F
12382245,2025-08-05,Systems and methods for playback device management,0,G06F|G06N|G08C|H04B|H04N|H04R|H04W
12382125,2025-08-05,Playback of synthetic media content via multiple devices,0,H04N
12380161,2025-08-05,Queue identification,0,G06F|G11B
12379893,2025-08-05,Streaming music using supported services,0,G06F
12376008,2025-07-29,Re-establishing player connectivity,0,G06F|H04L|H04W
12375750,2025-07-29,Networked device group information in a system with multiple media playback protocols,0,G06F|H04L|H04N|H04R
12375052,2025-07-29,Audio notifications,0,G06F|H03G|H04L|H04N|H04R
12374334,2025-07-29,Offline voice control,0,G06F|G10L|H04L
12374333,2025-07-29,VAS toggle based on device orientation,0,G06F|G10L
12373162,2025-07-29,Providing media for playback,0,G06F|G11B|H04L|H04N|H04R
12367877,2025-07-22,Media content based on operational data,0,G06F|G06Q|G10L|H03G
12367009,2025-07-22,Media playback system with virtual line-in,0,G05B|G06F|H04L|H04N
12361048,2025-07-15,Generating digital media based on blockchain data,0,G06F|G06Q|G10H|H04N
12360736,2025-07-15,Audio conflict resolution,0,G06F|G10L|H04R|H04S
12360734,2025-07-15,Systems and methods for voice-assisted media content selection,0,G06F|G10L
12356162,2025-07-08,Wearable audio device within a distributed audio playback system,0,G06F|H04B|H04N|H04R|H04S
12348801,2025-07-01,Configuration of playback device audio settings,0,G06F|H04N
12346372,2025-07-01,Playback queue collaboration and notification,0,G06F|H04N
12342152,2025-06-24,Playback device calibration,0,G06F|H04R|H04S
12342141,2025-06-24,Mapping and characterizing acoustic events within an environment via audio playback devices,0,G06F|G10K|G10L|H04R
12340802,2025-06-24,Wake-word detection suppression,0,G06F|G10L|H04N
12334078,2025-06-17,Voice control of playback devices,0,G06F|G10L|H04L
12333209,2025-06-17,Control based on proximity,1,F21V|G06F|H03G|H04R|H05B
12328543,2025-06-10,Headphone interaction with media playback system,0,G06F|H04R
12327556,2025-06-10,Enabling and disabling microphones and voice assistants,0,G06F|G08B|G10L|H04R
12324031,2025-06-03,Techniques to reduce time to music for a playback device,0,G06F|H04L|H04R|H04W
12323668,2025-06-03,Media preference database,0,G06F|H04N|H04R
12322390,2025-06-03,Conflict management for wake-word detection processes,0,G06F|G10L
12321665,2025-06-03,Volume limit,0,G06F|G11B|H03G|H04R
12321662,2025-06-03,Synchronizing playback of audio information received from other networks,0,G06F|H04N|H04R
12316885,2025-05-27,Temporary configuration of a media playback system,0,G06F|G06Q|H04N
12314633,2025-05-27,Playback device supporting concurrent voice assistants,0,G06F|G10L|H05B
12309215,2025-05-20,Immersive audio in a media playback system,0,G06F|H04L|H04N|H04R|H04S
12302075,2025-05-13,Updating playback device configuration information based on calibration data,0,G06F|H04R|H04S
12301679,2025-05-13,Receiving media content based on user media preferences,0,G06F|H04L|H04N
12299030,2025-05-13,Transferring playback between devices,0,G06F|G11B|H04L|H04N
12294489,2025-05-06,Proximal playback devices,0,H04L|H04W
12288558,2025-04-29,Systems and methods of operating media playback systems having multiple voice assistant services,0,G06F|G10L
12284498,2025-04-22,Routines for playback devices,0,G06F|H04R
12284241,2025-04-22,Group coordinator selection,0,H04L
12283269,2025-04-22,Intent inference in audiovisual communication sessions,0,G10L|H04L
12282707,2025-04-22,Techniques for extending the lifespan of playback devices,0,G06F|H04L
12282706,2025-04-22,Facilitating calibration of an audio playback device,0,G06F|H03G|H04R|H04S
12282373,2025-04-22,Portable playback device power management,0,G06F|Y02D
12279096,2025-04-15,Systems and methods for associating playback devices with voice assistant services,0,G06F|G10L|H04R
12279013,2025-04-15,Managing content quality and related characteristics of a media playback system,0,H04N
12279008,2025-04-15,Audio encryption in a media playback system,0,G06F|G10L|H04N|H04W
12277368,2025-04-15,Handling of loss of pairing between networked devices,0,G06F|G10L|H04L
12277364,2025-04-15,Synchronization via out-of-band clock timing signaling,0,G06F|G11B|H04L|H04N
12273084,2025-04-08,Playback device group volume control,0,H03G|H04L|H04N|H04R
