patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432873,2025-09-30,Fan duct and electronic apparatus,0,G06F|H01L|H05K
12425484,2025-09-23,"Office device, office device system, control method using office device, and wireless device tracking method",0,H04L|H04N|H04W
12423701,2025-09-23,Transaction processing system and transaction processing method,0,G06Q
12417765,2025-09-16,Conference server and conference system,0,G06F|G10L|H04L|H04M
12417680,2025-09-16,Information processing apparatus and information processing method,0,G06Q|G06V|G07G
12412207,2025-09-09,Registration apparatus and control method,0,G06Q
12412166,2025-09-09,Mobile sales system and server device,0,G06Q|G07F|G07G
12407673,2025-09-02,Digital certificate management,0,H04L
12406246,2025-09-02,Information processing device and method,0,G06K|G06Q|G07G
12406160,2025-09-02,Image forming apparatus,0,G06K|H04N
12393984,2025-08-19,Settlement apparatus and settlement method,0,G06Q|G07G
12393391,2025-08-19,"Customer service supporting device, self-service terminal, and method",0,A47F|G06F|G06Q|G07G
12389571,2025-08-12,Cooling device for electronic equipment,0,G06F|H01L|H05K
12389564,2025-08-12,Cooling device of electronic equipment,0,G06F|H05K
12389563,2025-08-12,Cooling apparatus for electronic device,0,G06F|H01L|H05K
12389177,2025-08-12,Information processing device and information processing program,0,H04N|H04R
12388939,2025-08-12,"Lens mirror array, optical device, and image forming apparatus",0,G02B|H04N
12387574,2025-08-12,"Control device, behavior guide system, and method for controlling same",0,G06Q|G06V|G07G
12387453,2025-08-12,Information processing device and information processing system for merchandise registration,0,G06Q|G06V
12381309,2025-08-05,Antenna mounted on wearable device,0,G06F|G06K|H01Q
12379986,2025-08-05,Operation device and information processing device,0,G06F
12376261,2025-07-29,Cooling device for electronic apparatus,0,G06F|H05K
12376260,2025-07-29,Cooling device for electronic apparatus,0,G06F|H05K
12376259,2025-07-29,Cooling device for electronic apparatus,0,G06F|H05K
12376258,2025-07-29,Fan duct and electronic apparatus,0,F24F|G06F|H01L|H05K
12373544,2025-07-29,"Information processing apparatus, image formation apparatus, and information processing method",0,G06F|H04L|Y02D
12366669,2025-07-22,Information processing device and position management system,0,G01S|G06Q
12361232,2025-07-15,"Image forming apparatus, system, and method that changes output intensity or received threshold based on an image forming operation",0,G06F|G06K
12356279,2025-07-08,Information processing apparatus and information processing method,0,G06F|H04L|H04W
12354449,2025-07-08,Self-checkout device,0,A47F|G06Q|G07G
12354410,2025-07-08,Information processing device and information processing program,0,G06Q|G06V
12354074,2025-07-08,Data processing apparatus,0,G06Q
