patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432762,2025-09-30,Sidelink resource pool selection for urgent packet transmission,0,H04W
12431955,2025-09-30,Reception of channel based on time for applying transmission configuration indictor state,0,H04B|H04L|H04W
12426042,2025-09-23,Uplink control multiplexing of a PUCCH repetition,0,H04W
12425965,2025-09-23,Quiet interval termination,0,H04W|Y02D
12425612,2025-09-23,Intra block copy vector difference wrap around,0,H04N
12425141,2025-09-23,Feedback resource,0,H04L|H04W
12418863,2025-09-16,Power control procedures with common beams,0,H04L|H04W
12408213,2025-09-02,Wireless device related to time sensitive network for protocol data unit session establishment with access management function,0,H04L|H04W
12408209,2025-09-02,Random access type selection for small data transmission,0,H04W
12408121,2025-09-02,Power headroom report for multiple sounding reference signal resource sets,0,H04W
12402190,2025-08-26,Bandwidth part failure indication in radio link failure report,0,H04L|H04W
12402143,2025-08-26,Interrupted transmission in control channel repetition,0,H04L|H04W
12402136,2025-08-26,Activation and deactivation of configured grant,0,H04L|H04W
12402133,2025-08-26,Shared uplink channel transmissions based on sounding reference signal resource sets,0,H04W|Y02D
12402101,2025-08-26,Paging cause indication,0,H04W
12402085,2025-08-26,Power control for wireless communications,0,H04W
12402023,2025-08-26,CSI transmission with multiple bandwidth parts,0,H04B|H04L|H04W
12401474,2025-08-26,Determination of spatial filter for transmissions,0,H04B|H04L|H04W
12401401,2025-08-26,Sidelink channel state information acquisition,0,H04B|H04L|H04W
12396054,2025-08-19,Parameters for small data transmission procedure identified with field,0,H04W
12396023,2025-08-19,Semi-persistent scheduling in high frequency,0,H04L|H04W
12396017,2025-08-19,Communication and data processing in wireless communications,0,H04L|H04W
12395860,2025-08-19,Default spatial relation for physical uplink shared channel transmissions,0,H04B|H04L|H04W
12389449,2025-08-12,Contention window determination,0,H04L|H04W
12389424,2025-08-12,"Methods, systems, and apparatuses for beam management",0,H04B|H04L|H04W
12389417,2025-08-12,Preemption indication with multi-beam,0,H04B|H04L|H04W
12389339,2025-08-12,Transmission power determination using multiple reference signals,0,H04L|H04W
12389296,2025-08-12,Session management for edge computing,0,H04L|H04W
12388993,2025-08-12,Geometric partitioning refinement,0,H04N
12388591,2025-08-12,Sidelink demodulation reference signal indication in sidelink control information,0,H04L|H04W
12388578,2025-08-12,Physical uplink control channel (PUCCH) switching capability of PUCCH cells in a PUCCH group,0,H04L|H04W
12388515,2025-08-12,Default beam for downlink signal transmissions,0,H04B|H04L
12382511,2025-08-05,Random access response reception for a two-step random access procedure,0,H04L|H04W
12382488,2025-08-05,Cancellation indications of uplink and sidelink transmissions,0,H04W
12382466,2025-08-05,Downlink control channel monitoring in new radio unlicensed band,0,H04L|H04W
12382461,2025-08-05,Transmission and reception point configuration for beam failure recovery,0,H04B|H04W
12382445,2025-08-05,Transmission and reception of channel state information,0,H04B|H04L|H04W
12382322,2025-08-05,Beam failure detection and recovery procedures with common beams,0,H04B|H04L|H04W
12382089,2025-08-05,Adaptive reordering of adjusted block vector predictor candidates,0,H04N
12381697,2025-08-05,Bandwidth part switching based on priority level,0,H04L|H04W
12381615,2025-08-05,Beam update for search space set specific control resource sets,0,H04B|H04L|H04W
12381614,2025-08-05,Beam management for cells in wireless communications,0,H04B|H04W
12379445,2025-08-05,Location management,0,G01S|H04W
12376137,2025-07-29,Communication and data processing in wireless communications,0,H04L|H04W
12376097,2025-07-29,Digital signal reception,0,H04B|H04L|H04W
12376058,2025-07-29,Reporting timing advance information in non-terrestrial networks,0,H04B|H04W
12376051,2025-07-29,Cell configuration in inactive state,0,H04W
12376001,2025-07-29,Port information of time sensitive network bridge,0,H04L|H04W
12375611,2025-07-29,Charging for timing resiliency service,0,H04M|H04W
12375590,2025-07-29,Data unit identification,0,H04L|H04W
12375247,2025-07-29,Random access procedure in multiple transmission and reception points,0,H04L|H04W
12375225,2025-07-29,Sidelink hybrid automatic repeat request acknowledgement information generation,0,H04L|H04W
12375217,2025-07-29,Discontinuous reception operation of multicast and broadcast services,0,H04L|H04W
12375157,2025-07-29,Beam management for cells in wireless communications,0,H04B|H04W
12369105,2025-07-22,Access information for closed access groups,0,H04L|H04W
12369083,2025-07-22,Early timing advance acquisition,0,H04W
12368882,2025-07-22,Block vector predictor refinement based on reference region boundary,0,H04N
12363763,2025-07-15,Beam management for random access procedures,0,H04B|H04L|H04W
12363761,2025-07-15,Access power management with multiple transmission reception points,0,H04B|H04L|H04W
12363735,2025-07-15,Multiple timing advance with multiple transmission reception points,0,H04L|H04W
12363733,2025-07-15,Semi-persistent scheduling confirmation,0,H04W
12363726,2025-07-15,Application delay of downlink control channel skipping,0,H04L|H04W
12363193,2025-07-15,Multimedia priority service,0,H04L|H04W
12356498,2025-07-08,Small data transmission timer,0,H04W
12356494,2025-07-08,User equipment assistance information to support multiple public land mobile networks,0,H04W
12356487,2025-07-08,Small data transmission,0,H04W
12356485,2025-07-08,Wireless backhaul link information via adaptation layer packets,0,H04B|H04L|H04W
12349229,2025-07-01,Discontinuous reception for a two-step random access procedure,1,H04L|H04W|Y02D
12349065,2025-07-01,Power saving operation for multicast and broadcast services,0,H04L|H04W|Y02D
12348728,2025-07-01,Block vector difference signaling for intra block copy,0,H04N
12348360,2025-07-01,Enhancing beam failure recovery procedure of a wireless device,0,H04B|H04L|H04W
12342335,2025-06-24,Sidelink channel state information report,0,H04W
12342308,2025-06-24,Protocol data unit session establishment associated with aerial service,0,H04L|H04W
12336057,2025-06-17,Multi-universal subscriber identity module gap,0,H04W
12336048,2025-06-17,Releasing wireless device context,0,H04L|H04W
12336030,2025-06-17,Random access on multiple active protocol stacks,0,H04W
12336013,2025-06-17,Four-step to two-step random access procedure,0,H04W
12335977,2025-06-17,Monitoring for cross-carrier scheduling based on active bandwidth part,0,H04L|H04W|Y02D
12335833,2025-06-17,Emergency service,0,H04W
12335017,2025-06-17,Cell grouping in beam failure recovery procedure,0,H04B|H04L|H04W
12328683,2025-06-10,Transmission and reception with multiple panels,0,H04B|H04W
12328169,2025-06-10,Channel state information reporting for non-coherent joint transmission,0,H04B|H04L|H04W
12327383,2025-06-10,Chroma prediction from luma for video coding,0,G06T|H04N
12324053,2025-06-03,Network slice management based on inactivity,0,H04W
12323996,2025-06-03,Beam-based downlink monitoring,0,H04L|H04W
12323926,2025-06-03,Power control in power headroom report,0,H04B|H04W
12317365,2025-05-27,Transmission of layer 1 reference signal received power in channel state information during a discontinuous operation,0,H04B|H04L|H04W|Y02D
12317278,2025-05-27,Scheduling requests in non-terrestrial networks,0,H04B|H04W
12317211,2025-05-27,Maintenance of multiple timing advance groups,0,H04L|H04W
12317196,2025-05-27,Power control for multiple transmission reception points,0,H04W
12317158,2025-05-27,Channel state information report for multicast and broadcast services,0,H04L|H04W
12317149,2025-05-27,Connection reestablishment procedure,0,H04W
12309867,2025-05-20,Beam failure recovery with multiple cells,0,H04B|H04W
12309811,2025-05-20,Beam indication and application with multiple carriers,0,H04B|H04L|H04W
12309797,2025-05-20,Requesting feedback information in multi-downlink scheduling,0,H04L|H04W
12309620,2025-05-20,CSI transmission with multiple bandwidth parts,0,H04B|H04L|H04W
12309081,2025-05-20,Switching schemes for repetitions of transport blocks,0,H04L|H04W
12308933,2025-05-20,Beam failure recovery procedures with shared radio spectrum,0,H04B|H04L|H04W
12302438,2025-05-13,Timer for small data transmission,0,H04W
12302423,2025-05-13,Charging aggregation control for network slices,0,H04L|H04M|H04W
12302388,2025-05-13,Bandwidth part switching and determination of a contention window,0,H04L|H04W
12302360,2025-05-13,Collision timeline for bandwidth aggregation,0,H04L|H04W
12302252,2025-05-13,Sounding reference signal transmission in a wireless communication system,0,H04L|H04W|Y02D
12301865,2025-05-13,Intra prediction,0,H04N
12301512,2025-05-13,Radio resource control triggered bandwidth part switching,0,H04L|H04W
12301364,2025-05-13,Techniques for periodic resource activation or release,0,H04L|H04W
12301322,2025-05-13,Channel state information feedback for multiple transmission reception points,0,H04B|H04L|H04W
12295055,2025-05-06,Cell reselection during ongoing SDT procedure,0,H04W
12295014,2025-05-06,Sidelink radio link failure based on carrier reselection,0,H04L|H04W
12295011,2025-05-06,Devices for skipping physical downlink control channel monitoring of bandwidth part based on downlink control indication,0,H04B|H04L|H04W
12279332,2025-04-15,Subsequent data assistance information for small data transmission,0,H04W
12279281,2025-04-15,Transmission of acknowledgement in control channel repetition,0,H04L|H04W
12279232,2025-04-15,Beam determination procedures with uplink assistant information,0,H04L|H04W
12279132,2025-04-15,Beam determination procedures in radio systems,0,H04B|H04L|H04W
12278947,2025-04-15,Decoder side displacement vector prediction,0,H04N
12273947,2025-04-08,Beam management procedures in wireless networks,0,H04B|H04L|H04W
12273924,2025-04-08,Supplemental carrier selection for multiple active downlink bandwidth parts,0,H04L|H04W
12273842,2025-04-08,Geographical zone-based registration area tracking,0,G01S|H04B|H04W
12273806,2025-04-08,Uplink carrier switching confirmation for unlicensed carriers in a wireless network,0,H04L|H04W
12273302,2025-04-08,Downlink control information activating a cell and a bandwidth part,0,H04L|H04W
12273290,2025-04-08,Antenna port determination based on maximum number of transmission layers of bandwidth part,0,H04B|H04L|H04W
12267718,2025-04-01,Measurement information feedback reporting,0,H04W
12262388,2025-03-25,Sidelink feedback reporting in a wireless network,0,H04B|H04L|H04W
12262328,2025-03-25,Power control for multiple services,0,H04L|H04W
12262270,2025-03-25,Power control for bandwidth part switching,0,H04L|H04W
12261891,2025-03-25,Synchronization for multiple data flows,1,H04L|H04M|H04W
12255829,2025-03-18,Data unit processing,0,H04L|H04W
12250671,2025-03-11,Power control procedures with flexible pathloss reference signals,0,H04L|H04W
12245249,2025-03-04,Multi-cell downlink control information,0,H04B|H04L|H04W
12245227,2025-03-04,Hybrid automatic repeat request process for configured grant,0,H04L|H04W
12245199,2025-03-04,Resource selection window for sidelink inter-UE coordination,0,H04W
12245193,2025-03-04,Paging message reception,0,H04W
12245057,2025-03-04,Beam management and beam failure recovery in radio systems,0,H04B|H04L|H04W
12238740,2025-02-25,Beam management in radio systems,0,H04B|H04L|H04W
12238702,2025-02-25,Cross-carrier scheduling for sidelink communications,0,H04W
12238653,2025-02-25,Power headroom report based on dynamic pathloss estimation,0,H04W
12237946,2025-02-25,Uplink signal transmission and reception based on sounding reference signal resource set,0,H04B|H04L|H04W
12237930,2025-02-25,Feedback indicator for semi-persistent scheduling in multicast and broadcast service,0,H04L|H04W
12232083,2025-02-18,Preemption indication and radio resource selection for transmission,0,H04L|H04W
12232047,2025-02-18,Pathloss determination for beam management sounding reference signals,0,H04L|H04W
12231949,2025-02-18,Always-on packet data unit session indication,0,H04L|H04M|H04W
12231245,2025-02-18,Ordering of feedback information bits in feedback codebook based on resource block indexes,0,H04L|H04W
12225526,2025-02-11,Release of configured grant,0,H04W
12225522,2025-02-11,PUSCH repetition via a plurality of TRPs,0,H04B|H04L|H04W
12225505,2025-02-11,Resource reservation for sidelink communications,0,H04L|H04W
12225459,2025-02-11,Multiple-input multiple-output capability information for power savings,0,H04B|H04L|H04W|Y02D
12219602,2025-02-04,Hybrid automatic repeat request process handling for uplink transmissions after listen-before-talk,0,H04L|H04W
12218885,2025-02-04,Bandwidth part inactivity timer,0,H04B|H04L|H04W|Y02D
12212423,2025-01-28,Packet duplication,0,H04L|H04W
12207306,2025-01-21,Consecutive transmissions of a plurality of preambles by a wireless device,0,H04B|H04W
12207298,2025-01-21,Channel access procedures in a wireless network,0,H04W
12207201,2025-01-21,Uplink power control in a wireless device,0,H04W
12207178,2025-01-21,Time window for radio link failure detection of an unlicensed cell,0,H04W
12206621,2025-01-21,Restarting a deactivation timer of a secondary cell in a wireless network,0,H04L|H04W|Y02D
12200807,2025-01-14,Power control for small data transmission,0,H04W
12195210,2025-01-14,Aerial service,0,B64U|H04L|H04W
12193103,2025-01-07,Sidelink discontinuous reception alignment,0,H04L|H04W
12193054,2025-01-07,Contention resolution window size based on uplink carrier switching,0,H04W
12193010,2025-01-07,Base station scheduling of sidelink feedback reporting,0,H04B|H04L|H04W
12192978,2025-01-07,Beam management and beam indication in radio systems,0,H04B|H04L|H04W
12192942,2025-01-07,Random access response window configuration,0,H04B|H04W
12192510,2025-01-07,Validity determination of block vector candidates,0,H04N
12192128,2025-01-07,Radio link monitoring in a multi-transmission and reception point scenario,0,H04B|H04L|H04W
12185236,2024-12-31,Mobility management function determination for allowed network slices of wireless device,0,H04W
12177939,2024-12-24,Group communication session inactivity notification,0,H04L|H04W
12177905,2024-12-24,Uplink carrier determination for random access procedure,0,H04W
12177891,2024-12-24,Position of a channel occupancy time parameter in a downlink control channel,0,H04L|H04W
12177655,2024-12-24,Conditional handover execution,0,H04W
12170759,2024-12-17,Chroma from luma prediction model selection,0,H04N
12170575,2024-12-17,Hybrid automatic repeat request feedback control by base station,0,H04L|H04W
12167473,2024-12-10,Random access initialization during mobility,2,H04W
12167394,2024-12-10,Resource block numbering in control channel repetition,0,H04L|H04W
12167336,2024-12-10,Dormancy management in a wireless cellular system,0,H04L|H04W|Y02D
12166585,2024-12-10,Transmission power determination for uplink channel repetition,0,H04L|H04W
12160924,2024-12-03,Network exposure function and wireless device with releasable connection,0,H04W
12160878,2024-12-03,Zone management and hybrid automatic repeat request for sidelink,0,H04L|H04W
12160799,2024-12-03,Initialization of scrambling sequence for data in multicast and broadcast services,0,H04L|H04W
12160781,2024-12-03,Timing advance indication from base station for a beam during handover,0,H04W
12156275,2024-11-26,Session duplication for uplink or downlink packets,0,H04W
12150199,2024-11-19,Predefined rules in control channel repetition,0,H04L|H04W
12150181,2024-11-19,Performing listen-before-talk procedure during random access procedure,0,H04W
12150180,2024-11-19,Random access procedure type in a wireless system,0,H04L|H04W
12150163,2024-11-19,Sidelink signal repetition and preemption,1,H04W
12149487,2024-11-19,Sidelink resource pool configuration for sidelink communications,0,H04L|H04W
12149477,2024-11-19,Beam management in multiple transmission and reception points,0,H04L|H04W
12149467,2024-11-19,Spatial relation in new radio,0,H04B|H04L|H04W
12144057,2024-11-12,Release message in small data transmission procedure,0,H04W
12143998,2024-11-12,Resource configuration for integrated access and backhaul nodes,0,H04B|H04L|H04W
12143994,2024-11-12,Processing time in control channel repetition,0,H04L|H04W
12143992,2024-11-12,Downlink scheduling and hybrid automatic repeat request feedback,0,H04L|H04W
12143990,2024-11-12,Downlink control information and bandwidth part switching in a wireless device,0,H04L|H04W
12143916,2024-11-12,Non-public network overload and congestion control,0,H04W
12143875,2024-11-12,Communication of cell configuration parameters of an unlicensed cell,0,H04L|H04W|Y02D
12133183,2024-10-29,Prioritization of sidelink and uplink transmissions,0,H04W
12133113,2024-10-29,Base station header compression and decompression,0,H04L|H04W
12132911,2024-10-29,BVD sign inference in IBC based on BV and BVP components,0,H04N
12127276,2024-10-22,Tunnel failure procedures,0,H04L|H04W
12127218,2024-10-22,Multiplexing uplink control information,0,H04L|H04W
12127127,2024-10-22,Base station handling of transitioning wireless device to inactive state,0,H04W|Y02D
12127098,2024-10-22,Restricted local operator services by base station for wireless network,0,H04L|H04M|H04W
12127046,2024-10-22,Vehicle-to-everything support of a cell via base stations,0,H04L|H04W
12120775,2024-10-15,Multi access packet/protocol data unit session,0,H04W
12120704,2024-10-15,Default downlink signaling in control channel repetition,0,H04B|H04L|H04W
12113998,2024-10-08,No reference image quality assessment based decoder side intra prediction,0,C12N|H04N
12108470,2024-10-01,Application triggering for a wireless device,0,H04W
12108348,2024-10-01,Power headroom report in multiple data scheduling,0,H04W
12107779,2024-10-01,Sidelink multi-antenna transmission and reception,0,H04B|H04L|H04W
12101840,2024-09-24,Downlink control reception based on small data transmission,0,H04W
12101813,2024-09-24,Channel occupancy time duration for cell starting from downlink control information slot,0,H04L|H04W
12101789,2024-09-24,Power control adjustment for PUCCH with multi-PDSCH scheduling,0,H04B|H04L|H04W
12101785,2024-09-24,Receiving uplink data via a transmission time interval of an unlicensed cell,0,H04L|H04W
12101782,2024-09-24,Downlink control information for supporting multiple services,0,H04L|H04W
12101740,2024-09-24,Signaling delivery in a wireless network,0,H04W
12101712,2024-09-24,Network access management,1,H04W
12101210,2024-09-24,Starting time alignment timer before receiving an initial timing advance command,0,H04L|H04W
12101196,2024-09-24,QoS policy of mission critical video service,0,H04L|H04M|H04W
12096494,2024-09-17,Location based selection of localized proxy application server,0,H04L|H04W
12096429,2024-09-17,Joint beam indication based on a unified reference pool,1,H04B|H04L|H04W
12096368,2024-09-17,Measurement based sidelink discontinuous reception operation,0,H04W|Y02D
12096003,2024-09-17,Reduced residual inter prediction,0,H04N
12089285,2024-09-10,Beam failure management for preconfigured resource,0,H04B|H04W
12089226,2024-09-10,Hybrid automatic repeat request transmission with multiple transmission and reception points and multiple panels,0,H04L|H04W
12089093,2024-09-10,Handover for closed access group,0,H04W
12088517,2024-09-10,Sidelink sensing in wireless network,0,H04L|H04W
12082226,2024-09-03,Uplink transmission in a wireless communication system,0,H04W
