patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432778,2025-09-30,Preemption / interruption of an ongoing low priority PPDU,0,H04L|H04W
12432761,2025-09-30,"Methods for enabling communication of additional data, related wireless devices and radio network nodes",0,H04W
12432370,2025-09-30,Information processing device and information processing method,0,G06T|H04N
12430774,2025-09-30,"Information processing device, program, and method",0,G06T|G06V
12425967,2025-09-23,Communications devices and methods,0,H04L|H04W|Y02D
12425966,2025-09-23,Support of multiple wake-up-signal-related capabilities,0,H04W|Y02D
12425929,2025-09-23,Method of requesting a handover of a communications device,0,H04W
12425902,2025-09-23,"Mobile terminal, network node, system and methods",0,H04L|H04W
12425901,2025-09-23,"Communications device, infrastructure equipment, core network element and methods for minimization of drive tests, MDT, report",0,H04W
12425788,2025-09-23,"Information processing apparatus, information processing method, and sound output apparatus",0,G06F|H04M|H04R|H04S
12425730,2025-09-23,Imaging apparatus and signal processing method for handling saturation of split pixel,0,G02B|H04N
12425720,2025-09-23,Imaging apparatus and control method for imaging apparatus,0,G03B|H04N
12425608,2025-09-23,Information processing device and information processing method,0,G06V|H04N
12425543,2025-09-23,"Client devices, server, and methods",0,G06T|H04N
12425527,2025-09-23,"Information processing system, information processing apparatus, information processing method, information processing program, imaging apparatus, method of controlling imaging apparatus, and control program for controlling based on color conversion coefficient",0,G06V|H04N
12425378,2025-09-23,Privacy preserving verification of user data,0,H04L|H04W
12425134,2025-09-23,Communicating device and communicating method,0,H04L|H04W
12425090,2025-09-23,"Methods for beam suppression at a wireless device, related network nodes and related wireless devices",0,H04B|H04L
12423897,2025-09-23,"Information processing device, information processing method, and program",0,G06F|G06T|G10L
12423836,2025-09-23,Camera-radar fusion using correspondences,0,G06T|G08G
12423810,2025-09-23,Image-based unsupervised multi-model cell clustering,0,G06T|G06V
12423571,2025-09-23,Training actor-critic algorithms in laboratory settings,0,G06N
12422929,2025-09-23,"Information processing device, information processing method, program, and information processing system",0,A63F|G06F|G06Q
12422928,2025-09-23,"Information processing apparatus, information processing method, and program",0,G06F
12422846,2025-09-23,Information processing device and information processing method,0,B64C|B64U|G05D|H04N
12422515,2025-09-23,"Methods for positioning of a wireless device, a related wireless device and a related network node",0,G01S|H04W
12420701,2025-09-23,"Information processing apparatus, information processing method, program, and projection apparatus",0,B60Q|G06F|G08G
12419127,2025-09-16,"Semiconductor device and method of manufacturing the same, and electronic apparatus",0,H01L|H04N|H10F
12418938,2025-09-16,"Electronic device, wireless communication method, and non-transitory computer-readable storage medium",0,H04L|H04W
