patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12425973,2025-09-23,Battery power conservation for asset tracking devices,0,G01S|G06Q|H04W
12425808,2025-09-23,Asset tracking devices and mobile network plan selection,0,G06Q|G08B|H04L|H04W
12415476,2025-09-16,System and method for portable user and vehicle settings,0,B60R|G06F|G06Q
12409805,2025-09-09,Method and system for multi-party unlock in an inventory transaction,0,B60R|G06Q|G07C|H04L|H04W
12407692,2025-09-02,Method and apparatus for providing an adaptable security level in an electronic communication,0,H04L
12388853,2025-08-12,System and method for machine learning based malware detection,0,G06N|H04L
12381905,2025-08-05,Remediation responsive to a pattern of alerts,0,G06F|H04L
12380202,2025-08-05,Methods and systems for monitoring the behavior of a process,0,G06F
12379838,2025-08-05,Electronic device and method of providing visual notification of a received communication,0,G06F|H04M
12375942,2025-07-29,Providing secondary coverage in a mobile communication system,0,H04L|H04W
12363838,2025-07-15,Tamper detection for intrinsically-safe or explosion-proof enclosures,0,G01S|G06F|G08B|H04W|H05K
12346805,2025-07-01,Methods for converting hierarchical data,0,G06F|G06N|H04L
12341905,2025-06-24,Method and system for providing data security for micro-services across domains,0,H04L|H04W
12333019,2025-06-17,Risk assessment based on software bill of materials,0,G06F
12323425,2025-06-03,Two-factor authentication for a shared device,0,H04L
12322147,2025-06-03,Predictive coding of point clouds using multiple frames of references,0,G06T|H04N
12322145,2025-06-03,Angular mode syntax for tree-based point cloud coding,0,G06T|H04N
12307728,2025-05-20,Method and system for azimuthal angular prior and tree representation for cloud compression,0,G06T
12294951,2025-05-06,Control of uplink data transmission,0,H04W|Y02D
12277230,2025-04-15,Method and device for symbolic analysis of a software program,0,G06F
12271693,2025-04-08,Method and system for finding associations between natural language and computer language,0,G06F|G06N
12265946,2025-04-01,Risk assessment based on augmented software bill of materials,0,G06F|G06Q
12262440,2025-03-25,Simplified UE + eNB messaging,0,H04W
12260377,2025-03-25,Vehicle service authorization,0,G06Q
12254240,2025-03-18,Controlling audio output in a vehicle,0,G06F|H04R|H04S
12250306,2025-03-11,Method and system for sharing sensor insights based on application requests,0,H04L
12250248,2025-03-11,Shared image sanitization method and system,0,G06F|G06T|G06V|H04L
12243000,2025-03-04,Method and system for internet of things asset tracking within an intelligent transportation system,0,G01S|G06Q|H04W
12242646,2025-03-04,Access restriction of vehicle-associated information,0,G06F|H04L|H04W
12238745,2025-02-25,Detecting the number of transmit antennas in a base station,0,H04B|H04L|H04W
12238588,2025-02-25,Method for accessing a service unavailable through a network cell,0,H04W
12236651,2025-02-25,Angular prior and direct coding mode for tree representation coding of a point cloud,1,G06T|H04N
12232144,2025-02-18,System and method for supporting inter-band carrier aggregation with different UL/DL TDD configurations,0,H04J|H04L|H04W
12231511,2025-02-18,Event data processing,0,G06F|G06N|H04L
12229294,2025-02-18,Event data processing,1,G06F
12229045,2025-02-18,Buffers in shared memory for sensor data in vehicles,0,G06F
12218949,2025-02-04,Risk-aware access control system and related methods,0,G06F|H04L|H04W
12211375,2025-01-28,Method and apparatus for providing road user alerts,0,G08G|H04W
12205051,2025-01-21,Method and system for a dynamic data collection and context-driven actions,0,G06N|H04L
12200678,2025-01-14,System and method for multi-carrier network operation,0,H04L|H04W
12200636,2025-01-14,Reporting power headroom for aggregated carriers,0,H04L|H04W
