patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12426771,2025-09-30,"Endoscope system, image processing device, total processing time detection method, and processing device",0,A61B|G06T|H04N
12419491,2025-09-23,"Endoscope diagnosis support system, storage medium, and endoscope diagnosis support method",0,A61B|G02B|G06T|H04N
12417531,2025-09-16,"Image processing system, training method for training device, and storage medium",0,A61B|G06T|G06V
12416746,2025-09-16,"Stacked lens, optical unit, endoscope, and method of manufacturing optical unit",0,A61B|G02B|H04N|H10F
12414824,2025-09-16,Method for operating a medical navigation system for an image-guided surgical procedure,0,A61B|G06T
12414675,2025-09-16,"Image processing device, operation method, and computer readable recording medium",0,A61B|G06T
12412268,2025-09-09,"Treatment system, control device, and control method",0,A61B|G06T
12402781,2025-09-02,"Focus control device, operation method of focus control device, and storage medium",0,A61B|G02B|G06T
12396620,2025-08-26,"Wireless endoscope, wireless endoscope apparatus and illumination control method",0,A61B|G10L|H04N
12393014,2025-08-19,"Objective optical system, imaging unit, endoscope and endoscope apparatus",0,G02B|H04N
12390183,2025-08-19,Endoscope system and endoscope image display control method,0,A61B|A61M|G06T
12383126,2025-08-12,Surgery system and control method for surgery system to adjust position and orientation of imager,0,A61B|G06T|H04N
12382195,2025-08-05,Image pickup apparatus and image processing method,0,H04N
12361685,2025-07-15,"Training data generating system, method for generating training data, and recording medium",0,A61B|G06T|G06V
12355126,2025-07-08,"Elastically configured waveguide connecting structure usable in a waveguide connector, a waveguide unit, a mode converter, an imaging device and an endoscope",0,A61B|H01P|H04N
12354297,2025-07-08,"Control apparatus, endoscope positioning state determination method, and non-transitory recording medium",0,A61B|G06T
12348848,2025-07-01,Image pickup unit and insertion instrument,0,A61B|H04N
12347066,2025-07-01,"Information processing system, endoscope system, and information storage medium",0,A61B|G06T|H04N
12336834,2025-06-24,"Examination device, endoscope system, and examination method",0,A61B|G06T
12333727,2025-06-17,"Endoscope apparatus, information processing method, and storage medium",0,A61B|G06T
12321539,2025-06-03,Medical device,0,A61B|G06F
12317212,2025-05-27,"Communication method, relay apparatus, and server apparatus",0,G16H|H04L|H04W
12309479,2025-05-20,Image pickup module and endoscope,0,A61B|G02B|H04N
12301970,2025-05-13,Image pickup unit and endoscope,0,A61B|G02B|H04N
12299922,2025-05-13,"Luminal structure calculation apparatus, creation method for luminal structure information, and non-transitory recording medium recording luminal structure information creation program",0,A61B|G06T
12293571,2025-05-06,"Image processing system, image processing device, endoscope system, interface, image processing method and information storage medium",0,G06F|G06N|G06T|G06V
12268354,2025-04-08,"Image recording device, image recording method, and recording medium for recording time-series images of endoscopy",0,A61B|G06T
12266121,2025-04-01,"Medical image data creation apparatus for training, medical image data creation method for training and non-transitory recording medium in which program is recorded",0,A61B|G06T
12260515,2025-03-25,"Image processing device, image processing method, and image processing program",0,G06T|H04N
12256889,2025-03-25,"Endoscopic image processing apparatus, endoscopic image processing method, and recording medium",0,A61B|G06T|H04N
12251076,2025-03-18,"Central control apparatus, central control system, and control method for controlled devices",0,A61B|G05B|G06F|H04N
12249088,2025-03-11,"Control device, image processing method, and storage medium",0,A61B|G06T
12249071,2025-03-11,"Image processing system, endoscope system, and image processing method",0,A61B|G06T|G16H
12213651,2025-02-04,Imaging system and endoscope,0,A61B|H04N
12213646,2025-02-04,Endoscope having a distal end structure for holding a composite cable,0,A61B|G02B|H04N
12212880,2025-01-28,"Image processing apparatus, observation system, and observation method",0,A61B|H04N
12207788,2025-01-28,"Endoscope apparatus, operating method of endoscope apparatus, and information storage medium",0,A61B|G06T
12190482,2025-01-07,"Endoscope processor, method for operating endoscope processor, and storage medium",0,A61B|G06T
12190227,2025-01-07,Arithmetic processing device for performing image recognition,0,G06F|G06N|G11C
12176110,2024-12-24,Learning support system and learning support method,0,G06F|G06N|G06T|G16H
12175664,2024-12-24,"Image recording apparatus, information processing apparatus, information processing method, and recording medium",0,A61B|G06T|G16H
12169963,2024-12-17,"Processing system, image processing method, learning method, and processing device",0,A61B|G06V|H04N
12159421,2024-12-03,"Method of finding a set of corresponding points in images to be registered, image registration method, medical image registration system and software program product",0,A61B|G06T|H04N
12155919,2024-11-26,"Manufacturing method of image pickup apparatus for endoscope, image pickup apparatus for endoscope, and endoscope",0,A61B|B29D|B29K|G02B|G03B|H04N
12143755,2024-11-12,"Endoscope system, and image processing apparatus and image processing method used in endoscope system",0,A61B|G06T|G16H|H04N
12137879,2024-11-12,"Image processing apparatus, image processing method, and endoscope apparatus",0,A61B|G06N|G06T
12137869,2024-11-12,"Image processing apparatus, endoscope system, and image processing method",0,A61B|G06T|H04N
12123826,2024-10-22,"Image processing device, imaging system, image processing method, and computer-readable recording medium",0,A61B|G01N|G02B|H04N
12121219,2024-10-22,"Medical image processing device, medical imaging device, medical observation system, image processing method, and computer-readable recording medium",0,A61B|H04N
12108176,2024-10-01,Imaging device and endoscope system,0,H04N
12108166,2024-10-01,Endoscope system,0,A61B|H04N
12089811,2024-09-17,"Distal end unit of endoscope, and endoscope",0,A61B|G02B|H04N
12089806,2024-09-17,"Image recording apparatus, recording method, and image recording system",1,A61B|G16H|H04N
12085708,2024-09-10,Image pickup apparatus manufacturing method and image pickup apparatus,0,A61B|G02B|G03B|H04N
12082784,2024-09-10,"Electronic module, method of manufacturing electronic module, and endoscope",0,A61B|G02B|H01L|H05K|H10F|Y02P
12082773,2024-09-10,"Control device, endoscope, and control method",0,A61B|G02B|G03B|H02J|H04N
12078796,2024-09-03,"Endoscope light source device, endoscope apparatus, operating method of endoscope light source device, and light amount adjusting method",0,A61B|G02B|H04N
12070184,2024-08-27,"Imaging system, endoscope system, and control method",0,A61B|G02B|G06T|H04N
12064092,2024-08-20,"Control device, endoscope system, and control method",0,A61B|G02B|G03B|H04N
12064091,2024-08-20,"Image system, endoscope system, light source device, and control method for light source device",0,A61B|G02B|H04N
12061590,2024-08-13,Information processing system and processing method,0,G06F|G16H
12053161,2024-08-06,"Endoscope apparatus, information storage medium, control method of endoscope apparatus, and processing device",0,A61B|G16H|H04N
12052785,2024-07-30,"Wireless communication system, wireless communication device, and wireless communication method",0,H04W
12050985,2024-07-30,Arithmetic processing device,0,G06F|G06N
12041385,2024-07-16,"Image recording system, image recording method, and recording medium",0,G06T|G06V|H04N
12041330,2024-07-16,Optical module for endoscope and endoscope,0,A61B|G02B|H04N
12035999,2024-07-16,"Endoscope apparatus, processing device and processing method",0,A61B|H04N
12035892,2024-07-16,"Endoscope system, processor for endoscope, method of controlling endoscope system, and recording medium",0,A61B|H04N
