patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432324,2025-09-30,Methods and apparatus for camera assisted geometric correction,0,G06T|H04N
12430201,2025-09-30,Multi-processor bridge with cache allocate awareness,0,G06F|H03M
12429818,2025-09-30,Providing uniform background image illumination with zero-order light from a phase light modulator to a spatial light modulator,0,G02F|G03B|G03H|H04N
12426286,2025-09-23,Radiation enhanced bipolar transistor,0,H01L|H10D
12425989,2025-09-23,Mapping schemes for secondary synchronization signal scrambling,0,H04B|H04W
12425628,2025-09-23,Inter-prediction candidate index coding,0,H04N
12425619,2025-09-23,CABAC decoder with decoupled arithmetic decoding and inverse binarization,0,H04N
12425276,2025-09-23,Equalization adaptation engine assisted baseline wander correction of data,0,H03F|H03K|H04B|H04L
12425147,2025-09-23,Methods and apparatus for dual connectivity operation in a wireless communication network,0,H04L
12424541,2025-09-23,Multi-layer inductor,0,H01F|H01L|H10D
12424523,2025-09-23,Leadframe strip with complimentary unit design,0,H01L
12424443,2025-09-23,Fin field-effect transistor semiconductor device and method of forming the same,0,H01L|H10D
12423837,2025-09-23,Three dimensional (3D) object detection,0,G06T|G06V
12423481,2025-09-23,Secure master and secure guest endpoint security firewall,0,G06F|H04L|Y02D
12423217,2025-09-23,Test codes for secure test mode on math assistance devices,0,G06F|G09B
12423215,2025-09-23,Context-sensitive debug requests for memory access,0,G06F
12419063,2025-09-16,Inductor on microelectronic die,0,H01F|H01L|H10D
12418646,2025-09-16,Flexible region based sample adaptive offset (SAO) and adaptive loop filter (ALF),0,H04N
12418394,2025-09-16,Receiver with flexible link synchronization,0,H04J|H04L
12418391,2025-09-16,Communication interface with calibrating delay circuit,0,G06F|H04L
12418097,2025-09-16,Microelectronic device package including antenna and semiconductor device,0,H01L|H01Q|H05K
12417965,2025-09-16,Interconnect for IC package,0,H01L
12417914,2025-09-16,Technique for GaN epitaxy on insulating substrates,0,H01L
12417186,2025-09-16,Write merging on stores with different tags,0,G06F|G11C|Y02D
12414131,2025-09-09,Physical downlink control channel and physical hybrid automatic repeat request indicator channel enhancements,0,H04J|H04L|H04W
12413718,2025-09-09,Mode adaptive intra prediction smoothing in video coding,0,H04N
12412840,2025-09-09,Power module with multi-layer substrate and second insulation layer to increase power density,0,H01L
12412800,2025-09-09,Integrated circuit package having enhanced thermal dissipation structure,0,H01L
12412795,2025-09-09,Dual down-set conductive terminals for externally mounted passive components,0,H01L
12411795,2025-09-09,Enabling a multi-chip daisy chain topology using peripheral component interconnect express (PCIe),0,G06F
12411766,2025-09-09,Streaming engine with variable stream template format,0,G06F
12411694,2025-09-09,Processor having adaptive pipeline with latency reduction logic that selectively executes instructions to reduce latency,0,G06F
12411463,2025-09-09,Measurement circuit having frequency domain estimation of device under test (DUT) model parameters,0,G01R|G05B|G06F
12408352,2025-09-02,Advanced poly resistor and CMOS transistor,0,H01L|H10D
12407557,2025-09-02,Power efficient crest factor reduction,0,H04L
12407551,2025-09-02,Bidirectional data transmission over isolation medium,0,H04L
12406915,2025-09-02,Plated metal layer in power packages,0,H01L
