patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432356,2025-09-30,"Image data transfer apparatus, image display system, and image compression method",0,G06F|G09G|H04N
12430865,2025-09-30,System and method for positioning objects within an environment,0,A63F|G06T
12430420,2025-09-30,"Information processing apparatus, control method therefor, and program for controlling processing loads of updated programs",0,G06F
12429959,2025-09-30,Information processing apparatus and device position acquisition method,0,A63F|G06F|G06T
12429945,2025-09-30,Information processing apparatus and adjustment screen display method,0,G02B|G06F|G09G|H04N
12429357,2025-09-30,"Mapping apparatus, tracker, mapping method, and program",0,G01C|G06T
12427424,2025-09-30,Hyper-personalized game items,0,A63F|G06T
12427402,2025-09-30,"Operation system, information processing system, operation information generation method, and operation information generation program",0,A63F|G06F
12425607,2025-09-23,Reserved bit prediction for slice size control with pipelined video encoding,0,H04N
12423770,2025-09-23,Information processing apparatus,0,G06N|G06T|H04N
12422514,2025-09-23,Information processing system and program,0,G01S|G06F|G07B|G07C
12420180,2025-09-23,Server device and event data processing method,0,A63F|G06Q
12416977,2025-09-16,On-screen virtual keyboards with side-by-side keyboard portions,0,A63F|G06F
12415129,2025-09-16,"Overlapping rendering, streamout, and display at a client of rendered slices of a video frame",0,A63F|G07F|G09G|H04L|H04N
12413313,2025-09-09,Top-of-rack switch of a rack assembly tuned to receive a band of wavelengths from a replicated spectrum of wavelengths provided by a power splitter,0,H04B|H04J|H04L|H04Q
12407886,2025-09-02,"Video distribution apparatus, video distribution method, and video distribution program",0,H04N
12407370,2025-09-02,Frequency band determination based on image of communication environment for head-mounted display,0,G06F|G06V|H04B|H04W
12406424,2025-09-02,Auto-generated shader masks and parameters,0,A63F|G06T
12406324,2025-09-02,Accessing local memory of a GPU executing a first kernel when executing a second kernel of another GPU,0,G06F|G06T
12406032,2025-09-02,Data processing apparatus and method,0,A63F|G06F|G06V
12405160,2025-09-02,"System, information processing device, information processing method, and program",0,G01J|H04N
12403610,2025-09-02,Information processing device and action mode setting method,0,B25J|G06F|G06V
12403403,2025-09-02,NFT framework for transferring and using digital assets between game platforms,0,A63F|G06Q
12401883,2025-08-26,"System, imaging apparatus, information processing apparatus, information processing method, and information processing program",0,A63F|G06F|G06T|H04N
12400649,2025-08-26,Customized dialogue support,0,A63F|G06F|G10L|H04M
12400286,2025-08-26,Reassigning geometry based on timing analysis when rendering an image frame,0,G06F|G06T
12395688,2025-08-19,Group party view and post viewing digital content creation,0,H04N
12394016,2025-08-19,Low delay super-resolution processing,0,A63F|G06T|H04N
12393268,2025-08-19,Gaze tracking system and method based on a confidence value indicating an expected reliability of detected pupil location,0,G02B|G06F|G06T|G06V
12393027,2025-08-19,Head-mountable display apparatus and methods,0,G02B|G06F
12390723,2025-08-19,Synchronizing a frequency of a client VSYNC signal to a frequency of a server VSYNC signal,0,A63F|G07F|G09G|H04L|H04N
12387381,2025-08-12,"Image data transfer apparatus, image display system, and image data transfer method",0,G02B|G06F|G06T|G06V|H04N
12383823,2025-08-12,Information processing apparatus and game video recording method,0,A63F|H04N
12382147,2025-08-05,Encoding input for machine learning,0,A63F|G06F|G06N|G06V|H04N
12380633,2025-08-05,Voice driven modification of sub-parts of assets in computer simulations,0,G06N|G06T|G10L
12379779,2025-08-05,Using gaze tracking to effect player choices in multi player interactive narratives,0,A63F|G06F
12379775,2025-08-05,Event driven sensor (EDS) tracking of light emitting diode (LED) array,0,A63F|G01S|G06F
12375709,2025-07-29,Systems and methods for decoding and displaying image frames,0,G06N|H04N
12374015,2025-07-29,Facial capture artificial intelligence for training models,0,A63F|G06T|G06V
12373907,2025-07-29,Adjustable robot for providing scale of virtual assets and identifying objects in an interactive scene,0,A63F|G05B|G06F|G06T
12370452,2025-07-29,Real world simulation for meta-verse,0,A63F|H04L
12370442,2025-07-29,Beginning scan-out process at flip-time for cloud gaming applications,0,A63F|H04L|H04N
12370435,2025-07-29,Input device,0,A63F|G06F
12370434,2025-07-29,"Information processing device, control method of information processing device, and program",0,A63F|G02B|G06F|G06T|G09G
12368830,2025-07-22,"Image processing apparatus, image display system, image data transfer apparatus, and image processing method",0,G02B|G06F|G09G|H04N
12363385,2025-07-15,Systems and methods for operating a streaming service to provide community spaces for media content items,0,H04L|H04N
12363318,2025-07-15,Virtual reality streaming system and method,0,G01P|H04N
12363309,2025-07-15,Image data transfer apparatus and image compression,0,H04N
