patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432655,2025-09-30,Virtual power plant interoperability,0,H02J|H04L|H04W
12432639,2025-09-30,Handover in presence of false base stations,0,H04W
12432112,2025-09-30,Method and apparatus for triggering vOMCI function from OLT to send OMCI messages,0,H04B|H04L|H04Q
12431970,2025-09-30,"Methods, devices, apparatuses, and medium for optical communication",0,G06N|H04B|H04J|H04Q
12425971,2025-09-23,Distortion reducing precoding,0,H03F|H04B|H04W
12425925,2025-09-23,Time sensitive communication quality of service alternatives,0,H04L|H04M|H04W
12425274,2025-09-23,Equalizer coefficients for error vector magnitude measurement in new radio base station conformance testing,0,H04L
12418837,2025-09-16,Resource balancing,0,H04W
12418497,2025-09-16,Method and apparatus for bandwidth allocation in a sliced network,0,H04L|H04Q
12418479,2025-09-16,Supporting stateful explicit paths,0,H04L
12418318,2025-09-16,Apparatuses and methods for compensation of transmitter distortions,0,H04B|H04L|H04W
12413500,2025-09-09,Service differentiation based on constrained network topology slicing,0,H04L
12413287,2025-09-09,Doppler-based beam training interval adaptation,0,H04B|H04L
12408214,2025-09-02,Caching configuration profiles associated with capability ID,0,H04W
12407440,2025-09-02,"Method, apparatus and computer program",0,H04B|H04L
12402052,2025-08-26,NF service producer's URIs for inter-PLMN mobility,0,H04L|H04W
12402018,2025-08-26,Estimating communication traffic demand,0,H04W
12401604,2025-08-26,Wireless mesh network,0,H04L|H04W
12399739,2025-08-26,Hardware acceleration for frequency domain scheduler in wireless networks,0,G06F|G06Q|H04W|Y02D
12395973,2025-08-19,Low-latency application data transmission,0,H04L|H04W
12395433,2025-08-19,Machine learning segment routing for multiple traffic matrices,0,G06N|H04L
12395403,2025-08-19,Dynamic configuration of customer premises equipment,0,G06F|H04L
12389302,2025-08-12,Mobile terminal handover decision optimizations,0,G06N|H04W
12389234,2025-08-12,Test grants for base stations installed in protection areas,0,H04W
12388905,2025-08-12,"Apparatus, methods, and computer programs",0,H04L|H04W
12388685,2025-08-12,Regularized interference-plus-noise covariance matrix estimation,0,H04B|H04L
12381842,2025-08-05,Physical service communication proxy domain,0,H04L
12381815,2025-08-05,Sequencing of labeled packets,0,H04L
12375405,2025-07-29,Path congestion notification,0,H04L
12369221,2025-07-22,Positioning reference unit selection,0,G01S|H04W
12368642,2025-07-22,Providing information,0,H04L|H04W
12363560,2025-07-15,Apparatuses and methods for collaborative learning,0,G16Y|H04L|H04W
12360898,2025-07-15,Redirection in a processor cache,0,G06F
12356503,2025-07-08,Adding per-user equipment controls to radio intelligent controller E2 policy,0,H04L|H04W
12356310,2025-07-08,Transferring traffic in integrated access and backhaul communication,0,H04W
12356188,2025-07-08,Method and apparatus for handling authentication failure during security association establishment,0,H04L|H04W
12349061,2025-07-01,Power saving in radio access network,0,G06N|H04L|H04W|Y02D
12342272,2025-06-24,Transport slice activation and deactivation control protocol,0,H04L|H04W
12342259,2025-06-24,Core network support for transport network path diversity for URLLC user plane,0,H04L|H04W
12341593,2025-06-24,Apparatus comprising at least one processor,0,H04B|H04W
12341589,2025-06-24,"Transformer-based decoder for channel state information compression, and related devices, methods, and computer programs",0,G06N|H04B|H04L
12339780,2025-06-24,Multi-mode indexed cache in a processor,0,G06F
12335826,2025-06-17,Handling of services after MC user migration,0,G06F|H04L|H04W
12335309,2025-06-17,Enhanced processing for IPsec stream,0,H04L
12335127,2025-06-17,Data analytics on measurement data,0,H04L
12334957,2025-06-17,LLR compression in wireless communications networks,0,H03M|H04L
12328663,2025-06-10,Resource allocation in joint communication and sensing,0,G01S|H04L|H04W
12323823,2025-06-03,"Method, apparatus and medium for adjusting transmission property",0,H04L|H04W
12323304,2025-06-03,Method to update 5G VN group topology update to AF for efficient network management,0,H04L
12317077,2025-05-27,Communication system,0,H04L|H04W
12317013,2025-05-27,Bandwidth allocation,0,H04L|H04Q
12316692,2025-05-27,Management and implementation of applications in cloud-based FPGAS,0,G06F|H03K|H04L
12314826,2025-05-27,Secondary cell selection,0,G06N|H04L|H04W
12314719,2025-05-27,Multi-indexed micro-operations cache for a processor,0,G06F
12309694,2025-05-20,Mapping between cell load and rectifier efficiency,0,H02J|H04W
12307253,2025-05-20,Affinity groups in a micro-operations cache of a processor,0,G06F
12302132,2025-05-13,Federated learning of growing neural gas models,0,G06N|H04L|H04W
