patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432767,2025-09-30,System and method for interference pattern identification,0,G06N|H04B|H04W
12432620,2025-09-30,Systems and methods for multi-slice communication sessions in a wireless network,0,H04W
12432591,2025-09-30,Identification of anomalous telecommunication service usage,0,G06N|H04L|H04M|H04W
12432563,2025-09-30,System and method for spam message detection,0,G06N|H04W
12432547,2025-09-30,Systems and methods for supporting multiple universal subscriber identity modules,0,H04W
12432172,2025-09-30,Multi-level and dynamic timers for carrier grade NAT,0,H04L
12430673,2025-09-30,Systems and methods for request validation,0,G06N|G06Q
12430582,2025-09-30,Method and system for distributed deep machine learning,0,G06N|H04L
12429939,2025-09-30,Systems and methods for enabling facial browsing of a display based on movement of facial features,0,G06F|G06V
12426000,2025-09-23,Systems and methods for providing a radio access network fallback for multimedia priority services,0,H04W
12425948,2025-09-23,Systems and methods for updating a policy of a user equipment in fourth-generation network coverage,0,H04W
12425922,2025-09-23,Systems and methods for supporting network slice services using transport devices,0,H04W
12425818,2025-09-23,Systems and methods for network usage monitoring,0,H04L|H04M|H04W
12423164,2025-09-23,Adaptive API call sequence detection,0,G06F
12418591,2025-09-16,"Systems and methods for providing application and subscription aware user plane function selection, steering, and anchoring",0,H04L
12418427,2025-09-16,Systems and methods for dynamic asset tokens on a distributed ledger,0,G06F|H04L
12416495,2025-09-16,Systems and methods for determining an altitude of a wireless station,0,G01C|G01L|H04W
12414166,2025-09-09,Systems and methods for real-time frequency band monitoring in a wireless network,0,H04W
12414005,2025-09-09,Systems and methods for selectable application-specific quality of service parameters in a wireless network,0,H04L|H04W
12413945,2025-09-09,Systems and methods for automation of end-to-end network slice deployment,0,H04L|H04W
12413565,2025-09-09,Systems and methods for group messaging using blockchain-based secure key exchange,0,H04L
12413432,2025-09-09,Systems and methods for load-balanced chaincode execution and verification in a blockchain network,0,H04L
12413429,2025-09-09,Systems and methods for group messaging using blockchain-based secure key exchange with key escrow fallback,0,H04L
12412365,2025-09-09,System and method for digital object identification and tracking using feature extraction and segmentation,0,G06T|G06V
12408075,2025-09-02,Systems and methods for providing a robust single carrier radio access network link,0,H04L|H04W
12408054,2025-09-02,Systems and methods for quality of service monitoring activated by policy control function,0,H04L|H04W
12408049,2025-09-02,Systems and methods for premium session retainability in core networks,0,H04L|H04W
12407579,2025-09-02,Systems and methods for utilizing machine learning models to determine radio access network antenna performance impact,0,H04L|H04W
12407405,2025-09-02,Systems and methods for conditional handover using non-terrestrial node telemetry information,0,H04B|H04W
12406191,2025-09-02,Systems and methods for reducing problematic correlations between features from machine learning model data,0,G06N
12402067,2025-08-26,Method and system for admission and capacity control for integrated access and backhaul network,0,H04W
12396042,2025-08-19,Cell-less wireless network,0,H04B|H04W
12395845,2025-08-19,System and method for identifying collocated cellular devices from known fraudulent devices,0,H04L|H04W
12395477,2025-08-19,Systems and methods for collaborative blockchain establishment for blockchain-based secure key exchange,0,H04L
12394405,2025-08-19,Systems and methods for reconstructing video data using contextually-aware multi-modal generation during signal loss,0,G06F|G10L|H04N
12394295,2025-08-19,Systems and methods for low power consumption geofencing,0,G06F|G08B
