patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432606,2025-09-30,Automated deployment and management of distributed units in radio-based networks,0,H04W
12432209,2025-09-30,Restricted access control in multi-tenant systems using tenant-specific security principals,0,H04L
12432134,2025-09-30,Enabling multicast domain name services functionality for content creation devices interfacing with cloud-hosted software,0,H04L
12432110,2025-09-30,Providing access to configurable private computer networks,0,H04L
12432064,2025-09-30,Maintaining cryptographically verifiable data share traces for services of a provider network,0,H04L
12432054,2025-09-30,Federated key management,0,H04L
12430914,2025-09-30,Generating summaries of events based on sound intensities,0,G06F|G06V
12430882,2025-09-30,Object classification for visual search,0,G06Q|G06T|G06V
12430876,2025-09-30,Training an artificial intelligence model based on soft information,0,G06N|G06V
12430792,2025-09-30,Item pick pose recovery,0,B25J|G06T
12430690,2025-09-30,Budget-based approval-less ordering for punchout users in an ecommerce marketplace,0,G06Q
12430509,2025-09-30,Contextual natural language censoring,0,G06F
12430493,2025-09-30,Actions based on log pattern detection,0,G06F
12430344,2025-09-30,Secure distributed document discovery via vector similarity,0,G06F
12430170,2025-09-30,Quantum computing service with quality of service (QoS) enforcement via out-of-band prioritization of quantum tasks,0,G06F|G06N
12430110,2025-09-30,Global modulo allocation in neural network compilation,0,G06F|G06N
12430097,2025-09-30,System command processing,0,G06F|G06N|G10L
12428230,2025-09-30,Attribute-based fulfillment operations,0,B65G|G06Q
12425721,2025-09-23,Optical lens characterization and calibration,0,G06K|G06T|G06V|H04N
12425682,2025-09-23,Multimedia streaming device,0,F21V|G06F|H04N|H04R|H05K
12425455,2025-09-23,Authorization policy analysis,0,H04L
12425416,2025-09-23,Threat detection and mitigation in a virtualized computing environment,0,G06N|H04L
12425409,2025-09-23,Trust-based dynamic access control system,0,H04L
12425379,2025-09-23,Voice identification assisted end-to-end cryptography,0,G10L|H04L
12425355,2025-09-23,Routing network traffic in Clos fabrics,0,H04L
12424210,2025-09-23,Natural language processing,0,G06F|G10L
12423960,2025-09-23,Concept shift detection and correction using probabilistic models and learned feature representations,0,G06F|G06N|G06V
12423935,2025-09-23,3D point-cloud labeling,0,G06F|G06T
12423925,2025-09-23,"Augmented, virtual, or mixed reality system",0,G06T
12423615,2025-09-23,Machine learning pipelines,0,G06F|G06N
12423606,2025-09-23,Quantum codes implemented using cat data qubits and transmon ancilla qubits,0,G06N
12423580,2025-09-23,Crossbar based transpose data transfers,0,G06F|G06N
12423578,2025-09-23,Distributed training of machine learning models,0,G06N
12423363,2025-09-23,Warm tier storage for search service,0,G06F
12423345,2025-09-23,Theme detection within a corpus of information,0,G06F
12423310,2025-09-23,Filter direction modifications to vector-based search,0,G06F
12423306,2025-09-23,Dynamically partition data,0,G06F
12423196,2025-09-23,Fast database recovery in a multi-volume database environment via transactional awareness,0,G06F
12423192,2025-09-23,Providing executing programs with access to stored block data of others,0,G06F
12423161,2025-09-23,Cluster right-sizing for cloud-based applications,0,G06F
12423137,2025-09-23,Compiler managed tensor parallel execution,0,G06F
12423058,2025-09-23,Systolic array with input reduction to multiple reduced inputs,0,G06F
12423025,2025-09-23,Shuffle-based request buffer for managing large request volumes,0,G06F
12422792,2025-09-23,Individual machine configuration based on overall process performance and latent metrics,0,G05B|H04L
12420311,2025-09-23,Item consolidator,0,B07C|B65G|G06Q
12418558,2025-09-16,Detection of malicious domains,0,H04L
12418526,2025-09-16,Mobile device user authorization system,0,G06F|G06T|G06V|H04L
12418340,2025-09-16,Satellite antenna ground station service system,0,H04B|H04W
12417706,2025-09-16,Annotated virtual track to inform autonomous vehicle control,0,G05D|G08G|H04W
12417470,2025-09-16,Machine learning systems for optimizing audio advertisements,0,G06Q|H04N
12417468,2025-09-16,User engagement modeling for engagement optimization,0,G06N|G06Q
12417431,2025-09-16,Techniques for generating collection of images,0,G06F|G06Q|G06V|H04N
12417430,2025-09-16,Verbally interactive materials handling facility,0,G06Q|G10L
12417305,2025-09-16,Delegated authorization for consumers of shared databases,0,G06F
12417272,2025-09-16,Multi-dimensional user verification,0,G06F
12417115,2025-09-16,On-demand code execution computing resource access management,0,G06F
12417082,2025-09-16,Frontier node-based data layout analysis framework,0,G06F|G06N
