patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431359,2025-09-30,Semiconductor package electrical contacts and related methods,0,H01L
12424522,2025-09-23,"Leadless semiconductor packages, leadframes therefor, and methods of making",0,H01L
12422455,2025-09-23,Temperature resistant contact unit holder receptacle assembly and related methods,0,G01R|H01L
12417999,2025-09-16,Semiconductor packages using package in package systems and related methods,0,H01L
12417957,2025-09-16,Structure and method related to a power module using a hybrid spacer,0,H01L|H05K
12414238,2025-09-09,Substrate structures and methods of manufacture,0,C04B|H01L|H05K
12411534,2025-09-09,Diagnosing power rail over-voltage and under-voltage conditions,0,G01R|G06F
12407954,2025-09-02,Image sensors having high dynamic range pixels,0,H04N
12407948,2025-09-02,Imaging circuitry with high frame rate edge detection,0,H04N
12402264,2025-08-26,Stacked power terminals in a power electronics module,0,H01L|H02M|H05K
12400933,2025-08-26,Jet impingement heatsink for high power semiconductor devices,0,H01L
12399483,2025-08-26,Systems and methods for system optimization and/or failure detection,0,G05B|G06N
12396280,2025-08-19,Anti-flare semiconductor packages and related methods,0,H01L|H10F
12394745,2025-08-19,Semiconductor device including bonding covers,0,H01L
12394692,2025-08-19,Power circuit module,0,H01L|H01R
12393260,2025-08-19,Adaptive voltage scaling with body biasing,0,G06F
12389137,2025-08-12,Image sensors with multiple column output lines per column,0,H04N
12386406,2025-08-12,Power supply system for detecting a rail violation in a multi-rail sequence,0,G06F
12382737,2025-08-05,Metal-oxide-semiconductor capacitor based passive amplifier,0,H03M|H04N|H10F
12381159,2025-08-05,Method and system for fabricating fiducials for processing of semiconductor devices,0,G03F|H01L|H10D
12376333,2025-07-29,Configurable low ohmic power circuits,0,H01L|H10D
12376318,2025-07-29,Semiconductor devices and methods of manufacturing semiconductor devices,0,H01L|H10D
12375829,2025-07-29,Blooming artifact elimination in high dynamic range imaging,0,H04N
12374555,2025-07-29,Die sidewall coatings and related methods,0,H01L
12374554,2025-07-29,Semiconductor packages with die including cavities and related methods,0,H01L
12368670,2025-07-22,Locally unique mac address resolution,0,H04L
12368088,2025-07-22,Jet impingement cooling for high power semiconductor devices,0,H01L
12368085,2025-07-22,Integration of semiconductor device assemblies with thermal dissipation mechanisms,0,H01L
12362266,2025-07-15,Low stress asymmetric dual side module,0,H01L
12355009,2025-07-08,Low stress asymmetric dual side module,0,H01L
12354930,2025-07-08,Module with substrate recess for conductive-bonding component,0,H01L
12354917,2025-07-08,Singulation systems and related methods,0,H01L
12347813,2025-07-01,Semiconductor package and related methods,0,H01L
12347812,2025-07-01,Low stress asymmetric dual side module,0,H01L
12347755,2025-07-01,Low stress asymmetric dual side module,0,H01L
12342090,2025-06-24,Image sensor with hybrid binning,0,H04N
12342088,2025-06-24,Circuitry and methods for mitigating gradient effects in image sensors,0,H04N
12341069,2025-06-24,Backside metal patterning die singulation system and related methods,0,H01L
12341014,2025-06-24,Multi-faced molded semiconductor package and related methods,0,H01L
12334352,2025-06-17,Method and system for etch depth control in III-V semiconductor devices,0,H01L|H10D
12322632,2025-06-03,Substrate alignment systems and related methods,0,H01L
12316990,2025-05-27,Imaging system with time-of-flight sensing,0,G01S|H04N
12316105,2025-05-27,Interference filter and electrostatic discharge / electrical surge protection circuit and device,0,H01L|H02H|H03H|H10D
12315826,2025-05-27,Semiconductor device package assemblies with direct leadframe attachment,0,H01L
12315765,2025-05-27,Backside metal patterning die singulation systems and related methods,0,H01L
12308364,2025-05-20,Power module package for direct cooling multiple power modules,0,H01L|H02M
12308297,2025-05-20,Semiconductor package system and related methods,0,H01L
12300689,2025-05-13,Dual cool power module with stress buffer layer,0,H01L
12300583,2025-05-13,Concealed gate terminal semiconductor packages and related methods,0,H01L
12300558,2025-05-13,Substrates and related methods,0,B32B|H01L
12300548,2025-05-13,Moat coverage with dielectric film for device passivation and singulation,0,H01L|H10D
12294790,2025-05-06,Imaging devices with image transform circuitry for improved motion detection,0,G06T|H04N
12293955,2025-05-06,High power module package structures,0,H01L|H10D
12289556,2025-04-29,Pixel array readout circuitry,0,H04N
12288152,2025-04-29,Neural network weight encoding,0,G06N|G11C
12287747,2025-04-29,Fast device reinitialization on DSI3 bus,0,G06F
12283562,2025-04-22,Clip design and method of controlling clip position,0,H01L
12279061,2025-04-15,"MIPI C-PHY and D-PHY interface with shared driver, equalization, and data path circuitry",0,G06F|H04L|H04N
12278169,2025-04-15,Electronic device packaging with galvanic isolation,0,H01L
12278158,2025-04-15,Leadframe spacer for double-sided power module,1,H01L|H05K
12272747,2025-04-08,Electronic device including a transistor structure,0,H01L|H10D
12272654,2025-04-08,Method and system for fabricating fiducials using selective area growth,0,H01L|H10D
12272615,2025-04-08,Thermal mismatch reduction in semiconductor device modules,0,C04B|H01L
12272572,2025-04-08,Non-planar semiconductor packaging systems and related methods,0,B21D|H01L
12272566,2025-04-08,Defect reduction of semiconductor layers and semiconductor devices by anneal and related methods,0,H01L|H10D
12266590,2025-04-01,Dual side direct cooling semiconductor package,0,H01L|H05K
12262557,2025-03-25,Methods and systems to improve uniformity in power FET arrays,0,H01L|H10D
12261084,2025-03-25,Fan-out wafer level packaging of semiconductor devices,0,H01L
12256162,2025-03-18,Reference pixel column readout,0,H04N|H10F
12255167,2025-03-18,Semiconductor packages with an intermetallic layer,0,H01L
12255124,2025-03-18,Jet impingement cooling with bypass fluid portion for high power semiconductor devices,0,H01L
12243810,2025-03-04,Semiconductor package with wettable flank and related methods,0,H01L
12243778,2025-03-04,Self-aligned semiconductor device contacts having widths less than minimum lithography limits,0,H01L|H10D
