patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431770,2025-09-30,Power electronics assembly having vertically stacked transistors,0,B60L|H01L|H02K|Y02T
12428033,2025-09-30,Lane change assist for inexperienced driver,0,B60W|G06F
12423483,2025-09-23,Method of designing fluid flow field structure for fuel cell bipolar plate,0,G06F|H01M|Y02E
12420951,2025-09-23,Calibration of aircraft mounted cameras,0,B64D|G03B|G06T|H04N
12417086,2025-09-16,Data communication with remote operation of a vehicle,0,B60R|G06F
12406346,2025-09-02,Vehicle assessment systems and methods,0,G06T|G06V
12405122,2025-09-02,Method and apparatus for determining fueling station wait times,0,B60K|G01C|G06Q|G07C
12399953,2025-08-26,Systems and methods for sampling signals to derive information at target frequencies above a detectable range,0,B60W|G01S|G06F
12395411,2025-08-19,Systems and methods for selecting edge nodes for task performance,0,H04L|H04W
12392890,2025-08-19,Vision system for a vehicle-trailer system,0,B60R|G01S|H04B|H04L
12389059,2025-08-12,"Apparatus, system, and method for automatically switching to a digital multimedia content provider",0,H04N
12387994,2025-08-12,Power device embedded printed circuit board assemblies with thin film dielectric layers,0,H01L|H05K
12387489,2025-08-12,Systems and methods for resource-optimized mixed reality using user-centric adaptive object detection,0,G06F|G06V
12387223,2025-08-12,"Modules, systems, and methods for incentivizing green driving",0,G06Q|G07C|H04L
12385700,2025-08-12,3D printed cold plates and methods for cooling power devices embedded in 3D printed circuit boards,0,B33Y|F28F|H01L|H05K
12379984,2025-08-05,Remaining useful life determination for power electronic devices,0,G06F|G06N
12371021,2025-07-29,Trailer hitch assist system for a vehicle and associated methods,0,B60D|B60W|G06T
12367758,2025-07-22,Smart accessory for communicating an intention to cross a street,0,G06F|G08G
12361450,2025-07-15,Dynamic vehicle tags,0,G06Q
12361183,2025-07-15,Methods of designing inflatable shape-morphing structures with textured patterns,0,G06F
12361086,2025-07-15,Methods and systems for spatio-temporal regular expression matching,0,B60W|G06F
12359931,2025-07-15,Providing information to navigate to a parking space preferred by an operator of a vehicle,0,G01C|G06Q|G06V|G08G
12358532,2025-07-15,Systems and methods for online monitoring using a neural model by an automated vehicle,0,B60W|G06N
12358370,2025-07-15,Closed-loop real time SSVEP-based heads-up display to control in vehicle features using deep learning,0,A61B|B60K|G06N
12346794,2025-07-01,Systems and methods for predicting trajectories of multiple vehicles,0,G01C|G06N|G08G
12346679,2025-07-01,Systems and methods for updating vehicle software,0,G06F|H04W
12344241,2025-07-01,Systems and methods for navigating a trailer with a vehicle when a physical connection disconnects,0,B60T|B60W|B62D|G06T
