patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12156125,2024-11-26,Method and radio communication equipment for signaling a physical layer profile,0,H04L|H04W
12120727,2024-10-15,Method and apparatus for operating configured grant timers in wireless communication system,0,H04L|H04W
12114390,2024-10-08,Method and apparatus for handling random access failures in RRC inactive state,0,H04W
12108481,2024-10-01,User equipment and method for small data transmission procedure,1,H04W|Y02D
12108461,2024-10-01,Methods and apparatuses for random access procedure in medium access control layer,0,H04L|H04W
12108057,2024-10-01,"Prediction image generation device, moving image decoding device, moving image encoding device, and prediction image generation method",0,H04N
12101648,2024-09-24,Wireless communication system and method for performing communication and computing,0,G06N|H04L|H04W
12096487,2024-09-17,"Method related to PUSCH repetitions, user equipment, and network device",1,H04L|H04W
12096266,2024-09-17,Method and apparatus for handling measurement in wireless communication system,0,H04L|H04W
12095996,2024-09-17,Systems and methods for performing binary arithmetic coding in video coding,0,H03M|H04N
12095708,2024-09-17,Wireless communication method and user equipment for transmission on different bandwidth parts,0,H04L|H04W
12089176,2024-09-10,User equipment and method for handling user equipment onboarding,0,H04W
12082235,2024-09-03,System and method for random access resource selection,0,H04B|H04L|H04W
12081334,2024-09-03,"Method executed by user equipment, and user equipment",0,H04L|H04W
12075401,2024-08-27,"Control method for user equipment, control method for base station, and user equipment",0,H04W
12075385,2024-08-27,"User equipments, base stations and methods for sidelink channel state information (SL CSI) reporting",0,H04W
12075095,2024-08-27,Device and method for coding video data,0,H04N
12069744,2024-08-20,"Base station apparatus, terminal apparatus, and method for a random access procedure in wireless communication",0,H04W
12069667,2024-08-20,Methods to determine the URLLC UCI multiplexing location on eMBB PUSCH,1,H04L|H04W
12069002,2024-08-20,"Method executed by user equipment, and user equipment",1,H04L|H04W
12063670,2024-08-13,Method for wireless communication and terminal device thereof,0,H04L|H04W
12063624,2024-08-13,Selection of radio access technologies for V2X messages,0,H04W
12063104,2024-08-13,"Terminal apparatus, base station apparatus and communication method",0,H04J|H04L|H04W
12058742,2024-08-06,Methods and apparatuses for timing advance adjustment in uplink transmission,1,H04L|H04W
12058693,2024-08-06,User equipment and method for small data transmission,0,H04W
12058604,2024-08-06,Method and apparatus for receiving system information,0,H04W
12052783,2024-07-30,User apparatus for performing a registration procedure,1,H04W
12052722,2024-07-30,Terminal device,1,H04L|H04W
12047213,2024-07-23,Method of configuring a PUSCH repetition and user equipment using the same,0,H04L|H04W
12035357,2024-07-09,Method executed by user equipment and user equipment,0,H04L|H04W
12035317,2024-07-09,Method and apparatus for multiplexing UCI,0,H04W
12028925,2024-07-02,Methods and related devices for multi-connectivity,0,H04W
12028888,2024-07-02,Transmitting hybrid automatic repeat request acknowledgement in next generation networks,0,H04L|H04W
12028869,2024-07-02,Method and user equipment for beam indication for downlink reception,0,H04B|H04L|H04W
12028857,2024-07-02,User equipments and communication methods for sidelink communication,0,H04L|H04W
12028541,2024-07-02,Moving image encoding and decoding,0,H04N
12022551,2024-06-25,Method and apparatus for sidelink communication managements,0,H04W
12022549,2024-06-25,"Terminal device, base station device, and method",0,H04W
12022547,2024-06-25,User equipment,0,H04W
12022461,2024-06-25,User equipment and method for small data transmission,0,H04W
12021637,2024-06-25,Methods and apparatuses for handling uplink (re)transmission in NR-U,0,H04L|H04W
12021626,2024-06-25,User equipment and base stations that achieve mini-slot-based repetitions,1,H04L|H04W
12016041,2024-06-18,Method and apparatus for PDCCH monitoring adaptation,0,H04L|H04W|Y02D
12016037,2024-06-18,Method and user equipment for beam indication for uplink transmission,0,H04B|H04L|H04W
