patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12432186,2025-09-30,System and method for secure and performant ECU pairing,0,B60R|H04L
12432102,2025-09-30,Method and sensor bus system,0,H04L|H04Q
12430922,2025-09-30,Device and method for ascertaining a physical property of a physical object,0,B60W|G06F|G06N|G06V
12430550,2025-09-30,Training method for a generator neural network imposing data equivariances,0,G06N|G06V
12430448,2025-09-30,Cryptography module for controlling device,0,G06F|H04L
12430158,2025-09-30,"Method, system and domain for providing a security execution environment for security-relevant applications",0,B60R|G06F
12429469,2025-09-30,Method and device for operating a gas sensor,0,G01N|G06F
12428227,2025-09-30,"Method for operating a production supermarket, device for operating a production supermarket, trolley and system",0,B65G|G06Q|Y02P
12425265,2025-09-23,Subscriber station for a serial bus system and method for communication in a serial bus system,0,H04L
12424033,2025-09-23,Method and device for recording event data in a vehicle,0,G07C|H04L
12423973,2025-09-23,Device and computer implemented method for explainable scene clustering,0,G06N|G06V
12423258,2025-09-23,"Apparatus for interprocessor communication, control device having the apparatus and vehicle having the control device, method for operating the apparatus",0,B60R|B62D|G06F
12423216,2025-09-23,Rating of the relevance of test cases for technical systems,0,G06F
12423198,2025-09-23,Data processing network for performing reliable data processing,0,G06F
12422537,2025-09-23,Method and apparatus for detecting signal propagation type,0,G01S|H04L
12418631,2025-09-16,Configurable audio and video sectors,0,G06F|G08B|H04N
12417622,2025-09-16,Systems and methods of interactive visual graph query for program workflow analysis,0,G06F|G06N|G06V
12417387,2025-09-16,Efficient second order pruning of computer-implemented neural networks,0,G06F|G06N|G06V
12417261,2025-09-16,Visualization system and method for interpretation and diagnosis of deep neural networks,0,G06F|G06T|G06V
12415550,2025-09-16,Method for classifying a behavior of a road user and method for controlling an ego vehicle,0,B60W|G06N|G06V|G08G
12413987,2025-09-09,Device for and method of operating a radio network,0,H04W
12413453,2025-09-09,Interference-free transmission of signals between different earth potentials,0,G08C|H03K|H04L
12413445,2025-09-09,Communication control device and transmit/receive device for a subscriber station of a serial bus system and method for communication in a serial bus system,0,H04L|Y02P
12412257,2025-09-09,Anomaly monitoring for technical systems based on the compatibility of image data with a predefined distribution,0,B60W|G06T|G06V
12405911,2025-09-02,Transfer device for a differential bus system,0,G06F|H04L
12403958,2025-09-02,"Method for displaying an environment of a vehicle having a coupled trailer, computer program, computing device and vehicle",0,B60R|B62D|G06T|H04N
12400111,2025-08-26,Compressing a deep neural network,0,G06F|G06N
12400006,2025-08-26,System and method with masking for certified defenses against adversarial patches,0,G06F
12399723,2025-08-26,Method for safely starting an arithmetic logic unit,0,G06F
12397392,2025-08-26,Method for determining state information relating to a belt grinder by means of a machine learning system,0,B24B|G05B|G06N
12394992,2025-08-19,"Method for interacting with at least one user of a rechargeable-battery-operated machining tool, and system for carrying out the method",0,B25F|G01R|G05B|H02J|H04L
12394182,2025-08-19,Systems and methods for multi-teacher group-distillation for long-tail classification,0,G06N|G06V
12394028,2025-08-19,System and method with masking and inpainting strategy for generic defense against patch attacks,0,G06T|G06V
12393667,2025-08-19,Computing device for checking a software key,0,G06F
12391264,2025-08-19,Method and system for testing a control unit of a vehicle,0,B60W|G06F
12388947,2025-08-12,Method of transmissivity-aware chroma keying,0,G06N|G06V|H04N
12388562,2025-08-12,Method for loss reduction in a communication interface,0,H04L
12387581,2025-08-12,Method and device for detecting smoke,0,G06N|G06T|G08B
12387464,2025-08-12,Device and method for training a neural network for controlling a robot for an inserting task,0,B25J|G05B|G06T|G06V
12387402,2025-08-12,System and method for localized text to image generation for free via cross attention,0,G06F|G06N|G06T
12387351,2025-08-12,Method for picking up an object by means of a robotic device,0,B25J|G05B|G06T
12387057,2025-08-12,System and method for utilizing weak learners on large language models,0,G06F
12387010,2025-08-12,"System for providing a plurality of functions for a device, in particular for a vehicle",0,G06F
