patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12431470,2025-09-30,Display device and electronic device including the display device,0,G01S|H01L|H01S|H10H
12431450,2025-09-30,Device including semiconductor chips and method for producing such device,0,H01L|H05K
12431395,2025-09-30,Semiconductor power module with crack sensing,0,H01L
12431367,2025-09-30,Embedded package with shielding pad,0,H01L
12426331,2025-09-23,Power semiconductor device and method of producing a power semiconductor device,0,H01L|H10D
12424495,2025-09-23,Chip separation supported by back side trench and adhesive therein,0,H01L
12419096,2025-09-16,Transistor device and method of manufacturing,0,B82Y|H01L|H10D
12413452,2025-09-09,Differential data transmission between galvanically isolated circuits within a circuit package,0,H04L
12413414,2025-09-09,Secure communications using pre-shared keys and live membership,0,H04L
12412797,2025-09-09,Hybrid embedded package,0,H01L
12412740,2025-09-09,"Semiconductor device with a porous portion, wafer composite and method of manufacturing a semiconductor device",0,H01L|H10D
12411784,2025-09-09,System and method for direct memory access,0,G06F
12411578,2025-09-09,Ultrasonic touch sensor with water detection,0,G06F
12408410,2025-09-02,Silicon carbide device with stripe-shaped gate electrode and source metallization,0,H01L|H10D
12408202,2025-09-02,Secure communication acceleration using a frame classifier,0,H04L|H04W
12407760,2025-09-02,Device manager,0,H04L
12407521,2025-09-02,Safe and secure communication,0,H04L
12406946,2025-09-02,Integrated circuit for prevention of circuit design theft,0,H01L|H03K|H10D
12406940,2025-09-02,Semiconductor chip having a crack stop structure,0,H01L
12400919,2025-08-26,Pressure sensors on flexible substrates for stress decoupling,0,B81B|H01L
12399592,2025-08-26,Capacitive micromachined ultrasonic transducer (CMUT) multi-touch and slider detection with improved pixel area coverage and ultrasonic feedback by a same pixel array,0,G06F
12399271,2025-08-26,Radar-based target tracker,0,G01S|H04B|H04W
12394769,2025-08-19,Batch soldering of different elements in power module,0,B23K|H01L|H05K
12393739,2025-08-19,Integrated circuit and method for protecting an integrated circuit against reverse engineering,0,G06F
12393535,2025-08-19,Frame replication and elimination on microcontroller,0,G06F
12392744,2025-08-19,Sensor for measuring a gas property,0,G01N|H01L
12390887,2025-08-19,Method for separating substrates,0,B23K|H01L
12387987,2025-08-12,"Housing, semiconductor module comprising a housing and method for producing a housing",0,H01L
12387347,2025-08-12,Position tracking with multiple sensors,0,G01S|G06T
12386462,2025-08-12,Under water touch detection with ultrasonic sensors using capacitive micromachined ultrasonic transducers (CMUTs),0,G06F
12381855,2025-08-05,Key indication protocol,0,H04L|H04W
12380589,2025-08-05,Method and apparatus to evaluate radar images and radar device,0,G01S|G06F|G06N|G06T|G06V
12379666,2025-08-05,Identification codes on semiconductor chips,0,G03F|H01L
12374661,2025-07-29,Power module having vertically aligned first and second substrates,0,H01L
12374632,2025-07-29,Semiconductor device and method for manufacturing a plurality of semiconductive devices,0,B81B|H01L
12373808,2025-07-29,Electronic device and method of operating an electronic device,0,G06F|G06Q|G07F
12368111,2025-07-22,"Semiconductor apparatuses with radio-frequency line elements, and associated manufacturing methods",0,H01L|H01Q|H05K
12363961,2025-07-15,Semiconductor device,0,H01L|H10D
12360936,2025-07-15,Interconnect bus safety,0,G06F
12360232,2025-07-15,Multifunctional radar systems and methods of operation thereof,0,A61B|G01S|G06F|H01Q
12356700,2025-07-08,Method for splitting semiconductor wafers,0,H01L|H10D
12354936,2025-07-08,Semiconductor device with a nickel comprising layer and method for fabricating the same,0,B23K|H01L
12352831,2025-07-08,Dual current magnetic field sensor,0,G01R|H01L
12352802,2025-07-08,Circuits and techniques for predicting end of life based on in situ monitors and limit values defined for the in situ monitors,0,G01R|G06F
12348644,2025-07-01,"Wallet, database system and method for producing a wallet",0,G06Q|H04L
12347754,2025-07-01,Package with load terminals on which coupled power component and logic component are mounted,0,H01L
12341012,2025-06-24,Method for annealing a gate insulation layer on a wide band gap semiconductor substrate,0,H01L|H10D
12340649,2025-06-24,Consumable component apparatus,0,G06F|G06Q|G07F
12339975,2025-06-24,Security device and methods of operating a security device,0,G06F
12339695,2025-06-24,Stray field robust magnetic sensor system for detecting a state of a tiltable and rotatable object,0,G05G|G06F
12335413,2025-06-17,Devices and methods for authentication,0,G06F|H04L
12334458,2025-06-17,Package with pad having open notch,0,H01L
12334414,2025-06-17,Power semiconductor device with dual heat dissipation structures,0,H01L
12334405,2025-06-17,Electronic devices including vent openings and associated methods,0,B23K|H01L|H05K
12332271,2025-06-17,Capacitive microelectromechanical device and method for forming a capacitive microelectromechanical device,0,B81B|B81C|G01P|H01L
12330243,2025-06-17,Method of forming an intermetallic phase layer with a plurality of nickel particles,0,B22F|B23K|C22C|H01L
12327727,2025-06-10,Chip with a silicon carbide substrate,0,H01L|H10D
