patent_id,patent_date,patent_title,patent_num_times_cited_by_us_patents,cpc_subclass_ids
12430911,2025-09-30,Systems and methods of servicing equipment,0,B23P|F01D|F05D|G01M|G02B|G06F|G06Q|G06V|G08B|G09B|Y02T
12430847,2025-09-30,3D imaging for engine assembly inspection,0,F01D|F05D|G01B|G06T|G06V
12422331,2025-09-23,Methods and apparatus to autonomously detect thermal anomalies,0,F02C|F05D|G01J|G01M|G06T|G08B|H04N
12366210,2025-07-22,Power and thermal management and coordinated control of an integrated system,0,B64D|F01K|F02C|F05D|G06F
12355866,2025-07-08,Communicating securely with devices in a distributed control system,0,H04L
12346184,2025-07-01,Reduced common mode voltage pulse width modulation switching scheme with capacitor voltage balancing for a multilevel power converter,0,B64D|G06F|H02M
12345167,2025-07-01,System and method of using a tool assembly,0,F01D|F05D|G01B|G01M|G01N|G06T
12333225,2025-06-17,System and method for monitoring and diagnosis of engine health using a snapshot-CEOD based approach,0,G05B|G06F|G07C
12327208,2025-06-10,Systems and methods for improved interruption and resumption management,0,G06F|G06Q|G06V|G16H
12326553,2025-06-10,Tool stabilization mechanism and related methods,0,G01N|G02B|H04N
12309327,2025-05-20,"Automated beam scan calibration, alignment, and adjustment",0,B22F|B23K|B33Y|H04N|Y02P
12299358,2025-05-13,Additive manufacturing simulations,0,B22F|B29C|B33Y|G06F
12284272,2025-04-22,Methods and systems for starting secure communication in systems with high availability,0,H04L|H04W
12269090,2025-04-08,System and method for additive manufacturing control,0,B22F|B29C|B33Y|G05B|G06N|G06T|Y02P
12266036,2025-04-01,Computed tomography scatter and crosstalk correction,0,G01N|G01T|G06T
12263017,2025-04-01,Plane selection using localizer images,0,A61B|G06T
12259693,2025-03-25,Potential replacement algorithm selection based on algorithm execution context information,0,G05B|G06F|G06N
12257044,2025-03-25,System and method for neuroactivity detection in infants,0,A61B|G06T|G06V|H04N
12254965,2025-03-18,Devices and method for a healthcare collaboration space,0,G06F|G08B|G16H|H04L
12254366,2025-03-18,System to track hot-section flowpath components in assembled condition using high temperature material markers,0,B42D|F01D|F05D|G06K|G06Q
12243358,2025-03-04,"Methods, apparatuses, and storage media to track engine components",0,G06Q|G07C|H04W
12241382,2025-03-04,Vibration response reduction for aircraft engines,0,F01D|F05D|G01H|G01M|G06N
12240130,2025-03-04,System and method for automated movement of a robotic arm,0,B25J|G05B|G06T
12224058,2025-02-11,"Monitoring, predicting and alerting for census periods in medical inpatient units",0,G06F|G06N|G06Q|G16H
12222838,2025-02-11,System and methods for generating fault indications for an additive manufacturing process based on a probabilistic comparison of the outputs of multiple process models to measured sensor data,0,B29C|B33Y|G05B|G06F
12214903,2025-02-04,Apparatus for and a method of deicing a ducted fan engine,0,B08B|B64D|B64F|G06T
12198257,2025-01-14,System and method of producing a computer-generated image of a component part using computed tomography,0,G01N|G06T
12191384,2025-01-07,Techniques for fabricating charge balanced (CB) trench-metal-oxide-semiconductor field-effect transistor (MOSFET) devices,0,H01L|H10D
12182743,2024-12-31,System and method for prognostic analytics of an asset,0,G06Q
12165389,2024-12-10,Machine learning model training corpus apparatus and method,0,G06T|G06V
12163473,2024-12-10,Contamination accumulation modeling,0,B08B|B64F|F01D|F02C|F04D|F05D|G05B|G06F|G06Q|G07C
12153598,2024-11-26,Method of extracting technical information from a technical manual,1,G06F|G06N
12150279,2024-11-19,Systems and methods for using additive manufacturing for thermal management,0,B22F|B33Y|F28D|G06F|H05K
12142354,2024-11-12,Systems and methods of medical device data collection and processing,0,G06F|G16H|H04L
12141174,2024-11-12,Subject matter expert knowledge mapping using dynamic clustering,0,G06F|G06N
12141052,2024-11-12,Resilient estimation for grid situational awareness,0,G06F|G06N|G06V|H04L|H04W|Y04S
12139109,2024-11-12,Systems and methods of servicing equipment,2,B60S|F01D|F02C|F05D|G05D|G06N|G07C|Y02T
12125745,2024-10-22,Electrical component with a dielectric passivation stack,0,H01L
12125584,2024-10-22,Integrated systems and methods for evolving state protocols and decision support,0,G06Q|G16H
12115679,2024-10-15,Systems and methods of servicing equipment,1,B23P|B25J|F01D|F05D|G06Q
12110805,2024-10-08,Fan blade with intrinsic damping characteristics,0,F01D|F05D|G06F|Y02T
12091985,2024-09-17,Engine component with structural segment,0,F01D|F05D|G06F
12079735,2024-09-03,Control logic for thrust link whiffle-tree hinge positioning for improved clearances,0,F01D|F02C|F05D|G06N
12070354,2024-08-27,Methods and system for detecting medical imaging scan planes using probe position feedback,0,A61B|G06N
12067124,2024-08-20,Systems and methods for node selection and ranking in cyber-physical systems,1,G06F|H04L
12066979,2024-08-20,Intelligent and automated review of industrial asset integrity data,0,G01M|G05B|G06F|G06Q|Y02P
12045549,2024-07-23,Hybrid measurement and simulation based distortion compensation system for additive manufacturing processes,0,B29C|B33Y|G01B|G06F
12044147,2024-07-23,Segmented leading edge guards,0,F01D|F05D|G06N
12039718,2024-07-16,"Inference apparatus, medical apparatus, and program",0,G06N|G06T
12017301,2024-06-25,"Systems and methods for compression, management, and analysis of downbeam camera data for an additive machine",1,B22F|B23K|B33Y|G06N|Y02P
12015275,2024-06-18,Hybrid power plant,0,G05B|G06Q|H02J|Y02E|Y04S
12003627,2024-06-04,Communication system and method for applying quantum key distribution security for a time sensitive network,0,H04L
11999363,2024-06-04,"Methods and apparatus for detecting fuel in oil, lube degradation, and fob thru optical and color characterization",0,B60W|F16H|G01N|G05B|G06N|G06T
11992952,2024-05-28,Systems and methods of servicing equipment,0,B23P|B25J|F01D|F05D|G06Q
11972563,2024-04-30,Contrast imaging system and method,0,A61B|G06T|G16H
11971329,2024-04-30,Methods and apparatus to autonomously detect thermal anomalies,0,F02C|F05D|G01J|G01M|G06T|G08B|H04N
11964430,2024-04-23,Controlling irradiation parameters of an additive manufacturing machine,0,B22F|B29C|B33Y|G06N|Y02P
11956063,2024-04-09,Engine control system,0,H04B|H04W
11952149,2024-04-09,System and method of forecasting aircraft engine operational data for predictive analytics,0,B60W|B64D|B64F|G05B|G06F|G06N|G07C
11951566,2024-04-09,Assignment of multiple print parameter sets in additive manufacturing,1,B22F|B23K|B29C|B33Y|G06F|Y02P
11948215,2024-04-02,Intellectual property exchange ecosystem for additive manufacturing,0,B29C|B33Y|B61D|B64F|F03D|G06F|G06Q|Y02E|Y02P
11938907,2024-03-26,Systems and methods of servicing equipment,3,B23P|B25J|B60S|F01D|F02C|F05D|G06T|Y02T
11935290,2024-03-19,Systems and methods of servicing equipment,3,B23P|F01D|F05D|G01M|G02B|G06F|G06Q|G06V|G08B|G09B|Y02T
11934527,2024-03-19,"Devices, systems, and methods for securely initializing an embedded system",0,G06F
11915531,2024-02-27,Systems and methods of servicing equipment,0,B23P|F01D|F02C|F02K|F05D|G05D|G06N|G07C|Y02T
11913345,2024-02-27,System and method of using a tool assembly,0,F01D|F05D|G01B|G01M|G01N|G06T
11911213,2024-02-27,Techniques for determining ultrasound probe motion,0,A61B|G01S|G06T
11907695,2024-02-20,"Devices, systems, and methods for providing on-demand engine software using a distributed ledger",0,B64D|B64F|G06F|G06Q
11893525,2024-02-06,Dispatch advisor to assist in selecting operating conditions of power plant that maximizes operational revenue,0,G05B|G06F|G06Q|Y02E
11892003,2024-02-06,Application of machine learning to process high-frequency sensor signals of a turbine engine,0,F04D|F05D|G01M|G05B|G06N
11887407,2024-01-30,Equipment repair control system,0,G05D|G06Q|G07C
